Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th September 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,101,1
OFFICE OF GOVERNOR,,,,,,,,101,1
"General Administra-
tion Planning and
Support Services","Management of
County Affairs (Of-
fice of Governor)","159,318,905","9,331,999","31,432,495",-,19.7,-,101,1
"County Leadership
and Coordination","Sub-County Admin-
istration and Field
Services (Office of
County Secretary)","24,191,484","1,417,000","4,772,809",-,19.7,-,101,1
"County Leadership
and Coordination","Management of
County Executive
Services (Office of
County Secretary)","24,191,484","1,417,000","4,772,809",-,19.7,-,101,1
,,Rec,Dev,Rec,Dev,Rec,Dev,102,0
"County Government
Advisory Services","Public Sector Adviso-
ry Services (Legal, Po-
litical, and Economic
Advisors)","48,382,968","2,834,000","9,545,618",-,19.7,-,102,0
Sub Total,,"256,084,841","15,000,000","50,523,731",-,19.7,-,102,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,102,0
"General Administra-
tion Planning and
Support Services","Recruitment and
Selection, Career
Management, HR
Policy & Audit","12,417,322",-,"4,493,652",-,36.2,-,102,0
"General Administra-
tion Planning and
Support Services","Administration of
Board programmes/
Agenda","10,347,768",-,"3,744,710",-,36.2,-,102,0
"General Administra-
tion Planning and
Support Services","Performance Manage-
ment & Discipline","6,799,962",-,"2,460,810",-,36.2,-,102,0
Sub Total,,"29,565,052",-,"10,699,172",-,36.2,-,102,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,,,,102,0
"General Administra-
tion Planning and
Support Services","Service delivery and
management of
County Affairs","308,949,968","10,357,740","36,266,561",-,11.7,-,102,0
Public Service,"Human Resource
Development","243,988,984","8,179,882","28,641,017",-,11.7,-,102,0
Public Service,"Construction of
Ward Offices","154,000,335","5,162,957","18,077,563",-,11.7,-,102,0
Sub Total,,"706,939,287","23,700,579","82,985,142",-,11.7,-,102,0
COUNTY ASSEMBLY,,,,,,,,102,0
"General Administra-
tion, Planning and
Support Services","Administrative
Services","182,548,311","11,891,973","34,063,892",-,18.7,-,102,0
"General Administra-
tion, Planning and
Support Services","Legislation, Repre-
sentation and Legisla-
tive Oversight","182,548,311","11,891,973","34,063,892",-,18.7,-,102,0
"General Administra-
tion, Planning and
Support Services","Representation
Services","182,548,311","11,891,973","34,063,892",-,18.7,-,102,0
,,Rec,Dev,Rec,Dev,Rec,Dev,103,0
"General Administra-
tion, Planning and
Support Services","County Assembly
Infrastructure Im-
provement","66,377,016","4,324,081","12,386,088",-,18.7,-,103,0
Sub Total,,"614,021,950","40,000,000","114,577,764",-,18.7,-,103,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,103,0
"General Administra-
tion Planning and
Support Services","Administration, Plan-
ning and Support
Services","354,326,857","667,009","221,338,033",-,62.5,-,103,0
"Economic Policy and
County Planning","Economic Devel-
opment, Planning
and Coordination
Services","94,821,131","178,498","59,232,097",-,62.5,-,103,0
"Financial Manage-
ment Services","Control and Man-
agement of Public
Finances","82,069,801","154,494","51,266,699",-,62.5,-,103,0
Sub Total,,"531,217,789","1,000,000","331,836,829",-,62.5,-,103,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,,,103,0
"General Administra-
tion and Planning","General Adminis-
tration and Support
Services","1,927,790","29,742,407",-,-,-,-,103,0
Trade Development,"Capacity Develop-
ment","5,558,662","85,760,357",-,-,-,-,103,0
Trade Development,"Weights and mea-
sures","5,558,662","85,760,357",-,-,-,-,103,0
Trade Development,Alcohol and licensing,"5,558,662","85,760,357",-,-,-,-,103,0
"Industrial Develop-
ment and Investment","Investment promo-
tion venture","3,410,693","52,620,971",-,-,-,-,103,0
"Industrial Develop-
ment and Investment","Promotion of value
addition","3,410,693","52,620,971",-,-,-,-,103,0
"Tourism develop-
ment and promotion","Tourism Infrastruc-
ture Development","2,790,567","43,053,522",-,-,-,-,103,0
"Tourism develop-
ment and promotion","International and
domestic Tourism
Promotion & Mar-
keting","2,790,567","43,053,522",-,-,-,-,103,0
Sub Total,,"31,006,296","478,372,465",-,-,-,-,103,0
,,Rec,Dev,Rec,Dev,Rec,Dev,104,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND COOPERATIVE DEVELOPMENT",,,,,-,-,-,104,0
"Administrative Sup-
port Services","General Adminis-
tration and Support
Services","36,577,327","92,003,420",-,-,-,-,104,0
"Crop Development
and Management","Agriculture Extension
Services","62,981,550","158,418,304",-,-,-,-,104,0
"Crop Development
and Management","Irrigation and civil
works","55,396,437","139,339,370",-,-,-,-,104,0
"Livestock Resources
Management and
Development","Livestock produc-
tivity","54,001,864","135,831,582",-,-,-,-,104,0
"Livestock Resources
Management and
Development","Value chain develop-
ment","51,261,928","128,939,786",-,-,-,-,104,0
"Fisheries Develop-
ment","Promotion of fish
production","15,231,380","38,311,685",-,-,-,-,104,0
"Cooperative Devel-
opment & Manage-
ment","Capacity devel-
opment in value
addition","15,231,380","38,311,685",-,-,-,-,104,0
Sub Total,,"290,681,865","731,155,833",-,-,-,-,104,0
