Programme,"Sub-Pro-
gramme",Approved Original Estimates FY 2023/24 (Kshs.),col_3,col_4,"Actual Expenditure
Jul - 23rd September
(Kshs.)",col_6,Absorption Rate,col_8,page_number,table_index
,,Rec,Dev,Gross,Rec,Dev,Rec,Dev,175,1
"County Coordina-
tion Services","County
Coordination
Services","137,051,145",-,"137,051,145","20,239,450",-,15,-,175,1
,,"137,051,145",-,"137,051,145","20,239,450",-,15,-,175,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,,175,1
"Administration,
Planning and Sup-
port Services.","Administra-
tion Services.","231,136,530","83,735,659","314,872,189","23,798,334",-,10,-,175,1
"Administration,
Planning and Sup-
port Services.","Monitoring
Budget Im-
plementation
and Reporting","28,687,985","6,379,644","35,067,629","7,486,680",-,26,-,175,1
,,Rec,Dev,Gross,Rec,Dev,Rec,Dev,176,0
"Public Finance
Management","Budget
Formulation
co-ordination
and manage-
ment","8,400,000","553,360,903","561,760,903","1,973,600",-,23,-,176,0
Audit Services,County Audit,"4,975,639","3,000,000","7,975,639","1,158,200",-,23,-,176,0
,,"273,200,154","646,476,206","919,676,360","34,416,814",-,13,-,176,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,,176,0
"Policy, Strategy and
Management of
Agriculture","Development
of Agricultural
Policy, Legal
& Regulatory
framework.","53,301,163",-,"53,301,163","8,858,545",-,17,-,176,0
"Crop Development
and Management","Agriculture
Extension
Services","58,894,485","496,837,574","555,732,059","15,318,738",-,26,-,176,0
"Livestock Resource
Management and
Development","Livestock
Disease Man-
agement and
Control.","2,024,041","21,184,205","23,208,246","554,100",-,27,-,176,0
"Livestock Resource
Management and
Development","Livestock
Production
and Extension
Services","51,654,981",-,"51,654,981","381,050",-,1,-,176,0
"Fisheries develop-
ment","Management
and Develop-
ment of Cap-
ture Fisheries","6,905,001","500,000","7,405,001","324,500",-,5,-,176,0
,,"172,779,671","518,521,779","691,301,450","25,436,932",-,15,-,176,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,,176,0
"Environment
policy development
and coordination","Planning
Coordination
Policy and
Administra-
tive Services","144,072,462","63,145,000","207,217,462","16,410,146",-,11,-,176,0
"Water supply
services","Rural Water
Supply","14,365,228","218,860,274","233,225,502","1,337,500",-,9,-,176,0
,,"158,437,690","282,005,274","440,442,964","17,747,646",-,11,-,176,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,,176,0
"General Adminis-
tration & Planning
Services.","Policy Devel-
opment and
Administra-
tion","549,596,382","10,000,000","559,596,382","54,544,316",-,10,-,176,0
Basic Education,"Early
Childhood
Development
Education","216,382,852","89,573,270","305,956,122","750,000",-,-,-,176,0
"Gender and Social
Development","Social Welfare
Services/Social
Infrastructure
Development","3,000,000","17,035,537","20,035,537","1,000,000",-,33,-,176,0
,,Rec,Dev,Gross,Rec,Dev,Rec,Dev,177,0
"Youth development
and empowerment
services","Youth Devel-
opment (YP)
Training",-,"57,000,000","57,000,000",-,-,-,-,177,0
,,"768,979,234","173,608,807","942,588,041","56,294,316",-,7,-,177,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,,177,0
Curative Health,"Adminis-
tration and
Planning","1,581,600,049","142,141,193","1,723,741,242","195,238,558",-,12,-,177,0
Curative Health,"Hospital(cura-
tive)Services",-,-,-,-,-,-,-,177,0
"Preventive and
Promotive Health","Preventive
Medicine and
Promotive
Health","1,170,865,728","141,648,789","1,312,514,517","105,366,052",-,9,-,177,0
,,"2,752,465,777","283,789,982","3,036,255,759","300,604,610",-,11,-,177,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,,177,0
"Administration and
support services","General Ad-
ministration
and Planning","40,701,923","45,000,000","85,701,923","9,518,780",-,23,-,177,0
"Housing Develop-
ment and Human
Resource","Housing De-
velopment","9,243,184",-,"9,243,184","715,800",-,8,-,177,0
"Land policy and
planning","Development
Planning and
Land Reforms","34,395,730","22,022,942","56,418,672","8,382,574",-,24,-,177,0
"Land policy and
planning","Land Use
Planning","6,152,443",-,"6,152,443","149,250",-,2,-,177,0
,,"90,493,280","67,022,942","157,516,222","18,766,405",-,21,-,177,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,,,,177,0
"Transport Manage-
ment and Safety","General
Administra-
tion Planning
and Support
Services","73,712,784",-,"73,712,784","13,347,951",-,18,-,177,0
"Infrastructure,
Roads and Trans-
port","Rehabilitation
of Road","3,400,000","587,441,016","590,841,016","80,000",-,2,-,177,0
"Infrastructure,
Roads and Trans-
port","Maintenance
of Roads and
Bridges/Peri-
odic Mainte-
nance","21,206,317","3,000,000","24,206,317",-,-,-,-,177,0
,,"98,319,101","590,441,016","688,760,117","13,427,951",-,14,-,177,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND CO-OPERATIVE MANAGEMENT",,,,,,,,,177,0
"Trade development
and investment","Fairtrade
Practices and
Consumer
Protection
(weight &
measures)","20,620,890","23,202,942","43,823,832","1,129,447",-,5,-,177,0
"Trade development
and investment","Administra-
tive and Sup-
port Services.","37,619,414","200,000,000","237,619,414","7,088,330",-,19,-,177,0
,,Rec,Dev,Gross,Rec,Dev,Rec,Dev,178,0
"Co-operative
development and
management","Co-operative
Advisory &
Extension
Services.",-,-,-,-,-,-,-,178,0
"Tourism de-
velopment and
marketing","Local Tourism
Development.","5,882,961","5,000,000","10,882,961","215,400",-,-,-,178,0
,,"64,123,265","228,202,942","292,326,207","8,433,177",-,13,-,178,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,,,,178,0
"Information &
Communication
Service","News and
Information
Services","53,836,604",-,"53,836,604","8,999,283",-,17,-,178,0
"Information &
Communication
Service","ICT and BPO
development
services",-,"40,262,387","40,262,387",-,-,-,-,178,0
"Youth development
and empowerment
services","Youth Devel-
opment (YP)
Training",-,"3,400,000","3,400,000",-,,-,-,178,0
,,"53,836,604","43,662,387","97,498,991","8,999,283",-,17,-,178,0
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,,,,178,0
"Administration of
Human Resources
and Public Service","Estab-
lishment,
Appointment,
Discipline and
Board Man-
agement.","71,312,544",-,"71,312,544","12,175,516",-,17,-,178,0
,,"71,312,544",-,"71,312,544","12,175,516",-,17,-,178,0
DEPARTMENT: PUBLIC SERVICE MANAGEMENT,,,,,,,,,178,0
"Administration of
Human Resources
and Public Service","General
Administra-
tion, Planning
and Support
Services","294,637,612","28,241,257","322,878,869","55,102,967",-,19,-,178,0
"Administration of
Human Resources
and Public Service","Human
Resource De-
velopment","147,232,645",-,"147,232,645","16,138,330",-,11,-,178,0
,,"441,870,257","28,241,257","470,111,514","71,241,297",-,16,-,178,0
County Executive,,"5,082,868,722","2,861,972,592","7,944,841,314","587,783,397",-,12,-,178,0
Speaker’s office,"Speaker’s
office","497,868,056",-,"497,868,056","79,008,564",-,16,-,178,0
Clerk’s Office,Clerk’s Office,"375,643,063","77,992,439","453,635,502","99,707,459",-,27,-,178,0
"County Assembly
Service Board","County As-
sembly Service
Board","9,287,636",-,"9,287,636","1,197,800",-,13,-,178,0
Total Expenditure,,"882,798,755","77,992,439","960,791,194","179,913,823",-,20,-,178,0
GRAND TOTAL,,"5,965,667,477","2,939,965,031","8,905,632,508","767,697,220",-,20,-,178,0
