Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,186,1
County Assembly,,,,,,,,186,1
"Legislation and
oversight","Legislation and
oversight","904,732,000",-,"147,260,107",-,16.,3 -,186,1
"General Administra-
tion Planning and
Support Services","General Adminis-
tration Planning
and Support
Services","399,051,227","127,000,000","73,564,432",-,18.,4 -,186,1
"Representation
services","Representation
services","139,000,000",-,"28,359,768",-,20.,4 -,186,1
,,Rec,Dev,Rec,Dev,Rec,Dev,187,0
,Sub-Total,"1,442,783,227","127,000,000","249,184,307",-,17.3,-,187,0
County Executive,,,,,,,,187,0
"Leadership & Coor-
dination of County
Admin & Depart-
ments","General Admin-
istration and
Support Services","349,615,988",-,"73,829,619",-,21.1,-,187,0
,"Representation
Services","37,086,506",-,"984,726",-,2.7,-,187,0
,Sub-Total,"386,702,494",-,"74,814,345",-,19.4,-,187,0
County Public Service Board,,,,,,,,187,0
"Leadership and
Administration of
Human Resources
and Development
in County Public
Service","Human Resource
development
and management
services","85,250,972",-,"1,426,977",-,1.7,-,187,0
,Sub-Total,"85,250,972",-,"1,426,977",-,1.7,-,187,0
"Finance, Economic Planning and ICT",,,,,,,,187,0
"Public Finance
Management and
Economic Policy &
Strategy",Budget,"28,224,548",-,"8,970,691",-,31.8,-,187,0
,Revenue,"410,500,000",-,"40,327,534",-,9.8,-,187,0
,Accounting,"62,500,000",-,"6,265,560",-,10.0,-,187,0
,Internal Audit,"4,143,000",-,"1,126,630",-,27.2,-,187,0
"General Adminis-
tration and support
services","General Admin-
istration and
support services","955,025,458",-,"148,323,336",-,15.5,-,187,0
ICT Services,ICT services,"15,000,000","257,966,018",-,-,-,-,187,0
,Sub-Total,"1,475,393,006","257,966,018","205,013,751",-,13.9,-,187,0
"Water, Environment and Natural Resources",,,,,,,,187,0
"Administration,
Planning & Support
Services","Administration,
Planning & Sup-
port Services","411,675,926",-,"25,370,541",-,6.2,-,187,0
"Water Resources
Management & Sani-
tation Services","Water Resource
Management and
Sanitation",-,"191,000,000",-,"24,648,492",-,12.9,187,0
"Natural Resources,
Forest Conservation
and Management","Natural Resources,
Forest Conserva-
tion and Manage-
ment",-,"25,000,000",-,"3,844,000",-,15.6,187,0
"Environmental
Management and
Compliance","Environment
and Solid Waste
Management",-,"94,580,000",-,"29,634,810",-,31.3,187,0
"Climate Change Mit-
igation &Adaptation","Climate Change
Mitigation &Ad-
aptation","23,617,867","145,000,000",-,-,-,-,187,0
,Sub-Total,"435,293,793","455,580,000","25,370,541","58,127,302",5.8,12.8,187,0
Health Services,,,,,,,,187,0
Health Services,Curative,"978,623,124","886,359,884",-,"16,311,461",-,1.8,187,0
Health Services,"Preventive and
Promotive","837,900,000","200,000,000","1,069,969",-,0.1,-,187,0
Health Services,Pharmaceuticals,"120,000,000",-,"38,262,444",-,31.9,-,187,0
Health Services,"Administration
and Support","4,788,380,636",-,"1,733,734,870",-,36.2,-,187,0
,,Rec,Dev,Rec,Dev,Rec,Dev,188,0
,Sub-Total,"6,724,903,760","1,086,359,884","1,773,067,283","16,311,461",26.4,1.5,188,0
"Roads, Transport and Public Works",,,,,,,,188,0
"Maintenance of
Road, Bridges,Trans-
port, Construction
and Maintenance","General admin-
istration and
support
services","510,828,022",-,"75,348,867",-,14.8,-,188,0
,"Construction of
road and civil
works",-,"2,058,648,652",-,"83,235,118",-,4.0,188,0
,Sub-Total,"510,828,022","2,058,648,652","75,348,867","83,235,118",14.8,4.0,188,0
Administration and Public Service,,,,,,,,188,0
"General Administra-
tion Planning and
Support services","General Adminis-
tration Planning
and Support
services","786,064,944","57,860,000","55,675,385",-,7.1,-,188,0
"Human Resource
Management & De-
velopment Services","Human Resource
Management &
Development","23,731,500",-,"426,522",-,1.8,-,188,0
Alcoholic Fund,"Alcoholic Drinks
Control & Reha-
bilitation","32,000,000","50,000,000",-,-,-,-,188,0
,Sub-Total,"841,796,444","107,860,000","56,101,907",-,6.7,-,188,0
"Agriculture, Crop Production & Irrigation",,,,,,,,188,0
"Agriculture, Livestock
and Co-Operative
Development","General Adminis-
tration, Planning
and Support
Services","419,262,457",-,"5,348,580",-,1.3,-,188,0
,"Crop Develop-
ment, Irrigation
and Marketing
Services","9,500,000","974,496,063",-,"8,905,310",-,0.9,188,0
,"Livestock and
Fisheries Man-
agement and
Development","40,014,781","335,756,915","1,009,248","7,225,000",2.5,2.2,188,0
,"Co-operative
Development and
Management","33,000,000","30,000,000","565,649",-,1.7,-,188,0
,Sub-Total,"501,777,238","1,340,252,978","6,923,477","16,130,310",1.4,1.2,188,0
"Education, Culture and Social Services",,,,,,,,188,0
"Pre-primary edu,
Promotion of Culture
and Social Services","PrePrimary
education and
youth polytechnics
services","369,000,000","307,688,453","203,257,716",-,55.1,-,188,0
,"Cultural and
Social services","10,500,000","47,000,000",-,-,-,-,188,0
,"General admin-
istration and
support services","802,193,881",-,"42,803,464",-,5.3,-,188,0
,Sub-Total,"1,181,693,881","354,688,453","246,061,180",-,20.8,-,188,0
Youth and Sports,,,,,,,,188,0
"Youth Affairs, Sports and Communication",,,,,,,,188,0
,Youth Affairs,"11,000,000",-,"744,994",-,6.8,-,188,0
,Sports,"38,000,000",-,"13,417,200",-,35.3,-,188,0
,Communication,"7,930,000",-,"2,279,660",-,28.8,-,188,0
