Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",216,0
County Assembly,"Administration
and Support
Services","812,866,779",-,"129,414,253",-,15.9,-,216,0
,"Oversight and
Legislative
Services","420,023,964","224,491231","99,371,224",-,23.7,-,216,0
,Sub Total,"1,232,890,743","224,491,231","228,785,477",-,18.6,-,216,0
"Executive (Office
of the Governor,
Deputy governor,
County Secre-
tary and Public
Service Board","Administration,
Planning and
Support Services","350,396,720","130,000,000","69,061,158",-,19.7,-,216,0
,"Office of the
County Secre-
tary","12,820,000",-,-,-,-,-,216,0
,Legal Services,"34,670,000",-,-,-,-,-,216,0
,"Communication
Services","4,630,000",-,-,-,-,-,216,0
,"Governor’s
Advisors, Service
Delivery Unit
and Efficiency
Monitoring","2,960,000",-,-,-,-,-,216,0
,Chief of staff,"650,000",-,-,-,-,-,216,0
,"County Public
Service Board","7,460,000",-,-,-,-,-,216,0
,"County Liaison
office","2,620,000",-,-,-,-,-,216,0
,Sub-Total,"416,206,720","130,000,000","69,061,158",-,16.6,-,216,0
"Administra-
tion, Corporate
Services and
Stakeholder Man-
agement","Administration,
Planning and
Support Services","488,121,883",-,"108,625,001",-,22.3,80,216,0
,"Devolved Units
Services","2,591,532",-,-,-,-,-,216,0
,"Human Re-
source Develop-
ment","9,500,000",-,-,-,-,-,216,0
,"Enforcement
Services","14,908,000",-,-,-,-,0.43,216,0
,"Stakeholder
Management","43,603,018",-,-,-,22.5,-,216,0
,"Public Participa-
tion and Civic
Education","8,100,000",-,-,-,-,-,216,0
,"Disaster Man-
agement","26,250,000","26,000,000",-,-,-,-,216,0
,"Fleet Manage-
ment","5,766,014",-,-,-,-,-,216,0
,"Strategy Deliv-
ery & Project
Management","2,700,000",-,-,-,-,-,216,0
,"Special Pro-
grammes","32,900,000","40,000,000",-,-,-,-,216,0
,Sub-Total,"634,440,447","143,559,553","118,450,754",-,18.7,-,216,0
"Finance and Eco-
nomic Planning","Administration,
Coordination
and Support
Services","872,518,722",-,"208,593,035",-,23.9,-,216,0
,"Public Financial
management
services","82,770,448",-,-,-,-,-,216,0
,"County Plan-
ning Services","158,132,978","200,000,000","15,835,976",-,10.0,-,216,0
,Sub-Total,"1,113,422,148","200,000,000","224,429,011",-,20.2,-,216,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",217,0
"Agriculture, Live-
stock, Fisheries
and Co-operative
Development","Administration
and Support
Services","122,074,568",-,"25,256,142",-,20.7,-,217,0
,"Veterinary
Services","5,000,000","50,725,099",-,-,-,-,217,0
,"Livestock Devel-
opment","4,080,000","60,509,200",-,-,-,-,217,0
,"Fisheries devel-
opment","3,370,000","43,771,013",-,-,-,-,217,0
,"Crop develop-
ment headquar-
ters","189,645,432","410,168,601","42,243,855","65,965,780",22.3,16.1,217,0
,"Kisii Agricul-
tural Training
Centre","5,240,000","42,240,000",-,-,-,-,217,0
,"Co-operative
Development
and Manage-
ment","3,200,000","7,800,000",-,-,-,-,217,0
,"Crop develop-
ment","1,300,000","219,396,662",-,-,-,-,217,0
,"Monitoring and
Evaluation","900,000",-,-,-,-,-,217,0
,"Agro-processing,
Value addition,
and Marketing","550,000","4,000,000",-,-,-,-,217,0
,"Engineering,
Irrigation and
Drainage","1,190,000","1,000,000",-,-,-,-,217,0
,Sub-Total,"336,550,000","839,610575","67,499,997","65,965,780",20.1,7.9,217,0
"Energy, Water,
Environment and
Natural Resourc-
es",Energy Services,-,"2,700,000",-,-,-,-,217,0
,"Environment
Management","11,000,000","40,692,137",-,-,-,-,217,0
-,"Water and sani-
tation services","127,495,000","365,737,650","20,219,998",-,15.9,-,217,0
,Sub-Total,"138,495,000","409,129,787","20,219,998",-,14.6,-,217,0
"Education,
Labour and Man-
power Develop-
ment","General Ad-
ministration
and Planning
Services","1,035,000,000",-,"168,750,000",-,16.3,-,217,0
,"Early childhood
development
education",-,"183,907,511",-,-,-,-,217,0
,"Vocational
training",-,"52,199,150",-,-,-,-,217,0
,Sub-Total,"1,035,000,000","236,106,661","168,750,000",-,16.3,0.0,217,0
"County Health
Services",Medical Services,"2,981,137,498","1,130,965,955","596,151,022","23,984,171",20.0,2.1,217,0
,public health,"24,530,000",-,-,-,-,-,217,0
,Sub-Total,"3,005,667,498","1,130,965,955","596,151,022","23,984,171",19.8,2.1,217,0
"Lands, Physical
Planning and
Urban Develop-
ment","Administration,
planning and
support services","145,700,000",-,"22,425,004",-,15.4,-,217,0
,"Urban develop-
ment",-,"234,000,000",-,-,-,-,217,0
,"Land use ser-
vices",-,-,-,-,-,-,217,0
,Sub-Total,"145,700,000","234,000,000","22,425,004",-,15.4,-,217,0
"Roads, Public
Works, Transport
and Housing","General
administration
and planning
services","153,750,000",-,"35,000,001",-,22.8,-,217,0
,"Roads develop-
ment",-,"1,000,937,932",-,-,-,-,217,0
,Public works,"35,250,000","38,390,474",-,-,-,-,217,0
,Sub-Total,"189,000,000","1,039,328,406","35,000,001",-,18.5,-,217,0
