Program,Sub-program,"Approved estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,226,0
"Lands, Physical Planning, Housing & Urban Development-5067",,,,,,,,226,0
103005067,,"13,150,000",-,"2,053,000",-,16,-,226,0
,"Physical planning
services","13,150,000",-,"2,053,000",-,16,-,226,0
109005067,,"6,850,000",-,"1,640,000",-,24,-,226,0
,"Urban planning
and development","6,850,000",-,"1,640,000",-,24,-,226,0
201005067,,"101,272,041","450,000,000","34,371,522",-,34,-,226,0
,"General ad-
ministration &
planning","101,272,041","450,000,000","34,371,522",-,34,-,226,0
,Grand Total,"121,272,041","450,000,000","38,064,522",-,31,-,226,0
"Finance, Economic Planning & ICT Services-5063",,,,,,,,226,0
109005083,,"51,363,996",-,"15,265,327",-,30,-,226,0
,"Urban planning
and development","51,363,996",-,"15,265,327",-,30,-,226,0
201005083,,"15,000,000",-,"2,113,050",-,14,-,226,0
,"General ad-
ministration &
planning","15,000,000",-,"2,113,050",-,14,-,226,0
203005083,,"1,008,436,139","1,050,000,000","91,477,997","138,632,122",9,13,226,0
,"Administrative
services","1,008,436,139","1,050,000,000","91,477,997","138,632,122",9,13,226,0
208005083,,"65,000,000",-,"11,829,498",-,18,-,226,0
,ICT Services,"65,000,000",-,"11,829,498",-,18,-,226,0
703005083,,"15,000,000",-,"3,671,450",-,24,-,226,0
,"Internal Auditing
Services","15,000,000",-,"3,671,450",-,24,-,226,0
705005083,,"150,600,000","72,142,939","41,517,752",-,28,-,226,0
,"Budget Formula-
tion & Coordi-
nation Services","54,600,000","12,142,939","13,195,452",-,24,-,226,0
,"management of
public financial
resources","16,000,000",-,"1,452,800",-,9,-,226,0
,"Revenue Mobili-
zation","80,000,000","60,000,000","26,869,500",-,34,-,226,0
706005083,,"85,249,719",-,"10,024,170",-,12,-,226,0
,"Monitoring &
Evaluation","33,000,000",-,"3,294,700",-,10,-,226,0
,"Policy Formula-
tion & Planning","52,249,719",-,"6,729,470",-,13,-,226,0
,Grand Total,"1,390,649,854","1,122,142,939","175,899,244","138,632,122",13,12,226,0
,,Rec,Dev,Rec,Dev,Rec,Dev,227,0
"Agriculture, Fisheries, Livestock Development & Irrigation-5068",,,,,,,,227,0
101005068,,"203,471,353","643,726,668","67,571,827",-,33,-,227,0
,"Planning and
Administration","203,471,353","643,726,668","67,571,827",-,33,-,227,0
104005068,,"488,550",-,-,-,-,-,227,0
,"Promotion of
Soil and Water
Management","488,550",-,-,-,-,-,227,0
105005068,,"65,548,629",-,"1,766,801",-,3,-,227,0
,"Promotion of
Crop production
Value Chains","6,641,500",-,-,-,-,-,227,0
,"Management of
Agriculture Advi-
sory services","18,978,200",-,"503,800",-,3,-,227,0
,"Development of
Product Quality
Assurance","1,145,500",-,-,-,-,-,227,0
,"Management of
Stations","20,513,726",-,"268,800",-,1,-,227,0
,"Promotion
of Livestock
Production Value
Chains","18,269,703",-,"994,201",-,5,-,227,0
106005068,,"1,288,750",-,-,-,-,-,227,0
,"Agriculture input
Access","439,000",-,-,-,-,-,227,0
,"Agriculture Cred-
it Access","849,750",-,-,-,-,-,227,0
107005068,,"912,500","5,000,000",-,-,-,-,227,0
,"Promotion value
addition","439,000","5,000,000",-,-,-,-,227,0
,"Promotion of
Agribusiness","473,500",-,-,-,-,-,227,0
701005068,,"119,250",-,-,-,-,-,227,0
,"Human Resource
development
services","119,250",-,-,-,-,-,227,0
707005068,,"13,000,000",-,-,-,-,-,227,0
,"Management
Information
System","13,000,000",-,-,-,-,-,227,0
,Grand Total,"284,829,032","648,726,668","69,338,628",-,24,-,227,0
Governance and Devolution-5088,,"27,420,000",-,"4,213,486",-,15,-,227,0
Program,"Resource Mobili-
zation","27,420,000",-,"4,213,486",-,15,-,227,0
206005088,,"20,220,000",-,"3,992,832",-,20,-,227,0
,"Primary Policy
and Legislation","20,220,000",-,"3,992,832",-,20,-,227,0
515005088,,"52,270,000","28,500,000","5,912,720",-,11,-,227,0
,,Rec,Dev,Rec,Dev,Rec,Dev,228,0
,"Development
and Manage-
ment of County
Administrative
systems","52,270,000","28,500,000","5,912,720",-,11,-,228,0
701005088,,"26,000,800",-,"1,340,555",-,5,-,228,0
,"Inter-Govern-
ment Coordina-
tion and protocol","10,800,800",-,"1,311,155",-,12,-,228,0
702005088,"Emergency,
Relief, Disaster
Management and
Control","15,200,000",-,"29,400",-,,-,228,0
,,"22,500,000",-,"3,132,213",-,14,-,228,0
,"Governor’s Press
Service and
Communication","22,500,000",-,"3,132,213",-,14,-,228,0
703005088,,"828,913,314","30,000,000","243,041,181",-,29,-,228,0
,"Human Resource
Recruitment and
Development","251,326,788",,"209,162,013",-,83,-,228,0
704005088,"General Admin-
istration and
Support services","577,586,526","30,000,000","33,879,168",-,6,-,228,0
,,"9,854,000",-,"822,500",-,8,-,228,0
,"Monitoring &
Evaluation","9,854,000",-,"822,500",-,8,-,228,0
706005088,,"3,300,000",-,"500,000",-,15,-,228,0
,"Public participa-
tion services","3,300,000",-,"500,000",-,15,-,228,0
709005088,,"12,530,000",-,"993,340",-,8,-,228,0
,"County Planning
and Develop-
ment Coordina-
tion Services","12,530,000",-,"993,340",-,8,-,228,0
711005088,Grand Total,"1,003,008,114","58,500,000","263,948,827",-,26,-,228,0
"Medical Services, Public Health & Sanitation-5085",,,,,,,,228,0
,-,"600,000",-,-,-,-,-,228,0
Program,"Disease surveil-
lance","600,000",-,-,-,-,-,228,0
401005085,,"2,480,000",-,-,-,-,-,228,0
,"Elimination of
communicable
and non-commu-
nicable disease","360,000",-,-,-,-,-,228,0
402005085,"Reproductive
Health","1,760,000",-,-,-,-,-,228,0
,Essential Service,"360,000",-,-,-,-,-,228,0
