Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th Sep-
tember 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,240,1
Office of the governor,,,,,,,,240,1
"Decentralised
unit","705013710-cabinet
affairs, public affairs
and HRM","49,528,168.00","89,440,682.00","11,583,964.00","1,997,448.00",23.4,2.2,240,1
,"706013710-devolu-
tion services","20,882,448.00",,"1,487,860.00",-,7.1,-,240,1
"Adminis-
tration & Plan-
ning","701013710-general
administration","823,930,584.00","681,300,000.00","324,162,023.00",-,39.3,-,240,1
,"702013710-national
social safety","98,990,000.00","30,000,000.00","2,465,700.00",-,2.5,-,240,1
"Governors ser-
vice delivery","701023710-general
administration","9,003,852.00",,"1,024,311.00",-,11.4,-,240,1
,"703023710-enforce-
ment unit","53,965,520.00",,"4,188,500.00",-,7.8,-,240,1
,"707013710-monitor-
ing and evaluation","17,686,460.00",,"2,758,994.00",-,15.6,-,240,1
,"717013710-chief of
staff","44,200,672.00",,"5,656,704.00",-,12.8,-,240,1
"Office of Chief
of Staff","717013710-chief of
staff","9,802,000.00",,"1,294,378.00",-,13.2,-,240,1
"Office of
County Attor-
ney","717033710-county
attorney","41,426,000.00",,"14,391,747.00",-,34.7,-,240,1
"Office of the
County Sec-
retary","703013710-county
secretary","8,468,000.00",,"916,640.00",-,10.8,-,240,1
,,Rec,Dev,Rec,Dev,Rec,Dev,241,0
,Sub-Total,"1,177,883,704.00","800,740,682.00","369,930,821.00",-,31.4,-,241,0
Ministry of Health & Sanitation,,,,,,,,241,0
"Curative and
Rehabilitative
Services","402013710-curative
health services","1,120,814,130.00","34,788,324.00","344,101,129.00",-,30.7,-,241,0
"Medical Ser-
vices Head-
quarters","401013710-general
administration","837,107,490.00","5,000,000.00","194,386,480.00",-,23.2,-,241,0
,"401023710-general
administration","65,719,508.00","145,149,560.00","1,986,202.00",-,3.0,-,241,0
,"401033710-general
administration","2,809,568.00",,"556,900.00",-,19.8,-,241,0
,"402023710-curative
health services","870,000.00",,"435,000.00",-,50.0,-,241,0
,"402033710-curative
health services","359,999,998.00",,"107,772,345.00",-,29.9,-,241,0
public health,"403013710-preventive
and promotive health
services","1,235,556.00",,"212,097.00",-,17.2,-,241,0
