Programme,"Sub-Pro-
gramme","Approved Estimates FY 2023/24
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023 (Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,280,0
"1 3211000000 COUNTY
ASSEMBLY",,"460,000,000","89,000,000","52,744,803",,11.5,-,280,0
"0701003210 P1 Admin-
istration, planning and
support services.",,"241,012,380",-,"35,393,249",-,14.7,-,280,0
"0702003210 P2 Legisla-
tion and Oversight",,"218,987,620","89,000,000","17,351,554",-,7.9,-,280,0
"2 3212000000 COUNTY
EXECUTIVE",,"238,258,500","77,000,000","41,012,196.40","5,300,058",17.2,6.9,280,0
"0703003210 P3 Admin-
istration, planning and
support services.",Headquarters,"238,258,500","77,000,000","41,012,196.40","5,300,058.",17.2,6.9,280,0
"3. 3213000000 FI-
NANCE,
ECONOMY &
STRATEGIC PLAN-
NING",,"104,350,900","6,500,000","13,449,869.50",-,12.90,-,280,0
"0711003210 P11 Ad-
ministration, planning
support services",Headquarters,"94,147,282",-,"13,275,425",-,14.1,-,280,0
"0712003210 P12 Con-
trol & management of
Public",,"10,203,618","6,500,000","174,445",-,1.7,-,280,0
,"B.
Accounting
services","2,043,128",-,"81,600",-,4.0,-,280,0
,"C. Pro-
curement","1,096,853",-,"30,200",-,2.8,-,280,0
,"D.
Resource
mobilisation","1,071,728","6,500,000",-,-,-,-,280,0
,"E. Inter-
nal Audit","890,101",-,"62,645",-,7.0,-,280,0
"4. 3214000000 AGRI-
CULTURE & PLAN-
NING",,"71,692,506","185,742,700","6,972,881",-,9.7,-,280,0
"0201003210 P1 Admin-
istration, planning &
support","Directorate
of Agriculture
& Extension
Services","71,692,506",-,"6,972,881",9.7,19.3,-,280,0
"0116003210 P16 Crop
Development & Man-
agement","Cooperative
Development",-,"170,742,700",-,,-,-,280,0
"0117003210 P17 Irriga-
tion & Drainage services","Plant disease
control",-,"15,000,000",-,,-,-,280,0
"5 3215000000 LAND,
PHYSICAL PLAN-
NING,
INFRASTRUCTURE,
URBAN DEV, WATER
&
RESOURCES",,"28,173,869","227,998,461","3,589,772",-,12.7,-,280,0
,,Rec,Dev,Rec,Dev,Rec,Dev,281,0
"0101003210 P1 Admin-
istration, planning &
support Services",Headquarters,"28,173,869",-,"3,589,772",-,12.7,-,281,0
"0102003210 P2 Land
Management","Physical plan-
ning",,"77,998,461",-,-,-,-,281,0
"0104003210 P4 Infra-
structure Development",,-,"150,000,000",-,-,-,-,281,0
"6 3216000000 EDUCA-
TION,
GENDER, YOUTH
AFFAIRS, SPORTS &
SOCIAL SERVICES",,"302,926,726","153,900,000","86,052,193","6,111,592",28.4,4.0,281,0
"0501003210 P1 General
Administration, Planning
and",Headquarters,"202,926,726",-,"25,819,536",-,12.7,-,281,0
"0502003210 P2 Ed-
ucation and Training
Programme","Early Child-
hood Develop-
ment","100,000,000","76,200,000","60,232,657",1184027.6,60.2,1.6,281,0
"0503003210 P3 Sports
& Youth Development","Sports &
Youth Devel-
opment",-,"64,700,000",-,-,-,-,281,0
"0504003210 P4 Social
Services",,-,"13,000,000",-,"4,927,564",-,37.9,281,0
"7 Medical/3217000000
HEALTH SERVICES,
SANITATION & ENVI-
RONMENT",,"1,002,923,315","265,300,000","147,528,327",-,14.7,-,281,0
"0101003210 P1 Admin-
istration, planning &
support Services",,-,"500,000.00",-,-,-,-,281,0
"0401003210 P1 General
Administration, Planning
and Support Services","SP:1.1 human
resource man-
agement and
development","836,985,125",-,"142,206,849",-,17.0,-,281,0
"0402003210 P2 Curative
Services","SP:2.1 Pri-
mary health
services","152,912,690","184,800,000","4,111,254",-,2.7,-,281,0
"0403003210 P3 Preven-
tive & Promotive Services","SP4 Preventive
and Promotive
Services-Head-
quarters","13,025,500","80,000,000","1,210,224",-,9.3,-,281,0
"8 3218000000 TRADE,
INVESTMENT, CUL-
TURE & TOURISM",,"47,053,453","225,000,000","2,944,557",-,6.3,-,281,0
"0301003210 P1 Admin-
istration, planning &
support service","SP1.1 Head-
quarters","24,496,897",-,"2,944,557",-,12.0,-,281,0
"0302003210 P2 Tourism
Promotion","SP 2.1Tourism
marketing and
promotion","1,794,556",-,-,-,-,-,281,0
"0303003210 P3 Trade
Development","SP 3.3 Trade
Investment","762,000","25,000,000",-,-,-,-,281,0
"0304003210 P4 Art &
Culture",,"20,000,000",-,-,-,-,-,281,0
"0305003210 P5 Indus-
trial Development &
Investment",,-,"200,000,000",-,-,-,-,281,0
"9 3219000000 Informa-
tion, Communication&
E-Government",,"35,264,200","131,000,000","121,400",-,0.3,-,281,0
,,Rec,Dev,Rec,Dev,Rec,Dev,282,0
"0301003210 P1 Admin-
istration, planning &
support service","SP1.2 Person-
nel service","35,264,200","131,000,000","121,400",-,0.3,-,282,0
"10 3220000000 FISH-
ERIES,
LIVESTOCK,
VETERINARY &
COOPERATIVE DEVP",,"63,795,798","166,106,789","7,324,450",-,11.5,-,282,0
"0106003210 P6 Admin-
istration, Planning and
Monitoring & Evaluation","SP1.Head-
quarters","57,401,948",-,"7,284,450",-,12.7,-,282,0
"0108003210 P8
Co-management","SP4.2:
Cooperative
Development","575,000.00",-,-,-,-,-,282,0
"0109003210 P9 Fish
farming","Purchase of
Specialised
Plant","2,350,500.00","79,764,809",-,-,-,-,282,0
"0111003210 P11: Live-
stock Extension Services","Livestock
Improvement
Programme","963,350.00","80,341,980","40,000",-,4.2,-,282,0
"0112003210 P12 Vet-
erinary Service Manage-
ment","Veterinary
Services","2,505,000.00","6,000,000",-,-,-,-,282,0
"11 3221000000 COUN-
TY PUBLIC SERVICE
BOARD",,"54,355,987",-,"6,581,999",-,12.1,,282,0
"0709003210 P9 Admin-
istration, planning and
support services.","SP1.2 Person-
nel service","43,866,987",-,"6,391,519",-,14.6,-,282,0
