Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",370,0
"Governorship, County Coordination and Administration",,,,,,,,370,0
"Monitoring
and Evaluation","101024010 Project Coor-
dination and Monitoring","3,600,000",-,"926,650",-,25.7,-,370,0
"County Coor-
dination","705024010 Office Ad-
ministration and Support
Services",170275677,-,12793600,-,7.5,-,370,0
"Public and
Citizen Partici-
pation","705034010 Public Partic-
ipation","6,896,000",-,"314,400",-,4.6,-,370,0
"Administration
and Support","706014010 County Exec-
utive and Coordination","197,044,209","10,000,000","63,589,906",-,32.3,-,370,0
"Audit and
Monitoring","718014010 Audit and
Other Monitoring","5,670,000",-,-,-,-,-,370,0
"Disaster Pro-
gram","902044010 Disaster Re-
sponse and Mitigation","16,421,000",-,"1,250,000",-,7.6,-,370,0
"Communi-
cation and
Information
Services","Communication and
Information Services","15,000,000",-,"80,000",-,0.5,-,370,0
Sub Total,,"399,906,886","10,000,000","78,874,556",-,19.7,-,370,0
"Finance, Information Technology and Economic Planning",,,,,,,,370,0
"Revenue
Program","108014010 Local Reve-
nue Mobilisation","20,430,000",-,"1,830,860",-,9.0,-,370,0
ICT Program,"703014010 Automation
and Revenue System","500,000",-,-,-,-,-,370,0
"Financial
Management
Program","703024010 Budget For-
mulation Coordination
and Management",-,-,-,-,-,-,370,0
,"703034010 Economic
Planning and CIDP
Review","33,071,184",-,"135,600",-,0.4,-,370,0
,"718024010 Corporate
Governance","3,990,000",-,"27,000",-,0.7,-,370,0
,"705014010 Budget
Implementation and
Monitoring","7,460,000",-,,-,-,-,370,0
,"705034010 Public Partic-
ipation","39,180,000",-,-,-,-,-,370,0
,"730014010 Budget
Implementation and
Monitoring","3,320,000",-,"603,000",-,18.2,-,370,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","258,717,923","20,000,000","25,328,291",-,9.8,-,370,0
Sub Total,,"366,669,107","20,000,000","27,924,751",-,-,-,370,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",371,0
"Agriculture, Livestock and Fisheries",,,,,,,,371,0
Food Security,"10104010 Land and
Crops Development","2,970,000",-,"211,375",-,7.1,-,371,0
,"101024010 Promotion
Food Security","4,850,000","907,507,351",-,"100,000,000",-,11.0,371,0
,"101124010 Capacity De-
velopment, Mechanisation
and Innovation","3,850,000",-,"550,000",-,14.3,-,371,0
"Livestock
Development
Program","103084010 Veterinary
Services","5,370,000","5,000,000","37,800",-,0.7,-,371,0
,"107024010 Livestock and
Fisheries Development","1,705,000",-,"239,400",-,14.0,-,371,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","244,320,350","101,618,400","42,123,718",-,17.2,-,371,0
Sub Total,,"263,065,350","1,014,125,751","43,162,293","100,000,000",16.4,9.9,371,0
Energy Transport and Roads,,,,,,,,371,0
"Urban
Development
Program","102074010 Urban Devel-
opment and Support","3,650,900","150,000,000","213,800","28,824,437",5.9,19.2,371,0
"Energy
Development
Program","103094010 Promotion
of Energy & Renewable
Energy Sources","1,100,000",-,-,-,-,-,371,0
"Infrastructure
Development
Program","201014010 Construction
of Roads and Bridges","17,384,487",-,"1,781,334",-,10.2,-,371,0
,"202064010 Infrastructure
Development",-,"510,000,000",-,-,-,-,371,0
Sub Total,,"22,135,387","660,000,000","1,995,134","28,824,437",9.0,4.4,371,0
"Commerce, Trade, Industry and Tourism",,,,,,,,371,0
"Agro Market-
ing",102054010 Cooperatives,"8,420,000","60,000,000",-,-,-,-,371,0
"Tourism
Program","110014010 Tourism
Development","2,060,000",,-,-,-,-,371,0
,"301014010 Tourism Pro-
motion and Marketing",-,"8,500,000",-,-,-,-,371,0
"Trade Develop-
ment Program","111014010 Trade & En-
terprise Development","16,160,000","545,000,000","57,860",-,0.4,-,371,0
,"302014010 Domestic
Trade Development","54,202,894",-,"10,457,806",-,19.3,-,371,0
,"302024010 Fair Trade and
Consumer Protection","3,220,000",-,-,-,-,-,371,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","13,980,706",-,"137,025",-,1.0,-,371,0
Sub Total,,"98,043,600","613,500,000","10,652,691",-,10.9,-,371,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",372,0
Education & Technical Training,,,,,,,,372,0
"ECDE Pro-
gramme","501034010 Early
Childhood Development
Education",-,-,-,-,-,-,372,0
,"509014010 Early Child
Development and Edu-
cation","288,468,651",-,"101,418,554",-,35.2,-,372,0
"Polytechnics
Program","507014010 Revitalisation
of Youth Polytechnics","125,766,773",-,"27,361,266",-,21.8,-,372,0
"Education
Intervention
Program","501054010 Motivation
of Primary and Secondary
School",-,-,-,-,-,-,372,0
,"509024010 Motivation
of Primary and Secondary
Schools","271,219,070",-,"50,422,480",-,18.6,-,372,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","12,662,790",-,"4,133,237",-,32.6,-,372,0
Sub Total,,"698,117,284","145,000,000","183,335,537",-,26.3,-,372,0
Health and Sanitation,,,,,,,,372,0
"Infrastructure
Development
Program","10110410 Infrastructure
Development",-,"286,000,000",-,"23,797,922",-,8.3,372,0
,"109024010 Infrastructure
Improvement Services","1,815,000",-,-,-,-,-,372,0
