Description,"Approved
Budget",Actual Payments,Absorption,page_number,table_index
,(Kshs.),(Kshs.),(%),412,0
Health Sector Programme Support (DANIDA Funds),-,-,-,412,0
Administration and General Support Services,-,-,-,412,0
Preventive Health Services,-,-,-,412,0
Health Care Infrastructure,-,-,-,412,0
Health Sector Programme Support (DANIDA Funds),-,-,-,412,0
Curative Health Services,-,-,-,412,0
Health Service Delivery Administration Services,-,-,-,412,0
Preventive & Promotive Health Services,-,-,-,412,0
Curative Health Services,-,-,-,412,0
General Administration and Support Services,-,-,-,412,0
Physical Planning,-,-,-,412,0
Preventive & Promotive Health Services,-,-,-,412,0
Curative Health Services,-,-,-,412,0
Health Service Delivery Administration Services,-,-,-,412,0
Health Care Infrastructure,-,-,-,412,0
Agriculture and Crop Production,-,-,-,412,0
Fisheries Development and Management,-,-,-,412,0
Crop Development and Management,-,-,-,412,0
Administration and General Support Services,-,-,-,412,0
Livestock and Veterinary,-,-,-,412,0
Crop Development and Management,-,-,-,412,0
Fisheries Development and Management,-,-,-,412,0
Livestock Resources Management and Development,-,-,-,412,0
Fisheries,-,-,-,412,0
Fisheries Development and Management,-,-,-,412,0
Crop Development and Management,-,-,-,412,0
Tourism,-,-,-,412,0
General Administration and Support Services,-,-,-,412,0
Tourism Development and Promotion,-,-,-,412,0
Culture,-,-,-,412,0
Cooperative Development and Management,-,-,-,412,0
Culture,-,-,-,412,0
Culture,-,-,-,412,0
Cooperatives,-,-,-,412,0
Tourism Development and Promotion,-,-,-,412,0
Gender,-,-,-,412,0
Cooperative Development and Management,-,-,-,412,0
Youth Affairs,-,-,-,412,0
Sports Development,-,-,-,412,0
General Administration and Support Services,-,-,-,412,0
Social Services,-,-,-,412,0
Youth Affairs,-,-,-,412,0
General Administration and Support Services,-,-,-,412,0
Gender,-,-,-,412,0
Gender and Social Services,-,-,-,412,0
Gender,-,-,-,412,0
