Vote,Programme,Sub- Programme,"Approved Estimates
(Kshs)","Actual Expendi-
ture as of 30th
September 2023
(Kshs)",Variance (Kshs),"Absorp-
tion rate
(%)",page_number,table_index
102003000,,,"673,073,004.00","440,504.00","672,632,500.00",0.1,422,0
,102024610,"Crop Productivity
Improvement","673,073,004.00","440,504.00","672,632,500.00",0.1,422,0
103003000,,,"169,790,126.00","1,380,402.00","168,409,724.00",0.8,422,0
,103014610,"Livestock Pests &
Disease Management
& Control","66,673,834.00",-,"66,673,834.00",-,422,0
,103074610,"Livestock Information
Management","103,116,292.00","1,380,402.00","101,735,890.00",1.3,422,0
104003000,,,"58,337,187.00","385,880.00","57,951,307.00",0.7,422,0
,104014610,"Fish Products Pro-
duction","58,337,187.00","385,880.00","57,951,307.00",0.7,422,0
105003000,,,"47,881,099.00","357,249.00","47,523,850.00",0.7,422,0
,105014610,"Development
Planning and Land
Reforms","47,881,099.00","357,249.00","47,523,850.00",0.7,422,0
106003000,,,"165,126,655.00","2,996,000.00","162,130,655.00",1.8,422,0
,106014610,"Housing Develop-
ment","165,126,655.00","102,996,000.00","62,130,655.00",62.4,422,0
107003000,,,"309,856,765.00","13,232,032.00","296,624,733.00",4.3,422,0
,107014610,"Metropolitan Plan-
ning & Infrastructure
Development","309,856,765.00","13,232,032.00","296,624,733.00",4.3,422,0
201003000,,,"1,751,934,137.00","932,306,605.80","819,627,531.20",53.2,422,0
,201014610,"General Administra-
tion, Planning and
Support Services","75,139,698.00","1,905,000.00","73,234,698.00",2.5,422,0
,201024610,"Construction of
Roads and Bridges","1,594,918,318.00","924,787,782.80","670,130,535.20",58.0,422,0
,201034610,Maintenance of Roads,"81,876,121.00","5,613,823.00","76,262,298.00",6.9,422,0
202003000,,,"144,260,000.00","368,800.00","143,891,200.00",0.3,422,0
,202014610,"ICT Infrastructure
Development","144,260,000.00","368,800.00","143,891,200.00",0.3,422,0
208000000,,"Information And
Communication
Services","59,150,000.00",-,"59,150,000.00",-,422,0
,208049999,"E-Government
Services","59,150,000.00",-,"59,150,000.00",-,422,0
301003000,,,"657,034,399.00","68,000.00","656,966,399.00",-,422,0
,301014610,"Administrative
Services","6,385,168.00",-,"6,385,168.00",-,422,0
,301024610,"Cooperative Develop-
ment & Management","19,774,463.00",-,"19,774,463.00",-,422,0
,301034610,"Trade Development
and Promotion","630,874,768.00","68,000.00","630,806,768.00",-,422,0
303003000,,,"468,471,796.00","5,962,930.00","462,508,866.00",1.3,422,0
,303014610,"Tourism Promotion
and Marketing","468,471,796.00","5,962,930.00","462,508,866.00",1.3,422,0
306000000,,"Tourism Develop-
ment and Promotion","75,249,999.00",-,"75,249,999.00",-,423,0
,306039999,"Tourism Infrastruc-
ture Development","75,249,999.00",-,"75,249,999.00",-,423,0
401003000,,,"488,750,000.00","313,217,593.00","175,532,407.00",64.1,423,0
,401014610,Health Promotion,"488,750,000.00","313,217,593.00","175,532,407.00",64.1,423,0
402003000,,,"356,111,363.00","34,179,824.00","321,931,539.00",9.6,423,0
,402014610,Referral Services,"356,111,363.00","34,179,824.00","321,931,539.00",9.6,423,0
403003000,,,"2,499,541,415.00","732,691,736.70","1,716,849,678.30",29.3,423,0
,403014610,"Health Policy, Plan-
ning and Financing","2,499,541,415.00","732,691,736.70","1,716,849,678.30",29.3,423,0
502003000,,,"1,537,090,804.00","519,530,858.50","1,017,559,945.50",33.8,423,0
,502014610,"Early Child Develop-
ment and Education","1,537,090,804.00","519,530,858.50","1,017,559,945.50",33.8,423,0
701003000,,,"1,261,025,685.00","148,525,369.00","1,075,740,318.00",11.8,423,0
,701014610,"Administrative
Services","400,646,203.00","50,532,583.00","350,113,620.00",12.6,423,0
,701044610,"Coordination and Ad-
ministrative Services","413,483,334.00","50,360,004.00","363,123,330.00",12.2,423,0
,701054610,"Public Service and
Field Administrative
Services","318,218,144.00","38,226,540.00","279,991,604.00",12.0,423,0
,701084610,"Board Management
Services","128,678,004.00","9,406,242.00","82,511,764.00",7.3,423,0
702003000,,,"1,036,120,489.00","122,602,375.00","913,518,114.00",11.8,423,0
,702014610,Accounting services,"110,144,260.00","17,626,708.00","92,517,552.00",16.0,423,0
,702024610,Resource Mobilisation,"487,459,616.00","46,948,484.00","440,511,132.00",9.6,423,0
,702034610,"Budget Formulation,
Coordination and
Management","98,277,686.00","11,058,450.00","87,219,236.00",11.3,423,0
,702044610,"Supply Chain Man-
agement Services","154,915,548.00","37,715,133.00","117,200,415.00",24.3,423,0
,702054610,"Internal Audit Ser-
vices","85,323,379.00","9,253,600.00","76,069,779.00",10.8,423,0
703003000,,,"1,161,783,851.00","141,157,129.00","1,020,626,722.00",12.2,423,0
,703014610,"Economic Planning
Coordination","836,626,965.00","82,826,407.00","753,800,558.00",9.9,423,0
,703024610,"Monitoring and Eval-
uation Services","85,323,379.00","58,330,722.00","26,992,657.00",68.4,423,0
704003000,,,"170,660,000.00","19,262,141.00","151,397,859.00",11.3,423,0
,704024610,"County Co-ordina-
tion Services","150,660,000.00","19,262,141.00","131,397,859.00",12.8,423,0
901003000,,,"1,189,542,173.00","12,729,334.00","376,812,839.00",1.1,423,0
,901014610,"Gender and Youth
Development","328,649,139.00","602,200.00","28,046,939.00",0.2,423,0
,901024610,"Social Assistance to
Vulnerable Groups","219,287,741.00",-,"19,287,741.00",-,423,0
,901034610,"Development and
Promotion of Culture","137,162,324.00","4,863,096.00","32,299,228.00",3.5,423,0
