Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index,"Approved Estimates FY
2023/24"
,,Rec,Dev,Rec,Dev,Rec,Dev,511,0,
"General Ad-
ministration
and Support
Services","General Adminis-
tration and Support
Services","36,450,000","50,000,000",-,-,-,-,511,0,
,Sub-Total,"36,450,000","50,000,000",-,-,-,-,511,0,
Grand Total,,"5,215,039,607","3,654,458,259","640,592,350","127,403,558",12,3,511,0,
,,,Dev,Rec,Dev,Rec,Dev,518,1,Rec
Office of Governor and Deputy Governor,,,,,,,,518,1,
"P: County Gov-
ernment Adviso-
ry Services","SP: Public Sector
Advisory Services
(Legal & Economic
Advisors)",,-,"42,600",-,0.3,-,518,1,"15,900,000"
,"SP: Communication
and Strategy",,-,"1,294,800",-,9.9,-,518,1,"13,100,000"
,,,Dev,Rec,Dev,Rec,Dev,519,0,Rec
"P: County
Leadership and
Coordination of
MDAs","SP: Coordination
of CMAs (Office of
County Secretary)",,-,"596,280",-,8.5,-,519,0,"7,050,000"
"P: General
Administration,
Planning and
Support Services","SP: Management of
County Affairs (Of-
fice of Governor)",,-,"18,678,200",-,22.6,-,519,0,"82,675,700"
,"SP: Coordination and
Supervisory Services
(Deputy Governor’s
Office)",,-,"1,616,385",-,5.0,-,519,0,"32,350,000"
Sub Total,,,-,"22,228,265",-,14.7,-,519,0,"151,075,700"
"Roads, Infrastructure and Public Works",,,,,,,,519,0,
"P: General
Administra-
tion Planning
and Support
Services","SP: General Adminis-
tration Services",,"16,000,000",-,-,-,-,519,0,-
,"SP: General Adminis-
tration Services",,-,"20,000,000",-,38.7,-,519,0,"51,722,060"
"P: Kathwana
Municipality
Development
Programme","SP: Kathwana Urban
Area Support",,"10,000,000",-,-,-,-,519,0,"7,707,210"
"P: Public Works
and Housing
Services","SP: Public Works
Services",,-,-,-,-,-,519,0,"3,727,500"
"P: Roads Trans-
port","SP: Rural Roads
Improvement and
Maintenance Services",,"340,000,000","32,905,390","86,837,493",50.1,25.5,519,0,"65,690,000"
"P: Urban De-
velopment and
Administration","SP: Urban Adminis-
trative Services",,"181,000,000","8,092,900","9,569,300",18.6,5.3,519,0,"43,500,000"
Sub Total,,,"547,000,000","60,998,290","96,406,793",35.4,17.6,519,0,"172,346,770"
Medical Services,,,,,,,,519,0,
"P: Curative and
Rehabilitative
Services","SP: Primary Health-
care",,"72,500,000",-,"6,352,148",-,8.8,519,0,-
,SP: Medical Supplies,,-,"52,451,398",-,34.3,-,519,0,"153,139,134"
