Programme,Sub-Programme,"Approved Estimates FY 2023/24
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,568,0
"Administra-
tion, Planning
and Support
Service",,"945,872,006.00","528,942,946.00","221,761,804.20","39,165,641.50",23,7,568,0
,"Administrative
Service","936,258,606.00","528,942,946.00","221,407,074.20","39,165,641.50",24,7,568,0
,"Research and
Development","9,613,400.00",-,"354,730.00",-,4,-,568,0
"Livestock De-
velopment and
Management",,"5,041,000.00","29,820,002.00",-,-,-,-,568,0
,"Veterinary Services
and Extension","4,541,000.00","3,500,000.00",-,-,-,-,568,0
,"Livestock Exten-
sion","500,000.00","8,000,000.00",-,-,-,-,568,0
,"Value Chain Devel-
opment",-,"18,320,002.00",-,-,-,-,568,0
"Fisheries De-
velopment and
Management",,"3,541,000.00","14,000,000.00",-,-,-,-,568,0
,"Promotion of Fish
Farming","3,541,000.00","14,000,000.00",-,-,-,-,568,0
"Crop Devel-
opment and
Management",,"7,950,000.00","4,500,000.00",-,-,-,-,568,0
,Crop Extension,"1,824,000.00",-,-,-,-,-,568,0
,"Food Security
Initiatives","6,126,000.00","4,500,000.00",-,-,-,-,568,0
"Cooperatives
Development",,"26,037,300.00",-,"917,130.00",-,4,-,568,0
,"Cooperative Devel-
opment Services","26,037,300.00",-,"917,130.00",-,4,-,568,0
"Land Survey
and Mapping
Services",,"4,482,600.00","20,000,000.00","957,600.00",-,21,-,568,0
,"Land Survey and
Mapping","4,482,600.00","20,000,000.00","957,600.00",-,21,-,568,0
"1 Urban and
Physical
Planning
and Housing
Services",,"34,343,111.00","16,549,346.00","2,053,300.00",-,6,-,568,0
,"Urban and Physical
Planning","719,000.00","9,549,346.00",-,-,-,-,568,0
,"Housing Develop-
ment","5,162,400.00","7,000,000.00",-,-,-,-,568,0
,"Vihiga Municipali-
ty {KUSP}","28,461,711.00",-,"2,053,300.00",-,7,-,568,0
"Administra-
tion, Planning
and Support
Service",,"86,518,384.00","56,517,579.00","7,593,420.00","14,564,464.00",9,26,568,0
,"Administrative
Service","86,518,384.00","56,517,579.00","7,593,420.00","14,564,464.00",9,26,568,0
"Transport
Management",,"9,823,443.00","147,879,239.00",-,"59,829,751.10",-,40,568,0
,"Transport System
Management","812,600.00",-,-,"59,829,751.10",-,-,568,0
,"Mechanical Ser-
vices","9,010,843.00",-,-,-,-,-,568,0
,Roads Maintenance,0.00,"147,879,239.00",-,-,-,-,568,0
"Administra-
tion, Planning
and Support
Service",,"43,178,814.00","154,391,780.00","1,169,448.00","5,531,394.85",3,4,568,0
,"Administrative
Service","43,178,814.00","154,391,780.00","1,169,448.00","5,531,394.85",3,4,568,0
"Public Finance
Management",,"7,471,012.00",-,-,-,-,-,568,0
,ICT Printing press,"7,471,012.00",-,-,-,-,-,568,0
,,Rec,Dev,Rec,Dev,Rec,Dev,569,0
"Trade Devel-
opment and
Investment",,"32,138,440.00","44,000,000.00","1,807,432.00",-,6,-,569,0
,"Market Develop-
ment and Manage-
ment","32,138,440.00","44,000,000.00","1,807,432.00",-,6,-,569,0
"Tourism De-
velopment",,"6,146,880.00","4,000,000.00","1,014,200.00",-,16,-,569,0
,"Tourism Promotion
and Branding","6,146,880.00","4,000,000.00","1,014,200.00",-,16,-,569,0
"Administra-
tion, Planning
and Support
Service",,"1,148,674,761.00","186,961,483.00","252,801,940.95","6,582,189.00",22,4,569,0
,"Administrative
Service","33,275,141.00","186,961,483.00","10,670,908.00","6,582,189.00",32,4,569,0
,"Human Resource
Management and
Development","1,115,399,620.00",-,"242,131,032.95",-,22,-,569,0
"Promotive
and Preventive
Healthcare
Services",,"59,710,000.00",-,"1,002,280.00",-,2,-,569,0
,"Public Health
Services","550,000.00",-,-,-,-,-,569,0
,"Community
Health Strategy","53,594,000.00",-,-,-,-,-,569,0
,"Reproductive
Healthcare","5,050,000.00",-,"1,002,280.00",-,20,-,569,0
,"Disease Sur-
veillance and Emer-
gency","516,000.00",-,-,-,-,-,569,0
"Curative and
Rehabilita-
tive Health
Services",,"121,584,000.00","83,886,040.00","19,243,936.00",-,16,-,569,0
,Medical services,"14,780,000.00",-,-,-,-,-,569,0
,"Drugs and Other
Medical Supplies","106,804,000.00",-,"19,243,936.00",-,18,-,569,0
,"County referral
services",-,"83,886,040.00",-,-,-,-,569,0
"Child and Ma-
ternal Health
Care",,"5,038,060.00",-,-,-,-,-,569,0
,Nutrition Services,"5,038,060.00",-,-,-,-,-,569,0
"Administra-
tion, Planning
and Support
Service",,"75,864,028.00","53,661,504.00","6,631,570.00",-,9,-,569,0
,"Administrative
Service","75,864,028.00","53,661,504.00","6,631,570.00",-,9,-,569,0
"Vocational
Education and
Training",,"218,838,400.00","30,000,000.00","6,139,994.00",-,3,-,569,0
,"Youth Polytechnic
Development","218,838,400.00","30,000,000.00","6,139,994.00",-,3,-,569,0
"Early Child-
hood Develop-
ment",,"188,094,500.00","34,000,000.00","64,871,260.00",-,34,-,569,0
,ECD Development,"188,094,500.00","34,000,000.00","64,871,260.00",-,34,-,569,0
"Administra-
tion, Planning
and Support
Service",,"748,632,408.00","337,085,068.00","165,988,242.15","59,744,081.35",22,18,569,0
,"Administrative
Service","709,037,508.00","324,085,068.00","164,816,102.15","59,744,081.35",23,18,569,0
,"County Adminis-
tration","22,065,700.00","13,000,000.00","677,940.00",-,3,-,569,0
,"County Radio In-
formation Services","17,529,200.00",-,"494,200.00",-,3,-,569,0
,,Rec,Dev,Rec,Dev,Rec,Dev,570,0
"Public Finance
Management",,"30,112,000.00",-,"10,000,000.00",-,33,-,570,0
,"Public Finance
Management","1,000,000.00",-,-,-,-,-,570,0
,"Accounting Ser-
vices","1,000,000.00",-,-,-,-,-,570,0
,"Budget Formula-
tion Coordination","1,143,000.00",-,-,-,-,-,570,0
,"Resource Mobili-
zation","24,362,000.00",-,"10,000,000.00",-,41,-,570,0
