Programme,Sub-Programme,"Approved
Estimates","Development
Expenditure","Actual Expendi-
ture as of 31st Dec
2023","Develop-
ment Expen-
diture","Absorption
Rate (%)","Development
Expenditure_1",page_number,table_index
,,"Recurrent
Expenditure",,"Recurrent Expen-
diture",,"Recurrent
Expenditure",,41,0
County Assembly,,,,,,,,41,0
Office of the Clerk,,-,-,-,-,-,-,41,0
,General administration,-,-,-,-,-,-,41,0
,"General Administration, /
Support Services","828,962,651",,"361,706,995",-,44,-,41,0
,"Landscaping and beautifica-
tion of Speaker’s residential
buildings",,"19,000,000",-,-,-,-,41,0
,"Drilling and equipping of
2No. Water boreholes at
County Assembly and Speak-
er’s residence",,"10,000,000",-,-,-,-,41,0
,"Proposed Installation of Elec-
tric, Razor wires and CCTV at
the speaker’s residence",-,"10,100,000",-,-,-,-,41,0
,"Supply, Installation, and
Commissioning of Hansard
System and Equipment for the
Assembly Chambers.",-,"74,300,000",-,"4,273,260",-,6,41,0
,"Purchase and Installation of
interior designs of County
Assembly chambers",-,"4,526,227",-,-,-,-,41,0
,"Feasibility studies on project
preparation and design for
CCTV, Boreholes and Land-
scaping",-,"9,000,000",-,-,-,-,41,0
"Office of the Gov-
ernor and Deputy
Governor",General Administration,-,-,-,-,-,-,41,0
,P3 GOVERNORS OFFICE,"39,829,600",-,"34,334,954",-,86,-,41,0
,,"Recurrent
Expenditure",,"Recurrent Expen-
diture",,"Recurrent
Expenditure",,42,0
,Office of County Secretary,"182,100,000",-,"12,514,239",-,7,-,42,0
,P4 Acquisition of Assets,"6,500,000",-,-,-,-,-,42,0
,"Office of the Deputy Gov-
ernor","19,109,339",-,"5,691,675",-,30,-,42,0
"Public Services,
Administration,
Devolution, & ICT","General Administration,
Salaries and Operations","3,128,345,281",-,"1,635,206,265",-,52,-,42,0
,"Tiaty West sub-county (Ad-
ministration)","3,679,080",-,"1,482,500",-,40,-,42,0
,"Tiaty East sub-county (Ad-
ministration)","2,971,000",-,"65,300",-,-,-,42,0
,Baringo North sub-county,"3,886,222",-,"1,223,000",-,31,-,42,0
,Baringo Central sub-county,"4,018,027",-,"978,800",-,24,-,42,0
,Baringo South sub-county,"3,784,000",-,"1,184,450",-,31,-,42,0
,Mogotio sub-county,"3,762,377",-,"1,636,000",-,43,-,42,0
,Eldama Ravine sub-county,"3,652,412",-,"1,206,518",-,33,-,42,0
,"Infrastructure Development -
Ward offices",,"33,548,807",,-,31,-,42,0
,Acquisition of Kabarnet Hotel,,"20,000,000",-,-,-,-,42,0
,"Acquisition of land for Depu-
ty Governor’s Residence",,"5,000,000",-,-,-,-,42,0
,"Support to Baringo ICT
Centre",,"1,000,000",-,-,-,-,42,0
,Support to ELIAS ICT Centre,,"3,000,000",-,-,-,-,42,0
,Ajira Centre Connectivity,,"30,743",-,-,-,-,42,0
,"Installation of LAN at Mogo-
tio and Marigat sub county
hospital",,"3,000,000",-,-,-,-,42,0
,"Installation of CIMES Opera-
tionalization",-,"1,000,000",-,-,-,-,42,0
,"Redesign of County website
to include online recruitment,
tourism, Town and hospital
portals",-,"4,500,000",-,-,-,-,42,0
"Finance & Eco-
nomic Planning",Finance Administration,"91,425,000",-,"27,407,957",-,30,-,42,0
,Economic Planning,"50,624,618",-,"33,119,424",-,65,-,42,0
,Infrastructural Development,-,-,-,-,-,-,42,0
,"Infrastructural Development-
Boda-boda shades",-,"4,000,000",-,-,-,-,42,0
,KDS Programme,-,"179,001,764",-,"147,383,061",-,82,42,0
,"Revenue Services Develop-
ment Services",-,"5,020,355",-,-,-,-,42,0
,Treasury Accounts,-,-,-,-,-,-,42,0
,"Purchase of Utility Project
Vehicles",-,-,-,-,-,-,42,0
"Revenue Depart-
ment","KDSP Programme project
(Level II grant)",-,-,-,-,-,-,42,0
,Eldama Ravine sub-county,-,-,-,-,-,-,42,0
,,"Recurrent
Expenditure",,"Recurrent Expen-
diture",,"Recurrent
Expenditure",,43,0
"Monitoring and
Evaluation","Economic Planning, Budget,
Monitoring and Evaluation
Services",-,-,-,-,-,-,43,0
"Transport and
Infrastructure",General Administration,"35,700,173",-,"3,715,285",-,10,-,43,0
,"Urban Infrastructure Devel-
opment",-,"50,578,960",-,-,-,-,43,0
,"Rural Infrastructure Devel-
opment",-,"67,200,000",-,-,-,-,43,0
,"New and maintenance of
roads County-wide",-,"431,424,045",-,"30,237,787",-,7,43,0
,Installation of Floodlights,-,"12,080,641",-,-,-,-,43,0
,"Complete Construction of
Public Works Office Block",-,"23,000,000",-,-,-,-,43,0
,Construction of Foot Bridges,-,"47,509,057",-,-,-,-,43,0
,Culverts and Bridges,-,"17,100,000",-,-,-,-,43,0
"Industry, Com-
merce, Tourism,
Cooperatives and
Enterprise Devel-
opment",General Administration,"18,448,989",,"10,064,080",-,55,-,43,0
