"User De-
partment",Programme,"Sub-Pro-
gramme","Approved
FY 2023/24
Estimates",col_4,"Actual Ex-
penditure
as of 31st
December
2023",col_6,"Absorption
Rate (%)",col_8,page_number,table_index
,,,"Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",93,0
"County
Assembly","Legislation
and Repre-
sentation","Legislation and
Representation","306,745,412",-,"144,434,410",-,47.1,-,93,0
,"Legislative
Oversight","Legislative
Oversight","65,179,450",-,"53,919,300",-,82.7,-,93,0
,"General Ad-
ministration,
Planning
and Support
Services","General
Administra-
tion, Planning
and Support
Services","360,288,660",-,"198,305,750",-,55.0,-,93,0
"Office of
Governor","General ad-
ministration
and support
services","General
administration
and support
services","145,279,638",-,"85,334,665",-,58.7,-,93,0
"Finance and
Economic
Planning","General ad-
ministration
and support
services","Finance and
Planning
Headquarters","175,057,117",-,"82,226,734",-,47.0,-,93,0
,,"Economic
Planning &
Budgeting","4,222,103",-,"3,176,310",-,75.2,-,93,0
,,"Accounting
services","5,206,987",-,"4,327,495",-,83.1,-,93,0
,,"Supply Chain
Management","2,773,262",-,"1,271,862",-,45.9,-,93,0
,,"Revenue
Management
Services","10,982,567",-,"2,700,798",-,24.6,-,93,0
"Agriculture
Livestock
Fisheries
and Irriga-
tion","General ad-
ministration
and support
services","General
administration
and support
services","150,216,569",-,"63,495,115",-,42.3,-,93,0
,"Crop Devel-
opment","Agricultural
Extension
and Training
Services",-,"396,639,192",-,"3,083,167",-,0.8,93,0
,,"Crop Commer-
cialization",-,"63,055,461",-,-,-,-,93,0
,"Irrigation
Develop-
ment","Irrigation De-
velopment",-,"99,483,968",-,"2,939,400",-,3.0,93,0
,"Livestock
Develop-
ment","Livestock
Extension
and Training
Services",-,"74,868,264",-,-,-,-,93,0
,,"Livestock
Commercial-
ization",-,"42,177,266",-,"11,446,000",-,27.1,93,0
,,,"Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",94,0
,"Cooperatives
Develop-
ment","Cooperatives
Development",-,"10,615,194",-,-,-,-,94,0
,"Veterinary
Services","Livestock Dis-
ease Control",-,"46,358,903",-,"2,575,909",-,5.6,94,0
,,Breeding,-,"8,099,548",-,-,-,-,94,0
Sub Total,,,,,,,,,94,0
"Water, En-
vironment
and Climate
Change","General ad-
ministration
and support
services","General
administration
and support
services","54,768,511",-,"17,044,072",-,31.1,-,94,0
,,Energy,-,"900,090",-,-,-,-,94,0
,,Water Services,-,"394,365,515",-,"28,040,609",-,7.1,94,0
,,"Environmental
Management",-,"2,650,000",-,-,-,-,94,0
,,"Climate
Change Man-
agement",-,"39,017,938",-,"3,530,200",-,9.0,94,0
,,"County Public
Land Manage-
ment",-,"4,350,000",-,-,-,-,94,0
,,"Physical Plan-
ning",-,"1,000,000",-,-,-,-,94,0
"Education
and Techni-
cal Training","General ad-
ministration
and support
services","Pre-Primary
Education","275,878,471",-,"152,902,715",-,55.4,-,94,0
,,"Pre-primary
Infrastructure
Development","500,000",-,-,-,-,-,94,0
,,"Pre-prima-
ry Quality
Control and
Support",-,"215,422,213",-,"7,920,844",-,3.7,94,0
,,"Vocational
Education and
Training",-,"4,084,244",-,-,-,-,94,0
,,"VTC Infra-
structure
Development",-,"32,290,197",-,-,-,-,94,0
,,"VTC Quality
Control and
Support",-,"95,583,894",-,-,-,-,94,0
"Health and
Sanitation","General ad-
ministration
and support
services","General
administration
and support
services","1,677,654,881",-,"782,765,860",-,46.7,-,94,0
,,"Community
and Environ-
mental Health",-,"28,156,921",-,-,-,-,94,0
,,,"Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",95,0
,,"Health Ser-
vices",-,"483,767,475",-,"52,097,967",-,10.8,95,0
"Lands,
Physical
Planning,
Housing and
Urban De-
velopment","General ad-
ministration
and support
services","General
administration
and support
services","51,900,726",-,"28,798,905",-,55.5,-,95,0
,,Energy,-,"10,996,837",-,-,-,-,95,0
,,"Solid waste
management",-,"800,000",-,-,-,-,95,0
,,"County Public
Land Manage-
ment",-,"39,195,343",-,-,-,-,95,0
,,"Physical Plan-
ning",-,"14,002,459",-,-,-,-,95,0
,,"Urban Infra-
structure",-,"79,740,171",-,"2,060,900",-,2.6,95,0
