Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",120,0
"Department of Agriculture, Livestock & Pastoral",,,,,,,,120,0
Agriculture Department,,"68,044,597","205,000,000","39,000,000",-,57,0,120,0
,"CSP 1.1 Agriculture
Administration &
Support Services","56,632,159","155,000,000","39,000,000",,69,0,120,0
,"CSP 1.2 Crop pro-
duction and value
chains","11,412,438",,-,-,0,,120,0
,"CSP 1.3 Agricul-
tural Mechanization
Services",,"50,000,000",-,-,,0,120,0
Livestock Department,,"53,559,147","367,820,333","39,497,742",-,73.7,0.0,120,0
,"CSP 2.1 Livestock
Administration and
Support Service","46,159,147","169,365,353","39,497,742",,85.6,0.0,120,0
,"CSP 2.2 Livestock
Production","3,050,000","128,454,980",,,0.0,0.0,120,0
,"CSP 2.3 Livestock
Value Chains Devel-
opment","1,000,000","40,000,000",,,0.0,0.0,120,0
,"CSP 2.4 Veterinary
Service","3,350,000","30,000,000",-,-,0.0,0.0,120,0
Fisheries Department,,"200,000",,,,0.0,,120,0
,"CSP 3.1 Fisheries
services","200,000",,-,,0.0,,120,0
Co-operatives,,"600,000",,,,0.0,,120,0
,"CSP 4.1 Cooperatives
Development","600,000",,,,0.0,,120,0
Sub Total,,"122,403,744","572,820,333","78,497,742",-,64.1,0.0,120,0
"Department Gender, Social Services & Sports",,,,,,,,120,0
"CP1: CP1. Gender, Social Services,
Culture, Youth and Sports",,"46,210,946","120,000,000","15,580,215",-,33.7,0.0,120,0
,"CSP 1.1 Adminis-
tration And Support
Services","35,422,346",,"15,580,215",,44.0,,120,0
,"CSP 1.2 Social Pro-
tection,","3,025,000","8,000,000",,,0.0,0.0,120,0
,"CSP 1.3 Gender and
Women Empower-
ment","1,500,000","4,000,000",,,0.0,0.0,120,0
,"CSP 1.4 Promotion
and preservation of
culture and Heritage","1,500,000","5,000,000",,,0.0,0.0,120,0
,"CSP 1.5 Youth devel-
opment","1,500,000","3,000,000",,,0.0,0.0,120,0
,"CSP 1.6 Sports & Tal-
ent Development","3,263,600","100,000,000",,,0.0,0.0,120,0
Sub Total,,"46,210,946","120,000,000","15,580,215",-,33.7,0.0,120,0
"Department Roads, Transport & Public Works",,,,,,,,120,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",121,0
"CP1: AdminIstration & Support
Services",,"31,406,400",-,"17,500,000",-,55.7,,121,0
,"CSP 1.1: AdminIstra-
tion & Services","31,406,400",,"17,500,000",,55.7,,121,0
CP 2: Road &Transport,,"4,417,200","100,000,000",,"18,684,880",0.0,18.7,121,0
,CSP 2.1: RoadS,"2,417,200","100,000,000",,"18,684,880",0.0,18.7,121,0
,CSP 2.2: Transport,"2,000,000",,,,0.0,,121,0
CP3: Public Works & Housing,,"10,250,000",,,-,0.0,,121,0
,CSP3.1: Public Works,"10,250,000",,,,0.0,,121,0
Sub Total,,"46,073,600","100,000,000","17,500,000","18,684,880",38.0,18.7,121,0
"Department of Education, Information & ICT",,,,,,,,121,0
"CP1. General Administration & Sup-
port Services",,"454,889,663",-,"303,260,460",,66.7,,121,0
,"CSP1.1 Administra-
tion","454,889,663",,"303,260,460",,66.7,,121,0
CP2. Education Development,,"27,236,109","50,000,000","500,000",-,1.8,0.0,121,0
,"CSP 2.1 ECD and
Schools","24,234,909","45,000,000","500,000",-,2.06,0.00,121,0
,"CSP 2.2 Vocational
Training Centre","3,001,200","5,000,000",-,-,0.0,0.0,121,0
"CP3. ICT, Information & Libraries",,"23,082,733","5,000,000","3,000,000",-,13.0,0.0,121,0
,"CSP3.1: Information
and Libraries","23,082,733","5,000,000","3,000,000",-,13.0,0.0,121,0
Sub Total,,"505,208,505","55,000,000","306,760,460",-,60.7,0.0,121,0
"Department Lands, Physical Planning and Urban Development",,,,,,,,121,0
CP1: Administration and Services,,"295,155,273","50,000,000","175,636,612",-,59.5,0.0,121,0
,"CSP 1.1 Urban
Administration and
Support Services","295,155,273","50,000,000","175,636,612",,59.5,0.0,121,0
CP2: Land & Physical planning,,"20,374,997","15,000,000",,-,0.0,0.0,121,0
,"CSP 2.1 Lands Ser-
vices","8,000,000","10,000,000",,,0.0,0.0,121,0
,"CSP 2.2 Physical
planning","12,374,997","5,000,000",,,0.0,0.0,121,0
CP 3:Urban development,,"141,514,626","190,000,000","32,145,356","45,500,000",22.7,23.9,121,0
,"CSP 3.1 Urban Disas-
ter & Risk Manage-
ment","138,114,626","10,000,000","32,145,356",,23.3,0.0,121,0
,"CSP 3.0 Urban Devel-
opment and Infra-
structure","2,500,000","90,000,000",-,"45,500,000",0.0,50.6,121,0
,"CSP 3.2 Urban Sanita-
tion Services","900,000","90,000,000",-,,0.0,0.0,121,0
Sub Total,,"457,044,896","255,000,000","207,781,968","45,500,000",45.5,17.8,121,0
"Department of Finance, Revenue & Economic Planning",,,,,,,,121,0
"P1: Administration & Support Ser-
vices",,"1,023,865,359","771,176,980","312,662,478","525,100,000",30.5,68.1,121,0
,"CSP 1.1 Administra-
tion","480,925,359","771,176,980","219,662,478","525,100,000",45.7,68.1,121,0
97,,,,,,,,121,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",122,0
,"CSP 1.2 Special
Program","542,940,000",,"93,000,000",,17.1,,122,0
P2: Public Finance Management,,"165,214,120","30,000,000","45,500,000",-,27.5,0.00,122,0
,"CSP2.1 Accounting
Services","3,713,739",,,,0.0,,122,0
,"CSP2.2 Budget For-
mulation","8,280,000",,,,0.0,,122,0
,CSP2.3 Audit Services,"5,362,600",,"1,500,000",,28.0,,122,0
,CSP2.4 Revenue,"142,227,781","30,000,000","44,000,000",,31,0,122,0
,"CSP2.5 Supply Chain
Management","5,630,000",,,,0,,122,0
P3: Economic Planning,,"38,086,000",-,"10,500,000",-,27.6,,122,0
,"CSP 3.1 Planning &
M&E","31,086,000",,"10,500,000",,33.8,,122,0
,"CSP 3.2 Statistics &
Research","7,000,000",,,,0.00,,122,0
Sub Total,,"1,227,165,479","801,176,980","368,662,478","525,100,000",30.0,65.5,122,0
Department of Health and Sanitation,,,,,,,,122,0
"CP1: Governance, quality assurance
and support services",,"2,115,750,159","175,870,420","749,425,645","4,600,000",35.4,2.6,122,0
,"CSP 1.1 Adminis-
tration And Support
Services","2,115,750,159","165,870,420","749,425,645","4,600,000",35.4,2.8,122,0
,"CSP 1.2 Health Infor-
mation Systems",-,"5,000,000",,,,0.0,122,0
,"CSPS 1.3 policy Re-
search and planning",,"5,000,000",,,,0.0,122,0
Programme 2: CP2: Curative Services,,"344,020,500","236,158,889","153,320,500",-,44.6,0.0,122,0
,"CSP 2.1: Health prod-
ucts and technologies","200,000,000","177,223,404","113,320,500",,56.7,0.0,122,0
,"CSP 2.2: Rehabilitative
services",-,"11,500,000",,,,0.0,122,0
,"CSP 2.3 Referral and
Emergency Services","144,020,500","47,435,485","40,000,000",,27.8,0.0,122,0
"Programme 3: CP3: Preventive Ser-
vices",,,"22,694,095",-,-,,0.0,122,0
,"CSP 3.1:Maternal,
newborn, child health
and nutrition services",-,"11,075,645",,,,0.0,122,0
,"CSP 3.2: Preventive
and Primitive Health
Services",-,"11,618,450",,,,0.0,122,0
Sub Total,,"2,459,770,659","434,723,404","902,746,145","4,600,000",36.7,1.1,122,0
"Department of Trade, Investments and Enterprise Development",,,,,,,,122,0
"CP1: Administration and Support
Services",,"64,047,996",-,"36,500,000",-,57.0,,122,0
