Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expen-
diture as of 31st
December 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,133,0
"General
administration
and support
services","Staff Remuneration and Wel-
fare Support Services","498,293,113","174,364,188","323,928,925",35.0,133,0
,"General Logistics, Coordina-
tion and Asset Management
Services","56,529,916","48,951,262","7,578,654",86.6,133,0
,Sub total,"554,823,029","223,315,450","331,507,579",40.2,133,0
"Planning,
Budgeting and
Development
Coordination
Services","Economic planning and devel-
opment coordination services","26,781,800","1,061,428","25,720,372",4.0,133,0
,Resource allocation services,"14,433,400",-,"14,433,400",-,133,0
,"Public Participation Facilita-
tion services","9,499,000","2,000,000","7,499,000",21.1,133,0
,Sub total,"50,714,200","3,061,428","47,652,772",6.0,133,0
"Resource
mobilization
services","External Resources Mobiliza-
tion Services","8,899,200","2,916,121","5,983,079",32.8,133,0
,"Internal Revenue Generation
Services","41,314,834","13,630,500","27,684,334",33.0,133,0
,Sub total,"50,214,034","16,546,621","33,667,413",33.0,133,0
"Financial
management
services","Accounting and Financial
Reporting Services","21,784,580",-,"21,784,580",-,133,0
,"Supply Chain Management
Services","31,725,767","10,913,272","20,812,495",-,133,0
,Audit and Advisory Services,"12,000,000","3,609,439","8,390,561",30.1,133,0
,"Emergency Management
Services","17,500,000",-,"17,500,000",-,133,0
,Sub total,"83,010,347","14,522,711","68,487,636",17.5,133,0
,Grand total,"738,761,610","257,446,210","481,315,400",34.8,133,0
County Public Service Board,,,,,,134,0
"General Policy,
Planning and
Administration
Services",Policy Development Services,"3,470,000","1,169,200","2,300,800",33.7,134,0
,"Administrative Support
Services","81,513,555","25,863,400","55,650,155",31.7,134,0
,"Infrastructure Development
Services","4,000,000",,"4,000,000",-,134,0
,Sub total,"88,983,555","27,032,600","61,950,955",30.4,134,0
"Personnel
Sourcing and
Management
Services","Recruitment, Selection and
Deployment Services","2,080,000",-,"2,080,000",-,134,0
,"Human Resource Management
and Development Services","1,760,000",-,"1,760,000",-,134,0
,"Establishment and abolishment
of Offices","200,000",-,"200,000",-,134,0
,"National Performance Man-
agement Systems","320,000",-,"320,000",-,134,0
,"Capacity Development Ser-
vices","2,690,000",-,"2,690,000",-,134,0
,Sub total,"7,050,000",-,"7,050,000",-,134,0
,Grand total,"96,033,555","27,032,600","69,000,955",28.1,134,0
County Assembly Service Board,,,,,,134,0
"Legislative
Services","Members’ welfare Support
services","245,865,808","82,043,761","163,822,047",33.4,134,0
,"Legislative development and
approval services","217,502,825","20,708,500","196,794,325",9.5,134,0
,Sub total,"463,368,633","102,752,261","360,616,372",22.2,134,0
"Oversight
and Control
Services",Capacity building services,"12,000,000",-,"12,000,000",-,134,0
,Report writing services,"37,000,000","24,928,100","12,071,900",67.4,134,0
,"Public Participation and Edu-
cation Services","11,000,000","8,566,000","2,434,000",77.9,134,0
,Sub total,"60,000,000","33,494,100","26,505,900",55.8,134,0
"Ward Rep-
resentation
Services",Staff welfare support services,"67,246,265","14,761,848","52,484,417",22.0,134,0
,"Ward operations and mainte-
nance","17,284,320","5,898,528","11,385,792",34.1,134,0
,Sub total,"84,530,585","20,660,376","63,870,209",24.4,134,0
"Policy,
Planning and
Administrative
Support Ser-
vices","Administrative support
services","277,775,469","108,647,137","169,128,332",39.1,134,0
,"Financial Management Ser-
vices","167,794,000","84,446,126","83,347,874",50.3,134,0
,"Assembly Infrastructure De-
velopment Services","151,549,218",-,"151,549,218",-,134,0
,Sub total,"597,118,687","193,093,263","404,025,424",32.3,134,0
,Grand total,"1,205,017,905","350,000,000","855,017,905",29.0,134,0
Homa Bay Municipal Board,,,,,,135,0
"Planning,
Finance and
Administra-
tive Support
Services",Policy and planning services,-,-,-,-,135,0
,"Financial Management Ser-
vices","5,863,721","593,380","5,270,341",-,135,0
,"Personnel remuneration and
development services","22,945,272","12,536,600","10,408,672",54.6,135,0
,Sub total,"28,808,993","13,129,980","15,679,013",45.6,135,0
"Public Works
and Infrastruc-
ture Improve-
ment Services","Transport Infrastructure Im-
provement Services","1,194,559",-,"1,194,559",-,135,0
,"Environmental Management
Services","11,000,000","1,194,559","9,805,441",10.9,135,0
,,,,,,135,0
,Sub total,"12,194,559","1,194,559","11,000,000",9.8,135,0
,"Social outreach and Engage-
ment Services",-,-,-,-,135,0
,"Neighbourhood Planning and
Development Services","8,250,000",-,"8,250,000",-,135,0
,"Workforce development and
enterprise support services",-,-,-,-,135,0
,Sub total,"8,250,000",-,"8,250,000",-,135,0
,Grand total,"49,253,552","14,324,539","34,929,013",29.1,135,0
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,135,0
"Policy Plan-
ning, General
Administration
and Support
Services",Policy and Planning Services,"4,105,600","3,638,700","466,900",88.6,135,0
,"General Administration and
Support Services","214,027,568","70,300,000","143,727,568",32.8,135,0
,Sub total,"218,133,168","73,938,700","144,194,468",33.9,135,0
"Crop, Land
and Agribusi-
ness Develop-
ment Services",Crop Development Services,"10,500,000",-,"10,500,000",-,135,0
,"Agribusiness Development
Services",-,-,-,-,135,0
,Land Development Services,-,-,-,-,135,0
,"National Agriculture Rural
Inclusive Growth",-,-,-,-,135,0
,"Agriculture Sector Develop-
ment Support Programme",-,-,-,-,135,0
,National Value Chain Project,-,-,-,-,135,0
,Sub total,"10,500,000",-,"10,500,000",-,135,0
"Food Security
Enhancement
Services","Sub Sector Infrastructure
Development Services","13,257,234",0,"13,257,234",-,136,0
,Farm Input Access Services,"208,917,803","2,200,000","206,717,803",1.1,136,0
,"National Agriculture Rural
Inclusive Growth",-,-,-,-,136,0
,"Agriculture Sector Develop-
ment Support Programme","4,159,580",-,"4,159,580",-,136,0
,National Value Chain Project,"255,000,000",-,"255,000,000",-,136,0
,Sub total,"481,334,617","2,200,000","479,134,617",05,136,0
"Livestock
Development
Programme","Livestock Improvement and
Development","14,323,680",0,"14,323,680",-,136,0
,"Livestock Infrastructure De-
velopment Services","5,000,000",0,"5,000,000",-,136,0
,"Livestock Health and Disease
Management","10,432,625",0,"10,432,625",-,136,0
,Sub total,"29,756,305",0,"29,756,305",-,136,0
,Grand total,"739,724,090","76,138,700","663,585,390",10.3,136,0
"Department of Gender Equality and Inclusivity Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,136,0
"Policy,
Planning
and General
Administration
services","General Administration and
Support Services","83,952,751","41,000,000","42,952,751",48.8,136,0
,Policy and Planning Services,"21,772,768","5,616,508","16,156,260",25.8,136,0
,"Office Development Opera-
tions","210,460",-,"210,460",-,136,0
,Sub total,"105,935,979","46,616,508","56,109,011",44.0,136,0
"Cultural and
Creative Sector
Development
Services","Creative Economy Develop-
ment Services","3,873,589",-,"3,873,589",-,136,0
,"Cultural Development and
Promotion Services","9,684,288","3,132,325","6,551,963",32.3,136,0
,Sub total,"13,557,877","3,132,325","10,425,552",23.1,136,0
"Social Devel-
opment and
Empowerment
Services","Gender Mainstreaming and
Women Empowerment Ser-
vices","7,404,418","140,001","7,264,417",1.9,136,0
,"Youth Empowerment and
Mainstreaming Services","5,432,000",,"5,432,000",-,136,0
,SGBV Control Services,-,-,-,-,136,0
,"Disability Mainstreaming
Services","8,573,000",,"8,573,000",-,136,0
,"Youth and women support
grants",-,-,-,-,136,0
,Sub total,"21,409,418","140,001","21,269,417",0.7,136,0
"Management
and Develop-
ment of Sports
and Sports
Facilities","Sports Infrastructure Develop-
ment Services","66,580,218","22,433,178","44,147,040",33.7,136,0
,"Sports Management and Talent
Development","21,816,250",,"21,816,250",-,136,0
,Sub total,"88,396,468","22,433,178","65,963,290",25.4,136,0
,Grand total,"229,299,742","72,322,012","156,977,730",31.5,137,0
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,137,0
"General
Administra-
tion, Planning
and Support
Services","Human Resource and Capacity
Development Services","161,114,540","57,326,638","103,787,902",35.6,137,0
,"Policy Planning and Field Sup-
port Services","2,032,000","357,160","1,674,840",17.6,137,0
,Roads and Transport Services,"231,323",,"231,323",-,137,0
,Sub total,"163,377,863","57,683,798","105,694,065",35.3,137,0
"Public works
and mainte-
nance services","Quality Control and, Enforce-
ment",-,-,-,-,137,0
,"Infrastructure Development
Services",-,-,-,-,137,0
,"Purchase of Plant and Ma-
chinery maintenance","64,031,538.00",-,"64,031,538.00",-,137,0
"Road Devel-
opment and
Rehabilitation
Services",Road Development Services,"520,000,000",-,"520,000,000",-,137,0
,Road Maintenance Services,"370,000,000","90,037,878","279,962,122",24.3,137,0
,Sub total,"890,000,000","90,037,878","799,962,122",10.1,137,0
