Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expendi-
ture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Development
Expenditure",201,1
"County Assem-
bly",,,,,,,,201,1
"Legislation and
oversight","Legislation and
oversight","904,732,000",-,"498,311,163",-,16.3,-,201,1
"General
Administration
Planning and
Support Services","General
Administration
Planning and
Support Services","399,051,227","127,000,000","180,133,180",-,18.4,-,201,1
"Representation
services","Representation
services","139,000,000",-,"47,281,195",-,20.4,-,201,1
,Sub-Total,"1,442,783,227","127,000,000","725,725,538",-,17.3,-,201,1
County Executive,,,,,,,,201,1
"Leadership &
Coordination of
County Admin
& Departments","General Admin-
istration and
Support Services","349,615,988",-,"93,229,438",-,21.1,-,201,1
,"Representation
Services","37,086,506",-,"1,669,576",-,2.7,-,201,1
,Sub-Total,"386,702,494",-,"94,899,014",-,19.3,-,201,1
-,,,,,,,,201,1
"Leadership and
Administration
of Human
Resources and
Development in
County Public
Service","Human
Resource
development
and management
services","85,250,972",-,"17,174,187",-,1.7,-,201,1
,Sub-Total,"85,250,972",-,"17,174,187",-,1.7,-,201,1
,,"Recurrent Expendi-
ture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Development
Expenditure",202,0
"Finance, Economic Planning and ICT",,,,,,,,202,0
"Public Finance
Management
and Economic
Policy and
Strategy",Budget,"28,224,548",-,"9,204,691",-,31.8,-,202,0
,Revenue,"410,500,000",-,"119,894,842",-,9.8,-,202,0
,Accounting,"62,500,000",-,"10,020,176",-,10.0,-,202,0
,Internal Audit,"4,143,000",-,"1,148,630",-,27.2,-,202,0
"General Admin-
istration and
support services","General Admin-
istration and
support services","955,025,458",-,"379,351,607",-,15.5,-,202,0
ICT Services,ICT services,"15,000,000","257,966,018","598,550","1,577,600",-,-,202,0
,Sub-Total,"1,475,393,006","257,966,018","520,218,496","1,577,600",13.9,-,202,0
"Water, Environment and Natural Resources",,,,,,,,202,0
"Administration,
Planning & Sup-
port Services","Administration,
Planning & Sup-
port Services","411,675,926",-,"152,527,989",-,6.2,-,202,0
"Water Resources
Management
& Sanitation
Services","Water Resource
Management
and Sanitation",-,"191,000,000",-,"39,482,321",-,20.7,202,0
"Natural Re-
sources, Forest
Conservation
and Manage-
ment","Natural Resourc-
es, Forest Con-
servation and
Management",-,"25,000,000",-,"3,844,000",-,15.4,202,0
"Environmental
Management
and Compliance","Environment
and Solid Waste
Management",-,"94,580,000",-,"29,634,810",-,31.3,202,0
"Climate Change
Mitigation
&Adaptation","Climate Change
Mitigation &Ad-
aptation","23,617,867","145,000,000",-,-,-,0.0,202,0
,Sub-Total,"435,293,793","455,580,000","152,527,989","72,961,131",5.8,16.0,202,0
Health Services,,,,,,,,202,0
Health Services,Curative,"978,623,124","886,359,884","42,315,630","67,639,324",-,7.6,202,0
Health Services,"Preventive and
Promotive","837,900,000","200,000,000","251,119,969","42,315,630",0.1,21.2,202,0
Health Services,Pharmaceuticals,"120,000,000",-,"38,262,444",-,31.9,-,202,0
Health Services,"Administration
and Support","4,788,380,636",-,"2,201,195,895",-,36.2,-,202,0
,Sub-Total,"6,724,903,760","1,086,359,884","2,532,893,938","109,954,954",26.4,10.1,202,0
"Roads, Transport and Public Works",,,,,,,,202,0
"Maintenance of
Roads, Bridges,
Transport, Con-
struction and
Maintenance","General admin-
istration and
support
services","510,828,022",-,"151,121,627",-,14.8,0,202,0
,"Construction of
road and civil
works",-,"2,058,648,652",-,"382,281,596",-,18.6,202,0
,Sub-Total,"510,828,022","2,058,648,652","151,121,627","382,281,596",14.8,18.6,202,0
,,"Recurrent Expendi-
ture","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Development
Expenditure",203,0
Administration and Public Service,,,,,,,,203,0
"General
Administration
Planning and
Support services","General
Administration
Planning and
Support services","786,064,944","57,860,000","306,237,776","32,372,331",7.1,-,203,0
"Human
Resource
Management &
Development
Services","Human
Resource
Management &
Development","23,731,500",-,"2,240,523",-,1.8,-,203,0
Alcoholic Fund,"Alcoholic
Drinks Control
& Rehabilitation","32,000,000","50,000,000","16,000,000",-,-,-,203,0
,Sub-Total,"841,796,444","107,860,000","324,478,299","32,372,331",6.7,-,203,0
"Agriculture, Crop Production & Irrigation",,,,,,,,203,0
"Agriculture,
Livestock and
Co-Operative
Development","General Ad-
ministration,
Planning and
Support Services","419,262,457",-,"87,762,769",-,1.3,-,203,0
,"Crop Develop-
ment, Irrigation
and Marketing
Services","9,500,000","974,496,063",-,"168,848,840",-,17.3,203,0
,"Livestock and
Fisheries Man-
agement and
Development","40,014,781","335,756,915","3,624,733","15,810,957",2.5,4.7,203,0
,"Co-operative
Development
and Manage-
ment","33,000,000","30,000,000","1,911,028",-,1.7,-,203,0
,Sub-Total,"501,777,238","1,340,252,978","93,298,530","184,659,797",1.4,13.8,203,0
"Education, Culture and Social Services",,,,,,,,203,0
"Pre-primary
Education,
Promotion of
Culture and
Social Services","Pre-primary edu-
cation and youth
polytechnics
services","369,000,000","307,688,453","242,379,898","26,995,608",55.1,-,203,0
,"Culture and
Social Services","10,500,000","47,000,000",-,-,-,-,203,0
,"General admin-
istration and
support services","802,193,881",-,"325,737,568",-,5.3,-,203,0
,Sub-Total,"1,181,693,881","354,688,453","568,117,466","26,995,608",20.8,-,203,0
-,,,,,,,,203,0
,Youth Affairs,"11,000,000",-,"894,994",-,6.8,-,203,0
,Sports,"38,000,000",-,"25,575,200",-,35.3,-,203,0
,Communication,"7,930,000",-,"2,610,562",-,28.7,-,203,0
,"General Admin-
istration","88,476,534",-,"15,470,538",-,3.4,-,203,0
,"Other Capital
Grants & Trans",-,"50,000,000",-,-,-,-,203,0
