Programme,"Approved Estimates
Recurrent Development
Expenditure Expenditure",col_2,"Actual Expenditure as of 31st
December, 2023",col_4,Absorption Rate (%),col_6,page_number,table_index,Approved Estimates
,,"Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",274,1,
Finance and Economic Planning,,,,,,,274,1,
"Budget formulation,
co-ordination and man-
agement (0703023060)","134,600,942.00",-,"47,581,590.00",-,35.35,-,274,1,
"General Administration
(0704043060)","312,004,635.5","66,670,601.00","63,081,888.10",-,20.22,-,274,1,
"Revenue Collec-
tion Management
(0710013060)","81,956,464.50",-,"16,052,051.00",-,19.59,-,274,1,
"Public Finance and
Accounting Services
(0711013060)","11,145,920.50",-,"3,769,700.00",-,33.82,-,274,1,
"Procurement Services
(0711023060)","5,540,000.00",-,"1,969,700.00",-,35.55,-,274,1,
"Risk Assurance Services
(0711033060)","10,482,500.00",-,"4,075,680.00",-,38.88,-,274,1,
"Personal Services
(0704013060)","122,421,339.5",-,"113,873,057.1",-,93.02,-,274,1,
Total,"678,151,802.0","66,670,601.00","250,403,666.2",-,36.92,-,274,1,
,,"Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",275,0,"Recurrent
Expenditure"
"Agriculture, Livestock and Fisheries",,,,,,,275,0,
"102053060 General
administration",,"342,147,092.0","72,085,606.00","49,498,152.0",91.03,14.47,275,0,"79,192,415.00"
"107013060 Crop pro-
duction",,"646,814,098.0","966,203.00","98,649,452.0",30.05,15.25,275,0,"3,215,000.00"
"108023060 Dairy and
meat production",,"23,459,714.00","688,575.00",-,59.36,-,275,0,"1,160,000.00"
"109023060 fish produc-
tion",,"19,500,000.00","550,000.00",-,39.01,-,275,0,"1,410,000.00"
"108033060 Livestock
disease control",,"39,081,775.00","400,000.00",-,7.67,-,275,0,"5,215,000.00"
"107033060 Farm utili-
zation and mechanization",,"15,490,286.00","1,573,810.00","8,333,505.50",14.56,53.80,275,0,"10,806,710.00"
"107023060 Agricul-
ture extension research
training",,"2,500,000.00","200,000.00",-,28.57,-,275,0,"700,000.00"
Total,,"1,088,992,965.0","76,464,194.00","156,481,109.5",75.19,14.37,275,0,"101,699,125.0"
"Land, Environment, Mining and Natural Resources",,,,,,,275,0,
"General administration
and support services
(0102053060)",,"176,555,815.0","6,653,984.00","27,347,673.2",47.49,15.49,275,0,"14,010,900.00"
"Personnel Services
(0102063060)",,-,"16,453,214.10",-,91.58,-,275,0,"17,966,536.00"
"Physical development
plans (0104013060)",,"5,000,000.00",-,-,-,-,275,0,-
"Establishment of squatter
settlement schemes
(0105013060)",,"36,500,000.00","444,600.00","7,186,200.00",13.47,19.69,275,0,"3,300,000.00"
"County Environmental
Awareness Initiative
(0106023060)",,"165,500,000.0","273,700.00","11,000,000.0",4.24,6.65,275,0,"6,450,000.00"
"Rehabilitation of degrad-
ed natural landscapes
(0106033060)",,-,-,-,-,-,275,0,"300,000.00"
TOTAL,,"383,555,815.0","23,825,498.10","45,533,873.2",56.69,11.87,275,0,"42,027,436.00"
Medical and Public Health Services,,,,,,,275,0,
"402023060 Operational
Rural Health Facilities",,"(3,199,975.00)",-,-,-,-,275,0,-
