Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",331,0
"Land, Physical Planning & Mining",,,,,,,,331,0
"Programme
1: General
administration &
planning","SP1. General
administration and
planning","63,586,600.12",-,"14,732,197.30",-,23%,,331,0
"Programme 2:
Land Survey &
Mapping","SP2. Land Survey
& Mapping","1,050,000.00","33,796,780.85","500,000.00","1,605,950.00",48%,5%,331,0
"Programme 3:
Urban planning","SP3. 1 Urban
planning","2,500,000.00","23,511,471.05","1,000,000.00","1,736,550.00",40%,7%,331,0
"Programme 4:
Mining mapping
& development","SP4. 1 Mining
mapping & devel-
opment","2,300,000.00","2,599,857.00","500,000.00",-,22%,0%,331,0
"Programme 5:
Environment
management and
protection","SP 5. 1 Environ-
ment management
and protection","11,800,000.00","94,164,536.42","5,085,000.00","13,198,211.45",43%,14%,331,0
,Sub Total,"81,236,600.12","154,072,645.31","21,817,197.30","16,540,711.45",27%,11%,331,0
,,,,,,,,331,0
Wote Municipality,,,,,,,,331,0
"Programme 1:
Wote Munici-
pality","SP 1. 1 Wote
Municipality","44,076,807.56","15,472,931.20","18,295,704.45","3,304,422.30",42%,21%,331,0
,Sub Total,"44,076,807.56","15,472,931.20","18,295,704.45","3,304,422.30",42%,21%,331,0
Emali-Sultan Municipality,,,,,,,,331,0
"Programme 1:
Emali-Sultan
Municipality","SP 1. 1 Emali-Sul-
tan Municipality","28,270,314.42","26,660,000.00","3,477,286.10","22,039,999.40",12%,83%,331,0
,Sub Total,"28,270,314.42","26,660,000.00","3,477,286.10","22,039,999.40",12%,83%,331,0
Sand Authority,,,,,,,,331,0
"Programme
1: General
administration &
planning","SP 1.1: General
Administration &
Planning","64,642,065.20","10,000,000.00","33,417,023.71","5,364,925.00",52%,54%,331,0
,Sub Total,"64,642,065.20","10,000,000.00","33,417,023.71","5,364,925.00",52%,54%,331,0
Health Services,,,,,,,,331,0
"Programme
1: General
administration &
planning","SP1. 1 General
administration &
planning","2,789,775,688.64","512,595,788.47","1,003,476,035.10","60,000,000.00",36%,12%,331,0
"Programme 2:
Curative health
care services","SP2. 1: Curative
health care services","295,020,000.00","32,210,592.55","16,900,000.00","8,444,170.35",6%,26%,331,0
"Programme 3;
Preventive and
promotive health
care services","SP3. 1 Preventive
and promotive
healthcare services","129,899,000.00","36,559,292.00","17,412,815.50","932,319.10",13%,3%,331,0
,Sub Total,"3,214,694,688.64","581,365,673.02","1,037,788,850.60","69,376,489.45",32%,12%,331,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",332,0
"Infrastructure, Transport, Public Works, Housing & Energy",,,,,,,,332,0
"Programme
1: General
administration &
planning","SP1. 1 General
administration &
planning","136,820,287.80",-,"57,788,356.45",,42%,,332,0
"Programme 2:
Road Transport","SP2.1: Road
transport","4,423,500.00","490,223,822.60","1,759,000.00","19,285,274.40",40%,4%,332,0
"Programme 3:
Infrastructure
development","SP3.3: Infrastruc-
ture development","2,863,000.00",-,"1,114,780.00",-,39%,,332,0
"Programme
4: Energy
Infrastructure &
development","SP4.1: Energy
Infrastructure &
development","14,863,467.00","103,050,000.00","7,297,113.00","34,695,063.00",49%,34%,332,0
,Sub Total,"158,970,254.80","593,273,822.60","67,959,249.45","53,980,337.40",43%,9%,332,0
"ICT, Education and Internship",,,,,,,,332,0
"Programme
1: General
administration &
planning","SP1. 1 General
administration &
planning","509,049,775.80",-,"108,575,012.85",-,21%,0%,332,0
"Programme 2:
Early childhood
development
education","SP2.1: Early Child-
hood Development
Education","23,300,628.83","138,507,470.59","4,543,088.80",,19%,0%,332,0
"Programme 3:
Technical train-
ing & non-formal
education","SP3.3: Technical
training & non-for-
mal education","1,300,000.00","77,586,701.87","367,748.80","10,421,647.05",28%,13%,332,0
"Programme
4: Support to
Education and
Library Services","SP4.1: Support
to Education and
Library Services","133,000,000.00","1,000,000.00","18,562,411.30",,14%,0%,332,0
"Programme 5:
ICT Infrastruc-
ture & Systems
Development","SP5.1: ICT Infra-
structure & Systems
Development","15,705,000.00","38,416,681.28","1,424,488.80","3,326,700.00",9%,9%,332,0
"Programme
6: Internship,
Mentorship and
Volunteerism","SP6.1: Internship,
Mentorship and
Volunteerism","11,055,000.00",,"2,550,528.80",,23%,0%,332,0
,Sub Total,"693,410,404.63","255,510,853.74","136,023,279.35","13,748,347.05",20%,5%,332,0
"Trade, Industry & Cooperatives",,,,,,,,332,0
"Programme
1: General
administration &
planning","SP1. 1 General
administration &
planning","97,439,101.71","3,375,724.85","26,196,198.45",,27%,0%,332,0
"Programme 2:
Trade devel-
opment &
promotion","SP2.1; Trade
development &
promotion","4,300,000.00","31,384,963.85","1,985,680.00","1,774,097.20",46%,6%,332,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",333,0
"P3; Industrial
development and
promotion","SP3. 1 Industrial
development and
promotion","650,000.00",-,"300,000.00",-,46%,,333,0
"Programme
4: Tourism
development &
promotion","SP4. 1 Tourism
development &
promotion","730,000.00","10,000,000.00","300,000.00","302,400.00",41%,3%,333,0
"Programme 5:
Culture, Art
and the Music
Promotion","SP5. 1 Culture,
Art and the Music
promotion","17,400,000.00",-,"4,764,720.00","1,000,000.00",27%,,333,0
,Sub Total,"120,519,101.71","44,760,688.70","33,546,598.45","3,076,497.20",28%,7%,333,0
"Department of Gender, Children, Youth, Sports, and Social Services",,,,,,,,333,0
"Programme
1: General
administration &
planning","P1: General admin-
istration & planning","46,912,188.97",,"10,026,177.68",,21%,,333,0
"Programme
2: Gender and
Social Develop-
ment","P2: Gender and
Social Development","11,451,971.56","60,145,549.05","4,356,873.84",,38%,0%,333,0
"Programme 3;
Sports develop-
ment","P3; Sports devel-
opment","4,200,000.00","71,870,771.75","1,028,888.84","1,688,550.00",24%,2%,333,0
"Programme 4;
Youth empower-
ment","P4; Youth empow-
erment","2,200,000.00","27,620,650.00","883,888.84","236,500.00",40%,1%,333,0
,Sub Total,"64,764,160.53","159,636,970.80","16,295,829.20","1,925,050.00",25%,1%,333,0
County Attorney,,,,,,,,333,0
"SP1. 1 General
Administration
& Support
Services","P1: General admin-
istration & planning","49,023,507.00",-,"7,916,354.35",,16%,,333,0
,Sub Total,"49,023,507.00",-,"7,916,354.35",,16%,,333,0
