Programme,Sub-Programme,"Approved Esti-
mates FY 2023/24
(Kshs.)","Actual Expenditure
as of 31st December
2023
(Kshs.)","Absorption Rate
(%)",page_number,table_index
,,A,B,C=B/A*100,343,0
County Assembly,"Legislation, Oversight and Representation","1,133,000,000","312,594,962",27.6,343,0
,Sub-Total,"1,133,000,000","312,594,962",27.6,343,0
"Agriculture, Livestock
and Irrigation",General Administration & Support Services,"121,096,434","61,824,069",51.1,343,0
,"Livestock Resources Management and
Development","206,367,443","63,020,000",30.5,343,0
,Crop Management and Development,"473,817,322","23,680,000",5.0,343,0
,Irrigation Development and Management,"55,684,348","3,900,000",7.0,343,0
,Sub-Total,"856,965,547","152,424,069",17.8,343,0
"Lands, Housing and
Physical Development",Administration Services,"59,567,253","29,972,983",50.3,343,0
,Land Use Planning and Survey,"111,148,981","2,550,000",2.3,343,0
,"Physical Planning housing and urban devel-
opment","508,051,158","223,500,000",44.0,343,0
,Solid Waste Management,"84,900,000","13,500,000",15.9,343,0
,Sub-Total,"763,667,392","269,522,983",35.3,343,0
"Roads, Public Works
and Transport",Administrative Services,"150,295,375","72,060,841",47.9,343,0
,"Road and Air Transport Infrastructure
Development","661,904,594","32,660,000",4.9,343,0
,Public Works Management,"34,856,126","4,600,000",13.2,343,0
,Sub-Total,"847,056,095","109,320,841",12.9,343,0
"Trade and Cooperative
Development",General Administration and Planning,"40,489,411","20,053,151",49.5,343,0
,Cooperative Development and Promotion,"20,650,281","2,900,000",14.0,343,0
,Trade Development and Promotion,"265,064,774","5,000,000",1.9,343,0
,Sub-Total,"326,204,466","27,953,151",8.6,343,0
Health Services,Administrative Services,"1,410,585,931","644,796,360",45.7,343,0
,"Preventive, Promotive and Reproductive
Health Services","800,507,668","53,652,000",6.7,343,0
,Curative Rehabilitative and Referral Services,"216,694,813","197,056,750",90.9,343,0
,Sub-Total,"2,427,788,412","895,505,110",36.9,343,0
"Education and Human
Capital",General Administration & Support Services,"952,691,488","386,789,372",40.6,343,0
,Early Childhood Education,"91,045,470","12,270,000",13.5,343,0
,Vocational and Technical Training Services,"25,250,000","3,500,000",13.9,343,0
,Education Support Services,"205,061,582","2,900,000",1.4,343,0
,Sub-Total,"1,274,048,540","405,459,372",31.8,343,0
"County Executive
Service",Management of County Affairs,"447,179,685","211,758,440",47.4,343,0
,Sub-Total,"447,179,685","211,758,440",47.4,343,0
"Office of the County
Secretary",Leadership and executive coordination,"82,502,802","13,700,000",16.6,343,0
,Sub-Total,"82,502,802","13,700,000",16.6,343,0
"Office of the County
Attorney",Legal and advisory services,"177,190,939","30,030,000",16.9,343,0
,Sub-Total,"177,190,939","30,030,000",16.9,343,0
,,A,B,C=B/A*100,344,0
"County Public Service
Board","Ethics, Governance and Public Service
Values","83,949,490","32,940,301",39.2,344,0
,Sub-Total,"83,949,490","32,940,301",39.2,344,0
"Finance and Economic
Planning",Administrative and Planning Services,"290,703,038","131,571,106",45.3,344,0
,Accounting Services,"39,553,275","7,889,951",19.9,344,0
,Financial Services and Report,"3,200,000","2,300,000",71.9,344,0
,Internal Audit Services,"2,800,000","1,600,000",57.1,344,0
,Supply Chain Management Affairs,"12,000,000","7,600,000",63.3,344,0
,County Asset Management system,"2,800,000","1,800,000",64.3,344,0
,County Economic Planning and Statistics,"20,804,811","5,000,000",24.0,344,0
,Revenue Collection and Enhancement,"20,400,000","8,450,000",41.4,344,0
,ICT and E-Government Services,"19,551,179","2,400,000",12.3,344,0
,Sub-Total,"411,812,303","168,611,057",40.9,344,0
"County Public Service
Management",Administration and Support Services,"1,442,477,418","885,306,174",61.4,344,0
,"Devolved Governance and Enforcement
Services","111,072,521","15,900,000",14.3,344,0
,Civic Education and Public Participation,"7,500,000","3,120,000",41.6,344,0
,De-Radicalization and Countering Violence,"17,530,000","4,300,000",24.5,344,0
,"Community Cohesion and Conflict Man-
agement","15,800,000","4,800,000",30.4,344,0
,Sub-Total,"1,594,379,939","913,426,174",57.3,344,0
Social Development,Administration and Support Services,"33,519,696","19,469,978",58.1,344,0
,"Women’s Empowerment and Affirmative
Action","9,000,000","4,100,000",45.6,344,0
,Youth Empowerment and Sports,"28,575,276","4,000,000",14.0,344,0
,Culture and Gender Development Promotion,"27,850,000","4,750,000",17.1,344,0
,Disaster Preparedness and Management,"605,398,642","97,912,000",16.2,344,0
,Sub-Total,"704,343,614","130,231,978",18.5,344,0
"Water, Energy, Envi-
ronment and Climate
Change",Administrative Services,"162,772,457","80,033,771",49.2,344,0
,Water and Sewerage Management,"1,636,036,012","355,171,000",21.7,344,0
,Energy and Natural Resources,"23,700,000","3,400,000",14.3,344,0
,Environment and Climate Change,"61,619,187","2,800,000",4.5,344,0
,Sub-Total,"1,884,127,656","441,404,771",23.4,344,0
Grand Total,,"13,014,216,880","4,114,883,210",31.6,344,0
