Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expenditure as of 31st December 2023
(Kshs.)",col_4,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure",Rec,Dev,353,0
County Assembly,,,,,,,,353,0
"1: General Admin-
istration Support
Services","SP 1.1 salaries and
allowances for employ-
ees and M.C. As","252,669,199.",-,"155,506,885",-,61.5,-,353,0
,"SP 1.2 Employer Con-
tribution to Pension","9,550,000.00",-,"4,997,188.",-,52.3,-,353,0
,"SP 1.2 Hospitality,
Catering services,
donations and gifts,
boards, committees,
conferences and
seminars","45,074,469.",-,"11,441,525",-,25.4,-,353,0
,"SP 1.3 Domestic
payables from previous
financial years","19,717,081.","275,801,070.","8,848,000.00","10,608,674.",44.9,3.8,353,0
"Programme 2:
Legislature and
Oversight","SP 2.1 Domestic and
foreign accommoda-
tion, air travel and daily
subsistence allowance","146,357,475.",-,"90,123,840.",-,61.6,0.0,353,0
,"SP 2.2 ICT, Hansard
and Communication
Equipment","7,500,000.00",-,"2,410,021.00",-,32.1,0.0,353,0
,"SP 2.3 Mortgage & Car
Loans and Tax","57,407,675.",-,-,-,0.0,0.0,353,0
,"SP 2.4 Staff Training
and Development and
Tuitions","32,907,263.",-,"19,853,021.",-,60.3,0.0,353,0
"Programme 3:
County Assembly
Infrastructure
improvement","SP 3.11 Equipping of
library",,-,,-,-,0.0,353,0
,"SP 3.12 Maintenance of
motor vehicle","7,750,000.00",-,"7,516,786.00",-,97.0,0.0,353,0
,"SP 3.13 Purchase of
furniture and general
equipment","1,500,000.00",-,"1,500,000.00",-,100.0,0.0,353,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure",Rec,Dev,354,0
,"SP 3.14 Construction
of County Assembly
Headquarters and mod-
ern chambers, purchase
of land for speaker’s
residence, construction
and equipping of ward
offices",,"249,682,919",-,-,-,0.0,354,0
,"SP 3.15 Improvement
of ICT services",,-,,-,-,-,354,0
,"SP 3.16 Maintenance of
plants, machinery and
other assets","7,016,760.00",-,"2,472,900.00",-,35.2,-,354,0
,"SP 3.17 Electricity,
water and sewerage
and other utility
charges","11,928,878.",-,"10,028,878.",-,84.1,-,354,0
,"SP 3.18 Printing,
advertisement and
information supplies
and services","33,321,371.",-,"28,248,413",-,84.8,-,354,0
,"SP 3.19 Rental of ap-
proved assets and hire
of motor vehicles","2,200,000.00",-,-,-,0.0,-,354,0
,"SP 3.20 Insurance cost
for group personal,
building, motor vehicle
and medical cover","31,480,382.",-,"3,417,259.00",-,10.9,-,354,0
,"SP 3.21 Purchase of
computers, printers and
general office supplies
and accessories and
sanitary cleaning
materials","37,386,793.",-,"6,389,013.80",-,17.1,-,354,0
,"SP 3.22 Fuel, oil, lubri-
cants and tyres","8,000,000.00",-,"4,500,000.00",-,56.3,-,354,0
