Programme,Sub-Programme,"Approved Estimates FY
2023/24",col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec Exp,Dev. Exp,Rec Exp,Dev. Exp,Rec Exp,"Dev.
Exp",397,0
THE EXECUTIVE,,,,,,,,397,0
Programme 1,"Governor’s and
Deputy Governor’s
Affairs","78,000,000","11,000,000","17,951,440",0,23.0,0.0,397,0
,"Protocol, Hospital-
ity and Communi-
cation","26,000,000","14,000,000","2,803,300",0,10.8,0.0,397,0
,"County Secretary &
Cabinet Affairs","26,000,000",0,"1,884,850",0,7.2,,397,0
,"Governor’s Adviso-
ry Council, Special
Programs, Inter-
governmental and
External Relations","24,500,000",0,0,0,0.0,,397,0
,"Governor’s
Delivery Unit,
Policy, Planning &
Research","19,500,000",0,"1,950,000",0,10.0,,397,0
,Sub Total,"174,000,000","25,000,000","24,589,590",0,14.1,0.0,397,0
COUNTY ASSEMBLY,,,,,,,,397,0
Programme 2,"General Adminis-
tration and Planning","674,720,738",0,"387,471,767",0,57.4,,397,0
,"Legislation, Over-
sight and Represen-
tation","239,379,262","50,000,000",0,0,0.0,0.0,397,0
,Sub-Total,"914,100,000","50,000,000","387,471,767",0,42.4,0.0,397,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,397,0
Programme 3,Administration Unit,"131,400,000","20,000,000","27,536,323",0,21.0,0.0,397,0
,Sub-Total,"131,400,000","20,000,000","27,536,323",0,21.0,0.0,397,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,397,0
Programme 4,Administration Unit,"1,068,186,927","703,000,000","453,191,940","80,676,911",42.4,11.5,397,0
,"Financial Manage-
ment Services-Ac-
counting Unit","23,601,372","11,000,000","13,125,560",0,55.6,0.0,397,0
,"Planning and Moni-
toring Unit","29,711,701","2,000,000","20,807,700",0,70.0,0.0,397,0
,Sub-Total,"1,121,500,000","716,000,000","487,125,200","80,676,911",43.4,11.3,397,0
ENVIRONMENT & SOLID WASTE MANAGEMENT,,,,,,,,397,0
Programme 5,"Administration,
Planning and Sup-
port Services","462,632,991","43,333,334","136,705,279",0,29.5,0.0,397,0
,"Environment
Compliance and
Enforcement","79,855,670","46,333,333","23,232,298",0,29.1,0.0,397,0
