Program,Sub Program,Description,"Final Budget
(Kshs.)","Actual
(Kshs.)","Budget utilization
difference","Absorption
(%)",page_number,table_index
102003000,,,"673,073,004","57,806,904","615,266,100",8.6,466,1
,102024610,"Crop Productivity Improve-
ment","673,073,004","57,806,904","615,266,100",8.6,466,1
103003000,,,"169,790,126","1,380,402","168,409,724",0.8,466,1
,103014610,"Livestock Pests & Disease
Management & Control","66,673,834","45,789,600","20,884,234",68.7,466,1
,103074610,"Livestock Information
Management","103,116,292","19,380,402","83,735,890",18.8,466,1
104003000,,,"58,337,187","385,880","57,951,307",0.7,466,1
,104014610,Fish Products Production,"58,337,187","385,880","57,951,307",0.7,466,1
105003000,,,"47,881,099","357,249","47,523,850",0.7,466,1
,105014610,"Development Planning and
Land Reforms","47,881,099","357,249","47,523,850",0.7,466,1
106003000,,,"165,126,655","2,996,000","162,130,655",1.8,466,1
,106014610,Housing Development,"165,126,655","102,996,000","62,130,655",62.4,466,1
107003000,,,"309,856,765","13,232,032","296,624,733",4.3,466,1
,107014610,"Metropolitan Planning &
Infrastructure Development","309,856,765","13,232,032","296,624,733",4.3,466,1
201003000,,,"1,751,934,137","1,081,415,617","670,518,520",61.7,466,1
,201014610,"General Administration,
Planning and Support
Services","75,139,698","5,733,500","69,406,198",7.6,466,1
,201024610,"Construction of Roads and
Bridges","1,594,918,318","1,060,150,344","534,767,974",66.5,466,1
,201034610,Maintenance of Roads,"81,876,121","15,531,773","66,344,348",19.0,466,1
202003000,,,"144,260,000","1,494,351","142,765,649",1.0,466,1
,202014610,"ICT Infrastructure Devel-
opment","144,260,000","1,494,351","142,765,649",1.0,466,1
208000000,,"Information and Commu-
nication Services","59,150,000","13,000,000","46,150,000",22.0,467,0
,208049999,E-Government Services,"59,150,000","13,000,000","46,150,000",22.0,467,0
301003000,,,"657,034,399","68,000","656,966,399",0.0,467,0
,301014610,Administrative Services,"6,385,168",-,"6,385,168",0.0,467,0
,301024610,"Cooperative Development
& Management","19,774,463",-,"19,774,463",0.0,467,0
,301034610,"Trade Development and
Promotion","630,874,768","68,000","630,806,768",0.0,467,0
303003000,,,"468,471,796","5,962,930","462,508,866",1.3,467,0
,303014610,"Tourism Promotion and
Marketing","468,471,796","5,962,930","462,508,866",1.3,467,0
306000000,,"Tourism Development and
Promotion","75,249,999",-,"75,249,999",0.0,467,0
,306039999,"Tourism Infrastructure
Development","75,249,999",-,"75,249,999",0.0,467,0
401003000,,,"488,750,000","313,217,593","175,532,407",64.1,467,0
,401014610,Health Promotion,"488,750,000","313,217,593","175,532,407",64.1,467,0
402003000,,,"356,111,363","54,179,824","301,931,539",15.2,467,0
,402014610,Referral Services,"356,111,363","54,179,824","301,931,539",15.2,467,0
403003000,,,"2,499,541,415","1,008,961,121","1,716,849,678",40.4,467,0
,403014610,"Health Policy, Planning and
Financing","2,499,541,415","1,008,961,121","1,716,849,678",40.4,467,0
502003000,,,"1,537,090,804","663,549,380","873,541,424",43.2,467,0
,502014610,"Early Child Development
and Education","1,537,090,804","663,549,380","873,541,424",43.2,467,0
701003000,,,"1,261,025,685","540,114,949","720,910,736",42.8,467,0
,701014610,Administrative Services,"400,646,203","169,105,963","231,540,240",42.2,467,0
,701044610,"Coordination and Adminis-
trative Services","413,483,334","199,947,204","213,536,130",48.4,467,0
,701054610,"Public Service and Field
Administrative Services","318,218,144","127,655,540","190,562,604",40.1,467,0
,701084610,"Board Management
Services","128,678,004","43,406,242","85,271,762",33.7,467,0
702003000,,,"1,036,120,489","564,954,432","471,166,057",54.5,467,0
,702014610,Accounting services,"110,144,260","47,626,708","62,517,552",43.2,467,0
,702024610,Resource Mobilization,"487,459,616","434,754,982","53,210,892",89.2,467,0
,702034610,"Budget Formulation, Coor-
dination and Management","98,277,686","10,690,450","87,587,236",10.9,467,0
,702044610,"Supply Chain Management
Services","154,915,548","62,438,550","92,476,998",40.3,467,0
,702054610,Internal Audit Services,"85,323,379","9,950,000","75,373,379",11.7,467,0
703003000,,,"1,161,783,851","486,738,031","675,045,820",41.9,467,0
,703014610,"Economic Planning Coor-
dination","836,626,965","409,299,909","427,327,056",48.9,467,0
,703024610,"Monitoring and Evaluation
Services","85,323,379","77,438,122","7,885,257",90.8,467,0
704003000,,,"170,660,000","62,262,141","108,397,859",36.5,467,0
,704024610,"County Co-ordination
Services","170,660,000","62,262,141","108,397,859",36.5,467,0
901003000,,,"1,189,542,173","198,495,100","991,047,073",16.7,467,0
,901014610,"Gender and Youth Devel-
opment","328,649,139","40,602,200","288,046,939",12.4,467,0
