"Pro-
gramme",Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
31st December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",488,0
Office of the Governor,,,,,,,,488,0
"General
adminis-
tration,
planning
and
support
services","Service Delivery
Coordination","77,490,000",-,"44,402,889",-,57.3,-,488,0
,"Governor’s press
services","18,500,000",-,"8,710,747",-,47.1,-,488,0
,"Liaison and In-
tergovernmental
Relations","30,010,000",-,"11,227,038",-,37.4,-,488,0
Sub-Total,,"126,000,000",,"64,340,674",-,51.1,-,488,0
Office of the Country Secretary & Head of Public Service,,,,,,,,488,0
"County
Secretary","County Admin-
istration","45,420,000",,"10,998,037",-,24.2,-,488,0
,Cabinet Affairs,"2,580,000",,"827,660",-,32.1,-,488,0
,"Communica-
tion and Public
Relations","5,800,000",,"762,000",-,13.1,-,488,0
,"County Records
Management","2,600,000",,"473,933",-,18.2,-,488,0
Sub-Total,,"56,400,000",,"13,061,630",-,23.2,-,488,0
Office of the County Attorney,,,,,,,,488,0
"County
Attorney
Services","Legal and public
affairs","34,650,000",,"4,246,129",-,12.3,-,488,0
Sub-Total,,"34,650,000",,"4,246,129",-,12.3,-,488,0
Public Service and Administration,,,,,,,,488,0
"Human
Resource
Manage-
ment","Payroll (Includ-
ing Compensa-
tion to employ-
ees)","2,253,070,000",,"988,324,178",-,43.9,-,488,0
,"Human Resource
Management (In-
cluding employee
gratuity, pension
and medical
insurance)","254,075,000",,"88,141,785",-,34.7,-,488,0
"Public
adminis-
tration","Public Adminis-
tration","4,505,000",,"3,842,981",-,85.3,-,488,0
,"sub-county and
ward adminis-
tration","22,745,000",,"12,243,870",-,53.8,-,488,0
,"Enforcement and
Compliance","12,500,000",,"7,671,332",-,61.4,-,488,0
Sub Total,,"2,546,895,000",-,"1,100,224,146",-,43.2,-,488,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",489,0
County Public Service Board,,,,,,,,489,0
"County
Public
Service
Board","County Public
Service Board","25,000,000",,"10,441,970",-,42,-,489,0
Sub Total,,"25,000,000",-,"10,441,970",-,42,-,489,0
"Finance, Economic Planning & ICT",,,,,,,,489,0
"Public
Finance
Manage-
ment",County Funds,"292,500,000","15,000,000","292,500,000",-,100.0,-,489,0
,Treasury services,"64,574,505",,"33,512,307",-,51.9,-,489,0
,"Financial report-
ing","6,893,495",,"3,535,658",-,51.3,-,489,0
,"Revenue
Collection and
Administration
(Including auto-
mation)","34,160,000",,"18,912,771",-,55.4,-,489,0
,"Revenue En-
hancement and
Monitoring","25,240,000",,"7,630,384",-,30.2,-,489,0
,"Supply Chain
Management","8,734,500",,"3,556,035",-,40.7,-,489,0
,"Internal Audit
and Risk Man-
agement","9,150,000",,"4,344,828",-,47.5,-,489,0
,"Internal Audit
Committee","2,350,000",,"1,080,000",-,46.0,-,489,0
"Economic
planning
and devel-
opment","Economic Devel-
opment Planning","31,988,670",,"4,309,628",-,13.5,,489,0
,"County Statistics
and Data Bank","5,400,000",,"3,312,800",-,61.3,-,489,0
,"Monitoring and
Evaluation","3,200,000",,"1,848,700",-,57.8,-,489,0
,"Economic
Modelling and
Research","3,000,000",,"1,806,500",-,60.2,-,489,0
,"County Budget-
ing","15,020,000",,"7,697,249",-,51.2,-,489,0
,"Resource Mobi-
lization and Debt
Management","3,000,000",,"1,560,500",-,52.0,-,489,0
"ICT and
E-gov-
ernment
Services","ICT and E-gov-
ernment Services","5,300,000","6,000,000","1,516,779",-,28.6,-,489,0
Sub Total,,"510,511,170","21,000,000","387,124,139",-,75.8,-,489,0
Health Services,,,,,,,,489,0
"Preven-
tive and
Promotive
Services","Preventive and
Promotive Ser-
vices","33,030,000",,"11,018,481",-,33.4,-,489,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",490,0
"Curative
Services",Curative Services,"280,900,000",,"78,905,968",-,28.1,-,490,0
,"Universal health
care and grants","197,543,404",,"14,043,518",-,7.1,-,490,0
"General
adminis-
tration,
planning
and
support
services","Solid Waste and
Cemeteries","8,750,000",,"2,548,924",-,29.1,-,490,0
,"Infrastructure and
Equipment",,"149,214,388",,"55,813,404",,37.40,490,0
Sub Total,,"520,223,404","149,214,388","106,516,891","55,813,404",20.5,37.40,490,0
"Education, Children, Gender Affairs, Culture & Social Services",,,,,,,,490,0
"Primary
education",ECDE,"24,630,000","35,899,376","6,076,504",-,24.7,-,490,0
"Youth
training
and devel-
opment","revitalization of
youth polytech-
nics","50,150,000","38,026,578","6,478,824","1,319,322",12.9,3.47,490,0
Culture,"development and
promotion of
culture","6,000,000","7,000,000","3,420,000",-,57.0,-,490,0
"Children,
Gender
and Social
Services",Social Services,"79,940,000",,"550,000",-,0.7,-,490,0
,"children and
Gender Affairs","12,750,000",,"4,537,260",-,35.6,-,490,0
"General
adminis-
tration,
planning
and
support
services","Alcohol Drinks
Control and Civic
Education","7,000,000",,"3,348,395",-,47.8,-,490,0
Sub Total,,"180,470,000","80,925,954","24,410,983","1,319,322",13.5,1.63,490,0
"Tourism, Industrialization, Cooperative Development & Trade",,,,,,,,490,0
"Trade
develop-
ment and
promotion","Financial and
Trade Services","11,080,000","21,400,000","4,271,429",0,38.6,-,490,0
,"Nyandarua
County Trade
Development
and Investment
Authority (NCT-
DIA)","10,000,000",,"1,454,180",0,14.5,-,490,0
"Industrial
develop-
ment and
invest-
ment","Industrial and
Enterprise Devel-
opment","6,400,000","511,000,000","2,861,080",0,44.7,-,490,0
,"Weights & Mea-
sures","5,700,000",,"2,416,780",0,42.4,-,490,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",491,0
"Coop-
erative
develop-
ment and
manage-
ment","Cooperative
Audit Extension
Services","2,400,000",,"1,210,850",0,50.5,-,491,0
,"Co-operative
Development","11,000,000",,"2,833,680",0,25.8,-,491,0
"Tourism
develop-
ment and
promotion","Tourism infra-
structure devel-
opment","13,500,000","30,016,831","6,344,312",0,47.0,-,491,0
Sub Total,,"60,080,000","562,416,831","21,392,311",-,35.6,-,491,0
"Youth, Sports & Arts",,,,,,,,491,0
Sports,"Sports Develop-
ment","50,800,000","3,000,000","9,813,300",-,19.3,-,491,0
"Youth
Affairs",Youth Affairs,"22,003,027",,"1,750,500",-,8.0,-,491,0
"Arts &
Theater",Arts & Theater,"7,000,000",,"2,639,047",-,37.7,-,491,0
Sub Total,,"79,803,027","3,000,000","14,202,847",-,17.8,-,491,0
"Water, Environment, Climate Change & Natural Resources",,,,,,,,491,0
"Water
Resource
Develop-
ment","Water resource
conservation
and protection,
infrastructure and
flood control","14,400,000","182,800,000","8,050,911",-,55.9,-,491,0
"Environ-
ment","Environmental
support and man-
agement","4,800,000","1,900,000","2,394,000",-,49.9,-,491,0
,"Climate change
resilience","15,000,000","168,000,000","1,700,000","32,000,000",11.3,19.05,491,0
,Natural resource,"5,000,000","47,749,054","2,924,375","8,105,251",58.5,16.97,491,0
"Irriga-
tion and
Drainage
infrastruc-
ture","Promotion of irri-
gation and drain-
age development
and management","600,000","2,000,000","205,000",-,34.2,-,491,0
Sub-Total,,"39,800,000","402,449,054","15,274,286","40,105,251",38.4,9.97,491,0
"Transport, Energy & Public Works",,,,,,,,491,0
"Road
transport","Transport
(Including fuel
level, General
Administration &
Support Services)","36,900,000","484,239,900","9,177,673","40,417,351",24.9,8.35,491,0
,Public Works,"10,560,000","235,907,102","2,991,012","40,041,039",28.3,16.97,491,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",492,0
"Alter-
native
energy
technolo-
gies","Alternative ener-
gy technologies","24,940,000","31,400,000","15,051,465","833,465",60.4,2.65,492,0
"General
adminis-
tration,
planning
and
support
services","Emergency
Response &
Preparedness","19,900,000",,"1,354,760",-,6.8,-,492,0
Housing,Housing,"8,000,000",,"2,299,700",-,28.7,-,492,0
Sub-Total,,"100,300,000","751,547,002","30,874,610","81,291,855",30.8,10.82,492,0
"Lands, Physical Planning & Urban Development",,,,,,,,492,0
"Land
policy and
planning","Physical Plan-
ning","15,000,000",,"2,749,520",-,18.3,-,492,0
,"Survey and
Mapping","15,500,000",,"3,533,255",-,22.8,-,492,0
,"Land Admin-
istration and
Management","29,000,000","29,200,000","5,754,018",-,19.8,-,492,0
"Urban
Develop-
ment","Urban develop-
ment","1,500,000","57,500,000","600,000",-,40.0,-,492,0
Sub-Total,,"61,000,000","86,700,000","12,636,793",-,20.7,-,492,0
