Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","De-
velop-
ment
Expen-
diture",525,1
County Assembly,,,,,,,,525,1
Legislation,Legislation,"389,936,744.00",-,"83,169,401.60",-,21.3,-,525,1
Oversight,Oversight,"40,000,000.00",-,"18,822,050.00",,47.1,-,525,1
"Staff Management
and Development","Staff Management
and Development","378,235,007.00","543,655,931.00","93,839,374.40","96,864,158.60",24.8,17.8,525,1
,Sub Total,"808,171,751.00","543,655,931.00","195,830,826.00","96,864,158.60",24.2,17.8,525,1
Governance and Administration,,,,,,,,525,1
"General Administra-
tion, Planning and
Support Services","General Adminis-
tration, Planning
and Support
Services","204,626,124.00",-,"90,006,648.75",,44.0,-,525,1
"The Office of the
Governor","The Office of the
Governor","135,561,668.00","28,148,023.00","37,161,265.95","5,110,974.15",27.4,18.2,525,1
"County Executive
Administration","County Executive
Administration","3,814,267.00",-,"1,861,778.00",,48.8,-,525,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","De-
velop-
ment
Expen-
diture",526,0
"County Public Ser-
vice Board","County Public
Service Board","61,651,031.00",-,"6,154,375.00",,10.0,-,526,0
"Firefighting and Di-
saster Management","Firefighting and
Disaster Manage-
ment","5,696,955.00",-,"2,186,538.70",,38.4,-,526,0
"Sub County Admin-
istration","Sub County Ad-
ministration","121,846,232.00",-,"51,647,450.00",,42.4,-,526,0
"Human Resource
Management","Human Resource
Management","7,126,500.00",-,"3,217,694.50",,45.2,-,526,0
,Sub-Total,"540,322,777.00","28,148,023.00","192,235,750.90","5,110,974.15",35.6,18.2,526,0
Finance and Economic Planning,,,,,,,,526,0
Financial Services,Financial Services,"26,678,460.00",-,"6,390,932.20",,24.0,-,526,0
"Administration
Planning, Revenue
and Accounting","Administration
Planning, Revenue
and Accounting","772,358,419.00","40,768,230.00","346,569,780.25",,44.9,-,526,0
Procurement,Procurement,"9,704,630.00",-,"3,746,884.00",,38.6,-,526,0
Budget Services,Budget Services,"85,811,446.00",-,"27,499,880.95",,32.0,-,526,0
Internal Audit,Internal Audit,"11,539,329.00",-,"4,615,824.40",,40.0,-,526,0
"Economic Planning
Services","Economic Planning
Services","74,574,832.00",-,"15,263,952.00",,20.5,-,526,0
,Sub-Total,"980,667,116.00","40,768,230.00","404,087,253.80",-,41.2,0.0,526,0
"Agriculture, Food, Livestock and Fisheries",,,,,,,,526,0
Administration,Administration,"99,981,644.00","401,682,545.00","21,947,776.25","3,703,358.00",22.0,0.9,526,0
Veterinary Services,Veterinary Services,"27,535,163.00","22,835,589.00","3,080,161.30",-,11.2,0.0,526,0
Crop Management,Crop Management,"168,628,017.00","320,985,936.00","72,748,639.90","27,251,040.70",43.1,8.5,526,0
"Fisheries Develop-
ment and Manage-
ment","Fisheries Develop-
ment and Manage-
ment","27,260,088.00","62,964,820.00","3,358,180.00","5,846,775.20",12.3,9.3,526,0
,Sub-Total,"323,404,912.00","808,468,890.00","101,134,757.45","36,801,173.90",31.3,4.6,526,0
"Water, Irrigation, Environment and Natural Resources",,,,,,,,526,0
Administration,Administration,"39,811,497.00",-,"17,974,819.00",,45.1,-,526,0
Water Services,Water Services,"35,436,480.00","305,558,448.00","16,205,083.00","36,085,920.90",45.7,11.8,526,0
Forestry,Forestry,"34,179,152.00","91,160,000.00","7,580,373.00",,22.2,0.0,526,0
,Sub-Total,"109,427,129.00","396,718,448.00","41,760,275.00","36,085,920.90",38.2,9.1,526,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","De-
velop-
ment
Expen-
diture",527,0
"Education, Youth Affairs, Gender and Social Services",,,,,,,,527,0
"Administration
Services","Administration
Services","326,760,941.00",-,"109,567,513.80",,33.5,-,527,0
ECD Programmes,ECD Programmes,"12,049,382.00","285,661,800.00","5,036,629.00","66,517,360.75",41.8,23.3,527,0
"Youth Polytechnics
& Youth Training","Youth Polytechnics
& Youth Training","4,693,584.00","120,077,241.00","1,073,706.00","12,276,617.60",22.9,10.2,527,0
Sports,Sports,-,"235,106,461.00",,"20,443,694.00",-,8.7,527,0
Social Resources,Social Resources,"24,829,585.00","38,063,031.00","7,754,666.00","1,080,507.00",31.2,2.8,527,0
,Sub Total,"368,333,492.00","678,908,533.00","123,432,514.80","100,318,179.35",33.5,14.8,527,0
County Health Services,,,,,,,,527,0
"General Adminis-
tration and Planning
Services","General Adminis-
tration and Plan-
ning Services","1,608,698,362.00",-,"238,975,567.00",,14.9,-,527,0
"Curative Healthcare
Services","Curative Health-
care Services","188,193,825.00","396,252,780.00","93,609,714.20","57,653,739.60",49.7,14.5,527,0
"Preventive, Promo-
tive and Rehabilita-
tive Health Services","Preventive, Promo-
tive and Reha-
bilitative Health
Services","101,076,175.00","204,425,562.00","48,122,959.00","35,319,886.60",47.6,17.3,527,0
"Facility Improve-
ment Fund","Facility Improve-
ment Fund","151,814,034.00",-,"8,511,899.00",,5.6,-,527,0
HIV Services,HIV Services,"30,160,688.00",-,"13,659,270.00",,45.3,-,527,0
TB Services,TB Services,"4,400,000.00",-,"3,615,470.70",,82.2,-,527,0
Nutrition Services,Nutrition Services,"60,578,536.00",-,,,0.0,-,527,0
"Environmental
Health Services","Environmental
Health Services","50,158,116.00",-,,,0.0,-,527,0
,Sub-Total,"2,195,079,736.00","600,678,342.00","406,494,879.90","92,973,626.20",18.5,15.5,527,0
"Lands, Physical Planning, Urban Development and Housing",,,,,,,,527,0
Physical Planning,Physical Planning,"67,394,533.00",-,"25,772,579.00",,38.2,-,527,0
"Land Survey and
Mapping","Land Survey and
Mapping","11,470,000.00","20,243,766.00","2,423,432.00",,21.1,0.0,527,0
Housing,Housing,"6,615,000.00","22,113,446.00","2,081,200.00",,31.5,0.0,527,0
"General Administra-
tion, Planning and
Support Services","General Adminis-
tration, Planning
and Support
Services","43,763,565.00","63,854,295.00","12,296,257.00","16,656,828.60",28.1,26.1,527,0
,Sub-Total,"129,243,098.00","106,211,507.00","42,573,468.00","16,656,828.60",32.9,15.7,527,0
"Roads, Public Works, Energy and
Transport",,,,,,,,527,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","De-
velop-
ment
Expen-
diture",528,0
"General Administra-
tion Services","General Adminis-
tration Services","4,536,199.00",,"537,600.00",,11.9,-,528,0
"Road Development,
Maintenance and
Management","Road Develop-
ment, Maintenance
and Management","89,677,074.00","789,579,895.00","21,683,647.10","184,597,122.70",24.2,23.4,528,0
"County Government
Buildings","County Govern-
ment Buildings","1,410,000.00",,"197,600.00",,14.0,-,528,0
,Sub Total,"95,623,273.00","789,579,895.00","22,418,847.10","184,597,122.70",23.4,23.4,528,0
Enterprise and Industrial Development,,,,,,,,528,0
"General Adminis-
tration and Planning
Services","General Adminis-
tration and Plan-
ning Services","137,363,552.00",,"48,683,395.00",,35.4,-,528,0
"Trade Development
and Investment","Trade Development
and Investment","3,845,000.00",,"1,389,370.00",,36.1,-,528,0
"Promotion of Fair
-Trade Practices","Promotion of Fair-
Trade Practices","17,860,000.00",,"1,022,400.00",,5.7,-,528,0
"Cooperative Exten-
sion Services","Cooperative Exten-
sion Services","34,563,532.00",,"9,186,550.00",,26.6,-,528,0
Market Services,Market Services,"1,806,000.00","637,038,958.00","623,250.00","111,032,841.25",34.5,17.4,528,0
,Sub-Total,"195,438,084.00","637,038,958.00","60,904,965.00","111,032,841.25",31.2,17.4,528,0
"Tourism, Culture, Sports and Arts",,,,,,,,528,0
"General Administra-
tion, Planning and
Support Services","General Adminis-
tration, Planning
and Support
Services","66,883,161.00",,"23,340,467.00",,34.9,-,528,0
"Communication
Services","Communication
Services","9,550,000.00",,"3,438,025.00",,36.0,-,528,0
Wildlife Services,Wildlife Services,"6,715,000.00",,"1,461,538.00",,21.8,-,528,0
ICT,ICT,,"3,901,829.00",,,-,0.0,528,0
Tourism,Tourism,,"79,192,168.00",,"7,386,765.20",-,9.3,528,0
,Sub-Total,"83,148,161.00","83,093,997.00","28,240,030.00","7,386,765.20",34.0,8.9,528,0
Grand Total,,"5,828,859,529.00","4,713,270,754.00","1,619,113,567.95","687,827,590.85",27.8,14.6,528,0
