Programme,Sub-Programme,"Approved Estimates FY
2023/24",col_3,"Actual Expenditure as of
31st December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,568,0
Office of Governor and Deputy Governor,,,,,,,,568,0
"County Government
Advisory Services","Public Sector Advisory
Services (Legal & Eco-
nomic Advisors)","15,900,000",-,"844,500",-,5.3,-,568,0
"County Leadership and
Coordination of MDAs","Communication and
Strategy","13,100,000",-,"1,963,480",-,15.0,-,568,0
,"Coordination of CMAs
(Office of County Secre-
tary)","7,050,000",-,"1,566,280",-,22.2,-,568,0
"General Administra-
tion, Planning and
Support Services","Management of County Af-
fairs (Office of Governor)","82,675,700",-,"39,045,601",-,47.2,-,568,0
,"Coordination and Super-
visory Services (Deputy
Governor’s Office)","32,350,000",-,"1,949,485",-,6.0,-,568,0
Sub Total,,"151,075,700",-,"45,369,346",-,30.0,-,568,0
"Roads, Infrastructure and Public Works",,,,,,,,568,0
"General Administration
Planning and Support
Services","General Administration
Services","51,722,060","16,000,000","49,103,957","1,844,623",94.9,11.5,568,0
"Kathwana Munici-
pality Development
Programme","Kathwana Urban Area
Support","7,707,210","10,000,000","828,679",-,10.8,-,568,0
"Public Works and
Housing Services",Public Works Services,"3,727,500",-,"175,000",-,4.7,-,568,0
Roads Transport,"Rural Roads Improvement
and Maintenance Services","65,690,000","340,000,000","48,790,890","152,257,533",74.3,44.8,568,0
"Urban Development
and Administration","Urban Administrative
Services","43,500,000","181,000,000","13,300,898","23,095,630",30.6,12.8,568,0
Sub Total,,"172,346,770","547,000,000","112,199,424","177,197,785",65.1,32.4,568,0
Medical Services,,,,,,,,568,0
"Curative and Rehabili-
tative Services",Primary Healthcare,-,"72,500,000",-,"17,159,300",-,23.7,568,0
,Medical Supplies,"153,139,134",,"105,513,942",-,68.9,-,568,0
,Laboratory Services,"20,400,000",-,"7,039,470",-,34.5,-,568,0
"General Administration
Planning and Support
Services","General Administration
Services","56,500,000","27,500,000","22,326,078",-,39.5,-,568,0
,"Human resource manage-
ment","1,049,545,879",-,"570,673,303",-,54.4,-,568,0
,"Policy, Planning, Financing
and Budgeting","122,800,000",-,"27,312,686",-,22.2,-,568,0
"ICT Infrastructure
Development","ICT Infrastructure Devel-
opment","40,600,500",-,"12,320,667",-,30.3,-,568,0
Sub Total,,"1,442,985,513","100,000,000","745,186,146","17,159,300",51.6,17.2,568,0
Agriculture and Crop Production,,,,,,,,568,0
"Cooperative Develop-
ment and Management",Cooperative Development,"3,493,683",-,"141,700",-,4.1,-,568,0
,,Rec,Dev,Rec,Dev,Rec,Dev,569,0
"Crop Development and
Management","Crops Development,
Agribusiness and Market
Development","13,129,332","533,090,831","806,900","55,481,679",6.1,10.4,569,0
"General Administration
Planning and Support
Services","Administration, Policy,
Strategy and Management
of Agriculture","106,519,212","10,000,000","58,267,226","2,224,652",54.7,22.2,569,0
"Livestock and Fisheries
Resource Management
and Development","Livestock Policy De-
velopment and Capacity
Building","61,526,264","97,989,340","22,283,827","355,000",36.2,0.4,569,0
,"Veterinary Services and
Disease Prevention","9,412,000","16,259,360","1,024,400","400,000",10.9,2.5,569,0
Sub Total,,"194,080,491","657,339,531","82,524,053","58,461,331",42.5,8.9,569,0
Public Administration and Devolution Affairs,,,,,,,,569,0
"General Administra-
tion, Planning and
Support Services","General Administration
and Support Services","117,424,634",-,"59,562,288",-,50.7,-,569,0
,"Sub-County Administration
and Field Services","1,989,665","10,000,000","7,500",-,0.4,-,569,0
,"SP: Human Resource
Management Services","6,540,000",-,"826,100",-,12.6,-,569,0
Sub Total,,"125,954,299","10,000,000","60,395,888",-,48.0,-,569,0
"Education, Gender, Culture and Social Services",,,,,,,,569,0
"Education and Youth
Training","Promotion of Basic Educa-
tion (ECDE)","30,641,611","45,000,000","166,900","17,796,377",0.5,39.5,569,0
,"Youth Training and Capac-
ity Building","16,060,089","10,000,000","5,052,000","4,109,531",31.5,41.1,569,0
"General Administration
Planning and Support
Services","Administration Planning
and Support Services","152,944,800",-,"78,616,525",-,51.4,-,569,0
Sub Total,,"199,646,500","55,000,000","83,835,425","21,905,908",42.0,39.8,569,0
Finance and Economic Planning,,,,,,,,569,0
"Economic Policy and
County Planning","Monitoring and Evaluation
Services","4,270,000",-,"406,800",-,9.5,-,569,0
,"Economic Development,
Planning and Coordination
Services","4,020,000",-,"475,800",-,11.8,-,569,0
,County Statistics Services,"7,005,000",-,"549,500",-,7.8,-,569,0
"Financial Management
Services","Supply Chain Management
Services","4,610,000",-,"510,200",-,11.1,-,569,0
,Audit Services,"9,435,000",,"973,750",-,10.3,-,569,0
,"Budget Formulation and
Coordination","4,417,000",-,-,-,10.6,-,569,0
,Accounting Services,"4,255,000",-,"866,800",-,20.4,-,569,0
"General Administra-
tion, Planning and
Support Services","Human Resource Manage-
ment Services","168,402,400",-,"90,772,375",-,53.9,-,569,0
Sub Total,,"206,414,400",-,"95,022,225",-,46.0,-,569,0
"Environment, Mining and Natural Resources",,,,,,,,569,0
"Environment and
Natural Resources
Management","Environment and Natural
Resource","40,550,000","167,000,000","20,243,438",-,49.9,-,569,0
Sub Total,,"40,550,000","167,000,000","20,243,438",-,49.9,-,569,0
,,Rec,Dev,Rec,Dev,Rec,Dev,570,0
Water Services and Irrigation,,,,,,,,570,0
Water Supply Services,Domestic Water Services,"43,193,750","58,500,000","15,989,750","13,144,584",37.0,22.5,570,0
,Water Storage Services,"1,933,000",-,"73,200",-,3.8,-,570,0
,"Irrigation and Drainage
Services","6,867,000","29,500,000","138,600","4,947,075",2.0,16.8,570,0
Sub Total,,"51,993,750","88,000,000","16,201,550","18,091,659",31.2,20.6,570,0
County Public Service Board,,,,,,,,570,0
"General Administra-
tion, Planning and
Support Services","General Administration
and Support Services","25,813,400",-,"9,444,190",-,36.6,-,570,0
,"Human Resource Manage-
ment Services","14,520,000",-,"560,518",-,3.9,-,570,0
Sub Total,,"40,333,400",-,"10,004,708",-,24.8,-,570,0
Public Health and Sanitation,,,,,,,,570,0
"Preventive and
Promotive Health
Services","Health Promotion and
Disease Control","255,595,400","124,723,404","148,264,129",-,58.0,-,570,0
,"Environmental Health
Services","31,256,750",-,-,-,-,-,570,0
Sub Total,,"286,852,150","124,723,404","148,264,129",-,51.7,-,570,0
Youth and Sports,,,,,,,,570,0
"Sports Development
and Promotion","County Football League
and Clubs Development","1,200,000",-,-,-,-,-,570,0
,"Athletics Championships
and Other Games","5,560,414",-,-,-,-,-,570,0
,"Talent Search and Pro-
motion","30,858,386","30,000,000","11,035,400",-,35.8,-,570,0
Sub Total,,"37,618,800","30,000,000","11,035,400",-,29.3,-,570,0
Culture and Tourism,,,,,,,,570,0
"Culture, Arts and
Social Services",Culture and Arts Promotion,"26,975,200","6,000,000","7,000,000",-,25.9,-,570,0
"Tourism Development
and Promotion","Tourism Promotion and
Infrastructure Development","1,380,900",-,-,-,-,-,570,0
,"Miss Tourism Tharaka
Nithi","2,157,150",-,-,-,-,-,570,0
Sub Total,,"30,513,250","6,000,000","7,000,000",-,22.9,-,570,0
Revenue and Resource Mobilization,,,,,,,,570,0
"Financial Management
Services","Resource Mobilization and
Management","15,759,500",-,"1,313,600",-,8.3,-,570,0
Resource Mobilization,Revenue Administration,"99,279,500","10,000,000","45,234,603",-,45.6,-,570,0
Sub Total,,"115,039,000","10,000,000","46,548,203",-,40.5,-,570,0
"Lands, Physical Planning and Housing",,,,,,,,570,0
"General Administra-
tion, Planning and
Support Services","General Administration
and Support Services",-,"103,160,000",-,-,-,-,570,0
"Land Policy and
Planning",Physical Planning Services,"51,096,000","20,000,000","22,141,289","4,000,000",43.3,20.0,570,0
,"Land administration and
management","6,150,700",-,"39,900",-,0.6,-,570,0
Sub Total,,"57,246,700","123,160,000","22,181,189","4,000,000",38.7,3.2,570,0
