Programme,Sub-Programme,"Approved Supplementary
Estimates (Kshs)",col_3,"Actual Expenditure as of 31st
December 2023 (Kshs)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,579,1
"Agriculture, Livestock",,,,,,,,579,1
Grand Total,,"254,131,256","889,579,547","84,584,242","67,192,729",33.3,7.6,579,1
Crop Development,Sub total,-,"889,579,547",-,"67,192,729",-,7.6,579,1
,Crop Diversification,-,"611,014,470",-,"67,192,729",-,11,579,1
,"Post-harvest management
and value addition",-,"278,565,077",-,-,-,-,579,1
"Administrative and
Support Services",Sub total,"254,131,256",-,"84,584,242",-,33.3,-,579,1
,"Administrative and Sup-
port Services","254,131,256",-,"84,584,242",,33.3,-,579,1
"Trade, Commerce and Industry",,,,,,,,579,1
Grand Total,,"48,974,495","334,495,111","18,925,126",-,38.6,-,579,1
"Medium and small
Enterprises",Sub total,-,"334,495,111",-,-,-,-,579,1
,"Medium and small Enter-
prises",-,"334,495,111",,-,-,-,579,1
"Administrative
and Support
Services",Sub total,"48,974,495",-,"18,925,126",-,38.6,-,579,1
,"Administrative and Sup-
port Services","48,974,495",-,"18,925,126",-,38.6,-,579,1
"Water, Environment and Natural Resources",,,,,,,,579,1
Grand Total,,"73,794,564","497,733,567","24,493,688","28,830,000",33.2,5.8,579,1
"Environment
management and
protection",Sub total,-,"497,733,567",-,"28,830,000",-,5.8,579,1
,Waste Management,-,"497,733,567",-,"28,830,000",-,5.8,579,1
,,Rec,Dev,Rec,Dev,Rec,Dev,580,0
"Administrative
and Support
Services",Sub total,"73,794,564",-,"24,493,688",-,33.2,-,580,0
,"Administrative and Sup-
port Services","73,794,564",-,"24,493,688",-,33.2,-,580,0
"Public Works, Roads and Infrastructure",,,,,,,,580,0
Grand Total,,"143,177,618","498,921,850","49,710,097","121,767,640",34.7,24.4,580,0
"Road Construction
and Road Mainte-
nance",Sub total,-,"498,921,850",-,"121,767,640",-,24.4,580,0
,Maintenance of Roads,-,"498,921,850",-,"121,767,640",-,24.4,580,0
"Administrative and
Support Services",Sub total,"143,177,618",-,"49,710,097",-,34.7,-,580,0
,"Administrative and Sup-
port Services","143,177,618",-,"49,710,097",-,34.7,-,580,0
"Lands, Housing and Urban Planning",,,,,,,,580,0
Grand Total,,"79,543,815","455,045,094","35,462,803",-,44.6,-,580,0
"Administrative
and Support
Services",Sub total,"79,543,815","455,045,094","35,462,803",-,44.6,-,580,0
,"Administrative and Sup-
port Services","79,543,815","455,045,094","35,462,803",-,44.6,-,580,0
"Gender, Sports, Culture and Tourism",,,,,,,,580,0
Grand Total,,"148,612,882","230,437,301","21,666,328","42,387,634",14.6,18.4,580,0
"Cultural de-
velopment and
promotion",Sub total,-,"230,437,301",-,"42,387,634",-,18.4,580,0
,Culture development,,"230,437,301",-,"42,387,634",-,18.4,580,0
"Administrative and
Support Services",Sub total,"148,612,882",-,"21,666,328",-,14.6,-,580,0
,"Administrative and Sup-
port Services","148,612,882",-,"21,666,328",-,14.6,-,580,0
Public Service Management,,,,,,,,580,0
Grand Total,,"593,055,177","300,749,509","192,721,214",-,32.5,-,580,0
"Infrastructure
Development",Sub total,-,"300,749,509",-,-,-,-,580,0
,"Supervision and Manage-
ment of Projects",-,"300,749,509",-,-,-,-,580,0
"Administrative
And Support
Services",Sub total,"593,055,177",-,"192,721,214",-,32.5,-,580,0
,"Administrative And Sup-
port Services","593,055,177",-,"192,721,214",-,32.5,-,580,0
Education and ICT,,,,,,,,580,0
Grand Total,,"694,682,622","160,790,725","197,349,587",-,28.4,-,580,0
"Vocational Train-
ing Development",Sub total,-,"160,790,725",-,-,-,-,580,0
,"Vocational Training Devel-
opment",-,"160,790,725",-,-,-,-,580,0
"Administrative
And Support
Services",Sub total,"694,682,622",-,"197,349,587",-,28.4,-,580,0
,"Administrative And Sup-
port Services","694,682,622",-,"197,349,587",-,28.4,-,580,0
Finance,,,,,,,,580,0
Grand Total,,"601,859,682","248,532,843","298,755,190","100,000,000",49.6,40.2,580,0
"Administrative
and Support
Services",Sub total,"601,859,682","248,532,843","298,755,190","100,000,000",49.6,40.2,580,0
,"Supervision and Manage-
ment of Projects",-,"248,532,843",-,"100,000,000",-,40.2,580,0
,"Administrative And Sup-
port Services","601,859,682",-,"298,755,190",-,49.6,-,580,0
,,Rec,Dev,Rec,Dev,Rec,Dev,581,0
Governance,,,,,,,,581,0
Grand Total,,"171,010,020","25,000,000","126,038,314",-,73.7,-,581,0
"Infrastructure
Development",Sub total,-,"25,000,000",-,-,-,-,581,0
,"Supervision and Manage-
ment of Projects",-,"25,000,000",-,-,-,-,581,0
"Administrative
And Support
Services",Sub total,"171,010,020",-,"126,038,314",-,73.7,-,581,0
,"Administrative And Sup-
port Services","171,010,020",-,"126,038,314",-,73.7,-,581,0
County Public Service Board,,,,,,,,581,0
Grand Total,,"75,660,299","12,995,000","10,177,974",-,13.5,-,581,0
"Governance and
County Values",Sub total,-,"12,995,000",-,-,-,-,581,0
,"Infrastructure
Development",-,"12,995,000",-,-,-,-,581,0
"Administrative
And Support
Services",Sub total,"75,660,299",-,"10,177,974",-,13.5,-,581,0
,"Administrative And Sup-
port Services","75,660,299",-,"10,177,974",-,13.5,-,581,0
Health Corporate,,,,,,,,581,0
Grand Total,,"2,054,239,334","372,682,059","1,026,615,395",-,50,-,581,0
"Administrative
and Support
Services",Sub total,"2,054,239,334","372,682,059","1,026,615,395",-,50,-,581,0
,Preventive Health Services,,"372,682,059",-,-,-,-,581,0
,"Administrative And Sup-
port Services","2,054,239,334",-,"1,026,615,395",-,50,-,581,0
Economic Planning,,,,,,,,581,0
Grand Total,,"42,053,780","18,800,000","2,497,800",-,5.9,-,581,0
"County Research
and Development
Planning",Sub total,-,"18,800,000",-,-,-,-,581,0
,"County Development Plan-
ning Services",-,"18,800,000",-,-,-,-,581,0
"Administrative
And Support
Services",Sub total,"42,053,780",-,"2,497,800",-,5.9,-,581,0
,"Administrative And Sup-
port Services","42,053,780",,"2,497,800",,5.9,-,581,0
Municipality Board of Kitale,,,,,,,,581,0
Grand Total,,"26,067,705","34,450,916","1,487,100",-,5.7,-,581,0
"Administrative
And Support
Services",Sub total,"26,067,705","34,450,916","1,487,100",-,5.7,-,581,0
,"Administrative And Sup-
port Services","26,067,705","34,450,916","1,487,100",-,5.7,-,581,0
County Attorney,,,,,,,,581,0
Grand Total,,"64,607,180",-,"4,297,283",-,6.7,-,581,0
"Administrative
And Support
Services",Sub total,"64,607,180",-,"4,297,283",-,6.7,-,581,0
,"Administrative And Sup-
port Services","64,607,180",-,"4,297,283",-,6.7,-,581,0
County Assembly,,,,,,,,581,0
Grand Total,,"759,771,133","340,650,000","407,378,736","163,850,904",53.6,48.1,581,0
