Programme,Sub-Programme,"Approved
Estimates",col_3,"Actual Expen-
diture as of
31th March
2024",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",42,0
County Assembly,,,,,,,,42,0
Office of the clerk,,-,-,,,,,42,0
,"General adminis-
tration",,,,,,,42,0
,"General Adminis-
tration, / Support
Services","828,962,651",,"546,387,350",-,66,,42,0
,"Land scaping and
beautification of
Speakers residential
buildings",-,"19,000,000.00",-,-,-,-,42,0
,"Drilling and equip-
ping of 2No. Water
boreholes at County
Assembly and
Speakers residence",-,"10,000,000.00",-,-,-,-,42,0
,"Proposed Instal-
lation of Electric,
Razor wires and
CCTV at the speak-
er’s residence",-,"10,100,000.00",-,-,-,-,42,0
,"Supply, Installation,
Commissioning of
Hansard System
and Equipment
for the Assembly
Chambers.",-,"74,300,000.00",-,-,-,-,43,0
,"Purchase and In-
stallation of interior
designs of County
Assembly chambers",,"4,526,227.00",-,-,-,-,43,0
,"Feasibility studies
on Projects prepara-
tion and design for
CCTV, Boreholes
and Landscaping",,"9,000,000.00",-,-,-,-,43,0
,,,,-,-,-,-,43,0
"Office of the Gov-
ernor and Deputy
Governor","General Adminis-
tration",,-,,-,,-,43,0
,"P3 Governor’s
Office","39,829,600",-,"58,552,457",-,147,-,43,0
,"Office of County
Secretary","182,100,000.00",-,"154,754,955.70",-,85,-,43,0
,"P4 Acquisition of
Assets","6,500,000",-,"392,000",-,0,-,43,0
,"Office of the Depu-
ty Governor","19,109,339",-,"7,378,420",,39,-,43,0
"Public Services,
Administration,
Devolution, & ICT","General Adminis-
tration, salaries and
Operations","3,128,345,281",-,"2,164,666,783",,69,-,43,0
,"Tiaty sub coun-
ty-West (Adminis-
tration)","3,679,080",,"1,973,714",-,54,-,43,0
,"Tiaty sub county
East (Administra-
tion)","2,971,000",-,"1,378,227",-,,,43,0
,"Baringo North sub
county","3,886,222",-,"3,168,950",-,82,,43,0
,"Baringo central sub
county","4,018,027",-,"1,709,100",-,43,,43,0
,"Baringo South sub
county","3,784,000",-,"2,061,319",-,54,,43,0
,Mogotio sub county,"3,762,377",-,"1,808,450",-,48,,43,0
,"Eldama Ravine sub
county","3,652,412",-,1873518,-,51,,43,0
,"Infrastructure De-
velopment - Ward
offices",-,"33,548,807.00",,-,54,,43,0
,"Acquisition of
Kabarnet Hotel",-,"20,000,000.00",-,-,-,-,43,0
,"Acquisition of land
for Deputy Gover-
nor’s Residence",-,"5,000,000.00",-,-,-,-,43,0
,"Support to Baringo
ICT centre",-,"1,000,000.00",-,-,-,-,43,0
,"Support to ELIAS
ICT Centre",-,"3,000,000.00",-,-,-,-,43,0
,"Ajira Centre Con-
nectivity",-,"30,743.00",-,-,-,-,44,0
,"Installation of LAN
at Mogotio and
Marigat subcounty
hospital",-,"3,000,000.00",-,-,-,-,44,0
,"Installation of
CIMES Operation-
alization",,"1,000,000.00",,,,,44,0
,"Redesign of County
website to include
online recruitment,
tourism, Town and
hospital portals",-,"4,500,000.00",,"6,578,971.00",,-,44,0
"Finance & Econom-
ic Planning","Finance Adminis-
tration","91,425,000",-,"77,525,909",-,85,,44,0
,Economic Planning,"50,624,618",-,"43,864,412",-,87,,44,0
,"Infrastructural
Development",-,,,-,,,44,0
,"Infrastructural
Development- Boda
shades",-,"4,000,000.00",,,,,44,0
,KDS Programme,-,"179,001,764.00",,"156,366,221.00",,87,44,0
,"Revenue Services
Development
Services",-,"5,020,355.00",,"2,592,644.00",,,44,0
,Treasury Accounts,-,,,,,,44,0
,"Purchase of Utility
Project Vehicles",,,,,,,44,0
,,,,,,,,44,0
"Revenue Depart-
ment","KDSP programme
project (Level II
grant)",-,-,-,-,-,-,44,0
,Eldama Ravine,-,,,-,,,44,0
,sub county,,,,,,,44,0
"Monitoring and
Evaluation","Economic Planning,
Budget, Monitoring
and Evaluation
Services",-,,,-,,,44,0
"Transport and
Infrastructure","General Adminis-
tration","35,700,173",,"11,292,334",,32,,44,0
,"Urban Infrastructure
Development",-,"50,578,960.00",,-,,,44,0
,"Rural Infrastructure
Development",-,"67,200,000.00",,,,,44,0
,"New and main-
tenance of roads
County wide",-,"431,424,045.00",,"112,088,738.30",,26,44,0
,"Installation of
Floodlights",-,"12,080,641.00",-,-,-,-,44,0
,"Complete Con-
struction of Public
Works Office Block",-,"23,000,000.00",-,-,-,-,45,0
,"Construction of
Foot Bridges",-,"47,509,057.00",-,-,-,-,45,0
,"Culverts and
Bridges",-,"17,100,000.00",-,-,-,-,45,0
"Industry, Com-
merce, Tourism,
Cooperatives and
Enterprise Devel-
opment","General Adminis-
tration","18,448,989",,"12,200,210",,66,,45,0
,"Co-operative ser-
vices Development",-,"82,234,780.00",,,,,45,0
,"Tourism Develop-
ment & Marketing",-,"46,320,101.25",,"45,948,608.00",,99,45,0
,"Infrastructures and
Trade Development",-,"17,500,000.00",,,,,45,0
,"Industrial Devel-
opment and Invest-
ment services",,"359,000,000.00",,,,,45,0
"Trade Development
and Management
Services","General adminis-
tration",,,,,,,45,0
,Trade Development,,"2,000,000.00",,,,,45,0
,,,,,,,,45,0
Education,"General Administra-
tion, Planning and
support services","84,490,000",,"63,956,380",,76,,45,0
"Early Childhood
Development","Infrastructure
development",,"173,906,666.00",,,,,45,0
"Early Childhood
Development
Education","Curriculum
development and
Equipment",,"2,500,000.00",,,,,45,0
"Vocational Training
development","Infrastructure
Development",,"25,948,249.25",,,,,45,0
"Vocational Training
development","Bursary and Schol-
arship Programme",,"61,796,277.75",,"61,796,277.75",,100,45,0
"County Health
Services","General Adminis-
tration","398,631,775",,"282,209,791",,71,,45,0
"Curative and Reha-
bilitative Services","Infrastructure
development",,"321,342,202.00",,"43,651,898.60",,14,45,0
"Preventive and
Promotive Health
Services","Infrastructure
development",,"271,642,611.40",,,,,45,0
,"Health/preventive
services",-,-,-,-,71,,45,0
,Medical Drugs,-,-,-,-,-,,45,0
"Promotion of pri-
mary health care","General adminis-
tration",,,,,,,45,0
"Lands and Urban
Development","General adminis-
tration","10,003,832",,"6,778,254",,68,,45,0
"Land use planning
and Information
management","Land Policy and
Planning Services",,"5,500,000.00",,,0,,46,0
"Land use planning
and Information
management","Land Survey
Services",,"11,100,000.00",,,,,46,0
"Eldama ravine
Town- Urban
Development","Infrastructure
development","5,154,129","18,853,000.00","2,458,214",,48,,46,0
"Kabarnet Munici-
pality Services","Infrastructure
development","6,759,157","23,500,000.00","3,529,197",,52,-,46,0
"Housing De-
velopment and
management","Housing develop-
ment",,"1,200,000.00",,,,-,46,0
"Land use planning
and Information
management","Land Adjudication
Services",,"17,500,000.00",-,-,-,-,46,0
"Land use planning
and Information
management","Land adjudication
and demarcation",,"1,500,000.00",-,-,-,-,46,0
"Land use planning
and Information
management","Land Policy and
Planning Services",,"25,237,350.00",-,-,-,-,46,0
"General Adminis-
tration, Planning
and Support
Services","Infrastructure
Development",,"6,000,000.00",-,-,-,-,46,0
