Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st March
2024 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",57,1
Administration and Public Service,,,,,,,,57,1
"Adminis-
tration and
Public Service",County Executive,"156,785,227.00",-,"140,226,469.00",-,89.4,-,57,1
,County PSB,"30,377,376.00",-,"22,276,885.00",-,73.3,-,57,1
,Administration/Governance,"11,490,000.00","31,000,000.00","2,464,900.00","9,617,205.00",21.5,31.0,57,1
,Public Service,"2,186,580,089.00",-,"1,374,711,208.00",-,62.9,-,57,1
,Sub-Total,"2,385,232,692.00","31,000,000.00","1,539,679,462.00","9,617,205.00",64.6,31.0,57,1
"Finance, Economic Planning and ICT",,,,,,,,57,1
Finance,Financial Management Services,"132,441,082.00",-,"104,778,153.00",-,79.1,-,57,1
,Sub-Total,"132,441,082.00",-,"104,778,153.00",-,79.1,-,57,1
"Economic
Planning",Administration,"40,293,033.00","148,000,000.00","32,118,100.00","77,178,634.00",79.7,52.1,57,1
,"Budget Preparation & Man-
agement","6,666,509.00",-,"5,806,150.00",-,87.1,-,57,1
,M & E Services,"6,970,000.00",-,-,-,-,-,57,1
,Planning & Statistics,"13,223,034.00",-,"7,118,300.00",-,53.8,-,57,1
,Sub-Total,"67,152,576.00","148,000,000.00","45,042,550.00","77,178,634.00",67.1,52.1,57,1
ICT,Administration,"41,878,654.00","14,600,000.00","9,636,020.00","10,050,000.00",23.0,68.8,57,1
,Sub-Total,"41,878,654.00","14,600,000.00","9,636,020.00","10,050,000.00",23.0,68.8,57,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",58,0
"Lands, Housing and Urban Planning",,,,,,,,58,0
"Lands, Hous-
ing and Urban
Planning",Lands,"14,410,000.00","145,000,000.00","5,388,768.00","90,448,306.00",37.4,62.4,58,0
,Urban Management,"50,220,000.00","26,000,000.00","34,154,910.00","9,298,099.00",68.0,35.8,58,0
,Housing Development,"4,650,000.00",-,"1,361,500.00",-,29.3,-,58,0
,Municipality,"45,565,000.00","2,500,000.00","807,000.00",-,1.8,-,58,0
,Sub-Total,"114,845,000.00","173,500,000.00","41,712,178.00","99,746,405.00",36.3,57.5,58,0
"Gender, Culture and Social Services",,,,,,,,58,0
"Gender and
Culture","Policy Development and Admin-
istrative Services","20,256,300.00","13,000,000.00","10,594,437.00",-,52.3,-,58,0
,Sub-Total,"20,256,300.00","13,000,000.00","10,594,437.00",-,52.3,-,58,0
Medical Services and Public Health,,,,,,,,58,0
"Medical
Services and
Public Health","Administration, Planning and
Support Services","1,231,650,426.00",-,"883,141,979.00",-,71.7,-,58,0
,Policy Development,"2,500,000.00",-,-,-,-,-,58,0
,"Healthcare financing – transfers
to health facilities","243,413,421.00",-,"206,012,750.00",-,84.6,-,58,0
,Curative Services,"299,149,570.00",-,"138,933,513.00",-,46.4,-,58,0
,"Preventive and Promotive
Services","100,713,081.00",-,"2,048,300.00",-,2.0,-,58,0
,Reproductive Health Services,"11,000,000.00",-,-,-,-,-,58,0
,"Health Infrastructure Devel-
opment",-,"125,599,570.00",-,"18,168,451.00",-,14.5,58,0
,Sub-Total,"1,888,426,498.00","125,599,570.00","1,230,136,542.00","18,168,451.00",65.1,14.5,58,0
"Agriculture, Livestock and Cooperatives",,,,,,,,58,0
Agriculture,Administration,"116,810,229.00",-,"15,014,707.00",-,12.9,-,58,0
,Crop Management,-,"284,397,080.00",-,"201,339,669.00",-,70.8,58,0
,Food & Nutrition Security,-,"35,000,000.00",-,"13,040,642.00",-,37.3,58,0
,Sub-Total,"116,810,229.00","319,397,080.00","15,014,707.00","214,380,311.00",12.9,67.1,58,0
"Livestock,
Fisheries &
Veterinary
Services",Livestock Development,-,"15,500,000.00",-,"4,963,626.00",-,32.0,58,0
,Fisheries Development,-,"4,700,000.00",-,"1,255,000.00",-,26.7,58,0
,Veterinary Services,-,"66,000,000.00",-,"14,297,956.00",-,21.7,58,0
,Sub-Total,-,"86,200,000.00",-,"20,516,582.00",-,23.8,58,0
"Co-operative
& Enterprise
Development",Administration,"9,697,080.00","26,602,920.00","4,444,401.00","10,908,330.00",45.8,41.0,58,0
,Sub-Total,"9,697,080.00","26,602,920.00","4,444,401.00","10,908,330.00",45.8,41.0,58,0
Water Sanitation and Environment,,,,,,,,58,0
"Water and
Irrigation",Administration,"87,783,221.00",-,"74,568,991.00",,84.9,-,58,0
,"Development of Water Supply
for Domestic and Commercial
purposes",-,"213,262,724.00",-,"60,562,674.00",-,28.4,58,0
,Irrigation Development,-,"2,000,000.00",-,-,-,-,58,0
,Sub-Total,"87,783,221.00","215,262,724.00","74,568,991.00","60,562,674.00",84.9,28.1,58,0
"Waste Water
management",Waste Water management,-,"10,000,000.00",-,-,-,-,58,0
,Sub-Total,-,"10,000,000.00",-,-,-,-,58,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",59,0
"Environment
& Natural
resources",Administration,"14,584,200.00",-,"506,000.00",-,3.5,-,59,0
,"Environmental and natural
resources protection and con-
servation",-,"202,600,000.00",-,"46,950,092.00",-,23.2,59,0
,Sub-Total,"14,584,200.00","202,600,000.00","506,000.00","46,950,092.00",3.5,23.2,59,0
Education and Vocational Training,,,,,,,,59,0
"Education and
Vocational
Training","Policy Planning & General
Administration","273,232,880.00",-,"177,025,279.00",-,64.8,-,59,0
,"Early Childhood Development
and Education",-,"118,450,000.00",-,"69,279,955.00",-,58.5,59,0
,Youths & Sports,"25,700,000.00","20,300,000.00","8,757,510.00",-,34.1,-,59,0
,Sub-Total,"298,932,880.00","138,750,000.00","185,782,789.00","69,279,955.00",62.1,49.9,59,0
"Roads, Public Works and Transport",,,,,,,,59,0
"Roads, Public
Works and
Transport","Policy planning and administra-
tive services","43,142,772.00","1,500,000.00","14,010,402.00",-,32.5,-,59,0
,"Roads Construction & Main-
tenance",-,"408,000,000.00",-,"301,238,740.00",-,73.8,59,0
,"Development and Maintenance
of other public works",-,"58,274,836.00",-,"19,244,957.00",-,33.0,59,0
,County Transport Infrastructure,-,"136,000,000.00",-,"122,428,410.00",-,90.0,59,0
,Sub-Total,"43,142,772.00","603,774,836.00","14,010,402.00","442,912,107.00",32.5,73.4,59,0
"Trade, Energy, Tourism and Industry",,,,,,,,59,0
"Trade, Energy,
Tourism and
Industry",Administration,"11,226,738.00",-,"6,291,499.00",-,56.0,-,59,0
