Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",85,0
"Department of Agriculture, Livestock, Fisheries, climate Change, Blue Economy and Agribusiness",,,,,,,,85,0
"CP 1: General
Administration and
support services","CSP 1.1: Administrative
support service","280,129,929",-,"177,300,562",-,63.3,-,85,0
"CP 2: Land use and
management","CSP 2.1: Agricultural mech-
anization",-,"31,896,313",-,"7,995,680",-,25.1,85,0
"CP 3: Crop produc-
tion and Management","CSP 3.1 Input support
services",-,"133,831,384",-,"6,096,760",-,4.6,85,0
,CSP 3.2: Crop development,-,"17,843,386",-,-,-,-,85,0
,CSP 3.3: Crop protection,-,"3,998,880",-,-,-,-,85,0
"CP 4: Agricultural
Training and Exten-
sion Services","CSP 4.2: Agricultural Train-
ing services",-,"5,061,350",-,"2,610,445",-,51.6,85,0
"CP 6: Agribusiness
and agricultural
Value chain Devel-
opment",CSP 6.1: Value addition,-,"442,247,944",-,"82,155,953",-,18.6,85,0
"CP 8: Fisheries and
Aquaculture Re-
source Development","CSP 8.1: Aquaculture devel-
opment",-,"48,385,370",-,"12,604,130",-,26.0,85,0
,"CSP 8.2: Fisheries training
infrastructure development",-,"36,081,798",-,"7,918,713",-,21.9,85,0
"CP 9: Livestock Pro-
duction Development","CSP 9.1: Livestock produc-
tion improvement",-,"50,377,306",-,"26,684,597",-,53.0,85,0
"CP 10: Veterinary
health services","CSP 10.1: Veterinary Disease
control",-,"21,215,833",-,"2,499,000",-,11.8,85,0
,CSP 10.2: AI services,-,"12,000,000",-,"4,766,415",-,39.7,85,0
,"CSP 10.3: Meat inspection
s
service",-,"7,000,000",-,"5,795,030",-,82.8,85,0
,"CSP 10.4: Veterinary
Extension",-,"45,639,704",-,"5,203,740",-,11.4,85,0
,Sub Total,"280,129,929","855,579,268","177,300,562","164,330,463",63.3,19.2,85,0
"Department of Trade, Investment, Cooperatives and Industry",,,,,,,,85,0
"CP 12: General
Administration and
support services","CSP 12.1: Administrative
support service","96,211,577",-,"58,325,787",-,60.6,-,85,0
"CP 13: Trade Devel-
opment","CSP 13.2: Market modern-
ization and development Es-
tablishment of Industrial Park",-,"389,697,995",-,"95,310,633",24.5,-,85,0
"CP 14: Fair Trade
practices","CSP 14.1: Weights and
measures.",-,"6,995,000",-,-,-,-,85,0
