Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expenditure
as of 31st March, 2024
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,137,0
"General administration and
support services","Staff Remuneration and Welfare Support
Services","498,293,113","319,754,738","178,538,375",64.2,137,0
,"General Logistics, Coordination and Asset
Management Services","56,529,916","48,951,262","7,578,654",86.6,137,0
,Sub total,"554,823,029","368,706,000","186,117,029",66.5,137,0
"Planning, Budgeting and Devel-
opment Coordination Services","Economic planning and development
coordination services","26,781,800","6,061,428","20,720,372",22.6,137,0
,Resource allocation services,"14,433,400",-,"14,433,400",-,137,0
,Public Participation Facilitation services,"9,499,000","2,000,000","7,499,000",21.1,137,0
,Sub total,"50,714,200","8,061,428","42,652,772",15.9,137,0
Resource mobilization services,External Resources Mobilization Services,"8,899,200","2,916,121","5,983,079",32.8,137,0
,Internal Revenue Generation Services,"41,314,834","13,630,500","27,684,334",33.0,137,0
,Sub total,"50,214,034","16,546,621","33,667,413",33.0,137,0
Financial management services,"Accounting and Financial Reporting
Services","21,784,580",-,"21,784,580",-,137,0
,Supply Chain Management Services,"31,725,767","10,913,272","20,812,495",-,137,0
,Audit and Advisory Services,"12,000,000","3,609,439","8,390,561",30.1,137,0
,Emergency Management Services,"17,500,000",-,"17,500,000",-,137,0
,Sub total,"83,010,347","14,522,711","68,487,636",17.5,137,0
,Grand total,"738,761,610","407,836,760","330,924,850",55.2,137,0
County Public Service Board,,,,,,137,0
"General Policy, Planning and
Administration Services",Policy Development Services,"3,470,000","1,169,200","2,300,800",33.7,137,0
,Administrative Support Services,"81,513,555","49,154,106","32,359,449",60.3,137,0
,Infrastructure Development Services,"4,000,000",,"4,000,000",-,137,0
,Sub total,"88,983,555","50,323,306","38,660,249",56.6,137,0
"Personnel Sourcing and Man-
agement Services","Recruitment, Selection and Deployment
Services","2,080,000",-,"2,080,000",-,137,0
,"Human Resource Management and Devel-
opment Services","1,760,000",-,"1,760,000",-,137,0
,Establishment and abolishment of Offices,"200,000",-,"200,000",-,137,0
,"National Performance Management
Systems","320,000",-,"320,000",-,137,0
,Capacity Development Services,"2,690,000",-,"2,690,000",-,137,0
,Sub total,"7,050,000",-,"7,050,000",-,137,0
,Grand total,"96,033,555","50,323,306","45,710,249",52.4,137,0
County Assembly Service Board,,,,,,138,0
Legislative Services,Members welfare Support services,"245,865,808","82,043,761","163,822,047",33.4,138,0
,"Legislative development and approval
services","217,502,825","20,708,500","196,794,325",9.5,138,0
,Sub total,"463,368,633","102,752,261","360,616,372",22.2,138,0
Oversight and Control Services,Capacity building services,"12,000,000",-,"12,000,000",-,138,0
,Report writing services,"37,000,000","34,480,200","2,519,800",93.2,138,0
,"Public Participation and Education
Services","11,000,000","10,416,000","584,000",94.7,138,0
,Sub total,"60,000,000","44,896,200","26,505,900",74.8,138,0
Ward Representation Services,Staff welfare support services,"67,246,265","27,908,234","39,338,031",41.5,138,0
,Ward operations and maintenance,"17,284,320","8,847,792","8,436,528",51.2,138,0
,Sub total,"84,530,585","36,756,026","47,774,559",43.5,138,0
"Policy, Planning and Admin-
istrative
Support Services",Administrative support services,"277,775,469","214,720,246","63,055,223",77.3,138,0
,Financial management Services,"167,794,000","113,188,615","54,605,385",67.5,138,0
,"Assembly infrastructure development
Services","151,549,218","9,112,368","142,436,850",6.0,138,0
,Sub total,"597,118,687","337,021,229","260,097,458",56.4,138,0
,Grand total,"1,205,017,905","620,040,000","584,977,905",51.5,138,0
Homa Bay Municipal Board,,,,,,138,0
"Planning, Finance and Adminis-
trative Support Services",Policy and planning services,-,-,-,-,138,0
,Financial Management Services,"5,863,721","593,380","5,270,341",10.1,138,0
,"Personnel remuneration and development
services","22,945,272","18,886,600","4,058,672",82.3,138,0
,Sub total,"28,808,993","19,479,980","9,329,013",67.6,138,0
"Public Works and Infrastructure
Improvement Services","Transport Infrastructure Improvement
Services","1,194,559",-,"1,194,559",-,138,0
,Environmental Management Services,"11,000,000","1,194,559","9,805,441",10.9,138,0
,,,,,,138,0
,Sub total,"12,194,559","1,194,559","11,000,000",9.8,138,0
,Social outreach and Engagement Services,-,-,-,-,138,0
,"Neighborhood Planning and Development
Services","8,250,000",-,"8,250,000",-,138,0
,"Workforce development and enterprise
support services",-,-,-,-,138,0
,Sub total,"8,250,000",-,"8,250,000",-,138,0
,Grand total,"49,253,552","20,674,539","34,929,013",42.0,138,0
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,138,0
"Policy Planning, General
Administration and Support
Services",Policy and Planning Services,"4,105,600","3,638,700","466,900",88.6,138,0
,"General Administration and Support
Services","214,027,568","125,759,000","88,268,568",58.8,138,0
,Sub total,"218,133,168","129,397,700","88,735,468",59.3,138,0
"Crop, Land and Agribusiness
Development Services",Crop Development Services,"10,500,000",-,"10,500,000",-,138,0
,Agribusiness Development Services,-,-,-,-,138,0
,Land Development Services,-,-,-,-,138,0
,"National Agriculture Rural Inclusive
Growth",-,-,-,-,138,0
,"Agriculture Sector Development Support
Programme",-,-,-,-,138,0
,National Value Chain Project,-,-,-,-,138,0
,Sub total,"10,500,000",-,"10,500,000",-,138,0
"Food Security Enhancement
Services","Sub Sector Infrastructure Development
Services","13,257,234",-,"13,257,234",-,139,0
,Farm Input Access Services,"208,917,803","2,200,000","206,717,803",1.1,139,0
,"National Agriculture Rural Inclusive
Growth",-,-,-,-,139,0
,"Agriculture Sector Development Support
Programme","4,159,580","3,159,580","1,000,000",76.0,139,0
,National Value Chain Project,"255,000,000","195,580,652","59,419,348",76.7,139,0
,Sub total,"481,334,617","200,940,232","280,394,385",41.7,139,0
"Livestock Development Pro-
gramme",Livestock Improvement and Development,"14,323,680",-,"14,323,680",-,139,0
,"Livestock Infrastructure Development
Services","5,000,000",-,"5,000,000",-,139,0
,"Livestock Health and Disease Manage-
ment","10,432,625",-,"10,432,625",-,139,0
,Sub total,"29,756,305",-,"29,756,305",-,139,0
,Grand total,"739,724,090","330,337,932","409,386,158",44.7,139,0
