Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",152,1
County Assembly of Isiolo,,,,,,,,152,1
Legislative service,Legislative service,"539,252,680",-,"299,545,690",-,55.5,-,152,1
Infrastructure support,Infrastructure support,-,"40,000,000",-,-,-,-,152,1
,,,,,,,128,152,1
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",153,0
,Total,"539,252,680","40,000,000","299,545,690",-,55.5,-,153,0
County Executive Sector,,,,,,,,153,0
"County Governance
and Coordination
Affairs",County Governance,"91,632,605",,"54,265,729",,59.2,-,153,0
,"General Administration
Planning & Support Services","141,668,054",,"82,251,607",,58.1,-,153,0
,Sub-Total,"233,300,659",-,"136,517,336",,58.5,-,153,0
"Human Resources Mgt
& Deployment","General Administration
Planning & Support Services","31,647,996",,"15,823,997",,50.0,-,153,0
,"Human Resource Planning
& Development","9,800,000",,"6,126,000",,62.5,-,153,0
,"Board Operation & Man-
agement","13,439,000",,"10,602,360",,78.9,-,153,0
,"Board Operation & Man-
agement","1,000,000",,"853,800",,85.4,-,153,0
,Sub-Total,"55,886,996",,"33,406,157",,59.8,-,153,0
"Prudent use of Finan-
cial Resources","General Administration
Planning & Support Services","11,031,840",,"5,181,919",,47.0,-,153,0
,"Efficiency Monitoring &
Community Engagement","2,125,034",,"1,867,100",,87.9,-,153,0
,Sub-Total,"13,156,874",,"7,049,019",,53.6,-,153,0
"Legal & Legislative
Services",Legal Services,"29,775,000",,"10,000,000",,33.6,-,153,0
,Legislative Services,"11,597,000",,"3,653,280",,31.5,-,153,0
,Sub Total,"41,372,000",,"13,653,280",,33.0,-,153,0
"Management of County
Affairs",Personnel Services,-,-,-,-,,,153,0
,"Partnerships Intergovern-
mental& NGO Coordination","5,153,500",,"2,377,700",,46.1,-,153,0
,Sub-Total,"5,153,500",-,"2,377,700",,46.1,-,153,0
,Total,"348,870,029",-,"193,003,492",-,55.3,-,153,0
County Treasury and Economic Planning and Special Programme and ICT and Cohesion,,,,,,,,153,0
"Public financial man-
agement",Administrative Services,"76,532,103",,"36,170,159",,47.3,-,153,0
,"Supply Chain Management
Services","119,601,053","286,691,868","44,435,720","107,269,498",37.2,37.4,153,0
,Accounting Services,"34,611,849",,"30,655,339",,88.6,-,153,0
,Sub-Total,"230,745,005","286,691,868","111,261,218","107,269,498",48.2,37.4,153,0
"Disaster Preparedness
Prevention Response &
Recovery","General Administration
Planning & Support Services","31,000,000",,"14,000,000",,45.2,-,153,0
,"Coordination Training &
Capacity Development","10,889,248",,"3,968,100",,36.4,-,153,0
,"Disaster Risk Awareness
Preparedness & Manage-
ment","163,400,000",,"135,294,000",,82.8,-,153,0
,Social Protection,"30,350,000","110,000,000","30,350,000","107,500,000",100.0,97.7,153,0
,Sub-Total,"235,639,248","110,000,000","183,612,100","107,500,000",77.9,97.7,153,0
"Economic Planning and
Coordination ion",Monitoring and Evaluation,"15,995,240",,"4,993,901",,31.2,-,153,0
,"Budget Formulation &
Coordination","17,321,489","4,000,000","12,098,500","943,600",69.8,23.6,153,0
,Monitoring & Evaluation,"13,821,730",,"7,896,400",,57.1,-,153,0
,Sub-Total,"47,138,459","4,000,000","24,988,801","943,600",53.0,23.6,153,0
"Cohesion and Peace
Building","Administrative and Civic
Education Services","6,074,000",,"74,000",,1.2,-,153,0
,Peace and Cohesion,"6,987,503",,"5,237,600",,75.0,-,153,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",154,0
,"Violent Extremism Pre-
vention","8,805,266",,"3,890,600",,44.2,-,154,0
,Sub-Total,"21,866,769",-,"9,202,200",-,42.1,-,154,0
Revenue Enhancement,"General Administration
Planning & Support Services","20,035,000",,"9,130,000",,45.6,-,154,0
,"Source Revenue Enhance-
ment","8,755,000","1,000,000","4,107,496","500,000",46.9,50.0,154,0
,Sub-Total,"28,790,000","1,000,000","13,237,496","500,000",46.0,50.0,154,0
"ICT and E-Government
services","ICT Innovation and Enter-
prises","6,015,000",,"15,000",,0.2,-,154,0
,"County Government Public
Image Improvement","3,990,000",,"3,414,900",,85.6,-,154,0
,E-Government Services,,"27,000,000",,"2,999,700",-,11.1,154,0
,Sub-Total,"10,005,000","27,000,000","3,429,900","2,999,700",34.3,11.1,154,0
,Total,"574,184,481","428,691,868","345,731,715","219,212,798",60.2,51.1,154,0
"Lands, Urban Planning, Roads, Housing and Public Works",,,,,,,,154,0
"Land Survey and land
use planning","County land planning and
spatial development","10,587,020",,"3,744,510",,35.4,-,154,0
,Land Use Planning,"4,912,980","54,080,782","2,183,252","8,500,000",44.4,15.7,154,0
,Land Survey & Mapping,"3,100,000",,"2,492,800",,80.4,-,154,0
,Sub-Total,"18,600,000","54,080,782","8,420,562","8,500,000",45.3,15.7,154,0
Roads & Infrastructure,Road Improvement,"10,080,000",,"4,290,749",,42.6,-,154,0
,Routine Roads Maintenance,"2,561,000",,"2,239,800",,87.5,-,154,0
,Sub-Total,"12,641,000",,"6,530,549",-,51.7,-,154,0
"Planning and Survey
of Urban Areas (Modo-
gashe and Ol ndonyiro)","Administration and Planning
Services","110,000",,"68,743",,62.5,-,154,0
,Housing Development,"2,550,000",,"1,390,400",,54.5,-,154,0
,Urban Development,,"3,000,000",,-,-,-,154,0
,Sub-Total,"2,660,000","3,000,000","1,459,143",-,54.9,-,154,0
"Public Works & Infra-
structure","General Administration
Planning & Support Services","10,193,160",,"3,614,858",,35.5,-,154,0
,Routine Roads Maintenance,,"100,511,280",,-,-,-,154,0
,Sub-Total,"10,193,160","100,511,280","3,614,858",,35.5,-,154,0
,Total,"44,094,160","157,592,062","20,025,112","8,500,000",45.4,5.4,154,0
"Agriculture, Livestock, Veterinary and Fisheries",,,,,,,,154,0
"Sustainable Crop
Development & Agri-
cultural Land Use","General Administration
Planning & Support Services","47,722,420",,"23,551,209",,49.4,-,154,0
,Irrigation Schemes,"585,100","300,000","185,100",-,31.6,-,154,0
,"Crop Development &
Management","3,095,591","299,415,435","1,340,100","48,258,238",43.3,16.1,154,0
,"Agribusiness & Market
Development","1,070,000",-,"1,023,300",,95.6,-,154,0
,Sub-Total,"52,473,111","299,715,435","26,099,709","48,258,238",49.7,16.1,154,0
Livestock Production,"General Administration
Planning & Support Services","92,721,352",-,"45,068,124",,48.6,-,154,0
,"Rangeland Rehabilitation &
Management","2,481,083",-,"850,000",,34.3,-,154,0
,Marketing & Value Addition,,"200,000,000",,"130,000,000",-,65.0,154,0
,"Breeds Improvement &
Livestock Risk Mgt",,"17,743,151",,"14,230,400",-,80.2,154,0
,Livelihood Diversification,,"1,044,000",,-,-,-,154,0
,Sub-Total,"95,202,435","218,787,151","45,918,124","144,230,400",48.2,65.9,154,0
Value Addition,"Livestock Diseases & Pests
Control","15,000,000",,"8,769,600",,58.5,-,154,0
,"Diagnostics & Laboratory
Services","600,000",,0,,0.0,-,154,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",155,0
,"Veterinary Public Health
Services","3,875,000",,"2,406,950",,62.1,-,155,0
,Sub-Total,"19,475,000",,"11,176,550",-,57.4,-,155,0
Fisheries Development,"General Administration &
Support Services","4,324,240",,"1,280,488",-,29.6,-,155,0
,"Aquaculture Technology
Development & Innovation
Transfer","181,000","2,753,000","156,000",-,86.2,-,155,0
,"Fish Safety Assurance Value
Addition & Marketing","1,940,000",,"1,072,400",-,55.3,-,155,0
,Sub-Total,"6,445,240","2,753,000","2,508,888",,38.9,0.0,155,0
,Total,"173,595,786","521,255,586","85,703,271","192,488,638",49.4,36.9,155,0
"Education, Youth, Sports, and Gender, Culture and Social Services",,,,,,,,155,0
"Provision of education
and training services","General Administration &
Support Services","153,887,827",,"75,776,354",,49.2,-,155,0
,ECDE Retention,"7,000,000",,"6,000,000",,85.7,-,155,0
,Education Support Services,"76,703,184",-,"36,023,500",-,47.0,-,155,0
,Quality ECDE Services,"745,035",-,"370,000",-,49.7,-,155,0
,ECDE Access,,"23,400,000",,-,-,-,155,0
,Sub-Total,"238,336,046","23,400,000","118,169,854",-,50,-,155,0
"Youth, Sports and
Gender","Sports Performance &
Management","7,255,600",,"3,250,300",,44.8,-,155,0
,"General Administration
Planning & Support","7,732,080",,"6,125,593",,79.2,-,155,0
,Youth Development,"8,024,199",-,"7,226,000",-,90.1,-,155,0
,"Sports Facilities Develop-
ment",,"6,000,000",,-,-,-,155,0
,Sub-Total,"23,011,879","6,000,000","16,601,893",-,72.1,-,155,0
"Culture and social
services","Administration & Support
Services","16,900,280",,"5,602,905",,33.2,-,155,0
,Arts & Culture Development,"900,000","12,025,011","760,300",-,84.5,-,155,0
,Sub-Total,"17,800,280","12,025,011","6,363,205",-,35.7,-,155,0
Gender Mainstreaming,"Gender-Based Violence &
Harmful Practices","1,380,000",,"802,000",,58.1,-,155,0
,Women Empowerment,"220,000",-,"170,000",-,77.3,-,155,0
,Child Protection,,"2,000,000",,"2,000,000",-,100.0,155,0
