Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Exp","Dev
Exp",178,1
Department: Water Environment Natural Resources and Climate Change,,,,,,,,178,1
"Programme 1: Water
Service Provision and
Management","Sub-programme
1: Water Supply
Services","20,258,023","303,240,000","4,467,797","76,000,622",22.1,25.1,178,1
"Programme 2: Sanita-
tion Service Provision
and Management","Sub-programme 1:
Urban Sanitation",-,-,-,-,-,-,178,1
"Programme 3: Envi-
ronmental Protection
and Conservation","Sub-programme
1: Environmental
Conservation","7,749,413","136,260,000","708,500","31,219,988",9.1,22.9,178,1
"Programme 4: Natural
Resource Manage-
ment","Sub-programme
1: Environmental
Conservation","4,180,321",-,-,"349,200",-,-,178,1
"Programme 4: Cli-
mate Change, Mitiga-
tion and Adaptation","Sub-programme
1: Climate Change
Management","6,025,963","48,000,000",-,"47,609,000",-,99.2,178,1
Subtotal,,"38,213,720","449,500,000","15,902,312","109,282,780",41.6,24.3,178,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Exp","Dev
Exp",179,0
Department: Water Environment Natural Resources and Climate Change,,,,,,,,179,0
County Public Service Board,,,,,,,,179,0
712004810,712024810,"27,450,000",-,"11,880,954",-,43.3,-,179,0
Education Science and Technology,,,,,,,,179,0
Programme 1,"Polytechnic
Support and Devel-
opment","109,704,715","98,000,000","51,590,929","9,829,256",47,10,179,0
,"Childcare and
development","64,959,913","381,800,000","1,529,175","24,428,749",2.4,6.4,179,0
,"Non-Tertiary Edu-
cation Support","269,510,372","2,000,000","2,283,832",-,0.8,-,179,0
,Sub Total,"444,175,000","481,800,000","55,403,936","34,258,004",12.5,7.1,179,0
Department: Finance & Economic Planning,,,,,,,,179,0
Revenue,"Communication
Supplies",-,"33,000,000",-,"10,515,000",-,31.9,179,0
,Other Creditors,-,"80,000,000",-,"30,783,131",-,38.5,179,0
Investment,"Development of
revenue",-,"2,000,000",-,-,-,-,179,0
Sub Total,,-,"115,000,000",-,"41,298,131",-,35.9,179,0
Department Health Services,,,,,,,,179,0
401024810,"Community Health
Strategy","156,800,000",-,"8,262,757",-,5.3,-,179,0
401034810,"Disease surveil-
lance & Emergency
response","4,021,770",-,"1,419,320",-,35.3,-,179,0
401044810,"Nutrition service
Promotion","1,000,000",-,"990,000",-,99,-,179,0
401054810,HIV /AIDS Control,"1,000,000",-,-,-,-,-,179,0
401064810,"Maternal and
child healthcare
promotion","2,900,000","110,000,000","607,980","5,484",21,-,179,0
401074810,TB Control,"900,000",-,-,-,-,-,179,0
401084810,Malaria control,"900,000",-,-,-,-,-,179,0
401094810,"Promotion of
family planning","1,800,000",,"460,757",-,25.6,-,179,0
Sub Total,,"169,321,770","110,000,000","11,740,814","5,484",6.9,-,179,0
402014810,"Health Infrastruc-
ture Development",-,"267,907,646",-,"133,226,209",-,49.7,179,0
402024810,"Primary medical
health services","745,675,261","20,000,000","578,719,622","20,000,000",77.6,100,179,0
402034810,"Blood Transfusion
Services",-,"10,000,000",-,-,-,-,179,0
