Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","De-
velop-
ment
Ex-
pen-
diture",214,0
"Division of Lands, Energy, Physical Planning and Development Control",,,,,,,,214,0
"Programme 1 Administra-
tion, Planning and Support
Services","Sub-programme 1.1 Adminis-
tration, Planning and Support
Services","341,210,877.00","36,716,597.00","231,654,805.00",-,-,-,214,0
Sub Total,,"341,210,877.00","36,716,597.00","231,654,805.00",-,68,-,214,0
"Programme 2: Housing
Development and Human
Settlement","Sub-Programme 2.1: Housing
Development and Human
Settlement",-,-,-,-,-,-,214,0
Sub-Total,,-,-,-,-,-,,214,0
"Programme 3: Urban
Development and Man-
agement","Sub-Programme 3.1: Urban
Development and Manage-
ment",-,-,-,-,-,-,214,0
,"Sub-Programme. 3.2: Town
Administration Services","23,716,598.00","295,760,584.00",-,"5,000,000.00",-,-,214,0
Sub-Total,,"23,716,598.00","295,760,584.00",-,"5,000,000.00",-,-,214,0
Grand Total,,"364,927,475.00","332,477,181.00","231,654,805.00","5,000,000.00",68,-,214,0
Youth Affairs & Sports,,,,,,,,214,0
"Sports and Talent Devel-
opment","Sports and Talent Develop-
ment","46,919,221.00","151,084,830.00","4,106,200.00","46,578,846.35",0.09,0.31,214,0
Sub Total,,"46,919,221.00","151,084,830.00","4,106,200.00","46,578,846.35",0.09,0.31,214,0
Trade Development,,,,,,,,214,0
"Administration, Planning
& Support Services","Administration Planning and
Support Services","12,350,000.00","5,036,889.00","6,446,459.00","5,036,889.00",0.5,1.0,214,0
Sub Total,,"12,350,000.00","5,036,889.00","6,446,459.00","5,036,889.00",-,-,214,0
Trade Development,Trade Development,"12,941,214.00","473,776,283.00","12,980,823.00","236,225,336.00",1.0,0.5,214,0
Sub-Total,,"12,941,214.00","473,776,283.00","12,980,823.00","236,225,336.00",-,-,214,0
Grand Total,,"25,291,214.00","478,813,172.00","19,427,282.00","241,262,225.00",-,-,214,0
Tourism Development,,,,,,,,214,0
"Administration, Planning
& Support Services","Tourism promotion and
marketing","40,427,680.00","37,895,761.00","21,177,619.00",-,0.52,-,214,0
Sub Total,,"40,427,680.00","37,895,761.00","21,177,619.00",-,-,-,214,0
Special Programmes & Disaster Management,,,,,,,,214,0
Special Programmes,Special Programmes,"96,988,211.00",-,"24,313,228.00",-,-,-,214,0
Disaster Risk Management,Disaster Risk Management,-,"40,323,539.00",-,-,-,-,214,0
Sub Total,,"96,988,211.00","40,323,539.00","24,313,228.00",-,-,-,214,0
Public Service Management,,,,,,,,214,0
"Administration, planning
and support services","Administration, planning and
support services","4,852,954,904.00",-,"3,530,843,613.00",-,0.73,-,214,0
Grand Total,,"4,852,954,904.00",-,"3,530,843,613.00",-,-,-,214,0
Department: Livestock,,,,,,,,214,0
Programme 1,Sub-programme,"27,913,627.00","125,265,660.00","23,464,306.00","28,822,487.00",0.84,0.23,214,0
Sub Total,,"27,913,627.00","125,265,660.00","23,464,306.00","28,822,487.00",-,-,214,0
Programme 2,Sub-programme,-,"41,117,647.00",-,"20,195,000.00",-,0.49,214,0
Sub Total,,"27,913,627.00","125,265,660.00",-,-,-,-,214,0
"Division of Lands, Energy, Physical Planning and Development Control",,,,,,,,214,0
