Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",260,0
3711-Office of the governor,,,,,,,,260,0
"P1: General Administration
Planning and Support
Services",70100370,"861,552,443.00","1,084,405,539.00","782,103,433.00","422,399,710.00",90.8,39.0,260,0
"P2: National Social Safety
Net",702003710,"108,154,884.00","55,184,474.00","100,872,580.00","26,114,030.00",93.3,47.3,260,0
P3: Enforcement Unit,703003710,-,"215,822,385.00","55,638,097.00",-,-,-,260,0
"SP 4.1 Public
Communication",704003710,"109,470,044.00",-,-,-,-,-,260,0
"P4: Cabinet Affairs, Public
Affairs and Human Re-
source Management",705003710,"13,535,790.00",-,"43,160,873.00","37,545,881.00",318.9,-,260,0
"P6: County Government
Administration and Field
Services",705003710,"55,317,827.00","156,727,844.00",-,-,-,-,260,0
P7: Devolution Services,706003710,"21,094,145.00",-,"9,605,994.00",-,45.5,-,260,0
"P8: Monitoring and
Evaluation",707003710,"22,579,280.00",-,"92,872,420.00",-,411.3,-,260,0
Office of the Chief of Staff,,"31,552,000.00",-,-,-,-,-,260,0
"Office of the County
Attorney",,"50,738,866.00",-,-,-,-,-,260,0
Sub Total,,"1,273,995,279.00","1,512,140,242.00","1,084,253,397.00","486,059,621.00",85.1,32.1,260,0
Office of The Deputy Governor,,,,,,,,260,0
"P1: General Administration
Planning and Support
Services",701003710,"39,723,474.00",-,-,"4,024,321.00",-,-,260,0
"P2: Tourism Development
and Promotion",305003710,"79,315,653.00","32,284,459.00","39,606,810.00","4,939,775.00",49.9,15.3,260,0
"Performance Contracting,
Disaster and Emergency
Services",-,"66,281,731.00","17,653,942.00","94,256,408.00","2,968,645.00",142.2,16.8,260,0
Sub Total,,"185,320,858.00","49,938,401.00","133,863,218.00","11,932,741.00",72.2,23.9,260,0
"Agriculture, Water & Irrigation",,,,,,,,260,0
"P1: General Administration
Planning and Support
Services",101003710,"65,128,225.00",-,"34,785,373.00",-,53.4,-,260,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",261,0
"P5: Irrigation and Drainage
Infrastructure",104003710,"15,287,836.00","330,358,006.00","9,278,933.00","116,597,529.00",60.7,35.3,261,0
"P8: Water Resources
Management",111003710,"35,364,645.00","448,389,119.00","8,299,768.00","170,873,704.00",23.5,38.1,261,0
Sub Total,,"115,780,706.00","778,747,125.00","52,364,074.00","287,471,233.00",45.2,36.9,261,0
"Education, Training & Skills Development",,,,,,,,261,0
"P1: General Administra-
tion, Planning and Support
Services",501003710,"118,923,531.00",-,"53,883,629.00",-,45.3,-,261,0
P2: Primary Education,502003710,"700,345,477.00","121,640,594.00","342,780,669.00","18,526,173.00",48.9,15.2,261,0
"P4: Youth Training and
Development",507003710,"36,063,512.00","67,400,000.00",-,-,-,-,261,0
