Programme,Sub-Programme,Sub-Program,Approved Estimates FY 2023/24,col_4,"Actual Expenditure Jul 2023 -
March 2024",col_6,Absorption Rate (%),col_8,page_number,table_index
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",286,1
"Department: County Coordination, Administration, ICT and Public Service",,,,,,,,,286,1
"P3 General Adminis-
tration and Planning","Headquarter Admin-
istration Services",0103014510,"27,000,000",-,"18,960,330",-,70,,286,1
"Information
Communication and
technical","ICT Infrastructure
and Connectivity",0505014510,"1,800,000","1,600,000","1,268,030","313,200",70,20,286,1
"General Administra-
tion and Planning","County Administra-
tion - Laikipia East",0701034510,"1,800,000",-,"591,600",-,33,-,286,1
,"County Adminis-
tration - Laikipia
North",0701044510,"400,000",-,"264,600",-,66,-,286,1
,"County Administra-
tion - Laikipia West",0701054510,"450,000",-,"121,420",-,27,-,286,1
Sub-Total,-,-,"31,450,000","1,600,000","21,205,981","313,200",-,-,286,1
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",287,0
"General Administra-
tion and Planning","Compensation to
Employees",0701064510,"3,226,955,793",-,"1,924,215,713",-,60,-,287,0
Sub-Total,-,-,"3,226,955,793",-,"1,924,215,713",-,,-,287,0
"County Executive
Committee Support","Executive Support
Service",0708014510,"54,000,000",-,"29,893,978",-,55,-,287,0
,Legal Services,0708024510,"4,900,000",-,"2,180,500",-,45,-,287,0
,"Intergovernmental
& Donor Liaison",0708034510,"1,050,000",-,"622,000",-,59,-,287,0
Sub-Total,-,-,"59,950,000",-,"32,696,478",-,,-,287,0
"County Adminis-
tration",Public Participation,0702054510,"2,400,000",-,"1,780,100",-,74,-,287,0
,"County Services
Delivery and Result
Report",0702084510,"1,000,000",-,"1,000,000",-,100,-,287,0
,"Decentralized
Services",0702064510,-,"13,000,000",-,"8,030,473",-,62,287,0
Sub-Total,-,-,"3,400,000","13,000,000","2,780,100","8,030,473",-,-,287,0
"Security and Policing
Support Services","Urban Facilities
Management
Services",0723024510,"2,000,000",,"1,107,047",-,55,-,287,0
,"County Public
Service Board",0722024510,"14,500,000","1,500,000","8,322,208",-,57,-,287,0
,"Information and Re-
cords Management",0722034510,"2,000,000",,"1,198,900",-,60,-,287,0
Sub-Total,-,-,"18,500,000","1,500,000","10,628,155",-,-,-,287,0
"County Adminis-
tration",Fleet,0702074510,"800,000",-,"284,600",-,36,-,287,0
Sub-Total,-,-,"800,000",-,"284,600",-,,-,287,0
"Public Safety,
Enforce and Disaster
Management","Disaster Reduction
Management",0705014510,"2,450,000","1,000,000","1,700,035","918,500",69,92,287,0
"Public Safety,
Enforce and Disaster
Management",Fire Services,0705024510,"1,250,000","2,000,000","857,750",-,69,-,287,0
"Public Safety,
Enforce and Disaster
Management","Enforcement and
Disaster Manage-
ment",0705034510,"800,000",,"599,000",-,75,-,287,0
"Public Safety,
Enforce and Disaster
Management","Alcohol Control
Committee",0705044510,"400,000",,"87,100",-,22,-,287,0
Sub-Total,-,-,"4,900,000","3,000,000","3,243,885","918,500",-,-,287,0
COUNTY ADMINISTRATION TOTAL,,-,"3,345,955,793","19,100,000","1,995,054,911","9,262,173",-,-,287,0
"Department: Finance, Economic Planning and The County Treasury",,,,,,,,,287,0
"707004510 Financial
Services",-,-,-,-,-,-,-,-,287,0
,"County Treasury
administrative
services",707064510,"20,000,000","119,083,799","177,791",-,1,-,287,0
,"Financial Automa-
tion Services",707084510,"500,000",-,"399,180",-,80,-,287,0
,"Laikipia County
Emergency Fund",707074510,-,"45,054,500",-,"10,970,825",-,24,287,0
,"Revenue manage-
ment services",707044510,-,"43,900,000",-,"33,202,000",-,76,287,0
Sub-Total,-,-,"20,500,000","208,038,299","576,971","44,172,825",-,-,287,0
"0709004510 Admin-
istration and Support
Services",,,,,,,,,287,0
,"Generation adminis-
tration and support
services",709014510,"133,496,457","419,700,000","102,192,127","303,325,452",77,72,287,0
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",288,0
Sub-Total,-,-,"133,496,457","419,700,000","102,192,127","303,325,452",,,288,0
"0725004510 Public
Finance Management
Services",-,-,-,-,-,-,-,-,288,0
,"County Treasury
Accounting and
Reporting Services",725014510,"3,900,000",-,"2,905,700",-,75,-,288,0
,"Budget Manage-
ment",725044510,"8,500,000",-,"4,250,586",-,50,-,288,0
,"Internal Audit
Services",725034510,"5,000,000",-,"3,782,650",-,76,-,288,0
,"Supply Chain Man-
agement Services",725024510,"3,600,000",-,"2,397,180",-,67,-,288,0
Sub-Total,,,"21,000,000",-,"13,336,116",-,-,-,288,0
"0706004510 Depart-
mental adminis-
trative services/
Centralized services",-,-,-,-,-,-,-,-,288,0
,"Revenue collection
services",706044510,"36,000,000",-,"31,069,828",-,86,-,288,0
Sub-Total,-,-,"36,000,000",-,"31,069,828",-,,-,288,0
"0726004510 Devel-
opment Planning
Services",-,-,-,-,-,-,-,-,288,0
,"Integrated Planning
Services",726014510,"1,700,000",-,"1,020,150",-,60,-,288,0
,"Participatory
Budgeting support
services",726024510,"4,950,000",-,"3,070,100",-,62,-,288,0
,"Research Statistics
and Documentation
services",726034510,"2,350,000",-,"1,745,943",-,74,-,288,0
,"Strategic Partner-
ship and Collabo-
ration",726064510,"8,000,000","2,990,000","5,500,000","1,495,000",69,50,288,0
Sub-Total,-,-,"17,000,000","2,990,000","11,336,193","1,495,000",,,288,0
FINANCE TOTAL,,-,"227,996,457","630,728,299","158,511,235","348,993,277",,,288,0
Department: Health,,,,,,,,,288,0
"Curative and rehabi-
litee health","Health products
and technologies
support-",401014510,"40,000,000","169,250,000","23,267,630","102,586,174",58,61,288,0
,"Health infrastruc-
ture development",401034510,-,"150,000,000",-,"49,801,665",-,33,288,0
,"Emergency referral
and rehabilitative
service-",401064510,"239,423,000","393,185,500","172,328,356","121,405,820",72,31,288,0
Sub-Total,-,-,"279,423,000","712,435,500","195,595,986","273,793,660",-,-,288,0
"General administra-
tion and planning
services","Administration,
project planning
and implementation
services",402014510,"10,000,000",-,"10,892,560",-,109,-,288,0
,"Human resource
development-",402024510,"25,000,000",-,"19,452,939",-,78,-,288,0
,"Standards and quali-
ty assurance",402034510,"10,000,000",-,"7,212,500",-,72,-,288,0
,"Health leadership
and governance",402044510,"5,832,080",-,"2,818,571",-,48,-,288,0
