Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,col_8,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Development
Expenditure",,314,1
Office of the Governor,,,,,,,,,314,1
"Co-ordination
and Supervisory
Services",,"314,336,718","12,243,690","171,586,859",-,54.6,-,,314,1
,Transport Services,"31,733,750",-,"19,268,890",-,60.7,-,,314,1
,"Human Resource
and Administration
Section","55,250,000",-,"23,193,275",-,42.0,-,,314,1
,ICT Section,"21,641,444",-,"5,393,500",-,24.9,-,,314,1
,"Hospitality Services
Section","20,973,355",-,"7,723,554",-,36.8,-,,314,1
,,,,,,,,290,314,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Development
Expenditure",,315,0
,Cabinet Office,"6,493,175",-,"2,757,745",-,42.5,-,,315,0
,"Office of the Deputy
Governor","74,457,386","7,334,480","20,623,669",-,27.7,-,,315,0
,"Office of the County
Secretary","45,816,786",-,"990,717",-,2.2,-,,315,0
,"Office of the County
Advisors","20,171,540",-,"4,429,640",-,22.0,-,,315,0
Sub-Total,,"590,874,154","19,578,170","255,967,849",-,43.3,-,,315,0
County Public Service Board,,,,,,,-,,315,0
"Human Resource
and Administra-
tion","Human Resource
and Administration","38,013,709","3,000,000","23,485,975",-,61.9,-,,315,0
Sub-Total,,"38,013,709","3,000,000","23,485,975",-,,-,,315,0
"Roads, Transport and Public Works",,,,,,,,,315,0
"General Adminis-
tration & Support
Services","General Adminis-
tration & Support
Services","199,956,258","80,500,000","97,023,590","4,948,107",48.5,6.2,,315,0
"Road Develop-
ment Management","Road Development
and Management","350,000","356,500,000",-,"2,543,530",-,-,,315,0
"County Govern-
ment Building
Services","County Government
Buildings","10,100,000","142,231,765","150,000","16,672,206",1.5,11.7,,315,0
"County Fleet
Management","County Fleet Man-
agement","40,100,000","70,000,000","40,099,989","25,779,586",100.0,36.8,,315,0
Sub-Total,,"250,506,258","649,231,765","137,273,579","49,943,430",54.8,7.7,,315,0
Health and Emergency Services,,,,,,,,,315,0
"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services","3,527,366,086","780,712,974","2,394,479,573","75,596,802",67.9,9.7,,315,0
"Curative and
Rehabilitative
health",Machakos Level 5,"177,929,588","32,000,000","140,575,199",-,79.0,,,315,0
,Kangundo Level 4,"54,100,000","22,000,000","44,220,043","5,041,082",81.7,22.9,,315,0
,Matuu Level 4,"43,600,000","40,000,000","37,878,110",-,86.9,-,,315,0
,Kathiani Level 4,"58,600,000","12,258,937","39,669,318",-,67.7,-,,315,0
,Mwala Level 4,"43,600,000","13,000,000","40,659,173",-,93.3,-,,315,0
,Kimiti Level 4,"38,600,000","4,000,000","28,112,053",-,72.8,-,,315,0
,Masinga Level 4,"40,600,000","4,000,000","31,727,922",-,78.2,-,,315,0
,Athi River Level 4,"30,600,000","4,000,000","24,505,778",-,80.1,-,,315,0
,Mutituni Level 4,"30,600,000","4,000,000","21,168,821",-,69.2,-,,315,0
,Ndithini Level 4,"30,600,000","21,000,000","24,494,906",-,80.1,-,,315,0
,Kalama Level 4,"30,600,000","4,000,000","26,279,971",-,85.9,-,,315,0
"Preventive and
promotive ser-
vices","Public Health
and Community
Outreach","170,066,838","154,273,127","110,004,449",-,64.7,-,,315,0
Sub-Total,,"4,276,862,512","1,095,245,038","2,963,775,316","80,637,885",69.3,7.4,,315,0
"Water, Irrigation, Environment, Cli-
mate Change and Natural Resources",,,,,,,,,315,0
"Water Resources
Management","Water Resources
Management","107,924,249","320,000,000","71,539,956","117,456,381",66.3,36.7,,315,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Development
Expenditure",,316,0
"Sewerage System
and Sanitation
Management","Sewerage System
and Sanitation Man-
agement","1,550,000","29,000,000","655,000","146,466",42.3,0.5,,316,0
"General Admin-
istrative and
Support Services","General adminis-
trative and Support
Services","5,250,000",-,"3,776,485",-,71.9,-,,316,0
"Environment and
Natural Resources","Environment and
Natural Resources","9,546,172","24,900,000","351,724",-,3.7,-,,316,0
Climate Change,Climate Change,"21,917,699","348,213,860","1,379,600","7,258,100",6.3,2.1,,316,0
"Water Supply and
Sewerage",,,-,,-,-,-,,316,0
"Irrigation
Schemes De-
velopment &
Promotion",,,"99,561,723",,-,-,-,,316,0
Sub-Total,,"146,188,120","821,675,583","77,702,765","124,860,947",53.2,15.2,,316,0
"Agriculture, Food Security and Co-op-
erative Development",,,,,,,,,316,0
"Agriculture and
Food Security","General Adminis-
tration and Support
Services","340,820,165","640,879,819","146,095,666","455,043,997",42.9,71.0,,316,0
,"Crop Development
and Management","2,235,009","82,459,386","977,800","54,936,968",43.8,66.6,,316,0
,"Livestock Resources
Management and
Development","2,216,548","54,809,200","1,160,991",-,52.4,-,,316,0
,"Fisheries Develop-
ment","1,056,906","17,329,908","660,780",-,62.5,-,,316,0
,Veterinary Services,"1,355,993","21,126,331","623,000",-,45.9,-,,316,0
