Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",365,1
COUNTY ASSEMBLY OF MERU,,,,,,,,365,1
"Legislation and Repre-
sentation","Legislation and Repre-
sentation","423,198,171",-,"272,032,596",-,64.3,-,365,1
Legislative Oversight,Legislative Oversight,"223,126,596",-,"156,618,401",-,70.2,-,365,1
"General Admin, Planning
& Support","General Admin, Plan-
ning & Support","322,053,528","40,000,000","240,566,378",-,74.7,-,365,1
Sub-Total,,"968,378,295","40,000,000","669,217,375",-,69.1,-,365,1
OFFICE OF THE GOVERNOR,,,,,,,,365,1
Headquarters,Headquarters,"84,914,018",-,"61,860,935",-,72.9,-,365,1
Communication,Communication,"25,480,000",-,"18,632,360",-,73.1,-,365,1
Monitoring and Evaluation,"Monitoring and
Evaluation","13,179,000",-,"3,937,900",-,29.9,-,365,1
"Delivery unit (Research
and Strategy)","Delivery unit (Re-
search and Strategy)","9,250,000",-,"4,944,600",-,53.5,-,365,1
"Special Programmes (fire,
Rescue and Emergency
Services)","Special Programmes
(Fire, Rescue and
Emergency Services)","25,000,000",-,"11,543,500",-,46.2,-,365,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",366,0
"County Executive Admin-
istration Headquarters","County Executive
Administration Head-
quarters","7,100,000",-,"4,136,300",-,58.3,-,366,0
"External Linkages &
Partnership","External Linkages &
Partnership","8,111,000",-,"4,544,700",-,56.0,-,366,0
Sub-Total,,"173,034,018",-,"109,600,295",-,63.3,-,366,0
FINANCE ECONOMIC PLANNING & ICT,,,,,,,,366,0
General Administration,Administration,"267,857,430",-,"99,540,825",-,37.2,-,366,0
Investment Corporation,MCIDC,"21,709,324",-,"6,116,344",-,28.2,-,366,0
"Meru Microfinance
Corporation","Meru Microfinance
Corporation","76,155,481",-,"60,516,126",-,79.5,-,366,0
"Meru County Revenue
Board","Meru County Revenue
Board","332,432,000","27,500,000","226,080,341","5,000,000",68.0,18.2,366,0
Procurement,Procurement,"8,951,480",-,"6,033,060",-,67.4,-,366,0
Internal Audit,Internal Audit,"8,785,200",-,"8,183,957",-,93.2,-,366,0
Budget and Policy,Budget and Policy,"30,686,777",-,"24,815,836",-,80.9,-,366,0
Accounts,Accounts,"6,591,200",-,"4,195,524",-,63.7,-,366,0
ICT Development,ICT Development,"12,770,900","68,600,000","7,798,697","27,000,000",61.1,39.4,366,0
"Economic Planning and
Coordination Services","Economic Planning
and Coordination
Services","8,780,000",-,"5,924,342",-,67.5,-,366,0
Fleet Management,Fleet Management,"42,250,000",-,"34,695,436",-,82.1,-,366,0
Administration Services,"Administration
Services","10,525,665","23,311,393","9,486,274",-,90.1,-,366,0
Sub-Total,,"827,495,457","119,411,393","493,386,762","32,000,000",59.6,26.8,366,0
"AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHERIES",,,,,,,,366,0
General Administration,"General Adminis-
tration","8,540,000","841,837,419","4,599,850","180,299,022",53.9,21.4,366,0
Livestock,Livestock,"8,250,000","153,394,800","3,620,150",-,43.9,-,366,0
Fisheries,Fisheries,"4,605,000","26,806,584","1,235,000","2,499,575",26.8,9.3,366,0
Agriculture Development,"Agriculture Devel-
opment","13,792,586",-,"6,938,425",-,50.3,-,366,0
"Animal Disease Man-
agement","Animal Disease
Management","4,260,000","19,000,000","1,206,100",-,28.3,-,366,0
"Semi-Autonomous ATC
KAGURU","Semi-Autonomous
ATC KAGURU",-,"20,000,000",-,"17,432,563",-,87.2,366,0
Sub-Total,,"39,447,586","1,061,038,803","17,599,525","200,231,160",44.6,18.9,366,0
WATER IRRIGATION ENVIRONMENT & NATURAL RESOURCES,,,,,,,,366,0
Water & Irrigation,Water & Irrigation,"21,014,471","328,639,884","13,153,449","52,778,860",62.6,16.1,366,0
"Environment and Natural
Resources","Environment and
Natural Resources","29,113,144","70,882,428","14,718,850","59,882,428",50.6,84.5,366,0
Sub-Total,,"50,127,615","399,522,312","27,872,299","112,661,288",55.6,28.2,366,0
"EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,,,366,0
Administration Services,"Administration
Services","12,402,100",-,"5,699,350",-,46.0,-,366,0
