Programme,Sub-Programme,"Approved Supplementary Bud-
get Estimates FY 2023/24",col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",377,0
Department of County Executive,,,,,,,,377,0
"General administration
& support services","General Administration (Office of
the Governor)","202,600,000",-,"100,780,498",-,49.7,-,377,0
,other infrastructure,,"140,000,000",-,"43,426",-,-,377,0
,"General Administration (County
sec)","44,450,000",-,"13,283,140",-,29.9,-,377,0
,General Administration (dep gov),"40,300,000",-,"16,144,100",-,40.1,-,377,0
,General Administration (ICT),"13,780,000",-,"6,732,650",-,48.9,-,377,0
,"General Administration (Special
prog)","16,100,000",-,"2,159,680",-,13.4,-,377,0
"Governance & Admin-
istration Services",Governor’s Statehouse Services,"24,000,000",-,"17,958,018",-,74.8,-,377,0
,"Co-ordination and Supervision
Services (Gov)","36,000,000",-,"30,645,154",-,85.1,-,377,0
,"Co-ordination and Supervision
Services (ICT)","28,000,000",-,"8,113,718",-,29.0,-,377,0
,Lake Region Economic Bloc,"5,000,000",-,"1,519,800",-,30.4,-,377,0
,Council of Governors,"5,000,000",-,-,-,-,-,377,0
,Liaison office - Nairobi,"5,500,000",-,"700,000",-,12.7,-,377,0
,Chief of Staff,"5,000,000",-,-,-,-,-,377,0
,Protocol Office,"5,000,000",-,-,-,-,-,377,0
,Security Services (Gov),"8,000,000",-,"2,728,875",-,34.1,-,377,0
,Security Services(D/Gov),"2,000,000",,-,-,-,-,377,0
,Communication and Press,"5,000,000",-,-,-,-,-,377,0
,Political Advisor,"4,500,000",-,-,-,-,-,377,0
,Economic Advisor,"4,500,000",-,-,-,-,-,377,0
"County secretary
services",County secretary service.,"14,600,000",-,"7,309,750",-,50.1,-,377,0
"Cohesion & peace-
building",Peace Building Initiatives,"9,300,000",-,"1,860,000",-,20.0,-,377,0
,Conflict management & resolution,"9,400,000",-,"164,000",-,1.7,-,377,0
,Civic Education,"1,900,000",-,"113,000",-,5.9,-,377,0
,Peace Building Initiatives,"1,200,000",-,"264,235",-,22.0,-,377,0
Research & Education,Research & Education Services,"1,000,000",-,-,-,-,-,377,0
"Geospatial information
services.",Geospatial information services.,-,-,-,-,-,-,377,0
"Performance manage-
ment services",Performance management services,"4,000,000",-,"36,400",-,0.9,-,377,0
ICT Infrastructure,ICT infrastructure & connectivity,-,"7,970,000",-,-,-,-,377,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",378,0
"Communication
services",Communication services,"6,950,000",-,"1,207,957",-,17.4,-,378,0
,"County Media and Branding
Services","10,000,000",-,"75,000",-,0.8,-,378,0
,Digital Media,"8,300,000",-,-,-,-,-,378,0
E-governance,Automation services,"13,950,000",-,-,-,-,-,378,0
E-learning,"Digital curriculum integration &
development.","3,900,000",-,-,-,-,-,378,0
Digital innovation,Innovation services,"2,820,000",-,-,-,-,-,378,0
