Programme,Sub-Programme,"Approved Estimates FY 2023/24
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate %,col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,419,0
County Public Service Board,,,,,,,,419,0
"General Administrative
Services","General Administration Plan-
ning and Support Services","127,315,242","10,000,000",-,-,-,-,419,0
Total - County Public Service Board,,"127,315,242","10,000,000",-,-,-,-,419,0
Finance & Economic Planning,,,,,,,,419,0
"Public Financial Man-
agement",Assets Management Services,"217,500,000",-,"77,680,986",-,36,-,419,0
,Accounting Services,"213,000,000","25,000,000","46,156,671","4,870,690",22,19,419,0
,Debt Management Services,"576,000,000","775,000,000","238,346,855","293,899,365",41,38,419,0
,Supply Chain Management,"128,318,757",-,"90,455,096",-,70,-,419,0
"General Administrative
Services","General Administration &
Support Services","975,044,718",-,"887,340,483",-,91,-,419,0
"Economic Policy,
Formulation and Budget
Management","Budget Formulation Coordi-
nation and management","133,499,947",-,"61,933,248",-,46,-,419,0
,"Economic Planning Formula-
tion and Management","175,000,000",-,"49,738,929",-,28,-,419,0
Total - Finance & Economic Planning,,"2,418,363,422","800,000,000","1,451,652,268","298,770,055",60,37,419,0
Public Service Management,,,,,,,,419,0
"General Administration &
Support Services","General Administration &
Support Services","522,797,530",-,"389,320,122",-,74,-,419,0
"Public Service Transfor-
mation","Human Resource Manage-
ment","1,599,470,762",-,"1,478,354,000",-,92,-,419,0
,"Human Resource Develop-
ment","87,172,507","30,000,000","7,880,500",-,9,-,419,0
Total - Public Service Management,,"2,209,440,799","30,000,000","1,875,554,622",-,85,-,419,0
"Agriculture, Livestock Development, Fisheries &
Forestry",,,,,,,,419,0
,,Rec,Dev,Rec,Dev,Rec,Dev,420,0
"Administration, Planning
& Support Services","Administration, Planning &
Support Services","188,450,937","18,960,000","107,983,285",-,57,-,420,0
,Agriculture Committees,"2,551,000",-,-,-,-,-,420,0
,"Agricultural Development
Support Project","5,507,770",-,"3,000,000",-,54,-,420,0
"Urban Agriculture Promo-
tion & Regulation","Crop Development and
Management","9,093,928","21,000,000","767,860",-,8,-,420,0
,"Fisheries Development and
Management","7,300,130","20,000,000","684,660",-,9,-,420,0
,"Livestock Resources Manage-
ment and Development","7,392,192","20,000,000","1,263,910",-,17,-,420,0
"Animal Health, Safety
and Quality Assurance","Animal Research, Diseases,
Pest Control & Quality
Assurance","8,171,991","20,000,000","1,086,825",-,13,-,420,0
Afforestation,Forestry Services,"58,000,000","10,000,000","40,291,800",-,69,-,420,0
"Food Systems and Sur-
veillance","Food Systems and Surveil-
lance Services","7,441,114","14,000,000","675,400",-,9,-,420,0
"Total - Agriculture, Livestock Development, Fisheries
& Forestry",,"293,909,062","123,960,000","155,753,740",-,53,-,420,0
"Environment, Water, Energy & Natural Resources",,,,,,,,420,0
"General Administration &
Support Services","General Administration &
Support Services","1,096,039,622",-,"954,590,682",-,87,-,420,0
"Environment Manage-
ment and Protection.","Beautification, Recreation and
Greening Services","30,000,000",-,-,-,-,-,420,0
,Solid waste management,"1,100,000,000","206,040,000","959,259,022","65,304,000",87,32,420,0
,"Environment planning Man-
agement Services","20,000,000",-,"1,000,000",-,5,-,420,0
"Water Resources Man-
agement",Energy & Natural Resources,"100,000,000","215,000,000","14,829,347",-,15,-,420,0
,Water Resources Management,"42,000,000",-,-,-,-,-,420,0
"Total - Environment, Water, Energy & Natural Re-
sources",,"2,388,039,622","421,040,000","1,929,679,051","65,304,000",81,16,420,0
Ward Development Programmes,,,,,,,,420,0
"Ward Development &
Administration","Ward Development & Admin-
istration","92,375,466","1,955,000,000","3,913,015",-,4,-,420,0
Total - Ward Development Fund,,"92,375,466","1,955,000,000","3,913,015",-,4,-,420,0
Emergency Fund,,,,,,,,420,0
"General Administration &
Support Services","General Administration &
Support Services","200,000,000",-,"200,000,000",-,100,-,420,0
