Program,"Sub Pro-
gramme",Description,Approved Budget,"Actual Expenditure
as of 31st March 2024",Absorption (%),page_number,table_index,col_6
,,Default Value (Non-Departmental),-,-,-,529,1,
,3260,,-,-,-,529,1,
,103003260,Infrastructure Development programme,-,-,-,529,1,
,101003260,Administration Planning and Support Services,-,-,-,529,1,
,701003260,General Administration support services,-,-,-,529,1,
3261000100,,County Assembly Headquarters,"870,860,457.00","544,128,086.00",62,529,1,
,702003260,County Assembly Infrastructure improvement,"90,000,000.00","15,499,965",17,529,1,
,701003260,General Administration support services,"780,860,456.97","528,628,121.00",68,529,1,
3262000100,,Headquarters,"3,053,733,238.00","2,162,966,276.00",71,529,1,
,703003260,Decentralised Infrastructure Development Programme,-,-,-,530,0,
,701003260,General Administration support services,"3,053,733,238.00","2,162,966,276.00",71,530,0,
,3260,,-,-,-,530,0,
,705003260,Leadership Development Programme,-,-,-,530,0,
,704003260,"General Administration and Management of County
Affairs",-,-,-,530,0,
3262000200,,Taveta Sub County Administration,"1,267,900.00","186,200.00",15,530,0,
,705003260,Leadership Development Programme,-,-,-,530,0,
,701003260,General Administration support services,"1,267,900.00","186,200.00",15,530,0,
3262000300,,Wundanyi Sub County Administration,"1,000,000.00","186,750.00",19,530,0,
,703003260,Decentralised Infrastructure Development Programme,-,-,-,530,0,
,701003260,General Administration support services,"1,000,000.00","186,750.00",19,530,0,
3262000400,,Mwatate Sub County Administration,"1,073,000.00","364,650.00",34,530,0,
,701003260,General Administration support services,"1,073,000.00","364,650.00",34,530,0,
,703003260,Decentralised Infrastructure Development Programme,-,-,-,530,0,
3262000500,,Voi Sub County Administration,"1,306,000.00","341,400.00",26,530,0,
,701003260,General Administration support services,"1,306,000.00","341,400.00",26,530,0,
3262000600,,Taveta Town Administration,-,-,-,530,0,
,705003260,Leadership Development Programme,-,-,-,530,0,
,701003260,General Administration support services,-,-,-,530,0,
,703003260,Decentralised Infrastructure Development Programme,-,-,-,530,0,
3262000700,,Voi Town Administration,"2,563,979.347",-,-,530,0,
,701003260,General Administration support services,"2,563,979.347",-,-,530,0,
,705003260,Leadership Development Programme,-,-,-,530,0,
,703003260,Decentralised Infrastructure Development Programme,-,-,-,530,0,
3262000800,,County Policing Authority,-,-,-,530,0,
,701003260,General Administration support services,-,-,-,530,0,
3262000900,,Human Resource Management,"2,822,000.00","2,221,920.00",79,530,0,
,701003260,General Administration support services,"2,822,000.00","2,221,920.00",79,530,0,
3262001000,,,"3,019,300.00","2,573,656.00",85,530,0,
