Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",569,1
"Agriculture, Livestock",,"254,131,256","889,579,547","125,438,533.00","93,696,971.70",49.4,10.5,569,1
Crop Development,,-,"889,579,547",-,"93,696,971.70",-,10.5,569,1
,Crop Diversification,-,"611,014,470",-,"68,162,698.00",-,11.2,569,1
,"Post-harvest manage-
ment and value addition",-,"278,565,077",-,"25,534,273.70",-,9.2,569,1
"Administrative And
Support Services",,"254,131,256",-,"125,438,533.00",-,49.4,-,569,1
,"Administrative And
Support Services","254,131,256",-,"125,438,533.00",-,49.4,-,569,1
"Trade, Commerce and
Industry",,"48,974,495","334,495,111","27,675,147.10","36,612,618.00",56.5,10.9,569,1
"Medium and small
Enterprises",,-,"334,495,111",-,"36,612,618.00",-,10.9,569,1
,"Medium and small
Enterprises",,"334,495,111",,"36,612,618.00",-,10.9,569,1
"Administrative And
Support Services",,"48,974,495",-,"27,675,147.10",-,56.5,-,569,1
,"Administrative And
Support Services","48,974,495",,"27,675,147.10",,56.5,-,569,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",570,0
"Water, Environment
and Natural Resources",,"73,794,564","497,733,567","31,941,180.90","46,929,842.00",43.3,9.4,570,0
"Environment manage-
ment and protection",,-,"497,733,567",-,"46,929,842.00",-,9.4,570,0
,Waste Management,,"497,733,567",,"46,929,842.00",-,9.4,570,0
"Administrative And
Support Services",,"73,794,564",-,"31,941,180.90",-,43.3,-,570,0
,"Administrative And
Support Services","73,794,564",,"31,941,180.90",,43.3,-,570,0
"Public Works, Roads
and Infrastructure",,"143,177,618","498,921,850","53,193,084.20","241,570,813.65",37.2,48.4,570,0
"Road Construction and
Road Maintenance",,-,"498,921,850",-,"241,570,813.65",-,48.4,570,0
,Maintenance of Roads,,"498,921,850",,"241,570,813.65",-,48.4,570,0
"Administrative And
Support Services",,"143,177,618",-,"53,193,084.20",-,37.2,-,570,0
,"Administrative And
Support Services","143,177,618",,"53,193,084.20",,37.2,-,570,0
"Lands, Housing and
Urban Planning",,"79,543,815","455,045,094","57,952,541.15","3,007,241.35",72.9,0.7,570,0
"Administrative And
Support Services",,"79,543,815","455,045,094","57,952,541.15","3,007,241.35",72.9,0.7,570,0
,"Administrative And
Support Services","79,543,815","455,045,094","57,952,541.15","3,007,241.35",72.9,0.7,570,0
"Gender, Sports, Cul-
ture and Tourism",,"148,612,882","230,437,301","34,871,414.70","108,449,360.25",23.5,47.1,570,0
"Cultural development
and promotion",,-,"230,437,301",-,"108,449,360.25",-,47.1,570,0
,Culture development,,"230,437,301",,"108,449,360.25",-,47.1,570,0
"Administrative And
Support Services",,"148,612,882",-,"34,871,414.70",-,23.5,-,570,0
,"Administrative And
Support Services","148,612,882",,"34,871,414.70",,23.5,-,570,0
"Public Service Man-
agement",,"593,055,177","300,749,509","383,801,255.90","79,843,942.35",64.7,26.5,570,0
"Infrastructure Devel-
opment",,-,"300,749,509",-,"79,843,942.35",-,26.5,570,0
,"Supervision and Man-
agement of Projects",,"300,749,509",,"79,843,942.35",-,26.5,570,0
"Administrative And
Support Services",,"593,055,177",-,"383,801,255.90",-,64.7,-,570,0
,"Administrative And
Support Services","593,055,177",,"383,801,255.90",,64.7,-,570,0
Education and ICT,,"694,682,622","160,790,725","343,362,215.70",-,49.4,-,570,0
"Vocational Training
Development",,-,"160,790,725",-,-,-,-,570,0
,"Vocational Training
Development",,"160,790,725",,,-,-,570,0
"Administrative And
Support Services",,"694,682,622",-,"343,362,215.70",-,49.4,-,570,0
,"Administrative And
Support Services","694,682,622",,"343,362,215.70",,49.4,-,570,0
Finance,,"601,859,682","248,532,843","468,403,537.30","131,674,876.85",77.8,53.0,570,0
"Administrative and
Support Services",,"601,859,682","248,532,843","468,403,537.30","131,674,876.85",77.8,53.0,570,0
,"Supervision and Man-
agement of Projects",,"248,532,843",-,"131,674,876.85",-,53.0,570,0
,"Administrative And
Support Services","601,859,682",,"468,403,537.30",-,77.8,-,570,0
Governance,,"171,010,020","25,000,000","76,017,755.75",-,44.5,-,570,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",571,0
"Infrastructure Devel-
opment",,-,"25,000,000",-,-,-,-,571,0
,"Supervision and Man-
agement of Projects",,"25,000,000",-,-,-,-,571,0
"Administrative And
Support Services",,"171,010,020",-,"76,017,755.75",-,44.5,-,571,0
,"Administrative And
Support Services","171,010,020",-,"76,017,755.75",-,44.5,-,571,0
"County Public Service
Board",,"75,660,299","12,995,000","19,744,303.00",-,26.1,-,571,0
"Governance and Coun-
ty Values",,-,"12,995,000",-,-,-,-,571,0
,"Infrastructure Devel-
opment",,"12,995,000",-,-,-,-,571,0
"Administrative And
Support Services",,"75,660,299",-,"19,744,303.00",-,26.1,-,571,0
,"Administrative And
Support Services","75,660,299",-,"19,744,303.00",-,26.1,-,571,0
Health Corporate,,"2,054,239,334","372,682,059","1,473,829,025.10","923,432.70",71.7,0.2,571,0
"Administrative and
Support Services",,"2,054,239,334","372,682,059","1,473,829,025.10","923,432.70",71.7,0.2,571,0
,"Preventive Health
Services",,"372,682,059",-,"923,432.70",-,0.2,571,0
,"Administrative And
Support Services","2,054,239,334",-,"1,473,829,025.10",-,71.7,-,571,0
Economic Planning,,"42,053,780","18,800,000","12,628,616.25",-,30.0,-,571,0
"County Research and
Development Planning",,-,"18,800,000",-,-,-,-,571,0
,"County Development
Planning Services",-,"18,800,000",-,-,-,-,571,0
"Administrative And
Support Services",,"42,053,780",-,"12,628,616.25",-,30.0,-,571,0
,"Administrative And
Support Services","42,053,780",,"12,628,616.25",-,30.0,-,571,0
"Municipality Board
of Kitale",,"26,067,705","34,450,916","1,187,030.00",-,4.6,-,571,0
"Administrative And
Support Services",,"26,067,705","34,450,916","1,187,030.00",-,4.6,-,571,0
,"Administrative And
Support Services","26,067,705","34,450,916","1,187,030.00",-,4.6,-,571,0
County Attorney,,"64,607,180",-,"15,433,514.70",-,23.9,-,571,0
"Administrative And
Support Services",,"64,607,180",-,"15,433,514.70",-,23.9,-,571,0
,"Administrative And
Support Services","64,607,180",-,"15,433,514.70",-,23.9,-,571,0
County Assembly,,"759,771,133","340,650,000","585,029,195.00","182,940,563.05",77.0,53.7,571,0
"Administrative And
Support Services",,"759,771,133","340,650,000","585,029,195.00","182,940,563.05",77.0,53.7,571,0
,"Administrative And
Support Services","759,771,133","340,650,000","585,029,195.00","182,940,563.05",77.0,53.7,571,0
,Grand Total,"5,831,241,562","4,420,863,522","3,710,508,349.75","925,649,661.90",63.6,20.9,571,0
