Programme,Sub-Programme,"Approved Estimates
FY 2023/24 (Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,col_6
,,A,B,C=A-B,D=B/A*100,580,0,
Office of the Governor,,,,,,580,0,
"General Administra-
tion, Planning and
Support Service","General Administration and Sup-
port services","163,868,782","106,000,149","57,868,633",64.7,580,0,
"Donor /Investor
Engagement","Public-Private Partnership Initia-
tives (PPPs)","3,500,000","2,750,000","750,000",78.6,580,0,
,"Political and Intergovernmental
Advisory Services","4,500,000","3,030,115","1,469,885",67.3,580,0,
,Legal Advisory Services,"4,000,000","2,855,500","1,144,500",71.4,580,0,
,"Security and cross-border Advisory
Services","1,500,000","1,300,000","200,000",86.7,580,0,
,Oil and Gas Advisory Service,"1,500,000","1,450,000","50,000",96.7,580,0,
,"Gender and Partnership Advisory
Services","1,500,000","880,663","619,337",58.7,580,0,
,Special Interest groups,"1,000,000","842,400","157,600",84.2,580,0,
,Climate Change advisory services,"1,500,000","1,200,000","300,000",80.0,580,0,
,"Education and youth Advisory
services","1,500,000","1,500,000",-,100.0,580,0,
,"Culture, Arts and Heritage advisory
services","1,500,000","1,500,000",-,100.0,580,0,
"Security and Peace
Building","County Peace Building and Con-
flict Management","3,000,000","2,400,000","600,000",80.0,580,0,
,"Internal Peace Building and Con-
flict Management","3,000,000","2,600,000","400,000",86.7,580,0,
,"Resettlement Infrastructural
Programme","101,000,000",-,"101,000,000",0.0,580,0,
,"Cross Border Peace Dividends
Programme","3,500,000","2,300,000","1,200,000",65.7,580,0,
"Public Participation
and Access to Infor-
mation","Construction of Citizen Resource
Centre","4,000,000","2,767,000","1,233,000",69.2,580,0,
,Government Coordination,"3,000,000","2,620,640","379,360",87.4,580,0,
,Community Engagement,"9,000,000","7,467,000","1,533,000",83.0,580,0,
,Intergovernmental Relation,"15,606,600","7,689,000","7,917,600",49.3,580,0,
,"Strategy Development, Review,
Support and Operationalization","1,577,044",-,"1,577,044",-,580,0,
"Governor’s Press
Service",Governors Press Support,"15,285,233","9,382,115","5,903,118",61.4,580,0,
,Subtotal,"344,837,659","160,534,582","184,303,077",46.6,580,0,
Office of the Deputy Governor,,,,,,580,0,
"General Planning and
Support","General Planning and Support
services","23,222,687","18,223,534","4,999,153",78.5,580,0,
,,A,B,C=A-B,D=B/A*100,581,0,
"Government Program-
ming",Government Programming,"2,300,000",-,"2,300,000",-,581,0,
,Community Engagement,"1,900,568",-,"1,900,568",-,581,0,
,"Government Stakeholder Engage-
ment","1,800,000",-,"1,800,000",-,581,0,
,Government Transformation,"1,600,090",-,"1,600,090",-,581,0,
,Subtotal,"30,823,345","18,223,534","12,599,811",59.1,581,0,
Finance and Economic Planning,,,,,,581,0,
"General Administra-
tion, Planning and
Support Service",General Administration Services,"1,841,929,532","858,231,700","983,697,832",46.6,581,0,
,"General Administration - Economic
planning","223,017,424","150,926,680","72,090,744",67.7,581,0,
