col_0,col_1,col_2,Revised Estimates (Kshs.),col_4,Expenditure (Kshs.),col_6,Absorption %,col_8,page_number,table_index
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",617,0
"3369-Wajir - Agriculture, Livestock, and Fisheries Development",,,,,,,,,617,0
101003369,,,"184,449,841.00",-,"80,204,095.35",-,43,-,617,0
,"Use of goods and
services","Use of goods
and services",-,-,-,-,-,-,617,0
,"General admin-
istration and
support services","General admin-
istration and
support services","184,449,841.00",-,"80,204,095.35",-,43,-,617,0
102003369,,,,,,,,,617,0
,"Breed improve-
ment program","Breed improve-
ment program",-,-,-,-,-,-,617,0
,"Poultry promo-
tion program","Poultry promo-
tion program",-,-,-,-,-,-,617,0
,"Beekeeping
Structures","Beekeeping
Structures",-,-,-,-,-,-,617,0
,Livestock census,"Livestock
census",-,-,-,-,-,-,617,0
103003369,,,"15,290,200.00","13,000,000.00","11,854,583.00","2,997,420.00",78,23,617,0
,"Construction of
hay stores","Construction of
hay stores",-,-,-,-,,,617,0
,"Animal Health
& Disease
Management and
Control","Animal Health
& Disease
Management
and Control",-,-,-,-,-,-,617,0
,"Livestock mar-
kets improvement
program","Livestock
markets
improvement
program",-,-,-,-,-,-,617,0
,"Livestock
Production &
Management","Livestock
Production &
Management","15,290,200.00","13,000,000.00","11,854,583.00","2,997,420.00",78,23,617,0
,"Livestock
Products Value
Addition and
Marketing","Livestock
Products Value
Addition and
Marketing",-,-,-,-,-,-,617,0
104003369,,,"12,471,320.00","46,720,800.00","9,199,899.00","44,510,915.20",74,95,617,0
,"Veterinary sup-
port services","Veterinary sup-
port services","12,471,320.00","46,720,800.00","9,199,899.00","44,510,915.20",74,95,617,0
105003369,,,-,-,-,-,-,-,617,0
,"Construction of
Vet lab","Construction of
Vet lab",-,-,-,-,-,-,617,0
,"Completion of
Wajir Export
Slaughter House","Completion of
Wajir Export
Slaughter
House",-,-,-,-,-,-,617,0
,"Completion of
Buna Tannery","Completion of
Buna Tannery",-,-,-,-,-,-,617,0
106003369,,,-,-,-,-,-,-,617,0
,"Construction of
office Block","Construction of
office Block",-,-,-,-,-,-,617,0
,"On farm demon-
strations","On farm
demonstrations",-,-,-,-,-,-,617,0
,"Supply of farm
inputs (Certified
seeds for crops
and pasture)","Supply of
farm inputs
(Certified seeds
for crops and
pasture)",-,-,-,-,-,-,617,0
,"Agricultural
mechanization
services","Agricultural
mechanization
services",-,-,-,-,-,-,617,0
107003369,,,"20,653,900.00","546,672,737.00","15,750,130.60","230,132,142.30",76,42,617,0
,"Irrigation Struc-
tures develop-
ment","Irrigation
Structures
development",-,-,-,-,-,-,617,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",618,0
