Programme/SP,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 31st March
2024 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,632,0
COUNTY EXECUTIVE,,,,,,,,632,0
Programme 1-,"SP 1 - (General Administration,
Planning and Support Services)","412,479,543","113,366,466.32","274,251,088.05","27,096,840.65",66,23.9,632,0
,"SP 2 - (County Public service
Board","21,847,120",-,"12,361,112.95",-,57,-,632,0
,SP 3 -(County Executive affairs),"40,714,871",-,"21,570,111.30",-,53,-,632,0
,"SP 4-(Liaison and Intergovern-
mental service)","16,692,415",-,"8,531,794.00",-,51,-,632,0
TOTAL,,"491,733,949","113,366,466.32","316,714,106.30","27,096,840.65",64,23.9,632,0
FINANCE &ECONOMIC PLANNING,,,,,,,,632,0
Programme 2 -,"SP 1(General Administration,
Planning and Support Services","227,617,226","35,377,012.00","141,432,061.05","674,470.80",62,1.9,632,0
,"SP 2-(Treasury Accounting
Services)","10,159,823",-,"6,182,800.00",-,61,-,632,0
,"SP 3-(Supply Chain Management
services)","3,888,000",-,"998,600.00",-,26,-,632,0
,SP 4-(Resource Mobilization),"12,707,282",-,"6,843,662.00",-,54,-,632,0
,SP 5-(Internal Audit services),"6,543,600",-,"1,633,550.00",-,25,-,632,0
,"SP 6-(Budget Formulation
services)","14,810,000",-,"5,513,965.50",-,37,-,632,0
,SP 7-(Economic Planning),"13,261,450",-,"5,903,371.65",-,45,-,632,0
,"SP 8-(Monitoring and Evalu-
ation)","22,500,000",-,"9,658,395.85",-,43,-,632,0
TOTAL,,"311,487,381","35,377,012.00","178,166,406.05","674,470.80",57,1.9,632,0
"ROADS, PUBLIC WORKS, TRANSPORT AND INFRASTRUCTURE",,,,,,,,632,0
Programme 3 -,"SP 1(General Administration,
Planning and Support Services","93,209,729",-,"54,178,907.60","26,843,804.40",58,-,632,0
,SP 2(Road Transport),"5,590,808",-,"2,104,252.40",-,38,-,632,0
,SP 3(Construction of bridges),"21,499,520","145,856,918.00","18,620,651.90","44,756,628.95",87,30.7,632,0
,SP 5-(Ward Specific Projects),0.00,"185,436,372.00",-,"2,799,970.00",-,1.5,632,0
TOTAL,,"120,300,057","331,293,290.00","74,403,841.90","74,400,403.35",62,22.5,632,0
,,Rec,Dev,Rec,Dev,Rec,Dev,633,0
HEALTH AND SANITATION,,,,,,,,633,0
Programme 4 -,"SP 1(General Administration,
Planning and Support Services","1,468,336,243",-,"1,033,516,174.65","16,339,466.85",70,-,633,0
,"SP 2-(Preventive Health
Services)","85,344,880","89,531,075.80","62,186,659.90",-,73,-,633,0
,SP 3-(Curative Health Services),"120,855,383","8,164,788.20","99,876,067.00","2,610,374.50",83,31.9,633,0
,"SP 4-(Kacheliba Sub-county
hospital)","13,940,000",-,"6,591,053.30",-,47,-,633,0
,SP 5-(Sigor Sub county hospital),"13,860,000",-,"6,596,123.30",-,48,-,633,0
,"SP 6-(Chepareria Sub county
hospital)","13,860,000",-,"6,607,557.30",-,48,,633,0
,"SP 7(Facility Improvement
Fund)","127,800,000","5,000,000.00","68,129,140.00",-,53,-,633,0
,SP 8(Ward Specific),0.00,"79,486,394.00","19,441,494.80","2,654,630.00",-,-,633,0
TOTAL,,"1,843,996,507","182,182,258.00","1,302,944,270.25","21,604,471.35",71,11.86,633,0
EDUCATION AND TECHNICAL TRAINING,,,,,,,,633,0
Programme 5 -,"SP 1(General Administration,
Planning and Support Services","354,106,405","344,064,564.00","320,901,418.60","10,431,435.55",91,3,633,0
,SP 2 -(ECD Services),"22,072,234","11,817,414.00","1,886,757.25",-,9,-,633,0
,SP 3-(Youth Vocational training),"16,305,408","8,379,478.00",-,-,-,-,633,0
,SP 4-(Bursary Fund),"310,000,000",-,"302,427,800.00","300,000,000.00",98,-,633,0
,SP 5 - (Ward specific),-,"115,331,622.00","26,063,454.45","5,387,290.55",-,4.7,633,0
TOTAL,,"702,484,047","479,593,078.00","551,279,430.30","315,818,726.10",78,65.9,633,0
AGRICULTURE AND IRRIGATION,,,,,,,,633,0
Programme 6 -,"SP 1 - (General Administration,
Planning and Support Services)","96,554,520",-,"88,912,038.15",-,92,-,633,0
,"SP 2-(Crop Development and
Management)","6,000,000","26,500,000.00","5,000,000.00",-,83,-,633,0
,"SP 3-(Cash Crop Produc-
tion(Special Programs)","5,070,529","241,007,244.00","4,126,300.00","1,499,822.00",81,0.6,633,0
,SP 4 -(Ward specific),-,"39,400,000",-,-,-,-,633,0
TOTAL,,"107,625,049","306,907,244.00","98,038,338.15","1,499,822.00",91,0.5,633,0
PASTORAL ECONOMY,,,,,,,,633,0
Programme 7 -,"SP 1 - (General Administration,
Planning and Support Services)","64,781,979",-,"29,360,205.85",-,45,-,633,0
,"SP 2 - (Livestock production and
Range Management)","14,480,000","127,336,892.00","13,988,942.20","2,730,959.00",97,2,633,0
,"SP 3-(Livestock Disease man-
agement)","6,670,000","480,000.00","4,871,800.00",-,73,-,633,0
,SP 4-(Fisheries Development),"10,500,000","5,800,000.00","2,493,200.00",-,24,-,633,0
,"SP 5-(Nasukuta Livestock
Improvement Center)","1,900,000","8,200,000.00","1,788,360.00",-,94,-,633,0
,SP 6 -(Ward specific),0.00,"47,288,000.00","14,395,200.00",-,-,-,633,0
,"SP 7 -(Dairy Development(Spe-
cial Programmes)",0.00,-,-,-,-,-,633,0
TOTAL,,"98,331,979","189,104,892.00","66,897,708.05","2,730,959.00",68,1.44,633,0
,,Rec,Dev,Rec,Dev,Rec,Dev,634,0
"TRADE, INDUSTRIALISATION, INVESTMENT & COOPERATIVE DEVELOPMENT",,,,,,,,634,0
Programme 8 -,"SP 1 - (General Administration,
Planning and Support Services)","82,826,015","33,900,000.00","39,148,687.60",-,47,-,634,0
,SP 2-(Cooperative Development),"1,889,601","999,999.00",-,-,-,-,634,0
,"SP 3 - (Trade, License and Mar-
ket Development)","2,486,000",-,"1,792,550.00",-,72,-,634,0
,SP 4-(Ward specific),-,"11,220,943.00","2,012,200.00",-,-,-,634,0
TOTAL,,"87,201,616","46,120,942.00","42,953,437.60",-,49,-,634,0
"LANDS, HOUSING, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,634,0
Programme 9 -,"SP 1 - (General Administration,
Planning and Support Services)","85,401,239",-,"45,886,497.95",-,54,-,634,0
,"SP 2 -(Land Policy and Physical
Planning)","8,291,200",-,"3,645,086.20",-,44,-,634,0
,SP 3-(Housing Development),"1,612,000",-,"1,154,750.00",-,72,-,634,0
,SP 4-(Urban Development),"2,528,800",-,"1,263,100.00",-,50,-,634,0
,SP 5-(Kapenguria Municipality),"73,500,000","74,440,288.00","20,723,661.55","1,062,282.00",28,1.43,634,0
,SP 6-(Ward specific),"2,450,000","3,299,778.00","2,102,422.45",-,86,-,634,0
TOTAL,,"173,783,239","77,740,066.00","74,775,518.15","1,062,282.00",43,1.3,634,0
"WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,634,0
Programme 10 -,"SP 1 - (General Administration,
Planning and Support Services)","68,119,585","4,200,000.00","51,934,360.80","4,000,000.00",76,95.2,634,0
,SP 2 -(Water Supply Services),"13,455,999","47,752,107.50",-,"10,000,000.00",-,20.9,634,0
,"SP 3 -(Environment & Natural
Resource Development)","8,981,280","174,752,000.00","203,404.00","20,000,000.00",2,11.4,634,0
,SP 4 -(Ward Specific),0.00,"119,349,900.00",-,"25,145,226.00",-,21.0,634,0
TOTAL,,"90,556,864","346,054,007.50","52,137,764.80","59,145,226.00",58,17.,634,0
"TOURISM, YOUTH SPORTS AND CULTURE",,,,,,,,634,0
