Programme,Sub-Programme,"Approved Estimates
(Kshs.)
Recurrent Development",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index,"Approved Estimates
(Kshs.)"
,,,Development,Recurrent,Development,Rec,Dev,83,1,
Smart agriculture,,,,,,,,83,1,
"Programme 1.
General administration &
support services",,"252,491,471",-,"80, 574, 442",-,31.9,-,83,1,
,"SP 1. General
administration &
support services.","252,491,471",-,"80, 574, 442",-,31.9,-,83,1,
,,,Development,Recurrent,Development,Rec,Dev,84,0,Recurrent
Programme 3.,,,"71, 171, 972","1, 576, 400","55, 977, 940",35.3,78.7,84,0,"4, 470, 000"
,"SP 1. Aquaculture
development",,"71, 171, 972","1, 576, 400","55, 977, 940",35.3,78.7,84,0,"4, 470, 000"
Programme 4.,,,"120, 055, 215","11, 900, 487","120, 055, 209",62.7,100,84,0,"18, 989, 011"
,"SP 1. Livestock disease
management",,-,"8, 300, 761",-,80.2,-,84,0,"10, 387, 500"
,"SP 6. Livestock
extension services",,-,"3, 599, 726",-,41.9,-,84,0,"8, 601, 511"
,"SP 7. Kenya Climate
Smart Agriculture",,"120, 055, 215",-,"120, 055, 209",-,100,84,0,-
Programme 8.,,,"446, 366, 379",-,"424, 362, 405",-,95.1,84,0,-
,SP 4. Crop protection,,"1, 998, 880",-,"1, 647, 000",-,82.4,84,0,-
,"SP 5. Agriculture input
support services",,"102, 331, 384",-,"93, 764, 736",-,91.6,84,0,-
,"SP 6. Crop
diversification",,"17, 843, 386",-,"8, 004, 650",-,44.9,84,0,-
,"SP 7. Multi sectoral
nutrition improve",,"2, 000, 000",-,-,-,-,84,0,-
,SP 9. NAVCDP Grant,,"322, 192, 729",-,"320, 946, 019",-,99.6,84,0,-
Programme 9.,,,"18, 356, 546","2, 337, 592","19, 537, 628",55.9,106.4,84,0,"4, 179, 447"
,"SP. 9.1. Farmers
training & tech transfer",,-,"2, 337, 592",-,55.9,-,84,0,"4, 179, 447"
,"SP. 9.2. Agricultural
extension services",,"13, 295, 196",-,"9, 973, 118",-,75.0,84,0,-
,"SP. 9.3. ATC
Infrastructure",,"5, 061, 350",-,"9, 564, 510",-,189.0,84,0,-
Programme 13.,,,"64, 639, 704",-,"52, 252, 547",-,80.8,84,0,-
,SP. 13.1,,"19, 986, 979",-,"16, 669, 312",-,83.4,84,0,-
,SP. 13.2.,,"4, 000, 000",-,"3, 999, 000",-,100,84,0,-
,SP. 13.4 Vector control,,"14, 332, 805",-,"10, 077, 425",-,70.3,84,0,-
,"SP. 13.5 Veterinary
laboratory services",,"1, 319, 920",-,"512, 295",-,38.8,84,0,-
,"SP. 13.6. Leather
development",,"2, 000, 000",-,"1, 819, 540",-,91.0,84,0,-
,"SP. 13.7. Artificial
insemination",,"9, 000, 000",-,"5, 676, 740",-,63.1,84,0,-
,"SP. 13.8. Veterinary
extension services",,"14, 000, 000",-,"13, 498, 235",-,96.4,84,0,-
Programme 14.,,,"73, 896, 313",-,"12, 495, 680",-,16.9,84,0,-
,"SP. 14.1. Agricultural
land use &
mechanization",,"73, 896, 313",-,"12, 495, 680",-,16.9,84,0,-
Programme 16.,,,"71, 093, 139",-,"58, 854, 199",-,82.8,84,0,-
,"SP.16.1. Dairy cattle
management",,"12, 777, 375",-,"9, 024, 430",-,70.6,84,0,-
,"SP. 16.2. Dairy products
value addition",,"8, 350, 000",-,"3, 563, 620",-,42.7,84,0,-
,"SP. 16.4. Apiculture
development",,"1, 500, 000",-,"1, 499, 680",-,100,84,0,-
,"SP. 16.5. KeLCOP
Grant",,"34, 099, 931",-,"34, 099, 928",-,100,84,0,-
,"SP. 16.6. Livestock
input access",,"8, 865, 833",-,"8, 607, 950",-,97.1,84,0,-
,"SP. 16.7. Pasture &
fodder management",,"5, 500, 000",-,"2, 058, 555",-,37.4,84,0,-
,Subtotal,,"865, 579, 268","99, 071, 189","743, 535, 608",35.4,85.9,84,0,"280, 129, 929"
,,,Development,Recurrent,Development,Rec,Dev,85,0,Recurrent
"Department of Trade, Cooperatives, Tourism and Industry",,,,,,,,85,0,
"Programme 1. Policy
General administration",,,-,"21, 425, 147",-,31.8,-,85,0,"67, 364, 580"
,"SP. 1.1. General
administration &
support service",,-,"21, 425, 147",-,31.8,-,85,0,"67, 364, 580"
Programme 2.,,,"6, 995, 000","7, 651, 767",-,52.2,-,85,0,"14, 661, 416"
,SP. 2.1. Domestic trade,,-,"6, 426, 366",-,58.1,-,85,0,"11, 054, 015"
,"SP. 2.3. Fair trade
practices & consumer
protect",,"6, 995, 000","1, 225, 401",-,34.0,-,85,0,"3, 607, 401"
Programme 9.,,,"5, 000, 000",-,-,-,-,85,0,-
,"SP. 9.2. Liquor licensing
& regulation",,"5, 000, 000",-,-,-,-,85,0,-
Programme 10.,,,"134, 697, 995",-,"49, 116, 627",-,36.5,85,0,-
,"SP. 10.1. MSME
promotion",,"134, 697, 995",-,"49, 116, 627",-,36.5,85,0,-
Programme 12.,,,"250, 000, 000",-,"126, 317, 051",-,50.5,85,0,-
,"SP. 12.1. Industrial
development",,"250, 000, 000",-,"126, 317, 051",-,50.5,85,0,-
Programme 13,,,"8, 600, 000","8, 400, 623","5, 500, 000",59.2,64.0,85,0,"14, 185, 581"
,"SP. 13.1. Cooperative
development",,"8, 600, 000","8, 400, 623","5, 500, 000",59.2,64.0,85,0,"14, 185, 581"
,Subtotal,,"405, 292, 995","37, 477, 538","180, 933, 678",39.0,44.6,85,0,"96, 211, 577"
Department of Education and Vocational Training.,,,,,,,,85,0,
"Programme 1. General
admin & support services",,,-,"261, 276, 918",-,41.5,-,85,0,"629, 684, 356"
,"SP. 1.1. General
administration &
support service",,-,"261, 276, 918",-,41.5,-,85,0,"629, 684, 356"
"Programme 2. Early
Childhood Development &
Education",,,"20, 000, 000","45, 494, 262","7, 165, 100",94.8,35.8,85,0,"47, 966, 126"
,"SP. 2.1. Early childhood
development & educate",,-,"45, 494, 262",-,94.8,-,85,0,"47, 966, 126"
,"SP. 2.4. ECDE
Infrastructure
development",,"9, 400, 000",-,"4, 386, 600",-,46.7,85,0,-
,"SP. 2.5. ECDE learning
materials",,"10, 600, 000",-,"2, 778, 500",-,26.2,85,0,-
Programme 3.,,,"42, 500, 000",-,"37, 864, 071",-,89.1,85,0,-
,"SP. 3.2. VTCs
infrastructure
development",,"42, 500, 000",-,"37, 864, 071",-,89.1,85,0,-
Programme 4.,,,"839, 336",-,"22, 500, 000",-,2680,85,0,-
,"SP. 4.1. Bursary
education support",,"839, 336",-,"22, 500, 000",-,2680,85,0,-
Programme 5.,,,-,"13, 129, 126",-,66.0,-,85,0,"19, 897, 051"
,"SP. 5.1. Vocational
rehabilitation &
training",,-,"13, 129, 126",-,66.0,-,85,0,"19, 897, 051"
,Sub-Total,,"63, 339, 336","319, 900, 309","67, 529, 171",45.9,106.6,85,0,"697, 547, 533"
Department of Finance and Economic Planning,,,,,,,,85,0,
"Programme 1. General
admin, policy & support
services",,,-,"386, 941, 191",-,67.7,-,85,0,"571, 552, 943"
,"SP. 1.1. General
administration &
support service",,-,"374, 173, 986",-,67.5,-,85,0,"554, 263, 791"
,"SP. 1.2. Financial
management services",,-,"12, 767, 205",-,73.8,-,85,0,"17, 289, 152"
,,,Development,Recurrent,Development,Rec,Dev,86,0,Recurrent
Programme 2.,,,"72, 919, 656","40, 137, 123","54, 971, 390",93.1,75.4,86,0,"43, 104, 444"
,"SP. 2.1. Resource
automation",,-,"11, 815, 391",-,90.0,-,86,0,"13, 118, 524"
,"SP. 2.2. Budget
formulation &
coordination",,-,"28, 321, 731",-,94.5,-,86,0,"29, 985, 920"
,"SP. 2.4. Resource mobi-
lization",,"72, 919, 656",-,"54, 971, 390",-,75.4,86,0,-
Programme 7.,,,-,"28, 008, 471",-,82.6,-,86,0,"33, 921, 119"
,"SP. 7.1. Monitoring and
Evaluation Systems",,-,"17, 958, 350",-,88.7,-,86,0,"20, 252, 614"
,SP. 7.2. Fiscal planning,,-,"10, 050, 121",-,73.5,-,86,0,"13, 668, 505"
Programme 10.,,,"6, 000, 000","11, 175, 600",-,105.3,-,86,0,"10, 616, 944"
,SP. 10.1. Statistics,,"6, 000, 000","11, 175, 600",-,105.3,-,86,0,"10, 616, 944"
Programme 18.,,,"13, 067, 046","13, 014, 299","13, 067, 046",100,100,86,0,"13, 014, 299"
,"ICT Development
services",,-,"13, 014, 299",-,100,-,86,0,"13, 014, 299"
,ICT,,"13, 067, 046",-,"13, 067, 046",-,100,86,0,-
,Sub-Total,,"78, 919, 656","479, 276, 684","68, 038, 436",72.7,86.2,86,0,"659, 195, 450"
"Department of youths, culture, Sports and social services",,,,,,,,86,0,
"Programme 1. General
admin & support services",,,-,"66, 237, 660",-,48.6,-,86,0,"136, 255, 604"
,"SP. 1.1. General
administration &
support service",,-,"66, 237, 660",-,48.6,-,86,0,"136, 255, 604"
Programme 2.,,,-,"4, 892, 532",-,37.6,-,86,0,"12, 996, 691"
,"SP. 2.2. Social welfare
services",,-,"4, 892, 532",-,37.6,-,86,0,"12, 996, 691"
Programme 3.,,,"1, 000, 000",-,"1, 000, 000",-,100,86,0,-
,"SP. 3.1. Youth
development services",,"1, 000, 000",-,"1, 000, 000",-,100,86,0,-
Programme 4.,,,"8, 026, 968",-,"5, 154, 678",-,64.2,86,0,-
,"SP. 4.2. Sports
administration &
development",,"4, 989, 800",-,"4, 145, 145",-,83.1,86,0,-
,"SP 4.3 Sports
Promotion &
infrastructure develop",,"3, 037, 168",-,"1, 009, 533",-,33.2,86,0,-
Programme 5.,,,"8, 000, 000",-,"1, 000, 000",-,12.5,86,0,-
,"SP. 5.1. Child
rehabilitation and
custody",,"8, 000, 000",-,"1, 000, 000",-,12.5,86,0,-
Programme 6.,,,"19, 000, 000",-,"8, 641, 210",-,45.5,86,0,-
,"SP. 6.3. Cultural
promotions &
development",,"19, 000, 000",-,"8, 641, 210",-,45.5,86,0,-
Programme 8.,,,"8, 698, 760",-,"1, 700, 000",-,19.5,86,0,-
,"SP. 8.4. Social support
services",,"8, 698, 760",-,"1, 700, 000",-,19.5,86,0,-
,Subtotal,,"44, 725, 728","71, 130, 192","17, 495, 888",47.7,39.1,86,0,"149, 252, 295"
"Department of Roads, transport and public works.",,,,,,,,86,0,
"Programme 1. General
admin & support services",,,-,"108, 618, 308",-,52.1,-,86,0,"208, 295, 855"
,"SP 1. General
administration &
support services",,-,"108, 618, 308",-,52.1,-,86,0,"208, 295, 855"
,,,Development,Recurrent,Development,Rec,Dev,87,0,Recurrent
Programme 2.,,,-,"14,857, 454",-,77.0,-,87,0,"19, 292, 247"
,"SP 1. Construction of
roads and bridges",,-,"8, 694, 992",-,81.8,-,87,0,"10, 630, 003"
,"SP 2. Routine
maintenance of county
roads",,-,"6, 162, 462",-,71.1,-,87,0,"8, 662, 244"
Programme 3.,,,"3, 000, 000",-,"1, 374, 065",-,45.8,87,0,-
,"SP 3. Alternative
transport development",,"3, 000, 000",-,"1, 374, 065",-,45.8,87,0,-
Programme 9.,,,"504, 494, 095",-,"318, 801, 066",-,63.2,87,0,-
,"SP 1. Road
infrastructure
development",,"424, 494, 095",-,"318, 801, 066",-,63.2,87,0,-
Programme 10.,,,"17, 000, 000",-,"13, 000, 000",-,76.5,87,0,-
,"SP. 10.1. Standardiza-
tion of construction
material",,"11, 000, 000",-,"7, 000, 000",-,63.6,87,0,-
,"SP. 10.2. Mechanical
and fabrication
workshop",,"6, 000, 000",-,"6, 000, 000",-,100,87,0,-
,Subtotal,,"524, 494, 095","124, 292, 637","333, 175, 131",50.2,63.5,87,0,"247, 588, 102"
Department of Public service management.,,,,,,,,87,0,
"Programme 4. General
admin & support services.",,,-,"335, 568, 641",-,65.5,-,87,0,"512, 469, 929"
,"SP. 4.1. General
administration &
support service",,-,"335, 568, 641",-,65.5,-,87,0,"512, 469, 929"
,Subtotal,,-,"335, 568, 641",-,65.5,-,87,0,"512, 469, 929"
"Department of Lands, housing and urban development.",,,,,,,,87,0,
Programme 1.,,,-,"109, 470, 725",-,75.0,-,87,0,"145, 939, 735"
,"SP 1. General
administration &
support services",,-,"109, 470, 725",-,75.0,-,87,0,"145, 939, 735"
Programme 7.,,,"38, 388, 495",-,"12, 145, 760",-,31.7,87,0,-
,"SP 2. Housing
development",,"150, 000",-,"550, 000",-,366.7,87,0,-
,"SP 3. Housing
management",,"38, 238, 495",-,"11, 595, 760",-,30.3,87,0,-
Programme 12.,,,-,"12, 435, 657",-,51.2,-,87,0,"24, 287, 766"
,"SP 2. Town
management services",,-,"12, 435, 658",-,51.2,-,87,0,"24, 287, 766"
Programme 17.,,,"13, 200, 000",-,"7, 486, 900",-,56.7,87,0,-
,"SP 2. Land use
administration and
manage",,"13, 200, 000",-,"7, 486, 900",-,56.7,87,0,-
Programme 18.,,,"103, 361, 630",-,"9, 950, 700",-,9.6,87,0,-
,"SP 1. Urban
management",,"5, 000, 000",-,0,-,0,87,0,-
,"SP 2. Urban
infrastructure
development & mgt",,"98, 361, 630",-,"9, 950, 700",-,10.1,87,0,-
,Subtotal,,"254, 950, 125.","121, 906, 383","29, 583, 360",71.7,11.6,87,0,"170, 227, 501"
"Department of Water, environment, irrigation, natural resources and climate change.",,,,,,,,87,0,
Programme 1.,,,-,"76, 783, 246",-,53.3,-,87,0,"144, 032, 157"
,"SP 1. General
administration &
support services",,-,"76, 783, 246",-,53.3,-,87,0,"144, 032, 157"
,,,Development,Recurrent,Development,Rec,Dev,88,0,Recurrent
Programme 2.,,,"113, 688, 487","3, 438, 719","82, 119, 759",71.0,72.2,88,0,"4, 840, 245"
,"SP 1. Renewable energy
technology",,-,"1, 452, 327",-,61.8,-,88,0,"2, 350, 303"
,"SP 2. Protection of
environment",,-,"1, 986, 392",-,79.8,-,88,0,"2, 489, 942"
,"SP 4. Rural
electrification",,"51, 700, 000",-,"42, 512, 423",-,82.2,88,0,-
,"SP 5. Installation &
maintenance of energy
infra",,"61, 988, 487",-,"39, 607, 336",-,63.9,88,0,-
Programme 3.,,,-,"3, 101, 348",-,44.8,-,88,0,"6, 915, 000"
,"SP 1. Forest
development &
management services",,-,"3, 101, 348",-,44.8,-,88,0,"6, 915, 000"
Programme 4.,,,"247, 043, 208","1, 624, 543","73, 679, 298",64.7,29.8,88,0,"2, 512, 500"
,"SP 1. Urban water and
sewerage",,"18, 998, 385","1, 624, 543","6, 169, 347",64.7,32.5,88,0,"2, 512, 500"
,"SP 2. Rural water
supply",,"201, 644, 823",-,"14, 554, 957",-,7.2,88,0,-
,"SP 4. Water systems
operations &
maintenance",,"26, 400, 000",-,"52, 954, 994",-,200.6,88,0,-
Programme 5.,,,-,"1, 001, 010",-,42.8,-,88,0,"2, 339, 320"
,"SP 1. Irrigation
infrastructure
development",,-,"1, 001, 010",-,42.8,-,88,0,"2, 339, 320"
Programme 6.,,,"22, 771, 169",-,"3, 395, 150",-,14.9,88,0,-
,"SP 2. Afforestation and
Agro- forestation",,"15, 399, 974",-,"1, 043, 350",-,6.8,88,0,-
,"SP 3. Catchment &
watershed conservation",,"7, 371, 195",-,"2, 351, 800",-,31.9,88,0,-
