Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",148,1
County Assembly,,,,,,,,148,1
"Legislative
service",Legislative service,"539,252,680",-,"494,994,495",-,91.8,-,148,1
"Infrastructure
support",Infrastructure support,-,"40,000,000",-,"19,770,941",,49.4,148,1
,Sub - Total,"539,252,680","40,000,000","494,994,495","19,770,941",91.8,49.4,148,1
County Executive Sector,,,,,,,,148,1
"County
Governance and
Coordination
Affairs",County Governance,"88,730,784",-,"45,799,541",-,51.6,-,148,1
,"General Administration Planning
& Support Services","123,748,054",-,"110,222,529",-,89.1,-,148,1
"Human
Resources Mgt &
Deployment","General Administration Planning
& Support Services","31,647,996",-,"31,647,995",-,100.0,-,148,1
,"Human Resource Planning &
Development","9,800,000",-,"4,727,400",-,48.2,-,148,1
,Board Operation & Management,"13,539,000",-,"3,981,560",-,29.4,-,148,1
,Board Operation & Management,"900,000",-,"577,200",-,64.1,-,148,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",149,0
"Prudent use
of Financial
Resources","General Administration Planning
& Support Services","11,031,840",-,"10,363,839",-,93.9,-,149,0
,"Efficiency Monitoring &
Community Engagement","2,125,034",-,"940,700",-,44.3,-,149,0
"Legal &
Legislative
Services",Legal Services,"29,775,000",-,"10,000,000",-,33.6,-,149,0
,Legislative Services,"11,597,000",-,"2,292,000",-,19.8,-,149,0
"Management of
County Affairs",Personnel Services,-,-,-,-,-,-,149,0
,"Partnerships Intergovernmental&
NGO Coordination","4,991,000",-,"1,879,300",,37.7,-,149,0
,Sub-Total,"327,885,708",-,"222,432,064",-,67.8,-,149,0
County Treasury and Economic Planning and Special Programmes and ICT and Cohesion,,,,,,,,149,0
"Public financial
management",Administrative Services,"71,852,103",-,"71,116,424",,99.0,-,149,0
,"Supply Chain Management
Services","124,631,053","324,791,868","52,982,402","162,217,143",42.5,49.9,149,0
,Accounting Services,"38,401,849",-,"28,017,979",-,73.0,-,149,0
"Disaster
Preparedness
Prevention
Response &
Recovery","General Administration Planning
& Support Services","28,000,000",-,"27,750,000",-,99.1,-,149,0
,"Coordination Training &
Capacity Development","10,889,248",-,"3,718,100",-,34.1,-,149,0
,"Disaster Risk Awareness
Preparedness & Management","163,400,000",-,"158,695,000",-,97.1,-,149,0
,Social Protection,"30,350,000","110,000,000","30,350,000","107,500,000",100.0,97.7,149,0
"Economic
Planning and
Coordination ion",Monitoring and Evaluation,"14,935,240",-,"13,244,956",-,88.7,-,149,0
,"Budget Formulation &
Coordination","16,871,489","4,000,000","9,893,300",-,58.6,-,149,0
,Monitoring & Evaluation,"16,271,730",-,"7,272,800",-,44.7,-,149,0
"Cohesion and
Peace Building","Administrative and Civic
Education Services","5,159,000",-,"3,849,081",-,74.6,-,149,0
,Peace and Cohesion,"6,987,503",-,"2,155,900",-,30.9,-,149,0
,Violent Extremism Prevention,"9,720,266",-,"5,639,100",-,58.0,-,149,0
"Revenue
Enhancement","General Administration Planning
& Support Services","20,077,000",-,"18,217,500",-,90.7,-,149,0
,Source Revenue Enhancement,"8,743,000","1,000,000","3,026,200","500,000",34.6,50.0,149,0
"ICT and
E-Government
services",ICT Innovation and Enterprises,"6,015,000",-,"6,007,500",-,99.9,-,149,0
,"County Government Public
Image Improvement","3,990,000",-,"1,727,300",-,43.3,-,149,0
,E-Government Services,,"3,000,000",,-,-,-,149,0
,Sub-Total,"576,294,481","442,791,868","443,663,542","270,217,143",77.0,61.0,149,0
"Lands, Urban Planning, Roads, Housing and Public Works",,,,,,,,149,0
"Land Survey and
land use planning","County land planning and spatial
development","9,147,020",-,"7,415,520",-,81.1,-,149,0
,Land Use Planning,"4,912,980","54,080,782","2,410,252","48,471,000",49.1,89.6,149,0
,Land Survey & Mapping,"3,100,000",-,"2,392,800",-,77.2,-,149,0
"Roads &
Infrastructure",Road Improvement,"9,360,000",-,"8,459,000",-,90.4,-,149,0
,Routine Roads Maintenance,"2,561,000",-,"1,121,200",-,43.8,-,149,0
"Planning and
Survey of
Urban Areas
(Modogashe and
Ol ndonyiro)","Administration and Planning
Services","110,000",-,"23,743",-,21.6,-,149,0
,Housing Development,"2,550,000",-,"984,400",-,38.6,-,149,0
,Urban Development,,"3,000,000",,"3,000,000",-,100.0,149,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",150,0
"Public Works &
Infrastructure","General Administration Planning
& Support Services","10,193,160",-,"4,408,249",-,43.2,-,150,0
,Routine Roads Maintenance,,"201,027,275",,"194,579,628",-,96.8,150,0
,Total,"41,934,160","258,108,057","27,215,164","246,050,628",64.9,95.3,150,0
"Agriculture, Livestock, Veterinary and Fisheries",,,,,,,,150,0
"Sustainable Crop
Development
& Agricultural
Land Use","General Administration Planning
& Support Services","47,122,420",-,"46,857,415",-,99.4,-,150,0
,Irrigation Schemes,"585,100","300,000",-,-,-,-,150,0
,"Crop Development &
Management","3,095,591","209,415,435","1,261,928","151,272,253",40.8,72.2,150,0
,"Agribusiness & Market
Development","1,070,000",-,"977,400",,91.3,-,150,0
"Livestock
Production","General Administration Planning
& Support Services","90,171,352",-,"87,279,156",-,96.8,-,150,0
,"Rangeland Rehabilitation &
Management","2,481,083",-,"300,000",,12.1,-,150,0
,Marketing & Value Addition,,"200,000,000",-,"130,000,000",-,65.0,150,0
,"Breeds Improvement & Livestock
Risk Mgt",,"17,743,151",-,"14,230,400",-,80.2,150,0
,Livelihood Diversification,,"1,044,000",-,-,-,-,150,0
Value Addition,"Livestock Diseases & Pests
Control","17,176,000",-,"8,769,600",-,51.1,-,150,0
,"Diagnostics & Laboratory
Services","400,000",-,-,-,-,-,150,0
,Veterinary Public Health Services,"4,075,000",-,"1,262,400",-,31.0,-,150,0
"Fisheries
Development","General Administration &
Support Services","4,324,240",-,"2,211,683",-,51.1,-,150,0
,"Aquaculture Technology
Development & Innovation
Transfer","181,000","2,753,000","60,000",-,33.1,-,150,0
,"Fish Safety Assurance Value
Addition & Marketing","3,240,000",-,"774,400",-,23.9,-,150,0
,Total,"173,921,786","431,255,586","149,753,982","295,502,653",86.1,68.5,150,0
"Education, Youth, Sports, and Gender, Culture and Social Services",,,,,,,,150,0
"Provision of
education and
training services","General Administration &
Support Services","151,707,827",-,"151,536,206",-,99.9,-,150,0
,ECDE Retention,"7,000,000",-,"6,000,000",-,85.7,-,150,0
,Education Support Services,"77,003,184",-,"71,616,784",-,93.0,-,150,0
,Quality ECDE Services,"745,035",-,"745,016",-,100.0,-,150,0
,ECDE Access,,"23,400,000",,"11,613,015",-,49.6,150,0
"Youth, Sports and
Gender","Sports Performance &
Management","7,129,600",-,"2,697,000",-,37.8,-,150,0
,"General Administration
Planning & Support","6,292,080",-,"6,125,593",-,97.4,-,150,0
,Youth Development,"7,969,599",-,"6,353,598",-,79.7,-,150,0
,Sports Facilities Development,,"6,000,000",-,-,-,-,150,0
"Culture and
social services","Administration & Support
Services","15,100,280",-,"11,709,711",-,77.5,-,150,0
,Arts & Culture Development,"700,000","12,025,011","667,600",-,95.4,-,150,0
"Gender
Mainstreaming","Gender-Based Violence &
Harmful Practices","1,580,000",-,"802,000",,50.8,-,150,0
,Women Empowerment,"220,000",-,"170,000",-,77.3,-,150,0
,Child Protection,,"2,000,000",-,"2,000,000",-,100.0,150,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",151,0
"Disability
Empowerment","PWDs Social-Economic
Empowerment","2,696,484",-,"2,000,000",-,74.2,-,151,0
"Cultural and Arts
Empowerment",TVET Access & Retention,"248,157","10,875,185","62,950","4,350,000",25.4,40.0,151,0
,VTC Quality Development,"2,531,843",-,"1,634,000",,64.5,-,151,0
,"Secondary & Tertiary Education
Support",,"1,465,185",-,-,-,-,151,0
,Total,"280,924,089","55,765,381","262,120,459","17,963,015",93.3,32.2,151,0
"Tourism, Culture and Trade, including PSM",,,,,,,,151,0
"Tourism
Promotion","Tourism Promotion and
Marketing","93,426,179",-,"76,512,680",-,81.9,-,151,0
,Tourism Development,"2,556,000",-,"520,400",-,20.4,-,151,0
,Wildlife Protection,,"8,000,000",-,"1,992,474",-,24.9,151,0
"Trade
development and
promotion","Entrepreneurship and business
management training","3,407,867",-,"1,846,000",-,54.2,-,151,0
,"General Administration &
Support Services","12,133,520",-,"4,393,583",-,36.2,-,151,0
,"Co-operative Development &
Management","2,200,000",-,"570,800",-,25.9,-,151,0
,"Development of new market
stalls",,-,-,-,-,-,151,0
"Peace and
Unity Building
Initiatives","General Administration Planning
& Support Services","146,069,490",-,"135,451,328",-,92.7,-,151,0
,County Administration,"26,284,954",-,"13,274,100",-,50.5,-,151,0
,"Public Service Productivity &
Reforms","189,855,720",-,"165,726,521",-,87.3,-,151,0
,"Performance Management
Framework","9,537,000",-,"8,741,330",-,91.7,-,151,0
,Devolved Units,"7,634,000",-,"2,792,800",-,36.6,-,151,0
"Civic Education
& Public
Participation","General Administration Planning
& Support Services","5,055,300",-,"4,717,000",-,93.3,-,151,0
