Programme,"Sub-
Programme","Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",206,1
County Department of Tourism,,,,,,,,206,1
"Telephone, Telex, Facsimile and
Mobile Phone Services",,"400,000.00",-,"370,000",-,92.50,-,206,1
"Travel Costs (airlines, bus,
railway, mileage allowances, etc.)",,"1,500,000.00",-,"1,304,591",-,86.97,-,206,1
"Accommodation - Domestic
Travel",,"1,000,000.00",-,"669,600",-,66.96,-,206,1
Daily Subsistence Allowance,,"2,500,000.00",-,"2,388,300",-,95.53,-,206,1
"Travel Costs (airlines, bus,
railway, etc.)",,-,-,"1,426,492",-,-,-,206,1
Accommodation,,-,-,-,-,-,-,206,1
Daily Subsistence Allowance,,"4,150,000.00",-,"690,223",-,16.63,-,206,1
Publishing & Printing Services,,-,-,"2,733,800",-,-,-,206,1
"Advertising, Awareness and
Publicity Campaigns",,"3,200,000.00",-,"3,500,000",-,109.38,-,206,1
Trade Shows and Exhibitions,,"4,000,000",-,"3,294,800",-,82.37,-,206,1
Training Expenses - Other (Bud,,"400,000",-,"261,856",-,65.46,-,206,1
"Catering Services (receptions),
Accommodation, Gifts, Food
and Drinks",,"340,000",-,"445,900",-,131.15,-,206,1
"Boards, Committees,
Conferences and Seminars",,"400,000",-,"355,800",-,88.95,-,206,1
"Medals, Awards and Honors",,"100,000",-,"100,000",-,100,-,206,1
"General Office Supplies (papers,
pencils, forms, small office
equipment etc)",,"175,361",-,"107,000",-,61.02,-,206,1
"Sanitary and Cleaning Materials,
Supplies and Services",,"200,000",-,"11,850",-,5.93,-,206,1
"Refined Fuels and Lubricants for
Transport",,"1,000,000",-,"975,458",-,97.55,-,206,1
Contracted Professional Services,,"20,000,000",-,"19,994,000",-,99.97,-,206,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",207,0
"Maintenance of Plant,
Machinery and Equipment
(including lifts)",,"700,000",-,"573,968",-,82,-,207,0
"Maintenance of Buildings and
Stations -- Non-Residential",,"100,000",-,-,-,-,-,207,0
"Maintenance of Computers,
Software, and Networks",,"100,000",-,-,-,-,-,207,0
"Purchase of Computers, Printers
and other IT Equipment",,"162,319",-,"350,000",-,215.62,-,207,0
Sub-Total,,"40,427,680","39,553,638.00","39,553,638",-,97.84,-,207,0
TOTALs,,"40,427,680","39,553,638.00","39,553,638",-,97.84,-,207,0
County Public Works,,,,,,,,207,0
202013110,,"9,050,000",-,"2,670,510",-,0.30,-,207,0
Sub-Total,,"9,050,000.00",-,"2,670,510.00",-,-,-,207,0
Grand Total,,"9,050,000.00",-,"2,670,510.00",-,-,-,207,0
Roads & Transport Services,,,,,,,,207,0
202013110,,"313,352,447.00",-,"217,951,504.80",-,0.70,-,207,0
201013110,,-,"1,415,660,467.00",-,"737,797,836.70",-,0.52,207,0
Sub-Total,,"313,352,447.00","1,415,660,467.00","217,951,504.80","737,797,836.70",-,-,207,0
Grand Total,,"313,352,447.00","1,415,660,467.00","217,951,504.80","737,797,836.70",-,-,207,0
County Division for Finance,,,,,,,,207,0
"S.P 1 Administration, Planning
and Support Service",,"409,712,209.00","30,117,647.00","383,136,109.78",0.94,-,-,207,0
"S.P 2.1. Budget Formulation,
Coordination and Management",,"60,178,679.00","36,363,429.00","59,200,196.60",0.98,-,-,207,0
S.P 2.2: Audit Services,,"36,247,921.00","21,991,388.00","33,910,535.45",0.94,-,-,207,0
S.P 2.3: Accounting Services,,"22,475,250.00","8,825,250.00","13,845,102.69",0.62,-,-,207,0
"S.P 2.4: Public Procurement and
Disposal Services",,"46,226,301.00",-,"43,830,574.99",0.95,-,-,207,0
,,"574,840,360.00","97,297,714.00","533,922,519.50",0.93,-,-,207,0
County Division for Resource Mobilization,,,,,,,,207,0
,,"151,881,869.00",-,"132,181,276.50",-,87,-,207,0
Grand Total,,"151,881,869.00",-,"132,181,276.50",-,87,-,207,0
Department Water Sanitation and Natural Resources,,,,,,,,207,0
"Administration, planning and
support services",,"56,561,635.00",-,"48,413,563.75",-,86,-,207,0
Sub Total,,"56,561,635.00",-,"48,413,563.75",-,-,-,207,0
Department Water Sanitation and Natural Resources,,,,,,,,207,0
Water resources management,,-,"2,140,101,403",-,"1,183,928,295.50",-,0.55,207,0
Sub-Total,,-,"2,140,101,403",-,"1,183,928,295.50",-,0.55,207,0
Grand Total,,"56,561,635.00","2,140,101,403","48,413,563.75","1,183,928,295.50",86,0.55,207,0
Department of County Public Service Board,,,,,,,,207,0
"Administration, Planning and
Support Services",,"57,126,777",-,"23,656,882.40",-,41,-,207,0
Recruitment and Selection,,"15,810,400",-,"4,643,500",-,29,-,207,0
Grand Total,,"72,937,177",-,"28,300,382.40",-,39,-,207,0
Department: Livestock,,,,,,,,207,0
Sub-programme,,"27,213,627","36,400,000","34,984,068","44,896,514",78,1.23,207,0
Sub Total,,"27,213,627","36,400,000","34,984,068","44,896,514",-,,207,0
Sub-programme,,-,"41,117,647",-,"35,671,294",-,0.87,207,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",208,0
Grand Total,,"27,213,627","36,400,000",-,-,-,-,208,0
Department: County Division of Information Technology and Communication,,,,,,,,208,0
E-Government,,"29,159,058",-,"21,025,744.20",-,72,-,208,0
Sub Total,,"29,159,058",-,"21,025,744.20",-,72,-,208,0
Grand Total,,"29,159,058",-,"21,025,744.20",-,72,-,208,0
Environment Forestry & Climate Change,,,,,,,,208,0
"1)Administration, planning and
support services",,"160,599,949.00",-,"107,740,761.20",-,67,-,208,0
Grand Total,,"160,599,949",-,"107,740,761.20",-,67,-,208,0
Department of Cooperative Development,,,,,,,,208,0
"Administration Planning and
Support Services",,"5,365,940.00",-,"4,418,360",-,82,-,208,0
Sub Total,,"5,365,940",-,"4,418,360",-,-,-,208,0
"Promotion of Cooperative &
Advisory services",,"24,449,667","29,356,092","28,255,067","4,386,850",116,0.15,208,0
Sub-Total,,"24,449,667","29,356,092","28,255,067","4,386,850",-,-,208,0
Grand Total,,"29,815,607","29,356,092","32,673,427","4,386,850",-,-,208,0
Agriculture Division,,,,,,,,208,0
Sub-programme,,"31,323,555","517,940,629","39,973,628.00","485,328,795",128,0.94,208,0
Sub Total,,"31,323,555","517,940,629","39,973,628.00","485,328,795",-,-,208,0
Sub-programme,,"44,860,000","330,488,572","39,093,342","327,065,388",87,0.99,208,0
Sub-Total,,"44,860,000","330,488,572","39,093,342","327,065,388",-,-,208,0
Sub-programme,,"3,050,000","(4,500,000)","3,164,826","1,500,000",104,-0.33,208,0
Sub-Total,,"3,050,000","(4,500,000)","3,164,826","1,500,000",-,-,208,0
Grand Total,,"79,233,555","843,929,201","82,231,796","813,894,183",-,-,208,0
Department Trade & Development,,,,,,,,208,0
"Administration Planning and
Support Services",,"13,881,000","5,036,889","10,595,974","5,036,889",0.76,1.00,208,0
Sub Total,,"13,881,000","5,036,889","10,595,974","5,036,889",-,-,208,0
Trade Development,,"19,427,533","389,791,258","12,980,823","236,225,336",0.67,0.61,208,0
Sub-Total,,"19,427,533","389,791,258","12,980,823","236,225,336",-,-,208,0
Grand Total,,"33,308,533","394,828,147","23,576,797","241,262,225",-,-,208,0
Department Public Service Management,,,,,,,,208,0
"Administration, planning and
support services",,"4,920,891,722","75,000,000","4,921,887,533",-,1,-,208,0
Sub Total,,"4,920,891,722","75,000,000","4,921,887,533",-,-,-,208,0
"Strategic Human Resource
Development",,"10,063,182",-,"9,182,974",-,-,-,208,0
Sub-Total,,"10,063,182",-,"9,182,974",-,0.91,-,208,0
Grand Total,,"4,930,954,904","75,000,000","4,931,070,507",-,1,-,208,0
Department of Health Services,,,,,,,,208,0
Sub Total,,"66,049,547.00",-,"55,424,991.95",-,0.84,-,208,0
Sub-Total,,"1,532,091,307.00",-,"1,425,170,040.85","471,381,955.05",0.93,-,208,0
Sub-Total,,"422,407,857","1,484,263,410.00","364,048,347.30","471,381,955.05",0.86,0.32,208,0
Sub-Total,,"14,514,150",-,"5,600,000",-,0.39,-,208,0
Grand Total,,"2,035,062,86","1,484,263,410","1,850,243,380.10","471,381,955.05",0.91,0.32,208,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",209,0
"Division of Lands, Energy, Physical Planning and Development Control",,,,,,,,209,0
"Sub-programme 1.1
Administration, Planning and
Support Services",,"56,914,209",-,"52,830,007.35",-,92.82,-,209,0
Sub Total,,"56,914,209",-,"52,830,007.35",-,92.82,-,209,0
Sub-Programme 4.1 Land use,,-,-,"1,875,589",-,-,-,209,0
"Sub-Programme 4.2 Land
Survey, Mapping and Valuation",,"3,469,440","126,175,719","2,764,040","84,152,682.45",79.67,66.69,209,0
Sub-Total,,"3,469,440","126,175,719","4,639,629","84,152,682.45",133.73,66.69,209,0
"Sub-Programme 5.1: Physical
Planning and Development",,"2,671,412",-,-,-,-,-,209,0
Sub-Total,,"2,671,412",-,-,-,-,-,209,0
"Sub Program 7.1: Alternative
energy technologies",,"5,650,000","180,131,117","8,941,390","31,526,835",158.25,17.50,209,0
Sub-Total,,"5,650,000","180,131,117","8,941,390","31,526,835",158.25,17.50,209,0
Grand Total,,"68,705,061","306,306,836","66,411,026.35","115,679,517.45",96.66,37.77,209,0
Division of Housing Development & Human Settlement,,,,,,,,209,0
"Sub-programme 1.1
Administration, Planning and
Support Services",,"335,935,372",-,"331,587,133.10",-,98.71,-,209,0
Sub Total,,"335,935,372",-,"331,587,133.10",-,98.71,-,209,0
"Sub-Programme 2.1: Housing
Development and Human
Settlement",,-,"36,425,597",-,"20,000,000",-,54.91,209,0
Sub-Total,,-,"36,425,597",-,"20,000,000",-,54.91,209,0
"Sub-Programme 3.2: Town
Administration Services",,"26,516,598","295,760,584","6,912,405","284,472,756",26.07,96.18,209,0
Sub-Total,,"26,516,598","295,760,584","6,912,405","284,472,756",26.07,96.18,209,0
Grand Total,,"362,451,970","295,760,584","338,499,538.10","304,472,756",93.39,102.95,209,0
Department of Water Sanitation and Natural Resources,,,,,,,,209,0
Climate Change Adaptation,,"11,000,000","280,727,305",-,"24,592,369.55",-,0.09,209,0
Sub Total,,"11,000,000","280,727,305",-,"24,592,369.55",-,-,209,0
Grand Total,,"11,000,000","280,727,305",-,"24,592,369.55",-,-,209,0
Department: County Division of Early Childhood Education and Vocational Training.,,,,,,,,209,0
"Administration, Planning and
Support Services",,"41,054,740.00","7,000,000","28,282,798.70",-,0.69,-,209,0
Sub Total,,"41,054,740.00","7,000,000","28,282,798.70",-,0.69,-,209,0
