Programme,Sub-Programme,Approved Budget Estimates,col_3,"Actual Expenditure as of
30th June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",231,1
County Assembly,"Administration and Support
Services","914,466,779",-,"903,227,081",-,98.8,-,231,1
,"Oversight and Legislative
Services","318,423,964","154,491,231","317,249,801","37,153,147",99.6,24.0,231,1
,Sub Total,"1,232,890,743","154,491,231","1,220,476,882","37,153,147",99.0,24.0,231,1
"Executive (Office
of the Governor,
Deputy Governor,
County Secretary
and Public Service
Board","Administration, Planning
and Support Services","362,396,720","140,000,000","304,463,514","99,999,113",84.0,71.4,231,1
,"Office of the County
Secretary","9,620,000",-,"652,400",-,6.8,-,231,1
,Legal Services,"34,670,000",-,"28,582,824",-,82.4,-,231,1
,Communication Services,"2,230,000",-,"661,400",-,29.7,-,231,1
,"Governor's Advisors,
Service Delivery Unit and
Efficiency Monitoring","1,960,000",-,"1,017,800",-,51.9,-,231,1
,Chief of Staff,"650,000",-,"492,800",-,75.8,-,231,1
,"County Public Service
Board","17,329,000",-,"1,861,622",-,10.7,-,231,1
,County Liaison Office,"2,620,000",-,-,-,-,-,231,1
,Sub-Total,"431,475,720","140,000,000","337,732,360","99,999,113",78.3,71.4,231,1
"Administration
and Stakeholder
Management","Administration, Planning
and Support Services","489,121,883",-,"452,030,825",-,92.4,-,231,1
,Devolved Units Services,"2,091,532","40,846,072","1,195,000","515,650",57.1,1.3,231,1
,"Human Resource
Development","4,000,000",-,"900,700",-,22.5,-,231,1
,Enforcement Services,"14,908,000",-,"436,900",-,2.9,-,231,1
,Stakeholder Management,"41,103,018",-,"40,348,118",-,98.2,-,231,1
,"Public Participation and
Civic Education","2,700,000",-,"500,500",-,18.5,-,231,1
,Disaster Management,"10,050,000","26,000,000","1,980,100",-,19.7,-,231,1
,Fleet Management,"5,266,014",-,"3,987,309",-,75.7,-,231,1
,"Strategy Delivery & Project
Management","1,700,000",-,"993,600",-,58.4,-,231,1
,Special Programmes,-,-,-,-,-,-,231,1
,Sub-Total,"570,940,447","66,846,072","502,373,052","515,650",88.0,0.8,231,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",232,0
"Finance and
Economic Planning","Administration,
Coordination and Support
Services","848,468,722",-,"786,064,155",-,92.6,-,232,0
,"Public Financial
Management Services","89,870,448",-,"43,618,564",-,48.5,-,232,0
,County Planning Services,"150,282,978","159,280,850","60,653,682","12,385,022",40.4,7.8,232,0
,Sub-Total,"1,088,622,148","159,280,850","890,336,401","12,385,022",81.8,7.8,232,0
"Agriculture,
Livestock, Fisheries
and Cooperative
Development","Administrative and Support
Services","112,224,568",-,"105,171,268",-,93.7,-,232,0
,Veterinary Services,"5,000,000","49,225,099","868,713",-,17.4,-,232,0
,Livestock Development,"4,060,000","45,609,200","1,339,000",-,33.0,-,232,0
,Fisheries Development,"3,370,000","41,471,013","468,337",-,13.9,-,232,0
,"Crop Development
Headquarters","182,428,473","337,361,257","175,525,761","186,927,664",96.2,55.4,232,0
,"Kisii Agricultural Training
Centre","5,240,000","44,700,000","1,371,885","16,205,520",26.2,36.3,232,0
,"Co-operative Development
and Management","1,650,000","5,800,000","450,000",-,27.3,-,232,0
,Crop Development,"999,809","199,246,662","194,000","7,242,720",19.4,3.6,232,0
,Co-operative Audit,"1,250,000",-,"125,000",-,10,-,232,0
,Monitoring And Evaluation,"700,000",-,"49,000",-,7,-,232,0
,"Agro-processing, Value
Addition and Marketing","550,000",-,"100,000",-,18.2,-,232,0
,"Engineering, Irrigation and
Drainage","1,189,000","1,000,000","99,520",-,8.4,-,232,0
,Sub-Total,"318,661,850","724,413,231","285,762,484","210,375,904",89.67,29.0,232,0
"Energy, Water,
Environment and
Natural Resources",Energy Services,-,"11,200,000",-,-,-,-,232,0
,Environment Management,"22,000,000","323,613,486","10,997,588","18,227,536",50.0,5.6,232,0
,"Water and sanitation
services","128,995,000","206,577,397","94,198,555","71,779,237",73.0,34.7,232,0
,Sub-Total,"150,995,000","541,390,883","105,196,143","90,006,773",69.7,16.6,232,0
"Education, Youth
Affairs and Social
Development","General Administration and
Planning Services","1,010,708,729",-,"939,902,462",-,93.0,-,232,0
,"Early Childhood
Development Education",-,"129,841,591",-,"7,488,079",-,5.8,232,0
,Vocational Training,-,"13,366,950",-,"392,950",-,2.9,232,0
,Sub-Total,"1,010,708,729","143,208,541","939,902,462","7,881,029",93.0,5.5,232,0
"County Health
Services",Medical Services,"3,271,384,873","631,515,312","3,066,635,953","66,943,535",93.7,10.6,232,0
,Public Health,"54,530,000",-,-,-,-,-,232,0
,Sub-Total,"3,325,914,873","631,515,312","3,066,635,953","66,943,535",92.2,10.6,232,0
"Lands, Physical
Planning and Urban
Development","Administration, Planning
and Support Services","141,950,000",-,"125,940,993",-,88.7,-,232,0
,Urban Development,-,"213,845,336",-,"73,247,787",-,34.3,232,0
,Land use services,-,-,-,-,-,-,232,0
,Sub-Total,"141,950,000","213,845,336","125,940,993","73,247,787",88.7,34.3,232,0
"Roads, Public
Works, and
Transport","General Administration and
Planning Services","154,015,000",-,"144,091,363",-,93.6,-,232,0
,Roads Development,-,"948,541,159",-,"421,761,759",-,44.5,232,0
,Public Works,"64,750,000","125,665,400","46,232,083","89,395,042",71.4,71.1,232,0
,Sub-Total,"218,765,000","1,074,206,559","190,323,446","511,156,801",87.0,47.6,232,0
