Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,(Kshs.),,(Kshs.),,,,242,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",242,0
"Agriculture, Livestock and Fisheries",,,,,,,,242,0
"Agriculture
Productivity
Improvement","Management of
Agriculture Advisory
Services","13,935,428",,"3,349,000",-,24.0,-,242,0
,"Management of
Stations",,"217,000,000",-,-,-,-,242,0
,"Promotion of Crop
production Value
Chains","3,079,981",,"2,363,381",-,76.7,-,242,0
,"Promotion of
Livestock Production
Value Chains","18,269,703",-,"13,721,489",-,75.1,-,242,0
,"Management of
stations","55,370,253",-,"23,746,903.40",-,42.9,-,242,0
,"Development of
Product Quality
Assurance","632,500",-,"507,900",-,80.3,-,242,0
,"Agriculture credit
access","127,789",-,-,-,-,-,242,0
,"Agriculture input
Access","411,000",-,"328,500",-,79.9,-,242,0
,Sub Total,"91,826,654","217,000,000","44,017,173",-,47.9,-,242,0
County Assembly of Kisumu,,,,,,,,242,0
"Administration,
Planning and Services",Financial Services,"163,239,576",-,"152,172,250.60",-,93.2,-,242,0
ICT Services,ICT Services,"9,919,112",-,"8,621,084",-,86.9,-,242,0
General Administration,"General
Administration","195,391,068","165,000,000","143,460,358.60","735,000",73.4,0.4,242,0
,"Human Resource
Development Services","162,764,665",-,"142,954,767.80",-,87.8,-,242,0
"Public Finance
Management","Management of
Public Resources","9,455,400",-,"8,540,515.25",-,90.3,-,242,0
"Legislation & Oversight
Services","Legislation and
Oversight Services","148,106,044",-,"113,311,513.75",-,76.5,-,242,0
,"Policy Services
(Speaker’s Office)","42,762,217",-,"30,841,054.35",-,72.1,-,242,0
"County Assembly
Service Board","SP2 Committee
Services","155,654,920",-,"136,237,342.50",-,87.5,-,242,0
,"Representation and
Public Participation","88,018,908",-,"68,722,242.15",-,78.1,-,242,0
,Sub-Total,"975,311,910","165,000,000","804,861,129.00","735,000",82.5,0.4,242,0
County Public Service Board,,,,,,,,242,0
"County Public Service
Board","General
Administration and
Support Services","1,130,430,391","459,300,000","818,395,535","115,439,437",72.4,25.1,242,0
,"Human Resource
Recruitment and
Development","255,236,788",-,"122,478,421.60",-,48.0,-,242,0
,"Promotion of Values
and Principles","4,689,314",-,"1,598,200",-,34.1,-,242,0
,Sub -Total,"1,390,356,493","459,300,000","942,472,157.50","115,439,437",154.5,25.1,242,0
,,(Kshs.),,(Kshs.),,,,243,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",243,0
"Education, Technical training, Innovation and Social Services",,,,,,,,243,0
"Early Childhood
Development","Promotion of Early
Childhood Education","33,411,122",-,"32,776,070.70",-,89.1,-,243,0
"Pre-Primary Policy and
Legislation","Primary Policy and
Legislation","70,220,000",-,"9,547,312",-,13.6,-,243,0
,Sub - Total,"103,631,122",,"42,323,382.70",-,40.8,-,243,0
"Public Service, County Administration, Participatory Development and Office of the Governor",,,,,,,,243,0
"General Administration
and Planning Services","Planning and
Coordination Services","95,664,176","17,000,000","71,630,323.75","2,997,996",74.9,17.6,243,0
,"Planning and
Administration","278,809,478","491,804,276","220,175,931.30","301,732,685.70",79,61.4,243,0
