Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure July 2023-June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",286,0
COUNTY ADMINISTRATION,,,,,,,,286,0
"P3 General Administration
and Planning","Headquarter
Administration Services","27,000,000",,"25,681,365",-,95,-,286,0
"Information
communication and
technical","ICT Infrastructure and
Connectivity","1,800,000","1,600,000","1,722,680","1,513,200",96,95,286,0
"General Administration
and Planning","County Administration -
Laikipia East","1,800,000",,"1,546,569",-,86,-,286,0
"General Administration
and Planning","County Administration -
Laikipia North","400,000",,"316,324",-,79,-,286,0
"General Administration
and Planning","County Administration -
Laikipia West","450,000",,"369,696",-,82,-,286,0
Sub-Total,,"31,450,000","1,600,000","29,636,634","1,513,200",94,95,286,0
COUNTY ADMINISTRATION,,,,,,,,286,0
"General Administration
and Planning","Compensation To
Employees","3,226,955,793",,"3,085,191,125",-,96,-,286,0
Sub-Total,,"3,226,955,793",-,"3,085,191,125",-,96,-,286,0
"COUNTY
ADMINISTRATION",,,,-,-,,-,286,0
"County Executive
Committee Support",Executive Support Service,"54,000,000",,"49,950,374",-,93,-,286,0
"County Executive
Committee Support",Legal Services,"4,900,000",,"4,313,660",-,88,-,286,0
"County Executive
Committee Support","Intergovernmental &
Donor Liaison","1,050,000",,"690,260",-,66,-,286,0
Sub-Total,,"59,950,000",-,"54,954,294",-,92,-,286,0
COUNTY ADMINISTRATION -,,,,,,,,286,0
County Administration,Public Participation,"2,400,000",,"2,397,300",-,100,-,286,0
County Administration,"County Services Delivery
and Result Report","1,000,000",,"1,000,000",-,100,-,286,0
County Administration,Decentralized Services,,"13,000,000",-,"10,875,426",,84,286,0
Sub-Total,,"3,400,000","13,000,000","3,397,300","10,875,426",100,84,286,0
COUNTY ADMINISTRATION -,,,,,,,,286,0
"Security and Policing
Support Services","Urban Facilities
Management Services","2,000,000",,"2,000,000",-,100,-,286,0
"Human Capital
Management and
Devolution","County Public Service
Board","14,500,000","1,500,000","13,571,780","1,500,000",94,100,286,0
"Human Capital
Management and
Devolution","Information and Records
Management","2,000,000",,"2,309,850",-,115,-,286,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",287,0
Sub-Total,,"18,500,000","1,500,000","17,881,630","1,500,000",97,100,287,0
"COUNTY
ADMINISTRATION",,,,,,,,287,0
County Administration,Fleet,"800,000",,"640,100",-,80,-,287,0
Sub-Total,,"800,000",-,"640,100",-,80,-,287,0
COUNTY ADMINISTRATION,,,,,,,,287,0
"Public Safety, Enforce and
Disaster Management","Disaster Reduction
Management","2,450,000","1,000,000","2,351,735","918,500",96,92,287,0
"Public Safety, Enforce and
Disaster Management",Fire Services,"1,250,000","2,000,000","1,069,250",-,86,-,287,0
"Public Safety, Enforce and
Disaster Management","Enforcement And
Disaster Management","800,000",,"599,000",-,75,-,287,0
"Public Safety, Enforce and
Disaster Management","Alcohol Control
Committee","400,000",,"87,100",-,22,-,287,0
Sub-Total,,"4,900,000","3,000,000","4,107,085","918,500",84,31,287,0
"Total County
Administration",,"3,345,955,793","19,100,000","3,195,808,168","14,807,126",96,78,287,0
"DEPARTMENT: FINANCE, ECONOMIC PLANNING AND THE COUNTY TREASURY -",,,,,,,,287,0
"707004510 Financial
Services","County Treasury
administrative services","20,000,000","119,083,799","15,177,791",-,76,-,287,0
,"Financial Automation
Services","500,000",-,"470,780",-,94,-,287,0
,"Laikipia County
Emergency Fund",-,"45,054,500",-,"24,528,856",-,54,287,0
,"Revenue management
services",-,"43,900,000",-,"43,900,000",-,100,287,0
Sub-Total,,"20,500,000","208,038,299","15,648,571","68,428,856",,33,287,0
"0709004510
Administration and
Support Services","Generation
administration and
support services","133,496,457","419,700,000","127,308,310","402,155,282",95,96,287,0
Sub-Total,,"133,496,457","419,700,000","127,308,310","402,155,282",,96,287,0
"0725004510 Public Finance
Management Services","County Treasury
Accounting and
Reporting Services","3,900,000",-,"3,682,724",-,94,-,287,0
,Budget Management,"8,500,000",-,"8,171,394",-,96,-,287,0
,Internal Audit Services,"5,000,000",-,"4,885,482",-,98,-,287,0
,"Supply Chain
Management Services","3,600,000",-,"3,214,580",-,89,-,287,0
Sub-Total,,"21,000,000",-,"19,954,180",-,,-,287,0
"0706004510 Departmental
administrative services/
Centralized services","Revenue collection
services","36,000,000",-,"36,000,000",-,100,-,287,0
Sub-Total,,"36,000,000",-,"36,000,000",-,,-,287,0
"0726004510 Development
Planning Services","Integrated Planning
Services","1,700,000",-,"1,191,150",-,70,-,287,0
,"Participatory Budgeting
support services","4,950,000",-,"4,685,540",-,95,-,287,0
,"Research Statistics and
Documentation services","2,350,000",-,"1,756,288",-,75,-,287,0
,"Strategic Partnership and
Collaboration","8,000,000","2,990,000","8,000,000","2,990,000",100,100,287,0
Sub-Total,,"17,000,000","2,990,000","15,632,978","2,990,000",,,287,0
TOTAL FINANCE,,"227,996,457","630,728,299","214,544,039","473,574,138",,,287,0
DEPARTMENT: HEALTH,,,,,,,,287,0
265,,,,,,,,287,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",288,0
"CURATIVE AND
RELIABILITY HEALTH","health products and
technologies support","40,000,000","169,250,000","40,000,000","143,921,057",100.00,85.03,288,0
,"health infrastructure
development",-,"150,000,000",-,"63,218,600",,42.15,288,0
,"Emergency referral and
rehabilitative service-","239,423,000","393,185,500","185,606,388","133,050,033",77.52,33.84,288,0
,subtotal,"279,423,000","712,435,500","225,606,388","340,189,690",81,48,288,0
"GENERAL
ADMINISTRATION AND
PLANNING SERVICES","administration,
project planning and
implementation services","10,000,000",-,"9,250,000",-,92.50,-,288,0
,"human resource
development-","25,000,000",-,"19,452,939",-,77.81,-,288,0
,"standards and quality
assurance","10,000,000",-,"8,038,670",-,80.39,-,288,0
,"health leadership and
governance","5,832,080",-,"3,845,551",-,65.94,-,288,0
,"health policy, governance,
planning and financing -","2,000,000",-,"1,986,150",-,99.31,-,288,0
,"health information
standards and quality
assurance","2,000,000",-,"985,350",-,49.27,-,288,0
,sub-total,"54,832,080",-,"43,558,660",-,79,-,288,0
"PREVENTIVE HEALTH
SERVICES","community health
strategy, advocacy and
surveillance","12,000,000",-,"10,350,596",-,86.25,-,288,0
,"family planning,
maternal, and child
health services","2,000,000",-,"1,957,550",-,97.88,-,288,0
,"non -Non-communicable
disease control and
prevention","2,000,000",-,"801,650",-,40.08,-,288,0
,"public health promotion
and nutrition services","9,350,000",-,"8,801,150",-,94.13,-,288,0
,"social health insurance
scheme","6,000,000",-,"5,887,500",-,98.13,-,288,0
,"TB/HIV/aids prevention
and control","4,000,000",-,"2,094,150",-,52.35,-,288,0
,Sub-Total,"35,350,000",-,"29,892,596",-,,,288,0
TOTAL HEALTH,,"369,605,080","712,435,500","299,057,644","340,189,690",,,288,0
DEPARTMENT: AGRICULTURE LIVESTOCK AND FISHERIES,,,,,,,,288,0
Headquarters,"SP1 Headquarter
Administration Services","10,800,000","10,500,000","10,800,000","500,000",100.00,4.76,288,0
,"SP3 Agriculture Sector
Extension Management","1,933,282","94,870,868","1,933,282","8,870,868",100.00,9.35,288,0
Livestock Production,"SP2 Livestock Resource
Development and
Management","121,389,340","11,000,000","1,800,000","10,979,668",1.48,99.82,288,0
Veterinary Services,"SP5 Animal Health and
Disease Management","1,800,000","10,500,000","1,800,000","9,789,593",100.00,93.23,288,0
Fisheries Production,"SP1 Fisheries
Development and
Management","1,500,000","5,000,000","1,500,000","4,989,575",100.00,99.79,288,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",289,0
