Program,Sub Program,Approved Estimated FY 2023/2023,col_3,"Actual Expenditure for the period ended
30th June 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,301,0
COUNTY ASSEMBLY,,,,,,,,301,0
,"General
Administration
and Planning","244,367,160.00",-,"209,694,708.00",-,85.81,-,301,0
,"Legislation.
Representation
and Oversight","225,632,840.00","119,500,000.00","200,942,535.00","14,778,277.00",89.06,12.4,301,0
,Sub Total,"470,000,000.00","119,500,000.00","410,637,243.00","14,778,277.00",87.4,12.4,301,0
COUNTY EXECUTIVE,,,,,,,,301,0
703003212,,"370,401,381.00","90,310,930.00","342,283,970.00","24,537,673.00",92.4,27.2,301,0
,"Administration
Services","370,401,381.00","90,310,930.00","342,283,970.00","24,537,673.00",92.4,27.2,301,0
,Sub Total,"370,401,381.00","90,310,930.00","342,283,970.00","24,537,673.00",92.4,27.2,301,0
FINANCE,,,,,,,,301,0
711003213,,"126,691,225.00",-,"115,188,950.05","4,996,932.00",90.9,-,301,0
,"Administration
Services","126,691,225.00",-,"115,188,950.05",-,90.9,-,301,0
712003213,,"14,710,624.00",-,"13,613,978.95",-,92.5,-,301,0
,"Resource mobili-
zation","1,738,455.00",-,"1,513,426.55",-,87.1,-,301,0
,Internal Audit,"1,390,702.00",-,"1,239,462.15",-,89.1,-,301,0
,Procurement,"2,013,705.00",-,"1,629,781.55",-,80.9,-,301,0
,"Public Finance &
Accounting","4,435,256.00",-,"4,101,308.70",-,92.5,-,301,0
,"Management of
Public finance","5,132,506.00",-,"5,130,000.00",,,,301,0
,,"141,401,849.00",-,"128,802,929.00",,91.1,-,301,0
712003213,,,"6,500,000.00",-,"4,996,932.00",-,76.9,301,0
,"Resource mobili-
zation",-,"6,500,000.00",-,"4,996,932.00",-,76.9,301,0
,Sub Total,"141,401,849.00","6,500,000.00","128,802,929.00","4,996,932.00",91.1,76.9,301,0
AGRICULTURE,,,,,,,,301,0
201003214,,"66,293,687.00",-,"60,815,772.90",-,91.7,-,301,0
,"Administration,
Personnel
& Policy
Formulation","66,293,687.00",-,"60,815,772.90",-,91.7,-,301,0
,,"66,293,687.00",-,"60,815,772.90",-,91.7,-,301,0
116003214,,-,"63,442,700.00",-,"52,211,574.40",,82.3,301,0
,"Agricultural
Extension
Research &
Training",-,"13,306,772.00",-,"5,850,216.40",-,44.0,301,0
,"Promotion of
Mechanized
Agriculture",-,"10,000,000.00",-,"9,970,000.00",-,99.7,301,0
,"Promotion of
Agro-Processing
& Value Addition
Technologies",-,"3,605,700.00",-,"2,461,235.00",-,68.3,301,0
,"Demonstration
Farm Fund",-,"2,000,000.00",-,"1,996,595.00",-,99.8,301,0
,"Promotion of
the Cashew nuts
Programme",-,"1,800,000.00",-,"1,799,900.00",-,100.0,301,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,302,0
,"Provision of
Relief seeds
to vulnerable
farmers",-,"32,730,228.00",-,"30,133,628.00",-,92.1,302,0
117003214,,-,"15,000,000.00",-,"11,969,660.00",-,79.8,302,0
,"Irrigated
Farming",-,"15,000,000.00",,"11,969,660.00",-,79.8,302,0
,Sub Total,"66,293,687.00","78,442,700.00","60,815,772.90","64,181,234.40",91.7,81.8,302,0
LANDS AND PHYSICAL PLANNING,,,,,,,,302,0
101003215,,"27,566,324.00",-,"24,317,360.95",-,88.2,0.0,302,0
,"Administration
Services","27,566,324.00",-,"24,317,360.95",-,88.2,0.0,302,0
102003215,,"5,000,000.00","86,893,549.00","4,943,719.05","72,682,672.00",-,83.6,302,0
,"Physical
planning","5,000,000.00","76,893,549.00","4,943,719.05","64,738,992.00",-,84.2,302,0
,"Land
Adjudication &
Regularization",-,"10,000,000.00",-,"7,943,680.00",-,79.4,302,0
104003215,,"5,000,000.00","200,000,000.00","3,702,520.00",-,-,-,302,0
,"Infrastructure
Development","5,000,000.00","200,000,000.00","3,702,520.00",-,-,-,302,0
,Sub Total,"37,566,324.00","286,893,549.00","32,963,600.00","72,682,672.00",87.7,25.3,302,0
"EDUCATION, GENDER, SOCIAL SERVICE",,,,,,,,302,0
501003216,,"187,997,669.00",-,"168,737,921.70",-,89.8,0.0,302,0
,"Administration
Services","187,997,669.00",-,"168,737,921.70",-,89.8,0.0,302,0
502003216,,"99,977,782.00","44,750,114.00","99,977,782.30","21,610,488.65",100.0,48.3,302,0
,"Promotion of
Early Childhood
Education","99,977,782.00","44,750,114.00","99,977,782.30","21,610,488.65",100.0,48.3,302,0
503003216,,"7,548,400.00","39,498,099.00","7,548,400.00","25,581,223.70",100.0,55.1,302,0
,"Village
Polytechnics",-,"28,500,000.00",-,"21,174,810.70",-,74.3,302,0
,"Development of
Sports facilities",-,"8,998,099.00",-,"2,461,413.00",-,27.4,302,0
,Youth and Sports,"7,548,400.00","2,000,000.00","7,548,400.00","1,945,000.00",100.0,97.3,302,0
504003216,,"1,645,889.00","13,565,462.00","1,645,889.00","7,476,278.30",-,55.1,302,0
,"Social
Development","1,645,889","13,565,462.00","1,645,889.00","7,476,278.30",-,55.1,302,0
,Sub Total,"297,169,740.00","97,813,675.00","277,909,993.00","54,667,990.65",93.5,55.9,302,0
MEDICAL SERVICE,,,,,,,,302,0
101003217,,-,"500,000.00",-,-,-,-,302,0
,"Administration
Services",-,"500,000.00",-,-,-,-,302,0
402003217,,"1,093,033,060.00","197,057,689.00","949,735,510.65","128,619,527.70",86.9,65.3,302,0
,"Human Resource
& Development","893,186,924.00",-,"817,568,897.50",-,91.5,-,302,0
,"Primary Health
Care Services","139,846,136.00","5,071,593.00","128,234,740.15","3,901,840.00",91.7,-,302,0
,"SP4 curative
Services","60,000,000.00","88,780,944.00","3,931,873.00","44,032,200.70",6.6,49.6,302,0
,Hospital Services,,"103,205,152.00",-,"80,685,487.00",-,78.2,302,0
403003217,,"23,285,744.00","40,000,000.00","23,238,484.35","40,000,000.00",99.8,100.0,302,0
,"SP4 Preventive
and Promotive
Services","23,285,744.00","40,000,000.00","23,238,484.35","40,000,000.00",99.8,-,302,0
,Sub Total,"1,056,318,804.00","237,557,689.00","972,973,995.00","166,266,519.00",92.1,70.0,302,0
"TRADE, INVESTMENT, CULTURE AND TOURISM",,,,,,,,302,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,303,0
301003218,,"19,626,312.00",-,"18,614,508.70",-,94.8,-,303,0
,"Administration
Services","19,626,312.00",-,"18,614,508.70",-,94.8,-,303,0
302003218,,"1,252,579.00",-,"1,247,554.00",-,99.6,-,303,0
,"Promotion &
Marketing","1,252,579.00",-,"1,247,554.00",-,99.6,-,303,0
304003218,,"20,476,000.00",-,"19,730,413.60",-,96.4,-,303,0
,Cultural Festival,"20,476,000.00",-,"19,730,413.60",-,96.4,-,303,0
303003218,,"438,920.00","41,224,926.00","408,407.70","36,885,271.25",93.0,89.5,303,0
,Trade Promotion,"438,920.00","5,000,000.00","408,407.70","4,598,600.00",93.0,92.0,303,0
,"Market
development",-,"36,224,926.00",-,"32,286,671.25",-,89.1,303,0
305003218,,-,"1,726,066.00",-,"955,723.00",-,55.4,303,0
,"SME
Development",,"1,726,066.00",-,"955,723.00",-,55.4,303,0
,Sub Total,"41,793,811.00","42,950,992.00","37,806,326.00","37,840,994.25",90.5,88.1,303,0
ICT & E-GOVERNANCE,,,,,,,,303,0
101003219,,"10,626,239.00","125,712,874.00","6,669,236.95","36,203,327.15",62.8,28.8,303,0
201003219,"Administration
Services","10,626,239.00","125,712,874.00","6,669,236.95","36,203,327.15",62.8,28.8,303,0
"Administration, Personnel & Policy Formulation",,,,,,,,303,0
202003219,,"1,500,000.00",-,"806,841.00",-,,,303,0
,"Communication
& Citizen
Participation","1,500,000.00",,"806,841.00",,,,303,0
203003219,,"6,297,000.00","4,402,387.00","4,643,273.05","4,385,865.85",-,99.6,303,0
,"Networking
Infrastructure","6,297,000.00","4,402,387.00","4,643,273.05","4,385,865.85",-,99.6,303,0
,Sub Total,"18,423,239.00","130,115,261.00","13,312,772.00","47,268,422.00",72.3,36.3,303,0
"FISHERIES, LIVESTOCK ,VERTINERY AND COOPERATIVE",,,,,,,,303,0
106003220,,"46,960,860.00",-,"42,333,727.00",-,90.1,-,303,0
,"Administration,
Planning and
Monitoring &
Evaluation","46,960,860.00",-,"42,333,727.00",-,90.1,-,303,0
108003220,,"575,000.00",-,"422,220.00",-,73.4,-,303,0
,Co-management,"575,000.00",-,"422,220.00",-,73.4,-,303,0
109003220,,"1,975,500.00","24,000,000.00","1,824,572.00","20,045,463.35",92.4,83.5,303,0
,Fish farming,"1,975,500.00","24,000,000.00","1,824,572.00","20,045,463.35",7.6,83.5,303,0
111003220,,"863,350.00","14,000,000.00","519,990.00","13,982,184.00",60.2,99.9,303,0
,"Livestock
Extension
Services","863,350.00","14,000,000.00","519,990.00","13,982,184.00",3.7,99.9,303,0
112003220,,"2,781,500.00","8,464,746.00","2,512,476.00","5,956,380.60",90.3,70.4,303,0
,"Veterinary
Service
Management","2,781,500.00","8,464,746.00","2,512,476.00","5,956,380.60",29.7,70.4,303,0
,Sub Total,"53,156,210.00","46,464,746.00","47,612,985.00","39,984,027.95",89.6,86.1,303,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,303,0
709003221,,"50,022,887.00",-,"45,339,321.00",-,90.6,-,303,0
,"Administration
Services","50,022,887.00",-,"45,339,321.00",-,90.6,-,303,0
710003221,,"9,879,721.00",-,"8,206,950.00",-,83.1,-,303,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,304,0
,"Human Resource
Management and
Development","9,879,721.00",-,"8,206,950.00",-,83.1,-,304,0
,Sub Total,"59,902,608.00",-,"53,546,271.00",-,89.4,-,304,0
WATER MANAGEMENT & CONSERVATION,,,,,,,,304,0
105003223,,"74,160,858.00","137,399,688.00","69,432,457.00","88,471,173.75",0.9,64.4,304,0
,"Water
management,
Conservation &
Provision","74,160,858.00","137,399,688.00","69,432,457.00","88,471,173.75",0.9,64.4,304,0
,Sub Total,"74,160,858.00","137,399,688.00","69,432,457.00","84,144,953.00",93.6,61.2,304,0
"PUBLIC HEALTH, ENVIRONMENT AND SANITATION",,,,,,,,304,0
501003225,,"82,195,555.00",-,"73,182,760.00",-,89.0,-,304,0
,"Administration
Services","82,195,555.00",-,"73,182,760.00",-,89.0,-,304,0
403003225,,-,"5,668,576.00",-,"4,938,422.05",-,87.1,304,0
,"Community
Health",-,"5,668,576.00",-,"4,938,422.05",-,87.1,304,0
404003225,,-,"7,581,390.00",-,"7,523,784.20",-,99.2,304,0
,"Waste
management",-,"4,581,390.00",-,"4,575,420.80",-,99.9,304,0
,"Public Health &
licensing",-,"3,000,000.00",-,"2,948,363.40",-,98.3,304,0
,Sub Total,"82,195,555.00","13,249,966.00","73,218,315.00","12,462,206.25",89.1,94.1,304,0
"BUDGET, ECONOMIC AND PLANNING",,,,,,,,304,0
711003227,,"12,170,448.00",-,"10,061,648.30",-,82.7,-,304,0
,"Administration
Services","12,170,448.00",-,"10,061,648.30",-,82.7,-,304,0
713003227,,"10,023,417.00",-,"6,398,818.00",-,63.8,-,304,0
,"Budget and
Economic
Planning","10,023,417.00",-,"6,398,818.00",-,63.8,-,304,0
,Sub Total,"22,193,865.00",-,"18,619,473.00",-,83.9,-,304,0
"INFRASTRUCTURE ENERGY, ROADS AND URBAN DEVELOPMENT",,,,,,,,304,0
104003228,,"31,588,511.00","111,932,001.00","26,283,084.00","104,841,267.00",83.2,93.7,304,0
,"Administration
Services","31,588,511.00",-,"26,283,084.00",-,83.2,0.0,304,0
,"Infrastructure
Development",-,"111,932,001.00",-,"104,841,267.00",,93.7,304,0
,Sub Total,"31,588,511.00","111,932,001.00","26,283,084.00","104,841,267.00",83.2,93.7,304,0
MUNICIPALITY OF LAMU,,,,,,,,304,0
104003229,,"55,455,193.00","34,447,600.00","47,593,069.00","21,326,553.60",85.8,61.9,304,0
,"Administration
Services","55,455,193.00",-,"47,593,069.00",-,85.8,,304,0
,"Infrastructure
Development",-,"34,447,600.00",,"21,326,553.60",-,61.9,304,0
404003229,,-,"2,987,159.00",-,"980,065.35",-,32.8,304,0
,"Waste
management",-,"2,987,159.00",,"980,065.35",-,32.8,304,0
,Sub Total,"55,455,193.00","37,434,759.00","47,593,069.00","22,306,618.95",85.8,59.6,304,0
"DEVOLUTION, DISASTER MANAGEMENT AND RESOURCE mobilization",,,,,,,,304,0
101003230,,"60,766,310.00","105,484,051.00","55,568,951.00","54,080,843.05",91.4,51.3,304,0
,"Administration
Services","60,766,310.00","105,484,051.00","55,568,951.00","54,080,843.05",91.4,51.3,304,0
,Sub Total,"60,766,310.00","105,484,051.00","55,568,951.00","54,080,843.05",91.4,51.3,304,0
