Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",314,0
County Assembly,,,,,,,,314,0
"Representation,
Oversight & Legislative","Representation,
Oversight &
Legislative","1,008,995,826","79,000,000","1,008,995,590","55,807,462",100,70.6,314,0
Sub-Total,,"1,008,995,826","79,000,000","1,008,995,590","55,807,462",100,70.6,314,0
Office of the Governor,,,,,,,,314,0
"Co-ordination and
Supervisory Services","Office of the
Governor","314,336,718","12,243,690","295,907,564",-,94.1,-,314,0
,Transport Services,"31,733,750",-,"30,711,206",-,96.8,-,314,0
,"Human Resource
and Administration
Section","55,250,000",-,"51,800,590",-,93.8,-,314,0
,ICT Section,"21,641,444",-,"9,487,679",-,43.8,-,314,0
,"Hospitality
Services Section","20,973,355",-,"14,563,023",-,69.4,-,314,0
,Cabinet Office,"6,493,175",-,"2,757,745",-,42.5,-,314,0
,"Office of the
Deputy Governor","74,457,386","7,334,480","66,912,714","732,271",89.9,10,314,0
,"Office of the
County Secretary","45,816,786",-,"2,217,667",-,4.8,-,314,0
,"Office of the
County Advisors","20,171,540",-,"4,429,641",-,22,-,314,0
Sub-Total,,"590,874,154","19,578,170","478,787,829","732,271",81,3.7,314,0
County Public Service Board,,,,,,,,314,0
"Human Resource and
Administration","Human Resource
and Administration","38,013,709","3,000,000","30,161,926",-,79.3,-,314,0
Sub-Total,,"38,013,709","3,000,000","30,161,926",-,79.3,-,314,0
"Roads, Transport and Public Works.",,,,,,,,314,0
"General Administration
& Support Services","General
Administration &
Support Services","199,956,258","86,500,000","161,351,428","73,554,815",80.7,85,314,0
"Road Development
Management","Road Development
and Management","350,000","356,500,000",-,"270,580,265",-,75.9,314,0
"County Government
Building Services","County
Government
Buildings","1,082,939","52,331,765","150,000","17,910,285",13.9,34.2,314,0
"County Fleet
Management","County Fleet
Management","50,100,000","70,000,000","50,076,794","63,328,988",100,90.5,314,0
Sub-Total,,"251,489,197","565,331,765","211,578,222","425,374,353",84.1,75.2,314,0
Health,,,,,,,,314,0
"General Administration
and Support Services","General
Administration and
support services","3,556,536,552","463,071,574","3,489,810,343","347,902,347",98.1,75.1,314,0
"Curative and
Rehabilitative health",Machakos Level 5,"233,960,800","32,000,000","141,649,250","23,000,000",60.5,71.9,314,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",315,0
,Kangundo Level 4,"51,997,889","22,000,000","44,220,043","5,041,082",85,22.9,315,0
,Matuu Level 4,"42,600,000","40,000,000","37,878,110","28,109,483",88.9,70.3,315,0
,Kathiani Level 4,"52,189,155","12,258,937","43,986,946","1,562,381",84.3,12.7,315,0
,Mwala Level 4,"43,600,000","13,000,000","40,659,173","7,000,000",93.3,53.8,315,0
,Kimiti Level 4,"38,600,000","4,000,000","34,054,494",-,88.2,-,315,0
,Masinga Level 4,"40,600,000","4,000,000","31,727,922",-,78.1,-,315,0
,Athi River Level 4,"30,600,000","4,000,000","24,505,778",-,80.1,-,315,0
,Mutituni Level 4,"28,600,000","4,000,000","21,168,821",-,74,-,315,0
,Ndithini Level 4,"29,600,000","21,000,000","24,494,906","13,030,951",82.8,62.1,315,0
,Kalama Level 4,"29,029,533","4,000,000","26,279,971",-,90.5,-,315,0
"Preventive and
promotive services","Public Health
and Community
Outreach","167,466,838","213,273,125","140,719,111","44,394,000",84,20.8,315,0
Sub-Total,,"4,345,380,767","836,603,636","4,101,154,867","470,040,244",94.4,56.2,315,0
"Irrigation, Environment and Climate Change",,,,,,,,315,0
"Water Resources
Management","Water Resources
Management","107,924,249","320,000,000","99,076,806","150,591,201",91.8,47.1,315,0
"Development and
Promotion of Irrigation","Development
and Promotion of
Irrigation","1,550,000","99,561,724","655,000","36,053,200",42.3,36.2,315,0
"Sewerage System and
Sanitation Management","Sewerage System
and Sanitation
Management","5,250,000","29,000,000","3,776,485","146,466",71.9,0.5,315,0
"General Administrative
and Support Services","General
administrative and
Support Services","9,546,172",-,"351,724",-,3.7,-,315,0
"Environment and
Natural Resources","Environment and
Natural Resources","21,917,699","24,900,000","13,268,195",-,60.5,-,315,0
Climate Change,Climate Change,,"381,566,128",,"256,693,086",-,67.3,315,0
Sub-Total,,"146,188,120","855,027,852","117,128,210","443,483,954",80.1,51.9,315,0
"Agriculture, Food Security and Co-operative Development",,,,,,,,315,0
"Agriculture and Food
Security","General
Administration and
support services","340,820,165","498,879,819","216,957,540","589,207,440",63.7,118.1,315,0
