Programme,Sub-Programme,"Approved Estimates FY
2023/24",col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Budget","Development
Budget","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Expen-
diture",327,0
"Department of Land, Physical Planning & Mining",,,,,,,,327,0
"Programme 1: General
administration & plan-
ning","SP1. General admin-
istration & planning","67,528,620",-,"57,455,476",-,85,,327,0
"Programme 2: : Land
Survey & Mapping","SP2. Land Survey &
Mapping","4,205,728","28,631,905","4,205,728","17,945,714",100,63,327,0
"Programme 3 : Urban
planning","SP3. 1 Urban
planning","5,018,450","23,459,469","4,269,855","13,053,267",85,56,327,0
"Programme 4: Mining
mapping & development","SP4. 1 Mining map-
ping & development","2,420,000","2,599,857","2,059,012","807,600",85,31,327,0
"Programme 5: Environ-
ment management and
protection","SP 5. 1 Environ-
ment management
and protection","15,089,274","232,452,528","13,155,648","39,943,527",87,17,327,0
,Sub Total,"94,262,072","287,143,759","81,145,719","71,750,108",86,25,327,0
Wote Municipality,,,,,,,,327,0
Wote Municipality,"SP 1. 1 Wote Mu-
nicipality","48,981,275","15,091,169","48,679,376","15,060,929",99,100,327,0
,Sub Total,"48,981,275","15,091,169","48,679,376","15,060,929",99,100,327,0
Emali-Sultan Municipality,,,,,,,,327,0
"Emali-Sultan Munici-
pality","SP 1. 1 Emali-Sul-
tan Municipality","27,653,364","26,546,800","27,563,748","22,523,749",100,85,327,0
,Sub Total,"27,653,364","26,546,800","27,563,748","22,523,749",100,85,327,0
Sand Authority,,,,,,,,327,0
"General administration
& planning","SP 1.1: General
Administration &
Planning","63,935,887","10,228,589","60,656,625","10,205,325",95,100,327,0
,Sub Total,"63,935,887","10,228,589","60,656,625","10,205,325",95,100,327,0
Department pf Health Services,,,,,,,,327,0
"General administration
& planning","SP1. 1 General
administration &
planning","2,838,919,580","465,788,246","2,482,203,578","285,390,944",87,61,327,0
"Curative healthcare
services","SP2. 1 : Curative
health care services","298,375,306","28,760,665","261,101,774","907,030",88,3,327,0
"Preventive and promo-
tive healthcare services","SP3. 1 Preventive
and promotive
healthcare services","135,684,656","36,559,292","118,717,247","10,158,547",87,28,327,0
,Sub Total,"3,272,979,542","531,108,203","2,862,022,599","296,456,521",87,56,327,0
"Department of Infrastructure, Transport, Public works, Housing & Energy",,,,,,,,327,0
"General administration
& planning","SP1. 1 General
administration &
planning","139,185,488",-,"105,269,049",-,76,-,327,0
Road Transport,"SP2.1: Road trans-
port","3,671,300","468,853,702","2,777,249","348,904,378",76,74,327,0
"Infrastructure develop-
ment","SP3.3: Infrastructure
development","2,350,000",-,"1,777,357",-,76,-,327,0
"Energy Infrastructure &
development","SP4.1:Energy
Infrastructure &
development","14,863,468","101,775,000","11,241,568","94,646,538",76,93,327,0
,Sub Total,"160,070,256","570,628,702","121,065,223","443,550,917",76,78,327,0
