Programme,Sub-Programme,"Approved Estimates
FY 2023/24 (Kshs.)","Actual Expenditure
(Kshs.)","Absorption
Rate (% Total
Expenditure to
Approved Esti-
mates)",page_number,table_index
,,A,B,D=B/A*100,338,0
"Agriculture, Livestock and
Irrigation",General Administration & Support Services,"131,187,804","122,696,802",93.5,338,0
,"Livestock Resources Management and
Development","195,842,980","123,301,000",63.0,338,0
,Crop Management and Development,"308,360,913","221,351,358",71.8,338,0
,Irrigation Development and Management,"77,420,757","77,416,409",100.0,338,0
,,"712,812,454","544,765,569",76.4,338,0
"Lands, Housing and Physi-
cal Development",Administration Services,"67,013,160","59,186,765",88.3,338,0
,Land Use Planning and Survey,"111,148,981","44,277,105",39.8,338,0
,"Physical Planning housing and urban
development","453,051,158","422,490,207",93.3,338,0
,Solid Waste Management,"103,270,000","103,270,000",100.0,338,0
,,"734,483,299","629,224,077",85.7,338,0
"Roads, Public Works and
Transport",Administrative Services,"169,082,294","144,710,886",85.6,338,0
,"Road And Air Transport Infrastructure
Development","500,078,693","288,799,849",57.8,338,0
,Public Works Management,"33,356,126","19,706,126",59.1,338,0
,,"702,517,113","453,216,861",64.5,338,0
"Trade and Cooperative
Development",General Administration and Planning,"45,550,587","40,061,577",87.9,338,0
,Cooperative Development and Promotion,"27,100,281","20,600,000",76.0,338,0
,Trade Development and Promotion,"159,764,774","55,449,412",34.7,338,0
,,"232,415,642","116,110,989",50.0,338,0
Health Services,Administrative Services,"1,528,134,758","1,451,670,877",95.0,338,0
,"Preventive, Promotive and Reproductive
Health Services","211,914,813","172,055,555",81.2,338,0
,"Curative Rehabilitative and Referral
Services","924,799,841","875,454,689",94.7,338,0
,,"2,664,849,412","2,499,181,121",93.8,338,0
"Education and Human
Capital",General Administration & Support Services,"997,854,875","950,615,264",95.3,338,0
,Early Childhood Education,"302,974,364","269,115,023",88.8,338,0
,Vocational and Technical Training Services,"25,050,000","25,050,000",100.0,338,0
,Education Support Services,"6,500,000","6,500,000",100.0,338,0
,,"1,332,379,239","1,251,280,287",93.9,338,0
County Executive Services,Management of County Affairs,"497,889,646","470,890,561",94.6,338,0
,,"497,889,646","470,890,561",94.6,338,0
"Office of the County
Secretary",Leadership and executive coordination,"66,502,802","66,500,000",100.0,338,0
,,"66,502,802","66,500,000",100.0,338,0
"Office of the County
Attorney",Legal and advisory services,"97,180,939","76,180,000",78.4,338,0
,,"97,180,939","76,180,000",78.4,338,0
"County Public Service
Board","Ethics, Governance and Public Service
Values","80,949,490","73,218,148",90.4,338,0
,,"80,949,490","73,218,148",90.4,338,0
County Assembly,Legislation and Representation,"1,013,000,000","954,793,082",94.3,338,0
,,"1,013,000,000","954,793,082",94.3,338,0
