Programme,Sub-Programme,"Approved Estimates FY 2023/24
Rec Exp Dev Exp",col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates FY 2023/24
,,,Dev Exp,Rec Exp,Dev Exp,Rec Exp,Dev Exp,390,1,
THE EXECUTIVE,,,,,,,,390,1,
Programme 1,"Governor’s and
Deputy Gover-
nor’s Affairs","52,067,855","10,950,000","51,899,927","5,610,886",99.7,51.2,390,1,
,,,Dev Exp,Rec Exp,Dev Exp,Rec Exp,Dev Exp,391,0,Rec Exp
,"Protocol,
Hospitality and
Communication",,"10,000,000","6,057,806",-,47.6,-,391,0,"12,716,441"
,"County Secretary
& Cabinet Affairs",,"4,000,000","8,069,662",-,42.0,-,391,0,"19,192,650"
,"Governor’s
Advisory Council,
Special Programs,
Intergovernmen-
tal and External
Relations",,-,"14,143,668",-,43.1,-,391,0,"32,840,880"
,"Governor’s
Delivery Unit,
Policy, Planning &
Research",,-,"2,390,880",-,62.7,-,391,0,"3,814,010"
,Sub Total,,"24,950,000","82,561,943","5,610,886",68.4,22.5,391,0,"120,631,836"
COUNTY ASSEMBLY,,,,,,,,391,0,
Programme 2,"General Admin-
istration and
Planning",,"5,000,000","950,807,393",-,135.2,-,391,0,"703,372,525"
,"Legislation,
Oversight and
Representation",,"50,000,000",-,-,-,-,391,0,"287,572,381"
,Sub-Total,,"55,000,000","950,807,393",-,95.9,-,391,0,"990,944,906"
COUNTY PUBLIC SERVICE BOARD,,,,,,,,391,0,
Programme 3,"Administration
Unit",,"20,000,000","72,109,826",-,49.6,-,391,0,"145,363,603"
,Sub-Total,,"20,000,000","72,109,826",-,49.6,-,391,0,"145,363,603"
FINANCE AND ECONOMIC PLANNING,,,,,,,,391,0,
Programme 4,"Administration
Unit",,"383,672,577","899,034,749","364,043,300",93.3,94.9,391,0,"963,152,633"
,"Financial Manage-
ment Services-Ac-
counting Unit",,"19,650,000","46,279,851","14,632,485",86.4,74.5,391,0,"53,580,680"
,"Planning and
Monitoring Unit",,"2,000,000","42,110,711",-,79.2,-,391,0,"53,146,951"
,Sub-Total,,"405,322,577","987,425,311","378,675,785",92.3,93.4,391,0,"1,069,880,264"
ENVIRONMENT & SOLID WASTE MANAGEMENT,,,,,,,,391,0,
Programme 5,"Administration,
Planning and
Support Services",,"49,756,354","340,578,982","25,211,766",65.4,50.7,391,0,"520,823,046"
,"Environment
Compliance and
Enforcement",,"60,767,341","40,320,267","36,508,708",61.0,60.1,391,0,"66,095,221"
,"Solid Waste Man-
agement",,"93,985,184","43,954,596","54,137,664",59.2,57.6,391,0,"74,204,828"
,Sub-Total,,"204,508,879","424,853,844","115,858,139",64.3,56.7,391,0,"661,123,095"
Education & Digital Transformation,,,,,,,,391,0,
Programme 6,"General Adminis-
tration, Planning
and Support
Services",,"32,000,000","257,563,283","14,956,219",70.2,46.7,391,0,"367,095,340"
,"Early Childhood
Education",,"101,000,000","70,500","35,919,445",0.7,35.6,391,0,"10,264,613"
,"Vocational Train-
ing & Education",,"5,000,000","288,850","2,235,177",3.6,44.7,391,0,"8,135,387"
,Child Care,,"50,000,000","722,328",-,42.4,-,391,0,"1,705,600"
,,,Dev Exp,Rec Exp,Dev Exp,Rec Exp,Dev Exp,392,0,Rec Exp
,Elimu Fund,,-,"430,781,134","48,375,000",85.7,-,392,0,"502,933,500"
,"Digital Transfor-
mation",,"41,800,000","27,646,238","27,009,501",58.5,64.6,392,0,"47,276,640"
,Sub-Total,,"229,800,000","717,072,334","128,495,342",76.5,55.9,392,0,"937,411,080"
HEALTH SERVICES,,,,,,,,392,0,
Programme 7,"Administration
Unit",,"96,000,000","2,846,450,456","66,468,861",89.5,69.2,392,0,"3,181,837,253"
,"Preventive and
Promotive Health
services",,"5,790,000","8,071,339","801,552",39.1,13.8,392,0,"20,625,044"
,"Curative/Clinical
Health Services",,"562,000,000","38,689,578","17,923,498",4.9,3.2,392,0,"790,779,759"
,Special Programs,,-,"3,245,113",-,33.8,-,392,0,"9,590,950"
,Sub-Total,,"663,790,000","2,896,456,486","85,193,911",72.4,12.8,392,0,"4,002,833,005"
"WATER, NATURAL RESOURCES & CLIMATE CHANGE RESILIENCE",,,,,,,,392,0,
Programme 8,"Administration
unit",,"1,003,500,000","32,567,133","497,650,672",39.1,49.6,392,0,"83,378,277"
