Programme,Sub-Programme,"Approved Estimates
Recurrent Development
Expenditure Expenditure",col_3,"Actual Expenditure as of 30 June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
,,,"Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",402,1,
"Governorship, County Coordination And Administration",,,,,,,,402,1,
"Monitoring and
Evaluation","101024010 Project
Coordination and
Monitoring","3,450,000",-,"3,009,948",-,87.24,-,402,1,
"County
Coordination","705024010 Office
Administration and
Support Services","137,325,677",-,"112,505,199",-,81.93,-,402,1,
"Public and Citizen
Participation","705034010 Public
Participation","6,246,000",-,"3,005,992",-,48.13,-,402,1,
"Administration and
Support","706014010 County
Executive and Coordination","175,044,209",-,"166,788,550",-,95.28,-,402,1,
,,,"Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",403,0,"Recurrent
Expenditure"
"Audit and
Monitoring","718014010 Audit and Other
Monitoring",,-,"3,965,886",-,73.85,-,403,0,"5,370,000"
Disaster Program,"902044010 Disaster
Response and Mitigation",,-,"7,756,735",-,74.43,-,403,0,"10,421,000"
"Communication
and Information
Services",203014010 Communication,,-,"15,961,974",-,77.86,-,403,0,"20,500,000"
Sub Total,,,-,"312,994,283",-,87.34,-,403,0,"358,356,886"
"Finance, Information Technology And Economic Planning",,,,,,,,403,0,
Revenue Program,"108014010 Local Revenue
Mobilization",,-,"15,007,620",-,86.10,-,403,0,"17,430,000"
ICT Program,"703014010 Automation and
Revenue System",,,-,-,-,-,403,0,"500,000"
"Financial
Management
Program","703024010 Budget
Formulation Coordination
and Management",,-,-,-,-,-,403,0,-
,"703034010 Economic
Planning and CIDP Review",,-,"18,659,736",-,67.68,-,403,0,"27,571,184"
,"718024010 Corporate
Governance",,-,"626,132",-,21.67,-,403,0,"2,890,000"
,"705014010 Budget
Implementation and
Monitoring",,-,"3,287,647",-,54.25,-,403,0,"6,060,000"
,"705034010 Public
Participation",,-,"15,215,885",-,44.52,-,403,0,"34,180,000"
,"730014010 Budget
Implementation and
Monitoring",,-,"1,466,250",-,63.20,-,403,0,"2,320,000"
