Programme,Sub-Programme,"Revised Estimates FY 2023/24
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,Absorption rate in %,col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,415,0
"General
Administrative
Services","General Administration
Planning and Support
Services","130,882,659",-,"93,605,587",-,71.5,-,415,0
COUNTY PUBLIC SERVICE BOARD,,"130,882,659",-,"93,605,587",-,71.5,-,415,0
"Public Financial
Management","Assets Management
Services","230,389,627",-,"175,018,840",-,76.0,-,415,0
,Accounting Services,"226,318,905","5,000,000","59,086,664","4,870,690",26.1,97.4,415,0
,"Debt Management
Services","1,608,487,942","805,997,846","1,519,450,518","384,875,831",94.5,47.8,415,0
,"Supply Chain
Management","185,825,178",-,"135,232,127",-,72.8,-,415,0
"General
Administrative
Services","General Administration
& Support Services","1,571,976,847","40,000,000","1,437,775,979",-,91.5,-,415,0
"Economic Policy,
Formulation
and Budget
Management","Budget Formulation
Coordination and mgt","155,138,058",-,"80,138,408",-,51.7,-,415,0
,"Economic Planning
Formulation and
Management","168,999,889",-,"62,907,895",-,37.2,-,415,0
FINANCE & ECONOMIC PLANNING,,"4,147,136,446","850,997,846","3,469,610,431","389,746,521",83.7,45.8,415,0
"General
Administrative
Services","General Administration
& Support Services","432,270,386",-,"316,381,519",-,73.2,-,415,0
"Public Service
Transformation","Human Resource
Management","1,559,703,397",-,"1,486,318,000",-,95.3,-,415,0
,"Human Resource
Development","79,535,114","10,000,000","27,684,803",-,34.8,-,415,0
PUBLIC SERVICE MANAGEMENT,,"2,071,508,897","10,000,000","1,830,384,322",-,88.4,-,415,0
"General
Administration
Planning and
Support Services","Administration,
Planning & Support
Services","171,129,913","18,960,000","160,911,527",-,94.0,-,415,0
,,"2,407,300",-,-,-,-,-,415,0
,,"6,507,770",-,"6,507,770",-,100.0,-,415,0
"Urban Agriculture
Promotion &
Regulation","Crop Development and
Management","21,247,682","8,749,966","767,860",-,3.6,-,415,0
,"Fisheries Development
and Management","5,783,852",-,"684,660",-,11.8,-,415,0
,"Livestock Resources
Management and
Development","5,841,351",-,"1,263,910",-,21.6,-,415,0
"Animal Health,
Safety and Quality
Assurance","Animal Research,
Diseases, Pest Control &
Quality Assurance","6,475,448",-,"1,086,825",-,16.8,-,415,0
Afforestation,Forestry Services,"50,061,600",-,"40,291,800",-,80.5,-,415,0
"Food Systems and
Surveillance","Food Systems and
Surveillance Services","6,024,663",-,"825,400",-,13.7,-,415,0
"AGRICULTURE, LIVESTOCK
DEVELOPMENT, FISHERIES &
FORESTRY",,"275,479,579","27,709,966","212,339,752",-,77.1,-,415,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,416,0
"General
Administration &
Support Services","General Administration
& Support Services","1,390,758,474",-,"1,339,406,885",-,96.3,-,416,0
"Environment
Management and
Protection.","Beautification,
Recreation and Greening
Services","23,198,795","96,000,000",-,-,-,-,416,0
,Solid waste management,"2,039,591,171","497,000,000","1,873,279,911","65,304,000",91.8,13.1,416,0
,"Environment Planning
Management Services","16,494,703",-,"6,000,000",-,36.4,-,416,0
,"Energy & Natural
resources","78,378,280","139,460,000","49,657,777",-,63.4,-,416,0
"water Resources
Management",,"24,275,417",-,"13,000,000",-,53.6,-,416,0
"ENVIRONMENT,WATER, ENERGY &
NATURAL RESOURCES",,"3,572,696,840","732,460,000","3,281,344,573","65,304,000",91.8,8.9,416,0
"Ward
Development","Ward Development &
Administration","74,134,616","1,300,000,000","33,951,351","923,488,000",45.8,71.0,416,0
WARD DEVELOPMENT FUND,,"74,134,616","1,300,000,000","33,951,351","923,488,000",45.8,71.0,416,0
"General
Administrative
Services","General Administration
& Support Services","440,000,000",-,"425,235,725",-,96.6,-,416,0
EMERGENCY FUND,,"440,000,000",-,"425,235,725",-,96.6,-,416,0
"General
Administrative
Services","General Administration
& Support Services","494,573,932","334,000,000","408,520,753","83,634,403",82.6,25.0,416,0
,Records Mgt Services,"19,160,128",-,"2,980,870",-,15.6,-,416,0
,"General Administration
& Support Services","4,091,941",-,"628,700",-,15.4,-,416,0
"Coordination of
boroughs and
devolved units","Boroughs, Sub County
Administration &
coordination of devolve","1,131,057,110","229,000,000","999,747,218","14,291,187",88.4,6.2,416,0
"Coordination of
executive services",County Executive,"248,653,007",-,"224,514,870",-,90.3,-,416,0
,"Performance
Contracting
management","9,609,072",-,"933,000",-,9.7,-,416,0
,,"6,347,797",-,"4,956,228",-,78.1,-,416,0
,"Executive Office
Management Services","159,912,704",-,"98,793,364",-,61.8,-,416,0
,,"25,740,839",-,"4,774,000",-,18.5,-,416,0
"Performance
Management and
Public Service
Delivery","Intergovernmental
Relation services","17,669,450",-,"2,400,365",-,13.6,-,416,0
,"Donor Coordination
Services","66,212,547",-,"9,001,263",-,13.6,-,416,0
"Security
and Safety
Management",Inspectorate,"2,380,018,534","90,000,000","2,188,990,217",-,92.0,-,416,0
,Investigative Services,"66,249,237",-,"49,077,937",-,74.1,-,416,0
"Disaster
Management &
Coordination","Firefighting and rescue
services","364,629,979","60,000,000","290,907,658",-,79.8,-,416,0
,Ambulance Services,"3,918,717",,"161,800",,4.1,-,416,0
,Disaster Risk Reduction,"2,060,699","30,000,000","492,800",-,23.9,-,416,0
Internal Audit,Audit Services,"90,623,213","5,000,000","59,028,538",-,65.1,-,416,0
"BOROUGHS AND PUBLIC
ADMINISTRATION",,"5,090,528,906","748,000,000","4,345,909,581","97,925,590",85.4,13.1,416,0
"Management of
legal affairs",Legal services,"308,808,389","2,800,000","267,071,317",-,86.5,-,416,0
5330000000 COUNTY ATTORNEY,,"308,808,389","2,800,000","267,071,317",-,86.5,-,416,0
"General
Administration
Planning and
Support Services","General Administration,
Planning And Support
Services","107,185,662","40,000,000","84,200,607",-,78.6,-,416,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,417,0
"Digital Economy
and Start-Ups",Digital Economy,"7,600,123",-,"790,500",-,10.4,-,417,0
,E-Learning,"15,143,875",-,"2,000,000",-,13.2,-,417,0
,Start ups,"6,947,500",-,"110,800",-,1.6,-,417,0
Smart Nairobi,Smart Nairobi,"36,569,289","200,000,000","2,401,700","34,968,806",6.6,17.5,417,0
"ICT Infrastructure
Connectivity","Infrastructure
Connectivity","4,739,050",-,-,-,-,-,417,0
,Information Security,"40,844,900",-,"21,330,601",-,52.2,-,417,0
INNOVATION AND DIGITAL ECONOMY,,"219,030,399","240,000,000","110,834,208","34,968,806",50.6,14.6,417,0
Public Health,"HIV/AIDS Prevention &
Control Unit","980,000",-,"148,400",-,15.1,-,417,0
,TB Control,"870,000",-,"157,500",-,18.1,-,417,0
,"Malaria Control & Other
Communicable Diseases","870,000",-,-,-,-,-,417,0
,"Environmental / Public
Health","9,660,000",-,"687,800",-,7.1,-,417,0
,"Health Policy and
Regulation","9,940,000","5,000,000","1,967,000",-,19.8,-,417,0
,Coroner Services Unit,"14,390,000","(10,000,000)","1,391,250",-,9.7,-,417,0
,"Nairobi County Public
Health Emergency
Response","6,800,000","15,000,000","1,560,872",-,23.0,-,417,0
"0406005310 P6
Health Facilities","0406015310 Sp6.1
County Referral
Hospitals","4,500,000","55,000,000",-,"47,917,860",-,87.1,417,0
,,"6,120,000","15,000,000",-,"14,938,422",-,99.6,417,0
,,"5,400,000","110,000,000",-,"19,802,095",-,18.0,417,0
,,"4,500,000","20,000,000",-,-,-,-,417,0
,,"1,980,000","35,000,000",-,-,-,-,417,0
,"0406025310 Sp6.2
Health planning and
financing","24,408,000","74,979,500","1,213,400","57,778,256",5.0,77.1,417,0
,"0406035310 Sp6.3
Health Centres &
Dispensaries","65,285,675","199,827,857","25,126,124","19,625,690",38.5,9.8,417,0
,"0406045310 Sp6.4
Pumwani School of
Nursing","5,159,500",-,"1,987,500",-,38.5,-,417,0
,"0406055310 Sp6.5
Health Commodities","696,348,075",-,"416,717,770",-,59.8,-,417,0
"0407005310 P7
medical services","0407015310 Sp7.1
Primary Health Care","16,287,912",-,"3,925,296",-,24.1,-,417,0
,"0407025310 Sp7.2
Nairobi Medical
Insurance",-,-,-,-,-,-,417,0
,"0407035310 Sp7.3
Reproductive Health
& Maternal Health
(RMNCAH)","23,406,242",-,"335,400",-,1.4,-,417,0
,"0407045310 Sp7.4
Clinical Services","18,765,000",-,"1,615,400",-,8.6,-,417,0
,,"4,450,000",-,-,-,-,-,417,0
,"0407055310 Sp7.5
Research, Quality
assurance & standards
unit","3,342,082",-,"50,000",-,1.5,-,417,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,418,0
"0408005310 P8
Wellness and
Nutrition","0408015310 Sp8.1
Nutrition","24,525,000",-,"2,105,700",-,8.6,-,418,0
,"0408025310 Sp8.2
Wellness","8,362,785",-,"52,850",-,0.6,-,418,0
"0404005310
General
administration,
planning and
support services","0404015310 Sp4.1
Administration/Human
Resource for Health","7,466,783,920",-,"6,992,026,781",-,93.6,-,418,0
"5332000000 HEALTH WELLNESS &
NUTRITION",,"8,423,134,191","519,807,357","7,451,069,042","160,062,323",88.5,30.8,418,0
"0718005310
General
Administrative
Services","0106015310 Sp 6.1
Administration,
Planning & Support
Services","415,771,199",-,"409,464,621",-,98.5,-,418,0
"0121005310
P21 Urban
Development &
Planning","0121015310 Sp21.1
Urban Planning
Compliance &
Enforcement Services","22,982,310","45,000,000","5,537,400",-,24.1,-,418,0
"0115005310
P.9:Land
management","0122015310 Sp22.1
Land Survey, GIS and
Mapping Services","41,986,562","40,000,000","6,269,800",-,14.9,-,418,0
"0123005310
P23 Housing
Development and
Building Services","0102045310 SP4 Urban
Renewal 580,000,000;
0123015310 Sp23.1
Housing and Urban
Renewal Services
20,000,000","16,184,900","580,000,000","2,929,000","182,398,427",18.1,31.4,418,0
,"0123025310 Sp23.2
Building services","5,921,400",-,"900,000",-,15.2,-,418,0
"5333000000 BUILT ENVIRONMENT &
URBAN PLANNING",,"502,846,371","665,000,000","425,100,821","182,398,427",84.5,27.4,418,0
"0216005310
P16:General
Administration,
Planning
And Support
Services","5334000101 Mobility
and Works Headquarters","1,174,707,082",-,"959,870,366",-,81.7,-,418,0
"0219005310 P19
Works",5334000201 Roads,"13,680,000","1,330,132,817","9,000,000","676,832,454",65.8,50.9,418,0
,5334000301 Electrical,"5,400,000","400,000,000",-,"83,790,000",-,20.9,418,0
,"5334000401 Building
Works","2,844,000",-,"400,000",-,14.1,-,418,0
"0220005310 P20
Mobility","0220015310 Sp20.1
Transportation
574,700,000; 0220025310
Sp20.2 Traffic
Management Services
668,735,000","281,230,000",-,"276,847,872","33,000,000",98.4,-,418,0
,"5334000601 Garage/
Transportation","6,300,000",,"4,500,000","4,988,000",71.4,-,418,0
5334000000 MOBILITY AND WORKS,,"1,484,161,082","1,730,132,817","1,250,618,238","798,610,454",84.3,46.2,418,0
"0508005310
General
administration,
planning and
support services","0508025310 sp 8.2
General Administration
& Support Services","1,808,459,195",-,"1,624,056,124",-,89.8,-,418,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,419,0
"0509005310 P9
Education services","0509025310 sp 9.2 Early
Childhood Development
Centres","100,000,000","89,926,826",-,-,-,-,419,0
,"0509035310 sp
9.3 Technical and
Vocational Training","5,250,000","14,500,000","1,237,800",-,23.6,-,419,0
,"0509015310 sp 9.1
Quality Assurance and
Co-curriculum","400,000",-,-,-,-,-,419,0
"0902005310 2.1
Social Services","0902015310 General
Administration &
Support Services","211,572,536",-,"189,642,416",-,89.6,-,419,0
,"0902025310 Sp.2.2
Gender and Community
Empowerment","2,475,000",-,-,-,-,-,419,0
,"0902065310 Sp 2.6
Social welfare and care
for the Aged","5,820,000",-,"357,600",-,6.1,-,419,0
,"0902085310 Sp.2
8 Rescue and
Rehabilitation of
Children Services","4,580,000","20,000,000","400,000",-,8.7,-,419,0
,"0903015310 Sp3.1
Control of Drugs and
Pornography","3,555,000",-,"200,000",-,5.6,-,419,0
"0903005310 P3
Youth, Talent &
Sports","0903025310 Sp3.2
General Admnistration
& support Services","14,249,455",-,"13,274,748",-,93.2,-,419,0
