Program,Sub Program,"Approved
Estimates (Kshs)","Actual Expenditure
(Kshs)","Absorption Rate
(%)",page_number,table_index
Office of the Governor,,,,,575,0
"General Administration,
Planning and Support Services","General Administration, Planning and Support
Services","140,252,426","123,510,448",88.1,575,0
Government Coordination,Cabinet Affairs,"4,000,000","3,941,000",98.5,575,0
,"Government Coordination and strategy
development","3,000,000","2,620,640",87.4,575,0
,Community and stakeholder engagement,"9,000,000","8,687,000",96.5,575,0
"Governor's Security and
Protocol",Security protocol and procedures,"3,500,000","2,999,000",85.7,575,0
,Performance Contracting,"6,200,000","5,159,830",83.2,575,0
,Efficiency Monitoring,"10,500,000","9,849,300",93.8,575,0
Intergovernmental Relations,Intergovernmental Relations,"7,500,000","3,374,800",45.0,575,0
,Inter-County Performance Review Forum,"5,100,000","4,180,500",82.0,575,0
Donor/ Investor engagement,Economic and Private Sector Advisory Services,"3,500,000","2,750,000",78.6,575,0
,"Political and Intergovernmental Advisory
Services","4,500,000","1,999,615",44.4,575,0
,Legal Advisory Services,"4,000,000","2,336,551",58.4,575,0
,Security and cross-border Advisory Services,"1,500,000","1,300,000",86.7,575,0
,Oil and Gas Advisory Service,"1,500,000","1,450,000",96.7,575,0
,Gender and Partnership Advisory Services,"1,500,000","1,380,663",92.0,575,0
,Special Interest groups,"1,000,000","1,000,000",100.0,575,0
,Climate Change advisory services,"1,500,000","1,500,000",100.0,575,0
,Education and youth Advisory services,"1,500,000","1,500,000",100.0,575,0
,"Culture, Arts and Heritage advisory services","1,500,000","1,500,000",100.0,575,0
,Tracking of Flagships projects,"4,500,000","4,464,000",99.2,575,0
,Governor's Transformative Agenda,"3,500,000","3,500,000",100.0,575,0
Governors Press Service,Governors Press support,"3,285,233","3,168,653",96.5,575,0
,Governor's Visibility and Branding,"7,000,000","2,419,718",34.6,575,0
,Media Liaison,"500,000","500,000",100.0,575,0
,Public Address Unit,"4,500,000","4,281,256",95.1,575,0
Security and Peace Building,Resettlement Infrastructural Programme,"101,000,000","40,433,800",40.0,575,0
,Cross Border Peace Dividends Programme,"3,500,000","3,500,000",100.0,575,0
,"County Peace Building & Conflict
Management Committees","3,000,000","3,000,000",100.0,575,0
,"Internal Peace Building and Conflict
Management Programme","3,000,000","3,000,000",100.0,575,0
,Sub - Total,"344,837,659","249,306,775",72.3,575,0
Office of the Deputy Governor,,,,,575,0
"General Administration,
Planning and Support Services",General Admin Planning & Support,"13,700,000","13,148,343",96.0,575,0
"Public Communications,
Media Relations and
Information Management",Media Partnerships & Stakeholder Engagement,"2,300,000","2,259,860",98.3,575,0
,County Publicity & Branding,"3,000,000","3,000,000",100.0,575,0
,Public Access to Information,"2,300,000","1,927,000",83.8,575,0
,Communication Research & Development,"1,023,345","720,601",70.4,575,0
Resource Mobilization,Resource Mobilization,"3,500,000","3,375,353",96.4,575,0
,Public Private Partnerships,"2,000,000","1,979,799",99.0,575,0
,Donor & Partner Coordination,"3,000,000","2,876,853",95.9,575,0
,Sub - Total,"30,823,345","29,287,808",95.0,575,0
Office of the County Attorney,,,,,576,0
"General Administration,
Planning and Support Services","General Administration, Planning and Support
Services","11,760,000","11,650,584",99.1,576,0
Legal Services,Litigation,"35,888,345","35,888,345",100.0,576,0
,Govt Agreements & Contracts,"3,450,000","3,429,000",99.4,576,0
,Legal Audit & Compliance,"4,650,000","4,552,980",97.9,576,0
"Research and Legislative
Drafting",Legislation,"3,050,000","2,900,000",95.1,576,0
,Policy & Legal Briefs,"2,275,000","2,011,530",88.4,576,0
Capacity Building,Training of Legal Counsel,"2,050,000","1,806,800",88.1,576,0
,Legal Training & Awareness,"1,800,000","635,439",35.3,576,0
,Sub - Total,"64,923,345","62,874,678",96.8,576,0
Finance and Economic Planning,,,,,576,0
"General Administration,
Planning and Support Services",General Administration Services,"2,015,929,532","1,302,917,604",64.6,576,0
,General Administration - Economic planning,"11,090,000","9,216,273",83.1,576,0
,County Headquarters Offices,"20,000,000","18,867,180",94.3,576,0
Revenue Collection Systems,Awareness and Campaigns on Revenue.,"7,850,836","7,696,420",98.0,576,0
,"Revenue Forecast and Revenue Budget
Preparation","6,080,564","5,737,669",94.4,576,0
,Revenue Automation,"11,100,000","10,770,700",97.0,576,0
,Revenue Governance,"3,975,600","3,606,720",90.7,576,0
,Revenue Infrastructure,"43,000,000","20,595,000",47.9,576,0
Accounting Services,Specialized Training,"4,100,000","3,660,000",89.3,576,0
,Operationalization of the County IFMIS Lab,"3,200,000","2,493,000",77.9,576,0
,Financial Reporting and Assurance,"3,800,000","3,027,700",79.7,576,0
,Emergency Fund,"147,388,667","147,388,667",100.0,576,0
,Tax Management and Statutory Deductions,"2,000,000","1,262,000",63.1,576,0
,Covid-19 Emergency Response Fund,"23,461,891","23,461,891",100.0,576,0
County Procurement,Project and Contract Management,"2,500,000","1,557,750",62.3,576,0
,Procurement Systems,"3,900,000","2,981,000",76.4,576,0
,Supplier Engagement and Awareness,"2,500,000","1,727,000",69.1,576,0
,Assets Management and Valuation,"6,900,000","6,633,864",96.1,576,0
Internal Audit,Support to Internal Audit,"3,150,000","3,145,600",99.9,576,0
,Quality Assurance,"2,700,000","1,740,000",64.4,576,0
,Support to Audit Committees,"3,800,000","3,023,710",79.6,576,0
ICT and E-Government,"Development and implementation of ICT
Policy, Standards and Regulations","2,500,000","2,256,599",90.3,576,0
,County ICT Infrastructure Development,"15,200,000","15,200,000",100.0,576,0
,"E-Government Systems, Development and
Programming","2,490,000","2,043,086",82.1,576,0
"County Economic Planning
and Development",Development of Plans and Policies,"4,000,000","3,747,560",93.7,576,0
,Kenya Devolution Support Programme,"59,138,777","58,732,374",99.3,576,0
,Public Participation in Planning Processes,"3,500,000","3,233,469",92.4,576,0
,Development Co-ordination,"10,500,000","10,294,600",98.0,576,0
,Social Intelligence Integration and Reporting,"1,000,000","531,267",53.1,576,0
,Sustainable Development Goals (SDGs),"1,000,000","816,300",81.6,576,0
Monitoring and Evaluation,Monitoring and Evaluation,"6,175,000","5,912,779",95.8,576,0
,Geo-Technological Services,"1,250,000","971,895",77.8,576,0
,Public Investment Management System,"1,250,000","984,995",78.8,576,0
Budgetary Supply,"Budget Formulation, Co-ordination and
Management","18,092,000","17,934,600",99.1,577,0
,Public Participation in Budgeting,"8,300,000","7,555,448",91.0,577,0
,County Budget and Economic Forum,"7,600,000","7,280,084",95.8,577,0
,Accountability in Resource Allocation,"7,000,000","6,722,663",96.0,577,0
"Statistics & Research
Development",Research & Development,"1,000,000","307,395",30.7,577,0
,County Statistical Unit,"1,965,533","1,099,615",55.9,577,0
,Sub - Total,"2,480,388,400","1,727,134,476",69.6,577,0
