Programme,Final Budget,col_2,Actual Expenditure,col_4,Absorption Rate (%),col_6,page_number,table_index
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent De
Expenditure E
%","velopment
xpenditure
%",628,1
Programme 1-COUNTY EXECUTIVE,,,,,,,628,1
"SP 1 - (General Administration,
Planning and Support Services)",416.73,113.37,384.88,109.49,92,96,628,1
SP 2 -(County Public service Board,15.84,-,14.85,-,94,-,628,1
SP 3 -(County Executive Affairs),37.31,-,34.70,-,93,-,628,1
"SP 4-(Liaison and Intergovernmental
service)",21.85,-,20.80,-,95,-,628,1
TOTAL,491.73,113.37,455.23,109.49,93,96,628,1
Programme 2 - FINANCE &ECONOMIC PLANNING,,,,,,,628,1
"SP 1(General Administration,
Planning and Support Services",226.18,35.38,223.57,20.01,99,56,628,1
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure
%","Development
Expenditure
%",629,0
SP 2-(Treasury Accounting Services),10.66,-,10.63,-,100,-,629,0
"SP 3-(Supply Chain Management
services)",4.71,-,3.46,-,73,-,629,0
SP 4-(Resource Mobilization),14.15,-,14.15,-,100,-,629,0
SP 5-(Internal Audit services),6.54,-,5.69,-,87,-,629,0
SP 6-(Budget Formulation services),14.99,-,14.07,-,94,-,629,0
SP 7-(Economic Planning),14.76,-,14.71,-,100,-,629,0
SP 8-(Monitoring and Evaluation ),19.50,-,19.50,-,100,-,629,0
TOTAL,311.49,35.38,305.78,20.01,98,57,629,0
"Programme 3 - ROADS, PUBLIC WORKS, TRANSPORT AND INFRASTRUCTURE",,,,,,,629,0
"SP 1(General Administration,
Planning and Support Services",93.57,-,92.50,-,99,-,629,0
SP 2(Road Transport),21.14,145.86,17.52,134.22,83,92,629,0
SP 3(Public Works),5.59,-,-,-,-,-,629,0
SP 5-(Ward Specific Projects),-,185.44,-,104.92,-,56,629,0
TOTAL,120.30,331.29,110.02,239.11,91,72,629,0
Programme 4 - HEALTH AND SANITATION,,,,,,,629,0
"SP 1(General Administration,
Planning and Support Services","1,460.17",8.16,"1,434.68",-,100,-,629,0
SP 2-(Preventive Health Services),129.02,-,141.20,-,100,-,629,0
SP 3-(Curative Health Services),85.34,89.53,58.32,57.38,50,64,629,0
SP 4-(Kacheliba Sub-county hospital),13.94,-,13.75,-,100,-,629,0
SP 5-(Sigor Sub-county hospital),13.86,-,13.44,-,100,-,629,0
SP 6-(Chepareria Sub-county hospital),13.86,-,13.80,-,100,-,629,0
SP 7(Facility Improvement Fund),127.80,5.00,125.39,6.11,95,120,629,0
SP 8(Ward Specific),-,79.49,-,28.47,-,35,629,0
TOTAL,"1,844.00",182.18,"1,800.58",91.96,98,50,629,0
Programme 5 - EDUCATION AND TECHNICAL TRAINING,,,,,,,629,0
"SP 1(General Administration,
Planning and Support Services",354.10,344.06,346.36,323.46,98,94,629,0
SP 2 -(ECD Services),22.07,11.82,22.07,-,100,-,629,0
SP 3-(Youth Vocational training),16.31,8.38,16.30,8.38,100,100,629,0
SP 4-(Bursary Fund),310.00,-,310.00,-,100,-,629,0
SP 5 - (Ward specific),-,115.33,-,,-,-,629,0
TOTAL,702.48,479.60,694.73,331.84,99%,69,629,0
Programme 6 - AGRICULTURE AND IRRIGATION,,,,,,,629,0
"SP 1 - (General Administration,
Planning and Support Services)",96.55,-,96.55,-,100,-,629,0
"SP 2-(Crop Development and
Management)",5.07,241.01,547.36,228.81,11,94,629,0
"SP 3-(Cash Crop Production(Special
Programs)",6.00,26.50,6.00,-,100,-,629,0
SP 4 -(Ward specific),-,39.400,-,34.98,-,88,629,0
TOTAL,107.61,306.91,103.10,263.80,96,85,629,0
Programme 7 - PASTORAL ECONOMY,,,,,,,629,0
"SP 1 - (General Administration,
Planning and Support Services)",64.78,-,64.78,-,100,-,629,0
