Programme,Sub-Programme,Approved Estimates 2024-25,col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,42,0
County Assembly,,,,,,,,42,0
Office of the clerk,"General Administration-
Salaries","469,855,142",-,"73,455,503",-,16,-,42,0
,"General Administration /
Support Services","238,523,366",-,"6,077,870",-,3,-,42,0
,"Landscaping and beau-
tification of Speakers
residential buildings",-,-,-,-,-,-,42,0
,"Drilling and equipping
of 2No. Water boreholes
at County Assembly and
Speaker residence","159,636,262",-,"6,871,400",-,4,-,42,0
,"Proposed Construction of
Office Block II",-,"30,300,000",-,-,-,-,42,0
,"Equipping the Speaker’s
residence with furniture
and other equipment",-,"9,700,000",-,-,-,-,42,0
"Office of the Gov-
ernor and Deputy
Governor",General Administration,-,-,-,-,-,-,42,0
,P3 Governors Office,"122,329,600",-,"4,241,826",-,3,-,42,0
,Office of County Secretary,"166,200,000",-,-,-,-,-,42,0
,Office of County Attorney,"15,500,000",-,-,-,-,-,42,0
,"Digitalization Systems and
Application Development",-,"15,000,000",-,-,-,-,42,0
,"Office of the Deputy
Governor","18,609,339",-,-,-,-,-,42,0
"Public Services,
Administration,
Devolution, &
ICT","General Administration,
Salaries and Operations","3,447,041,927",-,"448,932,644",-,13,-,42,0
,"Tiaty sub-county-West
(Administration)","5,029,000",-,-,-,-,-,42,0
,"Tiaty sub-county east
(Administration)","4,751,000",-,-,-,-,-,42,0
,Baringo North sub-county,"4,986,222",-,-,-,-,-,42,0
,"Baringo Central sub-coun-
ty","5,218,027",-,-,-,-,-,42,0
,Baringo South sub-county,"4,984,000",-,-,-,-,-,42,0
,Mogotio sub-county,"5,012,377",-,-,-,-,-,42,0
,"Eldama Ravine sub-coun-
ty","5,052,492",-,-,-,-,-,42,0
,"Sub-County Administra-
tion-Ward offices",-,"15,600,000",-,-,-,-,42,0
,"Acquisition of Kabarnet
Hotel",-,-,-,-,-,-,42,0
,"P2: ICT Development and
Management Services","9,600,000","2,000,000",-,-,-,-,42,0
,"SP 6: Devolution Support
Services","18,725,000",-,-,-,-,-,42,0
,Communication Services,"2,300,000",,-,-,-,-,42,0
,Ajira Centre Connectivity,-,-,-,-,-,-,42,0
,"Installation of LAN at
Mogotio and Marigat
sub-county hospital",,-,-,-,-,-,42,0
,"Installation of CIMES
Operationalization",-,-,-,-,-,-,42,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,43,0
,"Redesign of County
website to include online
recruitment, tourism,
Town and hospital portals",-,-,-,-,-,-,43,0
"Finance & Eco-
nomic Planning","SP 1: General Administra-
tive Services","43,225,000",-,-,-,-,-,43,0
,Accounting Services,"2,000,000",-,-,-,-,-,43,0
,Supply chain Services,"2,000,000",-,-,-,-,-,43,0
,Internal Audit Services,"2,000,000",-,-,-,-,-,43,0
,"Emergency Relief (food,
medicine, blankets, cash
grant, tents and other
temporary shelter, etc.)","20,000,000",-,-,-,-,-,43,0
,"Revenue Services Devel-
opment Services","19,200,000",-,"458,800",,2,-,43,0
,Pending Bills,"4,061,168",-,-,-,-,-,43,0
,"P2: Economic Planning
Services","20,419,618",-,-,-,-,-,43,0
,"Revenue Infrastructure
Services",-,"22,500,000",-,-,-,-,43,0
"P2: Economic
Planning Services","P2: Economic Planning
Services","24,489,477",-,-,-,-,-,43,0
,Budget Supply Services,"6,200,000",-,-,-,-,-,43,0
,"Resource Mobilization
and Investment Promo-
tion","2,000,000",-,-,-,-,-,43,0
,"Monitoring and Evalua-
tion Services","2,500,000",-,-,-,-,-,43,0
"Transport and
Infrustructure","SP 1: General Administra-
tive Services","48,750,173",-,-,-,-,-,43,0
,"SP 2 Public Works Devel-
opment","11,450,000",-,-,-,-,-,43,0
,"Rural Infrastructure
Development and Foot-
bridges",-,"267,328,557",-,-,-,-,43,0
,"New and maintenance of
roads County-wide",-,-,-,-,-,-,43,0
,Installation of Floodlights,-,-,-,-,-,-,43,0
,"Construction of Public
Works",-,"18,500,000",-,-,-,-,43,0
,RMLF Funds,-,-,-,-,-,-,43,0
,Culverts and Bridges,-,-,-,-,-,-,43,0
"Industry, Com-
merce, Tourism,
Cooperatives and
Enterprise Devel-
opment","SP 1: General Administra-
tive Services","5,848,989",-,,-,-,-,43,0
,"P 2: Trade Development
and Marketing Services","2,000,000",-,-,-,-,-,43,0
,"P 4: Industrial Develop-
ment and Investment","1,000,000","4,500,000",-,-,-,-,43,0
,"P 5: Co-operative Devel-
opment Services","2,000,000","55,600,000",-,-,-,-,43,0
,"P 6: Weight and Measures,
Legal Metrology","1,000,000",-,-,-,-,-,43,0
"Tourism Develop-
ment Services","SP 1: Tourism Develop-
ment Services","10,400,000",-,-,-,-,-,43,0
,"SP 2: Wildlife Manage-
ment Services","1,200,000",-,-,-,-,-,43,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,44,0
,"Industrial Development
and Investment Services",-,"400,000,000",-,-,-,-,44,0
,"Revenue Infrastructure
Services",-,"45,302,798",-,-,-,-,44,0
Education,"SP 1: General Administra-
tive Services","21,290,000",-,-,-,-,-,44,0
,Sp2 Library Services,"1,500,000",-,-,-,-,-,44,0
,VTC capitation,"15,000,000",-,-,-,-,-,44,0
"P 3: Vocational
Training Develop-
ment","SP 1: Bursary and Schol-
arship",-,"94,750,000",-,-,-,-,44,0
"P 2: Early Child-
hood Development","SP 1: School Feeding
Programme","21,000,000",-,-,-,-,-,44,0
,"Infrastructure develop-
ment",-,"134,727,241",-,-,-,-,44,0
"County Health
Services","SP 1: General Administra-
tive Services","34,030,000",-,-,-,-,-,44,0
"P 2: Preventive
And Promotive
Health Services","SP 1: Primary Health Care
Services","157,272,156","114,747,171",-,-,-,-,44,0
"P 2: Curative And
Rehabilitative
Services","SP 1: Curative and Reha-
bilitative Services","324,566,962","54,858,158",-,-,-,-,44,0
,"Infrastructural develop-
ment",-,"134,000,000",-,-,-,-,44,0
"Lands and Urban
Development","SP 1: General Administra-
tive Services","10,003,832",,-,-,-,-,44,0
"Land use planning
and Information
management","Land Policy and Planning
Services",-,"17,650,000",-,-,-,-,44,0
"Land use planning
and Information
management",Land Survey Services,-,"6,200,000",-,-,-,-,44,0
"Eldamaravine
Town- Urban
Development","SP 1: General Administra-
tion Planning and Support
Services","5,154,129",-,-,-,-,-,44,0
"Kabarnet Munici-
pality Services","Infrastructure develop-
ment",-,-,-,-,-,-,44,0
"Housing De-
velopment and
management","SP 1: General Administra-
tive Services","6,000,000",-,-,-,-,-,44,0
"Land use planning
and Information
management","Land Adjudication
Services",-,-,-,-,-,-,44,0
"Land use planning
and Information
management","Land adjudication and
demarcation",-,"15,500,000",-,-,-,-,44,0
"Land use planning
and Information
management","Cabro parking Kabarnet
Hospital Road For Waenta
Enterprises Limited",-,"1,724,000",-,-,-,-,44,0
"General Adminis-
tration, Planning
and Support
Services","General Administration
Planning and Support
Services","36,279,781",-,-,-,-,-,44,0
"Kabarnet Munici-
pality Services","Sanitation & waste man-
agement",-,-,-,-,-,-,44,0
,"Urban Safety and Disaster
Control Services",-,-,-,-,-,-,44,0
,"Infrastructure develop-
ment",-,-,-,-,-,-,44,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,45,0
,"Urban Infrastructure
development and man-
agement",-,-,-,-,-,-,45,0
"Eldama Ravine
Town Services","Sanitation and waste
management",-,"2,500,000",-,-,-,-,45,0
"Eldama Ravine
Town Services","Infrastructure develop-
ment",-,"5,000,000",-,-,-,-,45,0
"Agricultural
Services","General Administration
and Planning","816,616,285",-,-,-,-,-,45,0
"Livestock resources
management and
development",Livestock upgrading,-,"61,649,800",-,-,-,-,45,0
"Milk Processing
Plant-Eldama
Ravine","Completion of Milk Pro-
cessing Plant",-,-,-,-,-,-,45,0
"Kabartonjo Milk
Cooling Plant","Construction of Ossen
Milk Cooling Plant",-,-,-,-,-,-,45,0
Livestock Saleyards,"Maintenance of Livestock
Sale Yards- Emining,
Loruk and Loitip",-,-,-,-,-,-,45,0
"Slaughterhouses
Maintainance","Maintainance of slaughter-
houses and slabs",-,-,-,-,-,-,45,0
"Livestock resources
management and
development","Livestock market and
value addition",-,"4,500,000",-,-,-,-,45,0
"Livestock Resourc-
es management
and development","Livestock disease manage-
ment and control",-,"25,100,000",-,-,-,-,45,0
"Barwessa Slaughter
House",Apiculture development,-,"3,998,125",-,-,-,-,45,0
"Livestock Resourc-
es management
and development",Pasture Development,-,"4,533,730",-,-,-,-,45,0
"Crop production
and management","Agriculture Training
Centre Koibatek",-,"36,000,000",-,-,-,-,45,0
"Crop production
and management",Food security initiatives,-,"326,120,842.08",-,-,-,-,45,0
"Crop Production &
Management",Affruitation,-,"19,250,000",-,-,-,-,45,0
"Support to ATC
Services",Support to ATC Services,-,-,-,-,-,-,45,0
"Agricultural Ma-
chinery",Purchase of Tractor,-,-,-,-,-,-,45,0
"Conditional Grants
for provision of
Fertiliser subsidy
programme","Conditional Grants for
provision of Fertiliser
subsidy programme",-,-,-,-,-,-,45,0
"IDA World Bank
(KCSAP)",IDA World Bank (KCSAP),-,-,-,-,-,-,45,0
"Matching fund to
IDA World Bank
(KCSAP)","Matching fund to IDA
World Bank (KCSAP)",-,-,-,-,-,-,45,0
"SWEDEN: Ag-
ricultural Sector
Development Sup-
port Programme
(ASDSP) II","SWEDEN: Agricultural
Sector Development
Support Programme
(ASDSP) II",-,-,-,-,-,-,45,0
"World Bank
Emergency Locusts
Project","World Bank Emergency
Locusts Project",-,-,-,-,-,-,45,0
"Certified pasture
and maize","Provision of pastures and
maize seeds",-,-,-,-,-,-,45,0
21,,,,,,,,45,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,46,0
"Purchase of
Mangoes, Maca-
damia and Coffee
Seedlings","Purchase of Mangoes,
Macadamia and Coffee
Seedlings for Mochongoi",-,-,-,-,-,-,46,0
