Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,(Kshs.),,(Kshs.),,,,95,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",95,0
,Department Office of the Governor and Executive Administration,,,,,,,95,0
"Programme:
General Ad-
ministration
and support
services","General Adminis-
tration support","141,469,165",-,"31,142,88",-,22,-,95,0
,"Disaster Manage-
ment,","1,000,000","6,300,000",-,-,-,-,95,0
,"peace building and
conflict resolution",,,,,,,95,0
,Governance,"1,500,000",-,"347,300",-,23,-,95,0
,Sub Total,"143,969,165","6,300,000","31,490,181",-,,-,95,0
,Department County Assembly,,,,,,,95,0
"Legislation
and Represen-
tation","Legislation and
Representation","162,973,253",-,"15,997,900",-,10,-,95,0
"Legislative
Oversight","Legislative Over-
sight","133,721,050",-,"21,299,864",-,16,-,95,0
,Sub-programme,,,,,,,95,0
"General Ad-
ministration
and Support
Services","General Adminis-
tration","405,181,712",-,"82,544,264",-,20,-,95,0
,Sub-Total,"701,876,015",-,"119,743,028",-,,-,95,0
,"Department
Finance and Eco-
nomic Planning",,,,,,,95,0
"General
administration
and support
services","Finance and Plan-
ning Headquarters","200,005,880",-,"43,382,938",-,22,-,95,0
,"Economic Planning
and budgeting","2,112,408",-,"368,000",-,17,-,95,0
,Accounting Services,"1,529,403",-,"118,000",-,8,-,95,0
,"Supply chain Man-
agement","1,228,839",-,-,-,-,-,95,0
,"Revenue Manage-
ment Services","8,145,814",-,-,-,-,-,95,0
,Sub-Total,"213,022,344",-,"43,868,938",-,-,-,95,0
,"Department: Agriculture, Livestock, Fisheries and Irrigation",,,,,,,95,0
"General Ad-
ministration
and support
services","General adminis-
tration","146,919,958",-,"32,044,885",-,22,-,95,0
"Crop Develop-
ment","Agriculture exten-
sion and training",-,"295,101,634",-,-,-,-,95,0
"Crop Develop-
ment","Crop Commercial-
ization",-,"23,145,819",-,-,-,-,95,0
"Irrigation
Development","Irrigation Develop-
ment",-,"10,400,000",-,-,-,-,95,0
,,(Kshs.),,(Kshs.),,,,96,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",96,0
"Livestock De-
velopment","Livestock extension
and training",-,"40,150,000",-,-,-,-,96,0
"Livestock De-
velopment","Livestock Commer-
cialization",-,"29,688,734",-,-,-,-,96,0
"Veterinary
Services","Livestock Disease
control",-,"24,459,846",-,-,-,-,96,0
"Veterinary
Services",Breeding,,"3,900,000",-,-,-,-,96,0
,Sub-Total,"146,919,958","426,846,322","32,044,885",-,-,-,96,0
,"Department: Water, Environment and Climate Change Management",,,,,,,96,0
"General Ad-
ministration
and support
services","General adminis-
tration and support
services","44,380,814",-,"7,951,431",-,18,-,96,0
Water services,Water services,-,"203,101,634",-,-,-,-,96,0
"Environmental
Management","Environmental
management",-,"500,000",-,-,-,-,96,0
"Climate
Change Man-
agement","Climate change
management",-,"43,850,000",-,-,-,-,96,0
,Sub-Total,"44,380,814","247,451,634","7,951,431",-,-,-,96,0
,Education and Technical Training,,,,,,,96,0
"General
administration
and support
services","General Adminis-
tration and support
services","306,547,124",-,"65,711,801",-,21,-,96,0
,"Pre-primary infra-
structure develop-
ment",-,"63,212,000",-,-,-,-,96,0
,"Pre-primary Quality
control",-,"24,983,042",-,-,-,-,96,0
,"VTC infrastructure
development",-,"32,200,000",-,-,-,-,96,0
,"VCT Quality con-
trol and support",-,"101,865,154",-,-,-,-,96,0
,Sub-Total,"306,547,124","222,388,729","65,711,801",-,-,-,96,0
,Department: Health and Sanitation,,,,,,,96,0
"General Ad-
ministration
and support
services","General Adminis-
tration and support
services","1,805,596,625",-,"352,167,182",-,20,-,96,0
,"Community and
Environmental
health",-,"131,604,000",-,-,-,-,96,0
,Health Services,-,"91,784,729",-,-,-,-,96,0
,Sub-Total,"1,805,596,625","223,388,729","352,167,182",-,-,-,96,0
,"Department: Lands,
Physical Planning,
Housing and Urban
Development",,,,,,,96,0
,,(Kshs.),,(Kshs.),,,,97,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",97,0
"General Ad-
ministration
and Support
services","General Adminis-
tration and support
services","56,468,893",-,"11,505,019",-,20,-,97,0
,Energy,-,"12,862,891",-,-,-,-,97,0
,"Solid waste manage-
ment",-,"500,000",-,-,-,-,97,0
,"County public land
management",-,"20,450,000",-,-,-,-,97,0
,Physical planning,-,"8,550,000",-,-,-,-,97,0
,"Urban Infrastruc-
ture",-,"313,419,270",-,-,-,-,97,0
,Sub- Total,"56,468,893","355,782,161","11,505,019",,,,97,0
,"Department:
Roads, Public
works and Trans-
port",,,,,,,97,0
"General Ad-
ministration
and support
services","General adminis-
tration and support
services","110,370,888",-,"22,496,839",-,20,-,97,0
"Roads Im-
provement",Rural roads work,-,"412,625,131",-,-,-,-,97,0
Public works,Public works,"1,050,000","500,000",-,-,-,-,97,0
"Transport
Services",Transport services,"644,898",-,-,-,-,-,97,0
