Programme,Sub-Programme,"Approved Estimates (FY
2024/25)",col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurren,"Develop-
t
ment",108,1
OFFICE OF GOVERNOR,,,,,,,,108,1
"General Administration
Planning and Support
Services","Management of County
Affairs (Office of Gov-
ernor)","162,564,381","8,045,209","17,574,293",0,1,1 0,108,1
"County Leadership and
Coordination","Sub-County Administra-
tion and Field Services","50,059,135","2,477,395","5,411,726",0,1,1 0,108,1
"County Government
Advisory Services","Public Sector Advisory
Services (Legal, Political,
and Economic Advisors)","50,059,135","2,477,395","5,411,726",0,1,1 0,108,1
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",109,0
Sub Total,,"262,682,650","13,000,000","28,397,746",0,11,0,109,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,109,0
"General Administration
Planning and Support
Services","Recruitment and Selec-
tion, Career Management,
HR Policy & Audit","15,057,371",0,"475,561",0,3,0,109,0
"General Administration
Planning and Support
Services","Administration of Board
programmes/ Agenda","12,547,809",0,"396,301",0,3,0,109,0
"General Administration
Planning and Support
Services","Performance Manage-
ment & Discipline","8,245,703",0,"260,426",0,3,0,109,0
Sub Total,,"35,850,883",0,"1,132,288",0,3,,109,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,,,,109,0
"General Administration
Planning and Support
Services","Service delivery and
management of County
Affairs","350,638,642","1,791,865","29,446,704",0,8,0,109,0
Public Service,"Human Resource De-
velopment and Culture
Change Management","273,360,112","1,396,949","22,956,838",0,8,0,109,0
ICT Infrastructure,"ICT Infrastructure Ex-
pansion","158,735,707","811,185","13,330,657",0,8,0,109,0
Sub Total,,"782,734,460","4,000,000","65,734,199",0,8,0,109,0
COUNTY ASSEMBLY,,,,,,,,109,0
"General Administra-
tion, Planning and
Support Services",Administrative Services,"209,996,508","29,729,932","13,430,185",0,6,0,109,0
"General Administra-
tion, Planning and
Support Services","Legislation, Represen-
tation and Legislative
Oversight","209,996,508","29,729,932","13,430,185",0,6,0,109,0
"General Administra-
tion, Planning and
Support Services",Representation Services,"209,996,508","29,729,932","13,430,185",0,6,0,109,0
"General Administra-
tion, Planning and
Support Services","County Assembly Infra-
structure Improvement","76,357,549","10,810,203","4,883,395",0,6,0,109,0
Sub Total,,"706,347,072","100,000,000","45,173,949",0,6,0,109,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,109,0
"General Administration
Planning and Support
Services","Administration, Planning
and Support Services","65,733,378","672,704","11,185,893",0,17,0,109,0
"Economic Policy and
County Planning","Economic Development
Planning and Coordi-
nation","25,389,299","259,830","4,320,514",0,17,0,109,0
Revenue Management,"Revenue Management
Services","62,368,472","638,269","10,613,285",0,17,0,109,0
Financial Management,"Control and Management
of Public Finances","31,291,484","320,232","5,324,893",0,17,0,109,0
"Monitoring and Eval-
uation","Monitoring and Evalua-
tion of projects","7,580,067","77,573","1,289,905",0,17,0,109,0
Research and Statistics,County Database,"3,067,477","31,392","521,995",0,17,0,109,0
Sub Total,,"195,430,177","2,000,000","33,256,485",0,17,0,109,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,,,109,0
"Administrative Support
Services","Administrative Support
Services","2,589,589","15,595,752",0,"4,915,324",0,32,109,0
"Trade Development and
Promotion","Trade Development and
Promotion","17,208,500","103,637,891",0,"32,663,624",0,32,109,0
"Industrial Development
and Investment","Industrial Development
and Investment","7,259,299","43,719,002",0,"13,778,947",0,32,109,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",110,0
Tourism Development,Tourism Development,"5,939,427","35,770,092",0,"11,273,684",0,32,110,0
Sub Total,,"32,996,815","198,722,737",0,"62,631,579",0,32,110,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND COOPERATIVE DEVELOPMENT",,,,,,,,110,0
"Administrative Support
Services","Administrative Support
Services","50,829,370","38,521,575","5,476,996",0,11,0,110,0
"Crop Development and
Management","Crop Development and
Management","57,129,357","43,296,088","6,155,836",0,11,0,110,0
"Agribusiness and Infor-
mation Management","Agribusiness and Infor-
mation Management","51,248,687","38,839,360","5,522,179",0,11,0,110,0
"Livestock Resources
Management and
Development","Livestock Resources
Management and Devel-
opment","48,357,392","36,648,161","5,210,634",0,11,0,110,0
"Cooperative Develop-
ment and management","Strengthening the Coop-
eratives","43,231,137","32,763,175","4,658,267",0,11,0,110,0
"Aquaculture Develop-
ment and management",Fisheries Development,"31,078,767","23,553,372","3,348,818",0,11,0,110,0
Sub Total,,"281,874,710","213,621,730","30,372,731",0,11,0,110,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,110,0
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services","3,824,913","10,192,100",0,0,0,0,110,0
Water Service Delivery,Domestic water supply,"15,299,650","40,768,399",0,0,0,0,110,0
Irrigation Development,"Development of Irrigation
schemes","1,912,456","5,096,050",0,0,0,0,110,0
Sanitation Services,Sanitation Services,"1,912,456","5,096,050",0,0,0,0,110,0
"Environmental Man-
agement and Conser-
vation","Environmental Manage-
ment and Conservation","1,912,456","5,096,050",0,0,0,0,110,0
"Forestry and Land-
scapes Conservation","Forestry and Landscapes
Conservation","1,912,456","5,096,050",0,0,0,0,110,0
"Climate Change Mitiga-
tion and Adaptation","Climate Change Mitiga-
tion and Adaptation","11,474,738","30,576,299",0,0,0,0,110,0
Sub Total,,"38,249,126","101,920,997",0,0,0,0,110,0
HEALTH,,,,,,,,110,0
"Curative Health
Services",Primary Health Care,"916,797,722","84,461,016","69,188,816",0,8,0,110,0
"Preventive and Promo-
tive Health Services","Health Promotion &
Disease Control","360,745,697","33,234,101","27,224,727",0,8,0,110,0
"General Administration
Planning and Support
Services","General Administration
services","290,632,895","26,774,881","21,933,460",0,8,0,110,0
Sub Total,,"1,568,176,314","144,469,997","118,347,003",0,8,0,110,0
EMBU LEVEL 5 HOSPITAL,,,,,,,,110,0
"Curative Health
Services",Primary Healthcare,"4,968,586","61,183,311",0,0,0,0,110,0
"Preventive and Promo-
tive Health Services","Health Promotion and
Disease Control","1,364,902","16,807,444",0,0,0,0,110,0
"General Administration
Planning and Support
Services","General Administration
Services","998,312","12,293,244",0,0,0,0,110,0
Sub Total,,"7,331,800","90,284,000",0,0,0,0,110,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,,,110,0
"General Administration
Planning and Support
Services","General Administration
Services","5,584,611","106,609,356","497,887",0,9,0,110,0
Roads Development,"Rural Roads Improve-
ment and Maintenance","14,892,296","284,291,616","1,327,698",0,9,0,110,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",111,0
Public Works,Public Works,"5,584,611","106,609,356","497,887",0,9,0,111,0
"Renewable Energy
Development","Streetlights and Flood-
lights","7,446,148","142,145,808","663,849",0,9,0,111,0
Transport and Logistics,Fleet management,"3,723,074","71,072,904","331,925",0,9,0,111,0
Sub Total,,"37,230,740","710,729,040","3,319,246",0,9,0,111,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,111,0
"General Administra-
tion, Planning and
Support Services","General Administration
and Support Services","39,429,856","19,460,000","2,572,059",0,7,0,111,0
"Access and retention in
ECDE centres","Access and retention in
ECDE centres","157,719,424","77,840,000","10,288,234",0,7,0,111,0
"Improve Quality And
Relevance Of ECDE
Services","Improvement Quality
And Relevance of ECDE
Services","39,429,856","19,460,000","2,572,059",0,7,0,111,0
"Improve on Transition
from pre-primary to
primary school","Improve on Transition
from pre-primary to
primary school","39,429,856","19,460,000","2,572,059",0,7,0,111,0
"Increase access and
retention in Vocational
training.","Increase access and
retention in Vocational
training.","118,289,568","58,380,000","7,716,176",0,7,0,111,0
Sub Total,,"394,298,561","194,600,000","25,720,586",0,7,0,111,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,,,,111,0
"Youth Development
and Empowerment
Services","Youth Development and
Empowerment Services","30,069,349","20,168,312","1,557,253",0,5,0,111,0
"Management and devel-
opment of Sports and
Sports facilities","Community Sports Pro-
gramme","52,435,102","35,169,616","2,715,546",0,5,0,111,0
"General Administration
Planning and Support
Services","General Administration
services","17,626,359","11,822,468","912,846",0,5,0,111,0
"Gender and Social
Development","Communication mobili-
sation and development","8,546,407","5,732,303","442,607",0,5,0,111,0
,Social Welfare Services,"8,556,461","5,739,046","443,128",0,5,0,111,0
,"Gender mainstreaming
and development","11,596,517","7,778,092","600,569",0,5,0,111,0
Children Services,"Child Rehabilitation and
Custody","3,301,801","2,214,605","170,996",0,5,0,111,0
"Culture and Cultural
Preservation",Cultural Preservation,"5,778,151","3,875,559","299,243",0,5,0,111,0
Sub Total,,"137,910,148","92,500,000","7,142,189",0,5,0,111,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,111,0
"General Administration
and Support Services","General Administration
and Support Services","5,456,629","9,746,959","182,197",0,3,0,111,0
Physical Planning,SP1.1: Physical Planning,"2,728,314","4,873,479","91,098",0,3,0,111,0
Physical Planning,"Survey and Spatial
Planning","3,819,640","6,822,871","127,538",0,3,0,111,0
"Survey and Spatial
Planning",Urban Development,"5,456,629","9,746,959","182,197",0,3,0,111,0
"Automation of land
records and operations",Automation,"24,554,831","43,861,316","819,886",0,3,0,111,0
Valuation and Rating,Valuation,"2,728,314","4,873,479","91,098",0,3,0,111,0
Mining,Mining,"15,278,561","27,291,485","510,152",0,3,0,111,0
Sub Total,,"60,022,920","107,216,549","2,004,167",0,3,0,111,0
