Programme,"Sub - Pro-
gramme",Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",245,0
"Physical Planning, Lands, Housing and Urban Development",,,,,,,,245,0
"Urban
Planning and
Development
Control","Urban Planning
and Develop-
ment","59,741,680","100,000,000","7,773,500",-,13.0,-,245,0
"County Survey
Services","County Survey
Services","10,000,000",-,-,-,-,-,245,0
,Sub Total,"69,741,680","100,000,000","7,773,500",,11.1,-,245,0
"Physical Plan-
ning Services","Physical Plan-
ning Services","38,364,100",-,"8,151,100",,21.2,-,245,0
,"County Housing
Management","10,000,000",-,-,-,-,-,245,0
,Sub Total,"48,364,100",0,"8,151,100",,16.9,-,245,0
,Total,"118,105,780","100,000,000","15,924,600",,13.5,-,245,0
"Agriculture, Livestock, Food and Fisheries",,,,,,,,245,0
"Agriculture
Productivity
Improvement","Management of
Stations","76,682,070","521,034,321","6,612,755","5,246,800",8.6,1.0,245,0
,"Management of
Agriculture Ad-
visory Services","10,516,538",-,"2,901,000",-,27.6,-,245,0
,"Promotion of
Crop production
value Chains","1,185,100",-,-,-,-,-,245,0
,"Promotion
of Livestock
Production Value
Chains","6,740,000",-,-,-,-,-,245,0
,"Development of
product quality
Assurance","276,500",-,-,-,-,-,245,0
,"Agriculture Sec-
tor Planning and
Management","102,725",-,-,-,-,,245,0
,Sub Total,"95,502,933","521,034,321","9,513,755","5,246,800",10.0,1.0,245,0
"Agriculture
Productivity
Improvement","Agriculture
Credit Access","396,550",-,-,-,-,-,245,0
,"Agriculture Input
Access","54,350",-,-,-,-,-,245,0
,Sub Total,"450,900",0,0,0,-,-,245,0
"Promotion of
Market Access
and Products
Development","Promotion of
Agribusiness","133,000",-,-,-,-,-,245,0
,"Promotion of
Value Addition","318,750",-,"91,000",-,28.5,-,245,0
,Sub Total,"451,750",0,"91,000",0,20.1,-,245,0
,Total,"96,405,583","521,034,321","9,604,755","5,246,800",10.0,1.0,245,0
County Assembly of Kisumu,,,,,,,,245,0
"Administra-
tion, Planning
and Services","Financial Ser-
vices","78,801,053",-,"13,485,820.10",-,17.1,-,245,0
,Sub Total,"78,801,053",-,"13,485,820",-,17.1,-,245,0
221,,,,,,,,245,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",246,0
ICT Services,ICT Services,"11,078,568",-,"1,378,092",-,12.4,-,246,0
,Sub Total,"11,078,568",,"1,378,092",,12.4,-,246,0
"General Ad-
ministration
and Services","General Admin-
istration","350,137,244","100,000,000","83,219,981.50",,23.8,-,246,0
,"Human Resource
Development
Services","185,056,884",-,"46,612,986",-,25.2,-,246,0
,Sub Total,"535,194,128","100,000,000","129,832,968",-,24.3,-,246,0
"Public Finan-
cial Manage-
ment","Budget For-
mulation and
Coordination","8,442,346",-,"1,689,324.30",-,20.0,-,246,0
,Sub Total,"8,442,346",-,"1,689,324",-,20.0,-,246,0
"Legislation,
Oversight and
Services","Legislation
and Oversight
Services","156,060,629",-,"29,935,858",-,19.2,-,246,0
,"Policy Services
(Speaker’s Office)","47,344,118",-,"20,571,393.70",-,43.5,-,246,0
,Sub Total,"203,404,747",-,"50,507,252",-,24.8,-,246,0
"County As-
sembly Service
Board","SP2 Committee
Services","152,517,650",-,"29,935,858",-,19.6,-,246,0
"Representation
and Public
Participation","Representation
and Public Par-
ticipation","119,181,164",-,"20,571,393.70",-,17.3,-,246,0
,Sub Total,"271,698,814",-,"50,507,252",-,18.6,-,246,0
,Total,"1,108,619,656","100,000,000","247,400,707",-,22.3,-,246,0
County Public Service Board,,,,,,,,246,0
"Human
Resource Re-
cruitment and
Development","Human Resource
Recruitment and
Development","5,258,729,404",-,"2,027,913,157",-,38.6,-,246,0
"General Ad-
ministration
and Support
Services","General Admin-
istration and
Support Services","423,479,662","511,700,000","87,326,537",-,20.6,-,246,0
"Promotion
of Values and
Principles","Promotion of
Values and Prin-
ciples","1,700,000",-,-,-,-,-,246,0
,Sub Total,"5,683,909,066","511,700,000","2,115,239,694",-,37.2,-,246,0
"Education, Technical Training, Innovation and Social Service",,,,,,,,246,0
"Early Child
Education
Management","Early Child Edu-
cation","253,272,500","83,600,000","755,150",-,0.3,-,246,0
,Sub Total,"253,272,500","83,600,000","755,150",-,0.3,-,246,0
"Youth Training
and Develop-
ment","Youth Polytech-
nic Services","48,500,000","7,800,000","750,200",-,1.5,-,246,0
,"Youth Training
Facilities","8,898,000","4,000,000","477,300",-,5.4,-,246,0
,Sub Total,"57,398,000","11,800,000","1,227,500",-,2.1,-,246,0
"Pre-Primary
Policy Legis-
lation","Pre-Primary
Policy Legislation","149,144,600",-,"22,385,216",-,15.0,-,246,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",247,0
,Sub Total,"149,144,600",0,"22,385,216",-,15.0,-,247,0
"Youth Training
and Legisla-
tion","Youth Training
and Legislation","2,160,000","118,316,000","70,200","22,256,250",3.3,18.8,247,0
,Sub Total,"2,160,000","118,316,000","70,200","22,256,250",3.3,18.8,247,0
